"Smarter Balanced Assessments, 2024-25"
"All Districts, ELA and Math, All Grades Combined, High Needs (F/R, EL or SWD)"

"",,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","Subject","High Needs (F/R, EL or SWD)","Total Number of Students","Total Number Tested","Smarter Balanced Participation Rate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%"
,,,"Y",309,308,99.7,308,215,69.8,59,19.2,26,8.4,8,2.6,34,11.0
"Granby School District","=""0560011""","ELA","N",531,530,99.8,530,21,4.0,86,16.2,213,40.2,210,39.6,423,79.8
,,,"Y",252,247,98.0,247,87,35.2,51,20.6,67,27.1,42,17.0,109,44.1
,,"Math","N",531,530,99.8,530,29,5.5,136,25.7,152,28.7,213,40.2,365,68.9
,,,"Y",251,246,98.0,246,97,39.4,71,28.9,39,15.9,39,15.9,78,31.7
"Great Oaks Charter School District","=""2940013""","ELA","N",28,26,92.9,26,7,26.9,9,34.6,"*","*","*","*",10,38.5
,,,"Y",231,226,97.8,226,118,52.2,55,24.3,"*","*","*","*",53,23.5
,,"Math","N",28,26,92.9,26,12,46.2,7,26.9,"*","*","*","*",7,26.9
,,,"Y",231,223,96.5,223,154,69.1,39,17.5,"*","*","*","*",30,13.5
"Greenwich School District","=""0570011""","ELA","N",2489,2485,99.8,2485,37,1.5,156,6.3,719,28.9,1573,63.3,2292,92.2
,,,"Y",1160,1141,98.4,1141,263,23.0,288,25.2,363,31.8,227,19.9,590,51.7
,,"Math","N",2489,2479,99.6,2479,38,1.5,204,8.2,516,20.8,1721,69.4,2237,90.2
,,,"Y",1160,1138,98.1,1138,262,23.0,308,27.1,251,22.1,317,27.9,568,49.9
"Griswold School District","=""0580011""","ELA","N",300,299,99.7,299,44,14.7,71,23.7,114,38.1,70,23.4,184,61.5
,,,"Y",443,426,96.2,426,170,39.9,94,22.1,105,24.6,57,13.4,162,38.0
,,"Math","N",300,299,99.7,299,63,21.1,94,31.4,79,26.4,63,21.1,142,47.5
,,,"Y",443,426,96.2,426,189,44.4,118,27.7,84,19.7,35,8.2,119,27.9
"Groton School District","=""0590011""","ELA","N",786,783,99.6,783,91,11.6,170,21.7,290,37.0,232,29.6,522,66.7
,,,"Y",1042,1027,98.6,1027,431,42.0,248,24.1,220,21.4,128,12.5,348,33.9
,,"Math","N",786,783,99.6,783,98,12.5,213,27.2,224,28.6,248,31.7,472,60.3
,,,"Y",1042,1025,98.4,1025,472,46.0,265,25.9,189,18.4,99,9.7,288,28.1
"Guilford School District","=""0600011""","ELA","N",993,991,99.8,991,33,3.3,112,11.3,363,36.6,483,48.7,846,85.4
,,,"Y",378,375,99.2,373,92,24.7,103,27.6,113,30.3,65,17.4,178,47.7
,,"Math","N",993,991,99.8,991,33,3.3,150,15.1,240,24.2,568,57.3,808,81.5
,,,"Y",378,375,99.2,373,108,29.0,104,27.9,98,26.3,63,16.9,161,43.2
"Hamden School District","=""0620011""","ELA","N",1093,1085,99.3,1085,194,17.9,232,21.4,362,33.4,297,27.4,659,60.7
,,,"Y",1335,1317,98.7,1317,713,54.1,301,22.9,227,17.2,76,5.8,303,23.0
,,"Math","N",1090,1076,98.7,1076,228,21.2,270,25.1,262,24.3,316,29.4,578,53.7
,,,"Y",1335,1304,97.7,1304,761,58.4,314,24.1,145,11.1,84,6.4,229,17.6
"Hampton School District","=""0630011""","ELA","N",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*"
,,,"Y",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*"
,,"Math","N",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*"
,,,"Y",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""","ELA","N",849,841,99.1,841,229,27.2,190,22.6,233,27.7,189,22.5,422,50.2
,,,"Y",6015,5968,99.2,5968,3884,65.1,1154,19.3,698,11.7,232,3.9,930,15.6
,,"Math","N",847,837,98.8,836,262,31.3,212,25.4,160,19.1,202,24.2,362,43.3
,,,"Y",6005,5919,98.6,5919,3889,65.7,1130,19.1,607,10.3,293,5.0,900,15.2
"Hartland School District","=""0650011""","ELA","N",55,55,100.0,55,"*","*","*","*",30,54.5,"*","*","*","*"
,,,"Y",26,26,100.0,26,"*","*","*","*",10,38.5,"*","*","*","*"
,,"Math","N",55,55,100.0,55,"*","*","*","*",19,34.5,"*","*","*","*"
,,,"Y",26,26,100.0,26,"*","*","*","*",6,23.1,"*","*","*","*"
"Hebron School District","=""0670011""","ELA","N",258,257,99.6,257,16,6.2,35,13.6,90,35.0,116,45.1,206,80.2
,,,"Y",104,104,100.0,104,40,38.5,22,21.2,20,19.2,22,21.2,42,40.4
,,"Math","N",258,257,99.6,257,12,4.7,54,21.0,75,29.2,116,45.1,191,74.3
,,,"Y",104,104,100.0,104,34,32.7,30,28.8,24,23.1,16,15.4,40,38.5
"Highville Charter School District","=""2860013""","ELA","N",46,46,100.0,46,14,30.4,15,32.6,11,23.9,6,13.0,17,37.0
,,,"Y",189,188,99.5,188,86,45.7,53,28.2,37,19.7,12,6.4,49,26.1
,,"Math","N",46,46,100.0,46,12,26.1,20,43.5,"*","*","*","*",14,30.4
,,,"Y",189,188,99.5,188,102,54.3,63,33.5,"*","*","*","*",23,12.2
"Integrated Day Charter School District","=""2640013""","ELA","N",97,97,100.0,97,12,12.4,18,18.6,36,37.1,31,32.0,67,69.1
,,,"Y",133,133,100.0,133,44,33.1,39,29.3,36,27.1,14,10.5,50,37.6
,,"Math","N",97,97,100.0,97,18,18.6,32,33.0,21,21.6,26,26.8,47,48.5
,,,"Y",133,133,100.0,133,58,43.6,41,30.8,18,13.5,16,12.0,34,25.6
"Interdistrict School for Arts and Comm District","=""2650013""","ELA","N",75,75,100.0,75,"*","*",19,25.3,34,45.3,"*","*","*","*"
,,,"Y",239,235,98.3,235,"*","*",68,28.9,76,32.3,"*","*","*","*"
,,"Math","N",75,75,100.0,75,7,9.3,28,37.3,21,28.0,19,25.3,40,53.3
,,,"Y",239,235,98.3,235,89,37.9,85,36.2,41,17.4,20,8.5,61,26.0
"Jumoke Academy District","=""2610013""","ELA","Y",322,322,100.0,322,176,54.7,81,25.2,50,15.5,15,4.7,65,20.2
,,"Math","Y",322,320,99.4,320,210,65.6,60,18.8,40,12.5,10,3.1,50,15.6
"Kent School District","=""0680011""","ELA","N",70,65,92.9,65,"*","*","*","*",27,41.5,27,41.5,54,83.1
,,,"Y",46,41,89.1,41,"*","*","*","*",9,22.0,16,39.0,25,61.0
,,"Math","N",70,65,92.9,65,"*","*","*","*",25,38.5,26,40.0,51,78.5
,,,"Y",46,41,89.1,41,"*","*","*","*",7,17.1,15,36.6,22,53.7
"Killingly School District","=""0690011""","ELA","N",384,380,99.0,380,46,12.1,102,26.8,131,34.5,101,26.6,232,61.1
,,,"Y",629,617,98.1,617,235,38.1,182,29.5,143,23.2,57,9.2,200,32.4
,,"Math","N",384,379,98.7,379,88,23.2,126,33.2,86,22.7,79,20.8,165,43.5
,,,"Y",627,612,97.6,612,307,50.2,173,28.3,94,15.4,38,6.2,132,21.6
"Learn","=""2450014""","ELA","N",53,53,100.0,53,7,13.2,13,24.5,18,34.0,15,28.3,33,62.3
,,,"Y",172,169,98.3,169,88,52.1,29,17.2,33,19.5,19,11.2,52,30.8
,,"Math","N",53,53,100.0,53,9,17.0,22,41.5,9,17.0,13,24.5,22,41.5
,,,"Y",172,168,97.7,168,96,57.1,39,23.2,15,8.9,18,10.7,33,19.6
"Lebanon School District","=""0710011""","ELA","N",216,213,98.6,213,9,4.2,33,15.5,79,37.1,92,43.2,171,80.3
,,,"Y",153,150,98.0,150,45,30.0,37,24.7,41,27.3,27,18.0,68,45.3
,,"Math","N",216,213,98.6,213,8,3.8,37,17.4,68,31.9,100,46.9,168,78.9
,,,"Y",153,148,96.7,148,46,31.1,55,37.2,25,16.9,22,14.9,47,31.8
"Ledyard School District","=""0720011""","ELA","N",638,636,99.7,636,100,15.7,139,21.9,205,32.2,192,30.2,397,62.4
,,,"Y",423,416,98.3,416,187,45.0,103,24.8,81,19.5,45,10.8,126,30.3
,,"Math","N",638,636,99.7,636,97,15.3,164,25.8,199,31.3,176,27.7,375,59.0
,,,"Y",423,416,98.3,416,190,45.7,119,28.6,72,17.3,35,8.4,107,25.7
"Lisbon School District","=""0730011""","ELA","N",130,129,99.2,129,16,12.4,36,27.9,45,34.9,32,24.8,77,59.7
,,,"Y",125,125,100.0,125,38,30.4,41,32.8,33,26.4,13,10.4,46,36.8
,,"Math","N",130,129,99.2,129,21,16.3,30,23.3,39,30.2,39,30.2,78,60.5
,,,"Y",125,125,100.0,125,44,35.2,46,36.8,24,19.2,11,8.8,35,28.0
"Madison School District","=""0760011""","ELA","N",874,870,99.5,870,12,1.4,81,9.3,313,36.0,464,53.3,777,89.3
,,,"Y",216,212,98.1,212,54,25.5,54,25.5,70,33.0,34,16.0,104,49.1
,,"Math","N",874,869,99.4,869,11,1.3,96,11.0,235,27.0,527,60.6,762,87.7
,,,"Y",216,211,97.7,211,56,26.5,49,23.2,58,27.5,48,22.7,106,50.2
"Manchester School District","=""0770011""","ELA","N",822,815,99.1,815,156,19.1,166,20.4,259,31.8,234,28.7,493,60.5
,,,"Y",1795,1779,99.1,1778,970,54.6,367,20.6,292,16.4,149,8.4,441,24.8
,,"Math","N",824,815,98.9,815,182,22.3,219,26.9,193,23.7,221,27.1,414,50.8
,,,"Y",1795,1753,97.7,1751,999,57.1,416,23.8,220,12.6,116,6.6,336,19.2
"Mansfield School District","=""0780011""","ELA","N",387,382,98.7,382,12,3.1,49,12.8,117,30.6,204,53.4,321,84.0
,,,"Y",245,243,99.2,243,88,36.2,58,23.9,59,24.3,38,15.6,97,39.9
,,"Math","N",387,381,98.4,381,12,3.1,65,17.1,105,27.6,199,52.2,304,79.8
,,,"Y",245,242,98.8,242,87,36.0,61,25.2,46,19.0,48,19.8,94,38.8
"Marlborough School District","=""0790011""","ELA","N",182,181,99.5,181,13,7.2,25,13.8,66,36.5,77,42.5,143,79.0
,,,"Y",69,67,97.1,67,21,31.3,19,28.4,17,25.4,10,14.9,27,40.3
,,"Math","N",182,181,99.5,181,10,5.5,30,16.6,61,33.7,80,44.2,141,77.9
,,,"Y",69,67,97.1,67,20,29.9,14,20.9,18,26.9,15,22.4,33,49.3
"Meriden School District","=""0800011""","ELA","N",580,576,99.3,576,39,6.8,82,14.2,212,36.8,243,42.2,455,79.0
,,,"Y",3354,3324,99.1,3322,1178,35.5,735,22.1,825,24.8,584,17.6,1409,42.4
,,"Math","N",579,574,99.1,574,55,9.6,123,21.4,135,23.5,261,45.5,396,69.0
,,,"Y",3342,3289,98.4,3288,1229,37.4,740,22.5,666,20.3,653,19.9,1319,40.1
"Middletown School District","=""0830011""","ELA","N",829,826,99.6,826,160,19.4,166,20.1,267,32.3,233,28.2,500,60.5
,,,"Y",1132,1114,98.4,1113,591,53.1,248,22.3,183,16.4,91,8.2,274,24.6
,,"Math","N",828,825,99.6,825,195,23.6,236,28.6,201,24.4,193,23.4,394,47.8
,,,"Y",1132,1116,98.6,1113,673,60.5,262,23.5,120,10.8,58,5.2,178,16.0
"Milford School District","=""0840011""","ELA","N",1243,1237,99.5,1237,80,6.5,232,18.8,493,39.9,432,34.9,925,74.8
,,,"Y",996,962,96.6,961,335,34.9,248,25.8,248,25.8,130,13.5,378,39.3
,,"Math","N",1243,1235,99.4,1235,61,4.9,248,20.1,374,30.3,552,44.7,926,75.0
,,,"Y",996,965,96.9,963,318,33.0,250,26.0,217,22.5,178,18.5,395,41.0
"Monroe School District","=""0850011""","ELA","N",1075,1065,99.1,1065,27,2.5,123,11.5,400,37.6,515,48.4,915,85.9
,,,"Y",488,480,98.4,480,137,28.5,118,24.6,145,30.2,80,16.7,225,46.9
,,"Math","N",1075,1063,98.9,1063,44,4.1,205,19.3,358,33.7,456,42.9,814,76.6
,,,"Y",488,476,97.5,476,164,34.5,151,31.7,96,20.2,65,13.7,161,33.8
"Montville School District","=""0860011""","ELA","N",463,462,99.8,462,41,8.9,114,24.7,184,39.8,123,26.6,307,66.5
,,,"Y",513,511,99.6,511,192,37.6,149,29.2,110,21.5,60,11.7,170,33.3
,,"Math","N",462,461,99.8,461,58,12.6,118,25.6,127,27.5,158,34.3,285,61.8
,,,"Y",513,510,99.4,510,205,40.2,142,27.8,91,17.8,72,14.1,163,32.0
"Naugatuck School District","=""0880011""","ELA","N",589,587,99.7,587,83,14.1,141,24.0,203,34.6,160,27.3,363,61.8
,,,"Y",1243,1231,99.0,1231,502,40.8,316,25.7,286,23.2,127,10.3,413,33.5
,,"Math","N",589,587,99.7,587,128,21.8,155,26.4,142,24.2,162,27.6,304,51.8
,,,"Y",1242,1229,99.0,1229,605,49.2,351,28.6,179,14.6,94,7.6,273,22.2
"New Beginnings Inc Family Academy District","=""2800013""","ELA","N",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*"
,,,"Y",112,112,100.0,112,"*","*","*","*","*","*","*","*","*","*"
,,"Math","N",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*"
,,,"Y",112,112,100.0,112,"*","*","*","*","*","*","*","*","*","*"
"New Britain School District","=""0890011""","ELA","N",579,578,99.8,578,212,36.7,162,28.0,123,21.3,81,14.0,204,35.3
,,,"Y",3887,3845,98.9,3844,2588,67.3,707,18.4,400,10.4,149,3.9,549,14.3
,,"Math","N",579,578,99.8,577,249,43.2,154,26.7,94,16.3,80,13.9,174,30.2
,,,"Y",3889,3830,98.5,3827,2700,70.6,670,17.5,312,8.2,145,3.8,457,11.9
"New Canaan School District","=""0900011""","ELA","N",1524,1518,99.6,1518,11,0.7,78,5.1,392,25.8,1037,68.3,1429,94.1
,,,"Y",320,318,99.4,318,59,18.6,80,25.2,103,32.4,76,23.9,179,56.3
,,"Math","N",1524,1519,99.7,1519,"*","*","*","*",301,19.8,1133,74.6,1434,94.4
,,,"Y",320,316,98.8,316,"*","*",85,26.9,93,29.4,"*","*","*","*"
"New Fairfield School District","=""0910011""","ELA","N",604,603,99.8,603,29,4.8,93,15.4,245,40.6,236,39.1,481,79.8
,,,"Y",315,313,99.4,313,99,31.6,80,25.6,82,26.2,52,16.6,134,42.8
,,"Math","N",604,602,99.7,602,21,3.5,101,16.8,190,31.6,290,48.2,480,79.7
,,,"Y",315,313,99.4,313,97,31.0,92,29.4,69,22.0,55,17.6,124,39.6
"New Hartford School District","=""0920011""","ELA","N",148,148,100.0,148,12,8.1,17,11.5,55,37.2,64,43.2,119,80.4
,,,"Y",88,87,98.9,87,27,31.0,27,31.0,22,25.3,11,12.6,33,37.9
,,"Math","N",148,148,100.0,148,9,6.1,41,27.7,53,35.8,45,30.4,98,66.2
,,,"Y",88,87,98.9,87,31,35.6,25,28.7,22,25.3,9,10.3,31,35.6
"New Haven School District","=""0930011""","ELA","N",1046,1041,99.5,1041,196,18.8,229,22.0,323,31.0,293,28.1,616,59.2
,,,"Y",6732,6652,98.8,6650,3978,59.8,1455,21.9,967,14.5,250,3.8,1217,18.3
,,"Math","N",1046,1038,99.2,1038,292,28.1,261,25.1,210,20.2,275,26.5,485,46.7
,,,"Y",6732,6638,98.6,6638,4473,67.4,1322,19.9,595,9.0,248,3.7,843,12.7
"New London School District","=""0950011""","ELA","N",141,141,100.0,141,26,18.4,30,21.3,51,36.2,34,24.1,85,60.3
,,,"Y",1147,1133,98.8,1132,699,61.7,231,20.4,151,13.3,51,4.5,202,17.8
,,"Math","N",141,141,100.0,141,41,29.1,46,32.6,27,19.1,27,19.1,54,38.3
,,,"Y",1146,1128,98.4,1126,792,70.3,230,20.4,75,6.7,29,2.6,104,9.2
"New Milford School District","=""0960011""","ELA","N",753,748,99.3,748,110,14.7,186,24.9,280,37.4,172,23.0,452,60.4
,,,"Y",777,772,99.4,771,349,45.3,198,25.7,163,21.1,61,7.9,224,29.1
,,"Math","N",753,746,99.1,746,111,14.9,257,34.5,211,28.3,167,22.4,378,50.7
,,,"Y",778,766,98.5,766,347,45.3,242,31.6,129,16.8,48,6.3,177,23.1
"Newington School District","=""0940011""","ELA","N",913,911,99.8,911,82,9.0,182,20.0,348,38.2,299,32.8,647,71.0
,,,"Y",790,782,99.0,781,289,37.0,205,26.2,193,24.7,94,12.0,287,36.7
,,"Math","N",913,908,99.5,908,93,10.2,255,28.1,237,26.1,323,35.6,560,61.7
,,,"Y",790,783,99.1,782,332,42.5,211,27.0,140,17.9,99,12.7,239,30.6
"Newtown School District","=""0970011""","ELA","N",1288,1280,99.4,1280,42,3.3,199,15.5,469,36.6,570,44.5,1039,81.2
,,,"Y",496,482,97.2,482,152,31.5,128,26.6,130,27.0,72,14.9,202,41.9
,,"Math","N",1288,1280,99.4,1280,31,2.4,192,15.0,384,30.0,673,52.6,1057,82.6
,,,"Y",496,483,97.4,483,125,25.9,155,32.1,116,24.0,87,18.0,203,42.0
"Norfolk School District","=""0980011""","ELA","N",19,19,"*",19,"*","*","*","*","*","*","*","*","*","*"
,,,"Y",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*"
,,"Math","N",19,19,"*",19,"*","*","*","*","*","*","*","*","*","*"
,,,"Y",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*"
"North Branford School District","=""0990011""","ELA","N",489,486,99.4,486,38,7.8,113,23.3,188,38.7,147,30.2,335,68.9
,,,"Y",232,228,98.3,228,67,29.4,66,28.9,59,25.9,36,15.8,95,41.7
,,"Math","N",489,486,99.4,486,42,8.6,136,28.0,144,29.6,164,33.7,308,63.4
,,,"Y",232,227,97.8,227,71,31.3,76,33.5,44,19.4,36,15.9,80,35.2
"North Canaan School District","=""1000011""","ELA","N",69,69,100.0,69,"*","*","*","*",29,42.0,25,36.2,54,78.3
,,,"Y",77,77,100.0,77,"*","*",20,26.0,23,29.9,"*","*","*","*"
,,"Math","N",69,69,100.0,69,"*","*","*","*",19,27.5,29,42.0,48,69.6
,,,"Y",77,77,100.0,77,"*","*",17,22.1,"*","*",20,26.0,"*","*"
"North Haven School District","=""1010011""","ELA","N",974,955,98.0,955,49,5.1,129,13.5,344,36.0,433,45.3,777,81.4
,,,"Y",508,487,95.9,487,134,27.5,122,25.1,140,28.7,91,18.7,231,47.4
,,"Math","N",974,954,97.9,953,65,6.8,190,19.9,241,25.3,457,48.0,698,73.2
,,,"Y",506,486,96.0,486,149,30.7,132,27.2,93,19.1,112,23.0,205,42.2
"North Stonington School District","=""1020011""","ELA","N",231,221,95.7,221,16,7.2,39,17.6,89,40.3,77,34.8,166,75.1
,,,"Y",96,84,87.5,84,23,27.4,25,29.8,20,23.8,16,19.0,36,42.9
,,"Math","N",231,221,95.7,221,11,5.0,33,14.9,71,32.1,106,48.0,177,80.1
,,,"Y",96,83,86.5,83,24,28.9,21,25.3,19,22.9,19,22.9,38,45.8
"Norwalk School District","=""1030011""","ELA","N",1538,1527,99.3,1527,138,9.0,311,20.4,558,36.5,520,34.1,1078,70.6
,,,"Y",3237,3209,99.1,3209,1431,44.6,825,25.7,693,21.6,260,8.1,953,29.7
,,"Math","N",1538,1525,99.2,1525,177,11.6,396,26.0,408,26.8,544,35.7,952,62.4
,,,"Y",3237,3201,98.9,3200,1469,45.9,946,29.6,496,15.5,289,9.0,785,24.5
"Norwich School District","=""1040011""","ELA","N",277,276,99.6,276,51,18.5,71,25.7,87,31.5,67,24.3,154,55.8
,,,"Y",1752,1733,98.9,1733,942,54.4,393,22.7,304,17.5,94,5.4,398,23.0
,,"Math","N",278,276,99.3,276,65,23.6,85,30.8,69,25.0,57,20.7,126,45.7
,,,"Y",1752,1726,98.5,1726,1054,61.1,422,24.4,172,10.0,78,4.5,250,14.5
"Odyssey Community School District","=""2630013""","ELA","N",89,88,98.9,88,9,10.2,20,22.7,27,30.7,32,36.4,59,67.0
,,,"Y",131,130,99.2,130,33,25.4,34,26.2,41,31.5,22,16.9,63,48.5
,,"Math","N",89,88,98.9,88,11,12.5,19,21.6,19,21.6,39,44.3,58,65.9
,,,"Y",131,130,99.2,130,39,30.0,35,26.9,39,30.0,17,13.1,56,43.1
"Old Saybrook School District","=""1060011""","ELA","N",247,245,99.2,245,8,3.3,21,8.6,98,40.0,118,48.2,216,88.2
,,,"Y",167,165,98.8,165,44,26.7,54,32.7,50,30.3,17,10.3,67,40.6
,,"Math","N",247,245,99.2,245,"*","*","*","*",71,29.0,120,49.0,191,78.0
,,,"Y",167,166,99.4,166,"*","*",55,33.1,36,21.7,"*","*","*","*"
"Orange School District","=""1070011""","ELA","N",508,505,99.4,505,20,4.0,70,13.9,154,30.5,261,51.7,415,82.2
,,,"Y",199,196,98.5,196,51,26.0,47,24.0,57,29.1,41,20.9,98,50.0
,,"Math","N",508,505,99.4,505,17,3.4,88,17.4,154,30.5,246,48.7,400,79.2
,,,"Y",199,197,99.0,197,47,23.9,62,31.5,52,26.4,36,18.3,88,44.7
"Oxford School District","=""1080011""","ELA","N",539,535,99.3,535,36,6.7,86,16.1,217,40.6,196,36.6,413,77.2
,,,"Y",215,212,98.6,212,51,24.1,53,25.0,66,31.1,42,19.8,108,50.9
,,"Math","N",539,534,99.1,534,46,8.6,130,24.3,166,31.1,192,36.0,358,67.0
,,,"Y",215,210,97.7,210,59,28.1,74,35.2,49,23.3,28,13.3,77,36.7
"Park City Prep Charter School District","=""2830013""","ELA","N",92,92,100.0,92,13,14.1,29,31.5,29,31.5,21,22.8,50,54.3
,,,"Y",320,320,100.0,320,115,35.9,78,24.4,82,25.6,45,14.1,127,39.7
,,"Math","N",92,90,97.8,90,27,30.0,33,36.7,18,20.0,12,13.3,30,33.3
,,,"Y",319,308,96.6,308,134,43.5,89,28.9,57,18.5,28,9.1,85,27.6
"Plainfield School District","=""1090011""","ELA","N",313,312,99.7,312,49,15.7,80,25.6,114,36.5,69,22.1,183,58.7
,,,"Y",543,528,97.2,528,194,36.7,142,26.9,134,25.4,58,11.0,192,36.4
,,"Math","N",313,312,99.7,312,47,15.1,107,34.3,90,28.8,68,21.8,158,50.6
,,,"Y",543,527,97.1,527,202,38.3,162,30.7,100,19.0,63,12.0,163,30.9
"Plainville School District","=""1100011""","ELA","N",484,480,99.2,480,32,6.7,94,19.6,199,41.5,155,32.3,354,73.8
,,,"Y",505,499,98.8,499,179,35.9,121,24.2,133,26.7,66,13.2,199,39.9
,,"Math","N",484,479,99.0,479,34,7.1,109,22.8,151,31.5,185,38.6,336,70.1
,,,"Y",505,489,96.8,489,168,34.4,135,27.6,99,20.2,87,17.8,186,38.0
"Plymouth School District","=""1110011""","ELA","N",242,241,99.6,241,39,16.2,69,28.6,74,30.7,59,24.5,133,55.2
,,,"Y",332,324,97.6,324,127,39.2,90,27.8,84,25.9,23,7.1,107,33.0
,,"Math","N",242,241,99.6,241,33,13.7,79,32.8,76,31.5,53,22.0,129,53.5
,,,"Y",333,324,97.3,323,139,43.0,98,30.3,58,18.0,28,8.7,86,26.6
"Pomfret School District","=""1120011""","ELA","N",135,134,99.3,131,"*","*","*","*",46,35.1,50,38.2,96,73.3
,,,"Y",84,84,100.0,83,"*","*","*","*",20,24.1,18,21.7,38,45.8
,,"Math","N",135,134,99.3,131,"*","*","*","*",47,35.9,64,48.9,111,84.7
,,,"Y",84,84,100.0,83,"*","*",23,27.7,23,27.7,"*","*","*","*"
"Portland School District","=""1130011""","ELA","N",334,330,98.8,330,12,3.6,44,13.3,117,35.5,157,47.6,274,83.0
,,,"Y",239,232,97.1,232,77,33.2,61,26.3,55,23.7,39,16.8,94,40.5
,,"Math","N",334,330,98.8,330,14,4.2,58,17.6,105,31.8,153,46.4,258,78.2
,,,"Y",239,229,95.8,229,85,37.1,80,34.9,38,16.6,26,11.4,64,27.9
"Preston School District","=""1140011""","ELA","N",160,160,100.0,160,15,9.4,32,20.0,68,42.5,45,28.1,113,70.6
,,,"Y",104,103,99.0,103,34,33.0,26,25.2,25,24.3,18,17.5,43,41.7
,,"Math","N",160,160,100.0,160,18,11.3,48,30.0,53,33.1,41,25.6,94,58.8
,,,"Y",104,103,99.0,103,42,40.8,32,31.1,10,9.7,19,18.4,29,28.2
"Putnam School District","=""1160011""","ELA","N",199,199,100.0,199,28,14.1,51,25.6,74,37.2,46,23.1,120,60.3
,,,"Y",349,344,98.6,344,155,45.1,87,25.3,72,20.9,30,8.7,102,29.7
,,"Math","N",199,198,99.5,198,37,18.7,73,36.9,55,27.8,33,16.7,88,44.4
,,,"Y",349,341,97.7,341,179,52.5,90,26.4,52,15.2,20,5.9,72,21.1
"Redding School District","=""1170011""","ELA","N",400,396,99.0,396,12,3.0,52,13.1,137,34.6,195,49.2,332,83.8
,,,"Y",163,162,99.4,162,41,25.3,35,21.6,51,31.5,35,21.6,86,53.1
,,"Math","N",400,396,99.0,396,8,2.0,47,11.9,100,25.3,241,60.9,341,86.1
,,,"Y",163,161,98.8,161,32,19.9,42,26.1,49,30.4,38,23.6,87,54.0
"Regional School District 01","=""2010012""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
,,"Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 04","=""2040012""","ELA","N",125,124,99.2,124,"*","*",20,16.1,53,42.7,"*","*","*","*"
,,,"Y",64,62,96.9,62,29,46.8,"*","*",22,35.5,"*","*","*","*"
,,"Math","N",125,124,99.2,124,8,6.5,27,21.8,42,33.9,47,37.9,89,71.8
,,,"Y",64,62,96.9,62,27,43.5,16,25.8,12,19.4,7,11.3,19,30.6
"Regional School District 05","=""2050012""","ELA","N",547,539,98.5,539,12,2.2,76,14.1,212,39.3,239,44.3,451,83.7
,,,"Y",210,207,98.6,207,60,29.0,56,27.1,55,26.6,36,17.4,91,44.0
,,"Math","N",547,538,98.4,538,13,2.4,89,16.5,135,25.1,301,55.9,436,81.0
,,,"Y",210,204,97.1,204,75,36.8,53,26.0,32,15.7,44,21.6,76,37.3
"Regional School District 07","=""2070012""","ELA","N",144,140,97.2,140,10,7.1,23,16.4,67,47.9,40,28.6,107,76.4
,,,"Y",81,79,97.5,79,27,34.2,16,20.3,27,34.2,9,11.4,36,45.6
,,"Math","N",144,140,97.2,140,9,6.4,35,25.0,45,32.1,51,36.4,96,68.6
,,,"Y",81,79,97.5,79,24,30.4,25,31.6,22,27.8,8,10.1,30,38.0
"Regional School District 08","=""2080012""","ELA","N",243,241,99.2,241,6,2.5,60,24.9,118,49.0,57,23.7,175,72.6
,,,"Y",107,104,97.2,104,38,36.5,30,28.8,30,28.8,6,5.8,36,34.6
,,"Math","N",243,239,98.4,239,21,8.8,58,24.3,68,28.5,92,38.5,160,66.9
,,,"Y",107,104,97.2,104,41,39.4,29,27.9,20,19.2,14,13.5,34,32.7
"Regional School District 10","=""2100012""","ELA","N",654,652,99.7,652,31,4.8,134,20.6,254,39.0,233,35.7,487,74.7
,,,"Y",319,309,96.9,309,77,24.9,93,30.1,94,30.4,45,14.6,139,45.0
,,"Math","N",654,652,99.7,652,38,5.8,145,22.2,204,31.3,265,40.6,469,71.9
,,,"Y",319,308,96.6,308,102,33.1,95,30.8,62,20.1,49,15.9,111,36.0
"Regional School District 11","=""2110012""","ELA","N",31,31,100.0,31,"*","*",7,22.6,13,41.9,"*","*","*","*"
,,,"Y",36,36,100.0,36,"*","*",13,36.1,8,22.2,"*","*","*","*"
,,"Math","N",31,31,100.0,31,12,38.7,7,22.6,"*","*","*","*",12,38.7
,,,"Y",35,35,100.0,35,20,57.1,8,22.9,"*","*","*","*",7,20.0
"Regional School District 12","=""2120012""","ELA","N",192,192,100.0,192,"*","*","*","*",56,29.2,96,50.0,152,79.2
,,,"Y",94,94,100.0,93,"*","*","*","*",28,30.1,22,23.7,50,53.8
