"Smarter Balanced Assessments, 2024-25"
"All Districts, ELA and Math, All Grades Combined, High Needs (F/R, EL or SWD)"

"",,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","Subject","High Needs (F/R, EL or SWD)","Total Number of Students","Total Number Tested","Smarter Balanced Participation Rate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%"
,,"Math","N",258,257,99.6,257,68,26.5,76,29.6,70,27.2,43,16.7,113,44.0
,,,"Y",420,416,99.0,416,246,59.1,97,23.3,46,11.1,27,6.5,73,17.5
"Bolton School District","=""0120011""","ELA","N",216,208,96.3,208,12,5.8,38,18.3,74,35.6,84,40.4,158,76.0
,,,"Y",87,81,93.1,81,29,35.8,24,29.6,19,23.5,9,11.1,28,34.6
,,"Math","N",214,205,95.8,205,10,4.9,32,15.6,51,24.9,112,54.6,163,79.5
,,,"Y",87,80,92.0,80,33,41.3,23,28.8,13,16.3,11,13.8,24,30.0
"Booker T. Washington Academy District","=""2950013""","ELA","N",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*"
,,,"Y",239,238,99.6,237,"*","*","*","*","*","*","*","*","*","*"
,,"Math","N",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*"
,,,"Y",239,236,98.7,236,"*","*","*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""","ELA","N",55,55,100.0,55,"*","*","*","*",23,41.8,17,30.9,40,72.7
,,,"Y",53,52,98.1,52,"*","*",19,36.5,11,21.2,"*","*","*","*"
,,"Math","N",55,55,100.0,55,"*","*","*","*",21,38.2,29,52.7,50,90.9
,,,"Y",53,52,98.1,52,"*","*","*","*",10,19.2,12,23.1,22,42.3
"Branford School District","=""0140011""","ELA","N",570,569,99.8,569,34,6.0,122,21.4,193,33.9,220,38.7,413,72.6
,,,"Y",561,553,98.6,552,167,30.3,166,30.1,144,26.1,75,13.6,219,39.7
,,"Math","N",570,568,99.6,568,41,7.2,144,25.4,165,29.0,218,38.4,383,67.4
,,,"Y",561,552,98.4,549,189,34.4,172,31.3,105,19.1,83,15.1,188,34.2
"Brass City Charter School District","=""2900013""","ELA","N",57,57,100.0,57,10,17.5,17,29.8,17,29.8,13,22.8,30,52.6
,,,"Y",185,185,100.0,185,53,28.6,55,29.7,52,28.1,25,13.5,77,41.6
,,"Math","N",57,57,100.0,57,16,28.1,17,29.8,11,19.3,13,22.8,24,42.1
,,,"Y",186,186,100.0,186,79,42.5,52,28.0,30,16.1,25,13.4,55,29.6
"Bridgeport School District","=""0150011""","ELA","N",584,579,99.1,579,144,24.9,152,26.3,174,30.1,109,18.8,283,48.9
,,,"Y",8064,8002,99.2,8002,4919,61.5,1567,19.6,1196,14.9,320,4.0,1516,18.9
,,"Math","N",584,579,99.1,579,198,34.2,173,29.9,125,21.6,83,14.3,208,35.9
,,,"Y",8059,7954,98.7,7952,5001,62.9,1821,22.9,782,9.8,348,4.4,1130,14.2
"Bristol School District","=""0170011""","ELA","N",1313,1302,99.2,1302,134,10.3,304,23.3,492,37.8,372,28.6,864,66.4
,,,"Y",2149,2117,98.5,2117,815,38.5,518,24.5,528,24.9,256,12.1,784,37.0
,,"Math","N",1313,1302,99.2,1302,186,14.3,348,26.7,345,26.5,423,32.5,768,59.0
,,,"Y",2146,2106,98.1,2106,942,44.7,535,25.4,375,17.8,254,12.1,629,29.9
"Brookfield School District","=""0180011""","ELA","N",760,750,98.7,750,50,6.7,147,19.6,286,38.1,267,35.6,553,73.7
,,,"Y",408,393,96.3,393,128,32.6,108,27.5,111,28.2,46,11.7,157,39.9
,,"Math","N",760,750,98.7,750,65,8.7,192,25.6,237,31.6,256,34.1,493,65.7
,,,"Y",408,392,96.1,392,148,37.8,117,29.8,81,20.7,46,11.7,127,32.4
"Brooklyn School District","=""0190011""","ELA","N",297,297,100.0,297,30,10.1,84,28.3,104,35.0,79,26.6,183,61.6
,,,"Y",247,247,100.0,247,84,34.0,80,32.4,49,19.8,34,13.8,83,33.6
,,"Math","N",297,296,99.7,296,37,12.5,71,24.0,108,36.5,80,27.0,188,63.5
,,,"Y",247,244,98.8,244,94,38.5,61,25.0,59,24.2,30,12.3,89,36.5
"Canaan School District","=""0210011""","ELA","N",23,23,100.0,23,"*","*","*","*",9,39.1,"*","*","*","*"
,,,"Y",24,24,100.0,24,"*","*","*","*",11,45.8,"*","*","*","*"
,,"Math","N",23,23,100.0,23,"*","*",8,34.8,"*","*",10,43.5,"*","*"
,,,"Y",24,24,100.0,24,"*","*",6,25.0,"*","*",7,29.2,"*","*"
"Canterbury School District","=""0220011""","ELA","N",184,181,98.4,181,23,12.7,51,28.2,78,43.1,29,16.0,107,59.1
,,,"Y",127,126,99.2,126,39,31.0,34,27.0,42,33.3,11,8.7,53,42.1
,,"Math","N",184,181,98.4,181,22,12.2,38,21.0,67,37.0,54,29.8,121,66.9
,,,"Y",127,126,99.2,126,36,28.6,42,33.3,27,21.4,21,16.7,48,38.1
"Canton School District","=""0230011""","ELA","N",426,423,99.3,423,14,3.3,76,18.0,176,41.6,157,37.1,333,78.7
,,,"Y",219,211,96.3,211,63,29.9,65,30.8,61,28.9,22,10.4,83,39.3
,,"Math","N",426,422,99.1,422,22,5.2,80,19.0,141,33.4,179,42.4,320,75.8
,,,"Y",219,211,96.3,211,73,34.6,67,31.8,42,19.9,29,13.7,71,33.6
"Capital Preparatory Harbor School District","=""2970013""","ELA","N",99,99,100.0,99,26,26.3,26,26.3,31,31.3,16,16.2,47,47.5
,,,"Y",260,260,100.0,260,104,40.0,75,28.8,56,21.5,25,9.6,81,31.2
