"Smarter Balanced Assessments, 2015-16"
"All Districts, ELA and Math, All Grades Combined, High Needs (F/R, EL or SWD)"

"",,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","Subject","High Needs (F/R, EL or SWD)","Total Number of Students","Total Number Tested","Smarter Balanced Participation Rate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%"
"Achievement First Bridgeport Academy District","=""2850013""","ELA","N",87,87,100.0,87,12,13.8,26,29.9,23,26.4,26,29.9,49,56.3
,,,"Y",454,453,99.8,453,129,28.5,126,27.8,116,25.6,82,18.1,198,43.7
,,"Math","N",87,87,100.0,87,19,21.8,24,27.6,15,17.2,29,33.3,44,50.6
,,,"Y",454,453,99.8,453,148,32.7,122,26.9,87,19.2,96,21.2,183,40.4
"Achievement First Hartford Academy District","=""2880013""","ELA","Y",592,589,99.5,589,170,28.9,155,26.3,165,28.0,99,16.8,264,44.8
,,"Math","Y",592,586,99.0,585,222,37.9,189,32.3,97,16.6,77,13.2,174,29.7
"Amistad Academy District","=""2790013""","ELA","N",83,82,98.8,82,7,8.5,15,18.3,37,45.1,23,28.0,60,73.2
,,,"Y",455,452,99.3,452,102,22.6,119,26.3,162,35.8,69,15.3,231,51.1
,,"Math","N",83,82,98.8,82,9,11.0,28,34.1,14,17.1,31,37.8,45,54.9
,,,"Y",455,451,99.1,451,110,24.4,133,29.5,125,27.7,83,18.4,208,46.1
"Andover School District","=""0010011""","ELA","N",125,124,99.2,124,"*","*","*","*",36,29.0,66,53.2,102,82.3
,,,"Y",34,32,94.1,32,"*","*",9,28.1,9,28.1,"*","*","*","*"
,,"Math","N",125,124,99.2,124,"*","*","*","*",46,37.1,52,41.9,98,79.0
,,,"Y",34,32,94.1,32,"*","*",12,37.5,8,25.0,"*","*","*","*"
"Ansonia School District","=""0020011""","ELA","N",282,280,99.3,280,59,21.1,78,27.9,92,32.9,51,18.2,143,51.1
,,,"Y",772,757,98.1,757,330,43.6,216,28.5,157,20.7,54,7.1,211,27.9
,,"Math","N",282,280,99.3,279,69,24.7,104,37.3,66,23.7,40,14.3,106,38.0
,,,"Y",772,756,97.9,756,349,46.2,263,34.8,109,14.4,35,4.6,144,19.0
"Area Cooperative Educational Services","=""2440014""","ELA","N",418,418,100.0,418,67,16.0,109,26.1,149,35.6,93,22.2,242,57.9
,,,"Y",869,857,98.6,856,413,48.2,210,24.5,182,21.3,51,6.0,233,27.2
,,"Math","N",418,418,100.0,418,108,25.8,145,34.7,103,24.6,62,14.8,165,39.5
,,,"Y",869,850,97.8,850,530,62.4,216,25.4,84,9.9,20,2.4,104,12.2
"Ashford School District","=""0030011""","ELA","N",143,143,100.0,143,9,6.3,24,16.8,56,39.2,54,37.8,110,76.9
,,,"Y",90,89,98.9,89,26,29.2,28,31.5,26,29.2,9,10.1,35,39.3
,,"Math","N",143,143,100.0,143,17,11.9,45,31.5,49,34.3,32,22.4,81,56.6
,,,"Y",90,89,98.9,89,31,34.8,26,29.2,24,27.0,8,9.0,32,36.0
"Avon School District","=""0040011""","ELA","N",1337,1335,99.9,1335,28,2.1,126,9.4,456,34.2,725,54.3,1181,88.5
,,,"Y",208,206,99.0,206,57,27.7,81,39.3,45,21.8,23,11.2,68,33.0
,,"Math","N",1340,1336,99.7,1336,36,2.7,204,15.3,393,29.4,703,52.6,1096,82.0
,,,"Y",208,205,98.6,205,79,38.5,62,30.2,47,22.9,17,8.3,64,31.2
"Barkhamsted School District","=""0050011""","ELA","N",137,131,95.6,131,"*","*",27,20.6,48,36.6,"*","*","*","*"
,,,"Y",39,38,97.4,38,"*","*",12,31.6,9,23.7,"*","*","*","*"
,,"Math","N",137,131,95.6,131,22,16.8,50,38.2,"*","*","*","*","*","*"
,,,"Y",39,38,97.4,38,21,55.3,"*","*","*","*",0,0.0,"*","*"
"Berlin School District","=""0070011""","ELA","N",1033,1031,99.8,1030,42,4.1,179,17.4,439,42.6,370,35.9,809,78.5
,,,"Y",286,282,98.6,282,93,33.0,97,34.4,68,24.1,24,8.5,92,32.6
,,"Math","N",1033,1029,99.6,1029,98,9.5,291,28.3,334,32.5,306,29.7,640,62.2
,,,"Y",286,281,98.3,279,127,45.5,94,33.7,43,15.4,15,5.4,58,20.8
"Bethany School District","=""0080011""","ELA","N",187,179,95.7,179,"*","*",35,19.6,61,34.1,"*","*","*","*"
,,,"Y",45,45,100.0,45,17,37.8,14,31.1,"*","*","*","*",14,31.1
,,"Math","N",187,179,95.7,179,"*","*",41,22.9,54,30.2,"*","*","*","*"
,,,"Y",45,45,100.0,45,"*","*",17,37.8,13,28.9,"*","*","*","*"
"Bethel School District","=""0090011""","ELA","N",923,917,99.3,917,44,4.8,130,14.2,354,38.6,389,42.4,743,81.0
,,,"Y",406,403,99.3,403,105,26.1,95,23.6,134,33.3,69,17.1,203,50.4
,,"Math","N",923,916,99.2,916,63,6.9,255,27.8,302,33.0,296,32.3,598,65.3
,,,"Y",406,402,99.0,402,122,30.3,147,36.6,89,22.1,44,10.9,133,33.1
"Bloomfield School District","=""0110011""","ELA","N",311,310,99.7,310,54,17.4,81,26.1,116,37.4,59,19.0,175,56.5
,,,"Y",456,454,99.6,454,143,31.5,114,25.1,144,31.7,53,11.7,197,43.4
,,"Math","N",311,310,99.7,310,84,27.1,123,39.7,68,21.9,35,11.3,103,33.2
,,,"Y",456,453,99.3,453,205,45.3,155,34.2,74,16.3,19,4.2,93,20.5
"Bolton School District","=""0120011""","ELA","N",267,259,97.0,259,12,4.6,22,8.5,97,37.5,128,49.4,225,86.9
,,,"Y",89,88,98.9,88,26,29.5,16,18.2,32,36.4,14,15.9,46,52.3
,,"Math","N",267,259,97.0,259,11,4.2,53,20.5,87,33.6,108,41.7,195,75.3
,,,"Y",89,88,98.9,87,32,36.8,24,27.6,22,25.3,9,10.3,31,35.6
"Bozrah School District","=""0130011""","ELA","N",88,88,100.0,88,"*","*",28,31.8,33,37.5,"*","*","*","*"
,,,"Y",46,45,97.8,44,22,50.0,12,27.3,"*","*","*","*",10,22.7
,,"Math","N",88,88,100.0,88,"*","*",41,46.6,29,33.0,"*","*","*","*"
,,,"Y",46,45,97.8,44,23,52.3,12,27.3,"*","*","*","*",9,20.5
"Branford School District","=""0140011""","ELA","N",886,876,98.9,874,54,6.2,162,18.5,323,37.0,335,38.3,658,75.3
,,,"Y",469,465,99.1,460,129,28.0,141,30.7,125,27.2,65,14.1,190,41.3
,,"Math","N",885,873,98.6,872,95,10.9,217,24.9,275,31.5,285,32.7,560,64.2
,,,"Y",468,464,99.1,460,180,39.1,131,28.5,92,20.0,57,12.4,149,32.4
"Brass City Charter School District","=""2900013""","ELA","N",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*"
,,,"Y",26,26,100.0,26,"*","*","*","*","*","*","*","*","*","*"
,,"Math","N",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*"
,,,"Y",26,26,100.0,26,"*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","ELA","Y",9373,9322,99.5,9313,4994,53.6,2224,23.9,1574,16.9,521,5.6,2095,22.5
,,"Math","Y",9369,9302,99.3,9299,6166,66.3,2217,23.8,726,7.8,190,2.0,916,9.9
"Bristol School District","=""0170011""","ELA","N",1619,1615,99.8,1615,128,7.9,319,19.8,647,40.1,521,32.3,1168,72.3
,,,"Y",1930,1920,99.5,1920,676,35.2,516,26.9,530,27.6,198,10.3,728,37.9
,,"Math","N",1619,1615,99.8,1615,196,12.1,500,31.0,530,32.8,389,24.1,919,56.9
,,,"Y",1932,1918,99.3,1918,821,42.8,656,34.2,316,16.5,125,6.5,441,23.0
"Brookfield School District","=""0180011""","ELA","N",1006,965,95.9,965,48,5.0,180,18.7,363,37.6,374,38.8,737,76.4
,,,"Y",261,230,88.1,230,86,37.4,62,27.0,52,22.6,30,13.0,82,35.7
,,"Math","N",1006,961,95.5,961,56,5.8,241,25.1,359,37.4,305,31.7,664,69.1
,,,"Y",261,229,87.7,229,79,34.5,78,34.1,46,20.1,26,11.4,72,31.4
"Brooklyn School District","=""0190011""","ELA","N",336,336,100.0,336,18,5.4,45,13.4,137,40.8,136,40.5,273,81.3
,,,"Y",185,180,97.3,180,43,23.9,52,28.9,54,30.0,31,17.2,85,47.2
,,"Math","N",336,336,100.0,336,40,11.9,130,38.7,100,29.8,66,19.6,166,49.4
,,,"Y",185,179,96.8,179,65,36.3,79,44.1,29,16.2,6,3.4,35,19.6
"Canaan School District","=""0210011""","ELA","N",42,41,97.6,41,"*","*","*","*","*","*","*","*","*","*"
,,,"Y",9,8,"*",8,"*","*","*","*","*","*","*","*","*","*"
,,"Math","N",42,40,95.2,40,"*","*","*","*","*","*","*","*","*","*"
,,,"Y",9,8,"*",8,"*","*","*","*","*","*","*","*","*","*"
"Canterbury School District","=""0220011""","ELA","N",201,199,99.0,199,24,12.1,54,27.1,75,37.7,46,23.1,121,60.8
,,,"Y",107,104,97.2,104,26,25.0,32,30.8,30,28.8,16,15.4,46,44.2
,,"Math","N",201,199,99.0,199,33,16.6,78,39.2,63,31.7,25,12.6,88,44.2
,,,"Y",107,104,97.2,104,37,35.6,38,36.5,19,18.3,10,9.6,29,27.9
"Canton School District","=""0230011""","ELA","N",630,624,99.0,624,18,2.9,86,13.8,232,37.2,288,46.2,520,83.3
,,,"Y",163,161,98.8,161,49,30.4,49,30.4,47,29.2,16,9.9,63,39.1
,,"Math","N",630,624,99.0,624,30,4.8,114,18.3,228,36.5,252,40.4,480,76.9
,,,"Y",163,161,98.8,161,63,39.1,55,34.2,28,17.4,15,9.3,43,26.7
"Capital Preparatory Harbor School District","=""2970013""","ELA","N",39,39,100.0,39,13,33.3,"*","*",11,28.2,"*","*","*","*"
,,,"Y",71,71,100.0,71,29,40.8,24,33.8,18,25.4,0,0.0,18,25.4
,,"Math","N",39,39,100.0,39,23,59.0,"*","*","*","*",0,0.0,"*","*"
,,,"Y",70,70,100.0,70,52,74.3,"*","*","*","*",0,0.0,"*","*"
"Capitol Region Education Council","=""2410014""","ELA","N",1334,1313,98.4,1313,129,9.8,269,20.5,496,37.8,419,31.9,915,69.7
,,,"Y",1785,1752,98.2,1751,696,39.7,451,25.8,453,25.9,151,8.6,604,34.5
,,"Math","N",1332,1305,98.0,1305,197,15.1,437,33.5,329,25.2,342,26.2,671,51.4
,,,"Y",1784,1733,97.1,1733,886,51.1,536,30.9,222,12.8,89,5.1,311,17.9
"Chaplin School District","=""0240011""","ELA","N",32,31,96.9,31,"*","*","*","*",10,32.3,13,41.9,23,74.2
,,,"Y",46,46,100.0,46,"*","*","*","*",14,30.4,7,15.2,21,45.7
,,"Math","N",32,31,96.9,31,6,19.4,12,38.7,"*","*","*","*",13,41.9
,,,"Y",46,45,97.8,45,22,48.9,16,35.6,"*","*","*","*",7,15.6
"Cheshire School District","=""0250011""","ELA","N",1714,1700,99.2,1700,52,3.1,197,11.6,624,36.7,827,48.6,1451,85.4
,,,"Y",339,335,98.8,335,84,25.1,106,31.6,98,29.3,47,14.0,145,43.3
,,"Math","N",1714,1699,99.1,1699,116,6.8,367,21.6,543,32.0,673,39.6,1216,71.6
,,,"Y",339,334,98.5,334,108,32.3,125,37.4,60,18.0,41,12.3,101,30.2
"Chester School District","=""0260011""","ELA","N",100,99,99.0,99,"*","*","*","*",37,37.4,50,50.5,87,87.9
,,,"Y",31,31,100.0,31,"*","*",11,35.5,9,29.0,"*","*","*","*"
,,"Math","N",100,99,99.0,99,"*","*","*","*",36,36.4,42,42.4,78,78.8
,,,"Y",31,31,100.0,31,"*","*",16,51.6,"*","*",6,19.4,"*","*"
"Clinton School District","=""0270011""","ELA","N",615,606,98.5,606,17,2.8,86,14.2,239,39.4,264,43.6,503,83.0
,,,"Y",285,282,98.9,279,81,29.0,91,32.6,74,26.5,33,11.8,107,38.4
