"Smarter Balanced Assessments, 2016-17"
"All Districts, ELA and Math, All Grades Combined, High Needs (F/R, EL or SWD)"

"",,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","Subject","High Needs (F/R, EL or SWD)","Total Number of Students","Total Number Tested","Smarter Balanced Participation Rate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%"
"Achievement First Bridgeport Academy District","=""2850013""","ELA","N",167,167,100.0,167,47,28.1,35,21.0,53,31.7,32,19.2,85,50.9
,,,"Y",369,363,98.4,363,113,31.1,76,20.9,84,23.1,90,24.8,174,47.9
,,"Math","N",167,167,100.0,167,47,28.1,46,27.5,33,19.8,41,24.6,74,44.3
,,,"Y",369,363,98.4,363,110,30.3,83,22.9,68,18.7,102,28.1,170,46.8
"Achievement First Hartford Academy District","=""2880013""","ELA","Y",616,614,99.7,614,157,25.6,141,23.0,186,30.3,130,21.2,316,51.5
,,"Math","Y",616,613,99.5,612,208,34.0,140,22.9,145,23.7,119,19.4,264,43.1
"Amistad Academy District","=""2790013""","ELA","N",129,127,98.4,127,20,15.7,29,22.8,45,35.4,33,26.0,78,61.4
,,,"Y",406,404,99.5,404,116,28.7,118,29.2,110,27.2,60,14.9,170,42.1
,,"Math","N",129,127,98.4,127,16,12.6,29,22.8,38,29.9,44,34.6,82,64.6
,,,"Y",406,404,99.5,404,98,24.3,125,30.9,112,27.7,69,17.1,181,44.8
"Andover School District","=""0010011""","ELA","N",110,110,100.0,110,"*","*",17,15.5,46,41.8,"*","*","*","*"
,,,"Y",25,24,96.0,24,"*","*",8,33.3,7,29.2,"*","*","*","*"
,,"Math","N",110,110,100.0,110,"*","*",19,17.3,43,39.1,"*","*","*","*"
,,,"Y",25,24,96.0,24,"*","*",10,41.7,7,29.2,"*","*","*","*"
"Ansonia School District","=""0020011""","ELA","N",294,286,97.3,286,53,18.5,98,34.3,92,32.2,43,15.0,135,47.2
,,,"Y",739,729,98.6,729,317,43.5,201,27.6,166,22.8,45,6.2,211,28.9
,,"Math","N",294,284,96.6,284,71,25.0,108,38.0,71,25.0,34,12.0,105,37.0
,,,"Y",739,720,97.4,720,356,49.4,231,32.1,109,15.1,24,3.3,133,18.5
"Area Cooperative Educational Services","=""2440014""","ELA","N",446,445,99.8,445,83,18.7,111,24.9,151,33.9,100,22.5,251,56.4
,,,"Y",825,811,98.3,811,365,45.0,205,25.3,194,23.9,47,5.8,241,29.7
,,"Math","N",446,445,99.8,445,122,27.4,146,32.8,99,22.2,78,17.5,177,39.8
,,,"Y",825,811,98.3,811,472,58.2,200,24.7,96,11.8,43,5.3,139,17.1
"Ashford School District","=""0030011""","ELA","N",158,157,99.4,157,14,8.9,30,19.1,57,36.3,56,35.7,113,72.0
,,,"Y",92,91,98.9,91,31,34.1,25,27.5,14,15.4,21,23.1,35,38.5
,,"Math","N",158,157,99.4,157,24,15.3,52,33.1,50,31.8,31,19.7,81,51.6
,,,"Y",92,91,98.9,91,39,42.9,26,28.6,18,19.8,8,8.8,26,28.6
"Avon School District","=""0040011""","ELA","N",1339,1338,99.9,1338,34,2.5,151,11.3,446,33.3,707,52.8,1153,86.2
,,,"Y",192,191,99.5,191,69,36.1,49,25.7,50,26.2,23,12.0,73,38.2
,,"Math","N",1338,1337,99.9,1337,47,3.5,217,16.2,375,28.0,698,52.2,1073,80.3
,,,"Y",192,191,99.5,191,69,36.1,66,34.6,39,20.4,17,8.9,56,29.3
"Barkhamsted School District","=""0050011""","ELA","N",116,113,97.4,113,"*","*",22,19.5,45,39.8,"*","*","*","*"
,,,"Y",49,44,89.8,44,"*","*",18,40.9,12,27.3,"*","*","*","*"
,,"Math","N",116,113,97.4,113,"*","*",41,36.3,35,31.0,"*","*","*","*"
,,,"Y",49,43,87.8,43,26,60.5,10,23.3,"*","*","*","*",7,16.3
"Berlin School District","=""0070011""","ELA","N",1016,1008,99.2,1008,50,5.0,200,19.8,419,41.6,339,33.6,758,75.2
,,,"Y",292,288,98.6,286,110,38.5,92,32.2,64,22.4,20,7.0,84,29.4
,,"Math","N",1016,1008,99.2,1008,63,6.3,221,21.9,335,33.2,389,38.6,724,71.8
,,,"Y",292,288,98.6,286,134,46.9,84,29.4,53,18.5,15,5.2,68,23.8
"Bethany School District","=""0080011""","ELA","N",184,179,97.3,179,"*","*",31,17.3,72,40.2,"*","*","*","*"
,,,"Y",42,42,100.0,42,16,38.1,"*","*",12,28.6,"*","*","*","*"
,,"Math","N",184,178,96.7,178,"*","*",37,20.8,67,37.6,"*","*","*","*"
,,,"Y",42,42,100.0,42,"*","*",14,33.3,14,33.3,"*","*","*","*"
"Bethel School District","=""0090011""","ELA","N",985,981,99.6,981,60,6.1,167,17.0,409,41.7,345,35.2,754,76.9
,,,"Y",396,394,99.5,394,121,30.7,107,27.2,106,26.9,60,15.2,166,42.1
,,"Math","N",984,980,99.6,980,85,8.7,263,26.8,315,32.1,317,32.3,632,64.5
,,,"Y",395,389,98.5,389,131,33.7,136,35.0,78,20.1,44,11.3,122,31.4
"Bloomfield School District","=""0110011""","ELA","N",318,316,99.4,315,70,22.2,73,23.2,118,37.5,54,17.1,172,54.6
,,,"Y",468,464,99.1,464,194,41.8,120,25.9,115,24.8,35,7.5,150,32.3
,,"Math","N",318,315,99.1,315,79,25.1,123,39.0,74,23.5,39,12.4,113,35.9
,,,"Y",468,464,99.1,462,227,49.1,140,30.3,74,16.0,21,4.5,95,20.6
"Bolton School District","=""0120011""","ELA","N",281,274,97.5,274,8,2.9,37,13.5,118,43.1,111,40.5,229,83.6
,,,"Y",90,89,98.9,89,24,27.0,25,28.1,31,34.8,9,10.1,40,44.9
,,"Math","N",281,274,97.5,274,"*","*",53,19.3,97,35.4,"*","*","*","*"
,,,"Y",90,89,98.9,89,36,40.4,31,34.8,"*","*","*","*",22,24.7
"Booker T. Washington Academy District","=""2950013""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
,,,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
,,"Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
,,,"Y","*","*","*","*",0,0.0,"*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""","ELA","N",90,90,100.0,90,15,16.7,23,25.6,"*","*","*","*",52,57.8
,,,"Y",46,44,95.7,44,23,52.3,12,27.3,"*","*","*","*",9,20.5
,,"Math","N",90,90,100.0,90,"*","*",37,41.1,25,27.8,"*","*","*","*"
,,,"Y",46,44,95.7,44,23,52.3,11,25.0,"*","*","*","*",10,22.7
"Branford School District","=""0140011""","ELA","N",859,855,99.5,855,62,7.3,177,20.7,344,40.2,272,31.8,616,72.0
,,,"Y",442,438,99.1,435,162,37.2,114,26.2,105,24.1,54,12.4,159,36.6
,,"Math","N",859,855,99.5,855,90,10.5,221,25.8,297,34.7,247,28.9,544,63.6
,,,"Y",443,438,98.9,434,163,37.6,128,29.5,88,20.3,55,12.7,143,32.9
"Brass City Charter School District","=""2900013""","ELA","N",23,23,100.0,23,"*","*","*","*","*","*",14,60.9,"*","*"
,,,"Y",53,53,100.0,53,"*","*","*","*","*","*",20,37.7,"*","*"
,,"Math","N",23,23,100.0,23,"*","*",6,26.1,"*","*",10,43.5,"*","*"
,,,"Y",53,53,100.0,53,"*","*",17,32.1,"*","*",14,26.4,"*","*"
"Bridgeport School District","=""0150011""","ELA","N",3031,3008,99.2,3008,977,32.5,891,29.6,819,27.2,321,10.7,1140,37.9
,,,"Y",6296,6246,99.2,6246,3949,63.2,1364,21.8,737,11.8,196,3.1,933,14.9
,,"Math","N",3029,3005,99.2,3004,1244,41.4,1042,34.7,515,17.1,203,6.8,718,23.9
,,,"Y",6294,6228,99.0,6227,4389,70.5,1320,21.2,413,6.6,105,1.7,518,8.3
"Bristol School District","=""0170011""","ELA","N",1679,1676,99.8,1676,150,8.9,350,20.9,668,39.9,508,30.3,1176,70.2
,,,"Y",1931,1916,99.2,1916,709,37.0,555,29.0,471,24.6,181,9.4,652,34.0
,,"Math","N",1679,1675,99.8,1675,214,12.8,517,30.9,542,32.4,402,24.0,944,56.4
,,,"Y",1929,1913,99.2,1913,856,44.7,585,30.6,329,17.2,143,7.5,472,24.7
"Brookfield School District","=""0180011""","ELA","N",1000,952,95.2,952,60,6.3,180,18.9,381,40.0,331,34.8,712,74.8
,,,"Y",288,261,90.6,261,99,37.9,76,29.1,64,24.5,22,8.4,86,33.0
,,"Math","N",1000,950,95.0,950,65,6.8,233,24.5,312,32.8,340,35.8,652,68.6
,,,"Y",287,260,90.6,260,95,36.5,75,28.8,66,25.4,24,9.2,90,34.6
"Brooklyn School District","=""0190011""","ELA","N",327,325,99.4,325,26,8.0,57,17.5,127,39.1,115,35.4,242,74.5
,,,"Y",181,180,99.4,180,54,30.0,47,26.1,54,30.0,25,13.9,79,43.9
,,"Math","N",327,325,99.4,325,37,11.4,110,33.8,108,33.2,70,21.5,178,54.8
,,,"Y",182,179,98.4,179,61,34.1,75,41.9,32,17.9,11,6.1,43,24.0
"Canaan School District","=""0210011""","ELA","N",40,39,97.5,38,"*","*","*","*","*","*","*","*","*","*"
,,,"Y",14,13,"*",13,"*","*","*","*","*","*","*","*","*","*"
,,"Math","N",40,39,97.5,39,"*","*","*","*","*","*","*","*","*","*"
,,,"Y",14,13,"*",13,"*","*","*","*","*","*","*","*","*","*"
"Canterbury School District","=""0220011""","ELA","N",196,196,100.0,196,33,16.8,47,24.0,69,35.2,47,24.0,116,59.2
,,,"Y",95,93,97.9,93,35,37.6,22,23.7,26,28.0,10,10.8,36,38.7
,,"Math","N",196,196,100.0,196,27,13.8,70,35.7,64,32.7,35,17.9,99,50.5
,,,"Y",95,93,97.9,93,38,40.9,31,33.3,18,19.4,6,6.5,24,25.8
"Canton School District","=""0230011""","ELA","N",623,619,99.4,619,28,4.5,92,14.9,246,39.7,253,40.9,499,80.6
,,,"Y",146,143,97.9,143,49,34.3,32,22.4,46,32.2,16,11.2,62,43.4
,,"Math","N",622,617,99.2,617,29,4.7,142,23.0,200,32.4,246,39.9,446,72.3
