"Smarter Balanced Assessments, 2018-19"
"All Districts, ELA and Math, All Grades Combined, High Needs (F/R, EL or SWD)"

"",,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","Subject","High Needs (F/R, EL or SWD)","Total Number of Students","Total Number Tested","Smarter Balanced Participation Rate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%"
"Achievement First Bridgeport Academy District","=""2850013""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
,,,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
,,"Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
,,,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy District","=""2880013""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
,,,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
,,"Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
,,,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","ELA","Y",523,521,99.6,521,126,24.2,107,20.5,170,32.6,118,22.6,288,55.3
,,"Math","Y",523,520,99.4,519,120,23.1,142,27.4,127,24.5,130,25.0,257,49.5
"Andover School District","=""0010011""","ELA","N",75,75,100.0,75,"*","*",11,14.7,"*","*",42,56.0,"*","*"
,,,"Y",24,24,100.0,24,"*","*",9,37.5,"*","*",8,33.3,"*","*"
,,"Math","N",75,75,100.0,75,0,0.0,22,29.3,24,32.0,29,38.7,53,70.7
,,,"Y",24,24,100.0,24,"*","*","*","*",10,41.7,7,29.2,17,70.8
"Ansonia School District","=""0020011""","ELA","N",286,284,99.3,284,49,17.3,88,31.0,90,31.7,57,20.1,147,51.8
,,,"Y",763,755,99.0,755,316,41.9,203,26.9,170,22.5,66,8.7,236,31.3
,,"Math","N",286,284,99.3,284,60,21.1,91,32.0,96,33.8,37,13.0,133,46.8
,,,"Y",763,752,98.6,752,351,46.7,224,29.8,125,16.6,52,6.9,177,23.5
"Area Cooperative Educational Services","=""2440014""","ELA","N",494,494,100.0,494,74,15.0,127,25.7,181,36.6,112,22.7,293,59.3
,,,"Y",729,710,97.4,709,356,50.2,139,19.6,171,24.1,43,6.1,214,30.2
,,"Math","N",493,492,99.8,492,104,21.1,156,31.7,123,25.0,109,22.2,232,47.2
,,,"Y",730,699,95.8,698,402,57.6,153,21.9,84,12.0,59,8.5,143,20.5
