"Student Counts by District and English Learner Status"
"All Districts"
"2021-22"

"",,"English Learner Status",,
"District","District Code","Not English Learner/Multilingual Learner","English Learner/Multilingual Learner","Total"
"Achievement First Bridgeport Academy District","=""2850013""",956,149,1105
"Achievement First Hartford Academy District","=""2880013""",1069,54,1123
"Amistad Academy District","=""2790013""",979,136,1115
"Andover School District","=""0010011""","*","*",192
"Ansonia School District","=""0020011""",2140,125,2265
"Area Cooperative Educational Services","=""2440014""",1716,103,1819
"Ashford School District","=""0030011""","*","*",381
"Avon School District","=""0040011""",3052,75,3127
"Barkhamsted School District","=""0050011""","*","*",209
"Berlin School District","=""0070011""",2571,97,2668
"Bethany School District","=""0080011""",378,11,389
"Bethel School District","=""0090011""",2989,171,3160
"Bloomfield School District","=""0110011""",1953,88,2041
"Bolton School District","=""0120011""",743,7,750
"Booker T. Washington Academy District","=""2950013""",494,25,519
"Bozrah School District","=""0130011""","*","*",169
"Branford School District","=""0140011""",2459,175,2634
"Brass City Charter School District","=""2900013""",350,10,360
"Bridgeport School District","=""0150011""",14781,4450,19231
"Bristol School District","=""0170011""",7337,419,7756
"Brookfield School District","=""0180011""",2498,103,2601
"Brooklyn School District","=""0190011""",865,13,878
"Canaan School District","=""0210011""",74,0,74
"Canterbury School District","=""0220011""","*","*",470
"Canton School District","=""0230011""",1503,9,1512
"Capital Preparatory Harbor School District","=""2970013""",733,60,793
"Capitol Region Education Council","=""2410014""",8069,682,8751
"Chaplin School District","=""0240011""",155,0,155
"Cheshire School District","=""0250011""",4098,95,4193
"Chester School District","=""0260011""","*","*",210
"Clinton School District","=""0270011""",1425,124,1549
"Colchester School District","=""0280011""",2185,36,2221
"Colebrook School District","=""0290011""",77,0,77
"Columbia School District","=""0300011""","*","*",442
"Common Ground High School District","=""2680013""",218,13,231
"Connecticut Technical Education and Career System","=""9000016""",10988,512,11500
"Cooperative Educational Services","=""2430014""",782,46,828
"Cornwall School District","=""0310011""",105,6,111
"Coventry School District","=""0320011""",1645,13,1658
"Cromwell School District","=""0330011""",1850,98,1948
"Danbury School District","=""0340011""",8097,3746,11843
"Darien School District","=""0350011""",4700,54,4754
"Deep River School District","=""0360011""","*","*",204
"Department of Mental Health and Addiction Services","=""""","*",0,"*"
"Derby School District","=""0370011""",1243,42,1285
"East Granby School District","=""0400011""",815,12,827
"East Haddam School District","=""0410011""",965,6,971
