"Student Counts by District and English Learner Status"
"All Districts"
"2012-13"

"",,"English Learner Status",,
"District","District Code","Not English Learner/Multilingual Learner","English Learner/Multilingual Learner","Total"
"Achievement First Bridgeport Academy District","=""2850013""",625,77,702
"Achievement First Hartford Academy District","=""2880013""",782,42,824
"Amistad Academy District","=""2790013""",830,74,904
"Andover School District","=""0010011""","*","*",315
"Ansonia School District","=""0020011""",2356,69,2425
"Area Cooperative Educational Services","=""2440014""",1890,42,1932
"Ashford School District","=""0030011""",433,7,440
"Avon School District","=""0040011""",3364,57,3421
"Barkhamsted School District","=""0050011""","*","*",349
"Berlin School District","=""0070011""",2914,71,2985
"Bethany School District","=""0080011""",473,0,473
"Bethel School District","=""0090011""",2907,80,2987
"Bloomfield School District","=""0110011""",2094,25,2119
"Bolton School District","=""0120011""",889,8,897
"Bozrah School District","=""0130011""","*","*",243
"Branford School District","=""0140011""",3172,110,3282
"Bridgeport School District","=""0150011""",17664,2674,20338
"Bristol School District","=""0170011""",8037,328,8365
"Brookfield School District","=""0180011""",2758,35,2793
"Brooklyn School District","=""0190011""",939,9,948
"Canaan School District","=""0210011""","*","*",75
"Canterbury School District","=""0220011""",499,0,499
"Canton School District","=""0230011""",1746,12,1758
"Capitol Region Education Council","=""2410014""",6061,197,6258
"Chaplin School District","=""0240011""","*","*",185
"Cheshire School District","=""0250011""",4642,32,4674
"Chester School District","=""0260011""",252,0,252
"Clinton School District","=""0270011""",1937,52,1989
"Colchester School District","=""0280011""",2866,27,2893
"Colebrook School District","=""0290011""",104,0,104
"Columbia School District","=""0300011""",511,0,511
"Common Ground High School District","=""2680013""","*","*",169
"Connecticut Technical Education and Career System","=""9000016""",10371,280,10651
"Cooperative Educational Services","=""2430014""",838,0,838
"Cornwall School District","=""0310011""","*","*",103
"Coventry School District","=""0320011""",1735,0,1735
"Cromwell School District","=""0330011""",1942,43,1985
"Danbury School District","=""0340011""",8844,2106,10950
"Darien School District","=""0350011""",4867,13,4880
"Deep River School District","=""0360011""",340,10,350
"Department of Mental Health and Addiction Services","=""""","*",0,"*"
"Derby School District","=""0370011""",1402,96,1498
"East Granby School District","=""0400011""",858,7,865
"East Haddam School District","=""0410011""","*","*",1257
"East Hampton School District","=""0420011""",1883,15,1898
"East Hartford School District","=""0430011""",6491,562,7053
"East Haven School District","=""0440011""",3037,204,3241
"East Lyme School District","=""0450011""",2907,32,2939
"East Windsor School District","=""0470011""",1219,57,1276
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",324,6,330
"Eastford School District","=""0390011""",169,0,169
"Easton School District","=""0460011""",1011,8,1019
"EdAdvance","=""2420014""",249,0,249
"Ellington School District","=""0480011""",2684,37,2721
"Elm City College Preparatory School District","=""2890013""",573,31,604
"Enfield School District","=""0490011""",5379,101,5480
"Essex School District","=""0500011""","*","*",530
"Explorations District","=""2720013""",73,0,73
"Fairfield School District","=""0510011""",10133,194,10327
"Farmington School District","=""0520011""",4018,53,4071
"Franklin School District","=""0530011""",204,0,204
"Glastonbury School District","=""0540011""",6530,76,6606
"Granby School District","=""0560011""",2099,13,2112
"Greenwich School District","=""0570011""",8400,471,8871
"Griswold School District","=""0580011""",1956,19,1975
"Groton School District","=""0590011""",4707,104,4811
"Guilford School District","=""0600011""",3563,34,3597
"Hamden School District","=""0620011""",5591,250,5841
"Hampton School District","=""0630011""",116,0,116
"Hartford School District","=""0640011""",18187,3778,21965
"Hartland School District","=""0650011""",215,0,215
"Hebron School District","=""0670011""","*","*",938
"Highville Charter School District","=""2860013""",341,0,341
"Integrated Day Charter School District","=""2640013""",297,33,330
"Interdistrict School for Arts and Comm District","=""2650013""",165,26,191
"Jumoke Academy District","=""2610013""",589,0,589
"Kent School District","=""0680011""","*","*",271
"Killingly School District","=""0690011""",2657,59,2716
"Learn","=""2450014""",1618,110,1728
"Lebanon School District","=""0710011""","*","*",1238
"Ledyard School District","=""0720011""",2592,24,2616
"Lisbon School District","=""0730011""","*","*",448
"Litchfield School District","=""0740011""","*","*",1040
"Madison School District","=""0760011""",3370,20,3390
"Manchester School District","=""0770011""",5947,328,6275
"Mansfield School District","=""0780011""",1277,44,1321
"Marlborough School District","=""0790011""","*","*",639
"Meriden School District","=""0800011""",7261,999,8260
"Middletown School District","=""0830011""",4786,162,4948
"Milford School District","=""0840011""",6551,119,6670
"Monroe School District","=""0850011""",3470,18,3488
"Montville School District","=""0860011""",2369,86,2455
"Naugatuck School District","=""0880011""",4305,185,4490
"New Beginnings Inc Family Academy District","=""2800013""","*","*",399
"New Britain School District","=""0890011""",8609,1713,10322
"New Canaan School District","=""0900011""",4190,33,4223
"New Fairfield School District","=""0910011""",2776,29,2805
"New Hartford School District","=""0920011""","*","*",567
"New Haven School District","=""0930011""",18560,2686,21246
"New London School District","=""0950011""",2477,630,3107
"New Milford School District","=""0960011""",4499,121,4620
"Newington School District","=""0940011""",4196,147,4343
"Newtown School District","=""0970011""",5146,13,5159
"Norfolk School District","=""0980011""",121,0,121
"North Branford School District","=""0990011""",2078,16,2094
"North Canaan School District","=""1000011""","*","*",315
"North Haven School District","=""1010011""",3483,54,3537
"North Stonington School District","=""1020011""",764,0,764
"Norwalk School District","=""1030011""",9844,1304,11148
"Norwich Free Academy District","=""9010022""",2134,130,2264
"Norwich School District","=""1040011""",3424,445,3869
"Odyssey Community School District","=""2630013""",324,0,324
"Old Saybrook School District","=""1060011""",1484,21,1505
"Orange School District","=""1070011""",1226,22,1248
"Oxford School District","=""1080011""",2074,29,2103
"Park City Prep Charter School District","=""2830013""","*","*",251
"Plainfield School District","=""1090011""",2484,23,2507
"Plainville School District","=""1100011""",2278,98,2376
"Plymouth School District","=""1110011""",1611,8,1619
"Pomfret School District","=""1120011""","*","*",476
"Portland School District","=""1130011""",1360,22,1382
