"Student Counts by District and English Learner Status"
"All Districts"
"2012-13"

"",,"English Learner Status",,
"Preston School District","=""1140011""",406,9,415
"Putnam School District","=""1160011""",1243,30,1273
"Redding School District","=""1170011""",1124,9,1133
"Regional School District 01","=""2010012""","*","*",424
"Regional School District 04","=""2040012""",986,8,994
"Regional School District 05","=""2050012""",2358,11,2369
"Regional School District 06","=""2060012""",1024,10,1034
"Regional School District 07","=""2070012""",1146,0,1146
"Regional School District 08","=""2080012""","*","*",1776
"Regional School District 09","=""2090012""","*","*",1032
"Regional School District 10","=""2100012""",2614,24,2638
"Regional School District 11","=""2110012""",290,0,290
"Regional School District 12","=""2120012""","*","*",843
"Regional School District 13","=""2130012""",1952,8,1960
"Regional School District 14","=""2140012""",1927,16,1943
"Regional School District 15","=""2150012""",4067,26,4093
"Regional School District 16","=""2160012""",2396,33,2429
"Regional School District 17","=""2170012""",2312,8,2320
"Regional School District 18","=""2180012""",1436,14,1450
"Regional School District 19","=""2190012""",1215,20,1235
"Ridgefield School District","=""1180011""",5246,50,5296
"Rocky Hill School District","=""1190011""",2380,90,2470
"Salem School District","=""1210011""","*","*",428
"Salisbury School District","=""1220011""",310,0,310
"Scotland School District","=""1230011""",127,0,127
"Seymour School District","=""1240011""",2232,62,2294
"Sharon School District","=""1250011""",188,0,188
"Shelton School District","=""1260011""",4932,198,5130
"Sherman School District","=""1270011""","*","*",384
"Side By Side Charter School District","=""2700013""",220,13,233
"Simsbury School District","=""1280011""",4503,50,4553
"Somers School District","=""1290011""",1579,7,1586
"South Windsor School District","=""1320011""",4224,97,4321
"Southington School District","=""1310011""",6617,123,6740
"Sprague School District","=""1330011""","*","*",373
"Stafford School District","=""1340011""",1716,11,1727
"Stamford Academy District","=""2820013""",138,0,138
"Stamford School District","=""1350011""",13825,2009,15834
"Sterling School District","=""1360011""",502,0,502
"Stonington School District","=""1370011""",2356,13,2369
"Stratford School District","=""1380011""",6957,282,7239
"Suffield School District","=""1390011""",2445,12,2457
"The Bridge Academy District","=""2690013""","*","*",276
"The Gilbert School District","=""9020022""",488,17,505
"The Woodstock Academy District","=""9030022""","*","*",1055
"Thomaston School District","=""1400011""","*","*",1017
"Thompson School District","=""1410011""",1167,0,1167
"Tolland School District","=""1420011""",2836,21,2857
"Torrington School District","=""1430011""",4131,315,4446
"Trailblazers Academy District","=""2780013""",168,0,168
"Trumbull School District","=""1440011""",6825,112,6937
"Unified School District #1","=""3360015""",641,0,641
"Unified School District #2","=""3470015""","*","*",227
"Union School District","=""1450011""","*",0,"*"
"Vernon School District","=""1460011""",3408,69,3477
"Voluntown School District","=""1470011""",321,0,321
"Wallingford School District","=""1480011""",6022,270,6292
"Waterbury School District","=""1510011""",16424,2061,18485
"Waterford School District","=""1520011""",2607,35,2642
"Watertown School District","=""1530011""",2960,76,3036
"West Hartford School District","=""1550011""",9560,518,10078
"West Haven School District","=""1560011""",5414,665,6079
"Westbrook School District","=""1540011""",853,24,877
"Weston School District","=""1570011""",2420,8,2428
"Westport School District","=""1580011""",5760,58,5818
"Wethersfield School District","=""1590011""",3539,164,3703
"Willington School District","=""1600011""","*","*",480
"Wilton School District","=""1610011""",4286,26,4312
"Winchester School District","=""1620011""",680,18,698
"Windham School District","=""1630011""",2448,775,3223
"Windsor Locks School District","=""1650011""",1707,54,1761
"Windsor School District","=""1640011""",3295,120,3415
"Wolcott School District","=""1660011""",2545,35,2580
"Woodbridge School District","=""1670011""",730,15,745
"Woodstock School District","=""1690011""","*","*",897
"Total","=""""",523645,31159,554804

