"Student Counts by District and English Learner Status"
"All Districts"
"2018-19"

"",,"English Learner Status",,
"District","District Code","Not English Learner/Multilingual Learner","English Learner/Multilingual Learner","Total"
"Achievement First Bridgeport Academy District","=""2850013""",962,131,1093
"Achievement First Hartford Academy District","=""2880013""",1060,52,1112
"Amistad Academy District","=""2790013""",965,118,1083
"Andover School District","=""0010011""","*","*",191
"Ansonia School District","=""0020011""",2220,104,2324
"Area Cooperative Educational Services","=""2440014""",1784,90,1874
"Ashford School District","=""0030011""",401,9,410
"Avon School District","=""0040011""",3042,110,3152
"Barkhamsted School District","=""0050011""","*","*",227
"Berlin School District","=""0070011""",2722,81,2803
"Bethany School District","=""0080011""",357,9,366
"Bethel School District","=""0090011""",2925,187,3112
"Bloomfield School District","=""0110011""",2122,62,2184
"Bolton School District","=""0120011""",779,7,786
"Booker T. Washington Academy District","=""2950013""",333,27,360
"Bozrah School District","=""0130011""","*","*",203
"Branford School District","=""0140011""",2739,121,2860
"Brass City Charter School District","=""2900013""",265,22,287
"Bridgeport School District","=""0150011""",16942,3630,20572
"Bristol School District","=""0170011""",7587,369,7956
"Brookfield School District","=""0180011""",2518,112,2630
"Brooklyn School District","=""0190011""",911,11,922
"Canaan School District","=""0210011""","*","*",63
"Canterbury School District","=""0220011""",471,0,471
"Canton School District","=""0230011""",1551,9,1560
"Capital Preparatory Harbor School District","=""2970013""","*","*",634
"Capitol Region Education Council","=""2410014""",8094,578,8672
"Chaplin School District","=""0240011""","*","*",156
"Cheshire School District","=""0250011""",4234,50,4284
"Chester School District","=""0260011""","*","*",194
"Clinton School District","=""0270011""",1640,104,1744
"Colchester School District","=""0280011""",2309,12,2321
"Colebrook School District","=""0290011""",84,0,84
"Columbia School District","=""0300011""","*","*",437
"Common Ground High School District","=""2680013""",204,12,216
"Connecticut Technical Education and Career System","=""9000016""",10242,405,10647
"Cooperative Educational Services","=""2430014""",807,32,839
"Cornwall School District","=""0310011""","*","*",91
"Coventry School District","=""0320011""",1638,11,1649
"Cromwell School District","=""0330011""",1868,78,1946
"Danbury School District","=""0340011""",8510,3021,11531
"Darien School District","=""0350011""",4723,46,4769
"Deep River School District","=""0360011""",233,9,242
"Department of Mental Health and Addiction Services","=""""","*",0,"*"
"Derby School District","=""0370011""",1268,40,1308
"East Granby School District","=""0400011""",845,10,855
"East Haddam School District","=""0410011""",1009,0,1009
"East Hampton School District","=""0420011""",1861,8,1869
"East Hartford School District","=""0430011""",6047,789,6836
"East Haven School District","=""0440011""",2648,248,2896
"East Lyme School District","=""0450011""",2667,32,2699
"East Windsor School District","=""0470011""",1058,49,1107
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",421,8,429
"Eastford School District","=""0390011""",166,0,166
"Easton School District","=""0460011""",887,14,901
"EdAdvance","=""2420014""",278,0,278
"Ellington School District","=""0480011""",2680,55,2735
"Elm City College Preparatory School District","=""2890013""",715,41,756
"Elm City Montessori School District","=""2910013""","*","*",199
"Enfield School District","=""0490011""",4993,107,5100
"Essex School District","=""0500011""",326,9,335
"Explorations District","=""2720013""",88,0,88
"Fairfield School District","=""0510011""",9589,261,9850
"Farmington School District","=""0520011""",3940,154,4094
"Franklin School District","=""0530011""",154,0,154
"Glastonbury School District","=""0540011""",5773,125,5898
"Granby School District","=""0560011""","*","*",1877
"Great Oaks Charter School District","=""2940013""",405,60,465
"Greenwich School District","=""0570011""",8675,424,9099
"Griswold School District","=""0580011""",1756,20,1776
"Groton School District","=""0590011""",4199,125,4324
"Guilford School District","=""0600011""",3246,65,3311
"Hamden School District","=""0620011""",5069,343,5412
"Hampton School District","=""0630011""",93,0,93
"Hartford School District","=""0640011""",15656,4111,19767
"Hartland School District","=""0650011""","*","*",162
"Hebron School District","=""0670011""","*","*",664
"Highville Charter School District","=""2860013""",502,0,502
"Integrated Day Charter School District","=""2640013""",306,31,337
"Interdistrict School for Arts and Comm District","=""2650013""",249,29,278
"Jumoke Academy District","=""2610013""",717,0,717
"Kent School District","=""0680011""","*","*",213
"Killingly School District","=""0690011""",2461,40,2501
"Learn","=""2450014""",2270,239,2509
"Lebanon School District","=""0710011""",996,9,1005
"Ledyard School District","=""0720011""",2399,32,2431
"Lisbon School District","=""0730011""",402,6,408
"Litchfield School District","=""0740011""","*","*",895
"Madison School District","=""0760011""",2700,37,2737
"Manchester School District","=""0770011""",5858,393,6251
"Mansfield School District","=""0780011""",1095,50,1145
"Marlborough School District","=""0790011""",443,6,449
"Meriden School District","=""0800011""",6686,1287,7973
"Middletown School District","=""0830011""",4460,180,4640
"Milford School District","=""0840011""",5473,162,5635
"Monroe School District","=""0850011""",3089,29,3118
"Montville School District","=""0860011""",1993,84,2077
"Naugatuck School District","=""0880011""",4057,263,4320
"New Beginnings Inc Family Academy District","=""2800013""","*","*",482
"New Britain School District","=""0890011""",8574,1605,10179
"New Canaan School District","=""0900011""",4127,46,4173
"New Fairfield School District","=""0910011""",2182,64,2246
"New Hartford School District","=""0920011""","*","*",446
"New Haven School District","=""0930011""",17730,3534,21264
"New London School District","=""0950011""",2785,770,3555
"New Milford School District","=""0960011""",3837,154,3991
"Newington School District","=""0940011""",3829,222,4051
"Newtown School District","=""0970011""",4282,24,4306
"Norfolk School District","=""0980011""","*","*",96
"North Branford School District","=""0990011""",1725,16,1741
"North Canaan School District","=""1000011""",248,7,255
"North Haven School District","=""1010011""",3082,83,3165
"North Stonington School District","=""1020011""",727,0,727
"Norwalk School District","=""1030011""",9700,1801,11501
"Norwich Free Academy District","=""9010022""",2068,188,2256
"Norwich School District","=""1040011""",2989,632,3621
"Odyssey Community School District","=""2630013""",293,36,329
"Old Saybrook School District","=""1060011""",1160,59,1219
"Orange School District","=""1070011""",1117,64,1181
"Oxford School District","=""1080011""",1764,35,1799
