"Student Counts by District and English Learner Status"
"All Districts"
"2022-23"

"",,"English Learner Status",,
"District","District Code","Not English Learner/Multilingual Learner","English Learner/Multilingual Learner","Total"
"Achievement First Bridgeport Academy District","=""2850013""",935,149,1084
"Achievement First Hartford Academy District","=""2880013""",986,55,1041
"Amistad Academy District","=""2790013""",969,147,1116
"Andover School District","=""0010011""",190,7,197
"Ansonia School District","=""0020011""",2179,153,2332
"Area Cooperative Educational Services","=""2440014""",1654,86,1740
"Ashford School District","=""0030011""","*","*",368
"Avon School District","=""0040011""",3018,88,3106
"Barkhamsted School District","=""0050011""","*","*",209
"Berlin School District","=""0070011""",2577,105,2682
"Bethany School District","=""0080011""",395,34,429
"Bethel School District","=""0090011""",3038,185,3223
"Bloomfield School District","=""0110011""",1957,98,2055
"Bolton School District","=""0120011""",727,7,734
"Booker T. Washington Academy District","=""2950013""",426,18,444
"Bozrah School District","=""0130011""","*","*",170
"Branford School District","=""0140011""",2461,190,2651
"Brass City Charter School District","=""2900013""",348,12,360
"Bridgeport School District","=""0150011""",14254,5083,19337
"Bristol School District","=""0170011""",7316,468,7784
"Brookfield School District","=""0180011""",2464,99,2563
"Brooklyn School District","=""0190011""",889,14,903
"Canaan School District","=""0210011""","*","*",72
"Canterbury School District","=""0220011""","*","*",474
"Canton School District","=""0230011""",1515,13,1528
"Capital Preparatory Harbor School District","=""2970013""",702,70,772
"Capitol Region Education Council","=""2410014""",8164,778,8942
"Chaplin School District","=""0240011""",144,0,144
"Cheshire School District","=""0250011""",4084,124,4208
"Chester School District","=""0260011""","*","*",222
"Clinton School District","=""0270011""",1371,126,1497
"Colchester School District","=""0280011""",2196,39,2235
"Colebrook School District","=""0290011""",72,0,72
"Columbia School District","=""0300011""","*","*",464
"Common Ground High School District","=""2680013""",213,13,226
"Connecticut Technical Education and Career System","=""9000016""",10679,504,11183
"Cooperative Educational Services","=""2430014""",781,41,822
"Cornwall School District","=""0310011""","*","*",94
"Coventry School District","=""0320011""",1640,17,1657
"Cromwell School District","=""0330011""",1843,104,1947
"Danbury School District","=""0340011""",7935,4174,12109
"Darien School District","=""0350011""",4638,62,4700
"Deep River School District","=""0360011""",184,8,192
"Department of Mental Health and Addiction Services","=""""","*",0,"*"
"Derby School District","=""0370011""",1262,55,1317
"East Granby School District","=""0400011""",848,16,864
"East Haddam School District","=""0410011""",980,10,990
"East Hampton School District","=""0420011""",1762,8,1770
"East Hartford School District","=""0430011""",5335,1057,6392
"East Haven School District","=""0440011""",2540,345,2885
"East Lyme School District","=""0450011""",2514,103,2617
"East Windsor School District","=""0470011""",961,69,1030
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",397,7,404
"Eastford School District","=""0390011""","*","*",154
"Easton School District","=""0460011""",877,26,903
"EdAdvance","=""2420014""","*","*",277
"Ellington School District","=""0480011""",2536,50,2586
"Elm City College Preparatory School District","=""2890013""",710,73,783
"Elm City Montessori School District","=""2910013""",291,7,298
"Enfield School District","=""0490011""",4758,155,4913
"Essex School District","=""0500011""",289,12,301
"Explorations District","=""2720013""","*","*",93
"Fairfield School District","=""0510011""",9113,266,9379
"Farmington School District","=""0520011""",3951,196,4147
"Franklin School District","=""0530011""",187,0,187
"Glastonbury School District","=""0540011""",5474,189,5663
"Goodwin University Educational Services (GUES)","=""2310018""",989,151,1140
"Granby School District","=""0560011""",1724,14,1738
"Great Oaks Charter School District","=""2940013""",579,85,664
"Greenwich School District","=""0570011""",8153,407,8560
"Griswold School District","=""0580011""",1701,24,1725
"Groton School District","=""0590011""",3945,159,4104
"Guilford School District","=""0600011""",3108,47,3155
"Hamden School District","=""0620011""",5086,382,5468
"Hampton School District","=""0630011""",67,0,67
"Hartford School District","=""0640011""",12769,4005,16774
"Hartland School District","=""0650011""","*","*",116
"Hebron School District","=""0670011""",690,6,696
"Highville Charter School District","=""2860013""","*","*",505
"Integrated Day Charter School District","=""2640013""",339,22,361
"Interdistrict School for Arts and Comm District","=""2650013""",222,59,281
"Jumoke Academy District","=""2610013""",621,8,629
"Kent School District","=""0680011""","*","*",194
"Killingly School District","=""0690011""",2393,57,2450
"Learn","=""2450014""",1300,110,1410
"Lebanon School District","=""0710011""",948,10,958
"Ledyard School District","=""0720011""",2383,38,2421
"Lisbon School District","=""0730011""",430,7,437
"Litchfield School District","=""0740011""",804,9,813
"Madison School District","=""0760011""",2407,37,2444
"Manchester School District","=""0770011""",5681,511,6192
"Mansfield School District","=""0780011""",960,67,1027
"Marlborough School District","=""0790011""","*","*",456
"Meriden School District","=""0800011""",7123,1507,8630
"Middletown School District","=""0830011""",4204,210,4414
"Milford School District","=""0840011""",5257,125,5382
"Monroe School District","=""0850011""",3334,64,3398
"Montville School District","=""0860011""",1923,94,2017
"Naugatuck School District","=""0880011""",3870,467,4337
"New Beginnings Inc Family Academy District","=""2800013""",353,53,406
"New Britain School District","=""0890011""",7951,1766,9717
"New Canaan School District","=""0900011""",4132,36,4168
"New Fairfield School District","=""0910011""",2061,82,2143
"New Hartford School District","=""0920011""",437,6,443
"New Haven School District","=""0930011""",15222,3928,19150
"New London School District","=""0950011""",2090,858,2948
"New Milford School District","=""0960011""",3422,261,3683
"Newington School District","=""0940011""",3592,345,3937
"Newtown School District","=""0970011""",3946,57,4003
"Norfolk School District","=""0980011""","*","*",66
"North Branford School District","=""0990011""",1510,28,1538
"North Canaan School District","=""1000011""",225,13,238
"North Haven School District","=""1010011""",3027,160,3187
"North Stonington School District","=""1020011""",759,0,759
"Norwalk School District","=""1030011""",9251,2263,11514
"Norwich Free Academy District","=""9010022""",1883,223,2106
"Norwich School District","=""1040011""",2652,696,3348
"Odyssey Community School District","=""2630013""",332,42,374
"Old Saybrook School District","=""1060011""",983,87,1070
"Orange School District","=""1070011""",1206,75,1281
"Oxford School District","=""1080011""",1689,28,1717
"Park City Prep Charter School District","=""2830013""",325,58,383
"Plainfield School District","=""1090011""",1912,32,1944
"Plainville School District","=""1100011""",2121,170,2291
"Plymouth School District","=""1110011""",1270,36,1306
"Pomfret School District","=""1120011""",364,6,370
"Portland School District","=""1130011""",1192,48,1240
"Preston School District","=""1140011""",434,6,440
"Putnam School District","=""1160011""",1133,52,1185
"Redding School District","=""1170011""",818,14,832
"Regional School District 01","=""2010012""",318,8,326
"Regional School District 04","=""2040012""",740,11,751
"Regional School District 05","=""2050012""",2057,18,2075
"Regional School District 06","=""2060012""",842,11,853
"Regional School District 07","=""2070012""","*","*",890
"Regional School District 08","=""2080012""","*","*",1206
"Regional School District 09","=""2090012""","*","*",779
"Regional School District 10","=""2100012""",2114,33,2147
"Regional School District 11","=""2110012""",225,0,225
"Regional School District 12","=""2120012""",795,9,804
"Regional School District 13","=""2130012""",1343,22,1365
"Regional School District 14","=""2140012""",1589,28,1617
"Regional School District 15","=""2150012""",3407,62,3469
"Regional School District 16","=""2160012""",1914,44,1958
"Regional School District 17","=""2170012""",1802,12,1814
"Regional School District 18","=""2180012""",1259,29,1288
"Regional School District 19","=""2190012""",1111,15,1126
"Ridgefield School District","=""1180011""",4484,84,4568
"Rocky Hill School District","=""1190011""",2333,217,2550
"Salem School District","=""1210011""","*","*",401
"Salisbury School District","=""1220011""",289,7,296
"Scotland School District","=""1230011""","*","*",97
"Seymour School District","=""1240011""",1997,136,2133
"Sharon School District","=""1250011""","*","*",97
"Shelton School District","=""1260011""",4175,337,4512
"Sherman School District","=""1270011""","*","*",265
"Side By Side Charter School District","=""2700013""",196,40,236
"Simsbury School District","=""1280011""",4045,80,4125
"Somers School District","=""1290011""",1332,13,1345
"South Windsor School District","=""1320011""",4449,428,4877
"Southington School District","=""1310011""",6111,173,6284
"Sprague School District","=""1330011""",268,8,276
"Stafford School District","=""1340011""",1387,14,1401
"Stamford Charter School for Excellence District","=""2960013""",514,47,561
"Stamford School District","=""1350011""",13616,2542,16158
"Sterling School District","=""1360011""","*","*",323
"Stonington School District","=""1370011""",1788,12,1800
"Stratford School District","=""1380011""",6180,582,6762
"Suffield School District","=""1390011""",1972,69,2041
"The Bridge Academy District","=""2690013""",271,9,280
