"Student Counts by District and English Learner Status"
"All Districts"
"2022-23"

"",,"English Learner Status",,
"The Gilbert School District","=""9020022""",395,15,410
"The Woodstock Academy District","=""9030022""","*","*",1041
"Thomaston School District","=""1400011""",802,18,820
"Thompson School District","=""1410011""","*","*",927
"Tolland School District","=""1420011""",2256,46,2302
"Torrington School District","=""1430011""",3384,499,3883
"Trumbull School District","=""1440011""",6617,303,6920
"Unified School District #1","=""3360015""",118,6,124
"Unified School District #2","=""3470015""","*","*",72
"Union School District","=""1450011""","*",0,"*"
"Vernon School District","=""1460011""",3029,119,3148
"Voluntown School District","=""1470011""",250,0,250
"Wallingford School District","=""1480011""",4968,367,5335
"Waterbury School District","=""1510011""",15308,3393,18701
"Waterford School District","=""1520011""",2236,102,2338
"Watertown School District","=""1530011""",2464,134,2598
"West Hartford School District","=""1550011""",8526,705,9231
"West Haven School District","=""1560011""",4830,1146,5976
"Westbrook School District","=""1540011""",538,79,617
"Weston School District","=""1570011""",2175,22,2197
"Westport School District","=""1580011""",5321,66,5387
"Wethersfield School District","=""1590011""",3286,360,3646
"Willington School District","=""1600011""",391,7,398
"Wilton School District","=""1610011""",3738,50,3788
"Winchester School District","=""1620011""",584,22,606
"Windham School District","=""1630011""",2206,1018,3224
"Windsor Locks School District","=""1650011""",1443,106,1549
"Windsor School District","=""1640011""",3223,114,3337
"Wolcott School District","=""1660011""",2045,94,2139
"Woodbridge School District","=""1670011""",813,35,848
"Woodstock School District","=""1690011""",761,13,774
"Total","=""""",463680,49833,513513

