"Student Counts by District and English Learner Status"
"All Districts"
"2019-20"

"",,"English Learner Status",,
"Mansfield School District","=""0780011""",1081,52,1133
"Marlborough School District","=""0790011""",442,6,448
"Meriden School District","=""0800011""",6791,1372,8163
"Middletown School District","=""0830011""",4441,179,4620
"Milford School District","=""0840011""",5464,157,5621
"Monroe School District","=""0850011""",3103,33,3136
"Montville School District","=""0860011""",1969,95,2064
"Naugatuck School District","=""0880011""",4060,312,4372
"New Beginnings Inc Family Academy District","=""2800013""",496,9,505
"New Britain School District","=""0890011""",8379,1714,10093
"New Canaan School District","=""0900011""",4173,48,4221
"New Fairfield School District","=""0910011""",2103,83,2186
"New Hartford School District","=""0920011""",431,6,437
"New Haven School District","=""0930011""",17091,3584,20675
"New London School District","=""0950011""",2697,743,3440
"New Milford School District","=""0960011""",3758,190,3948
"Newington School District","=""0940011""",3771,244,4015
"Newtown School District","=""0970011""",4171,17,4188
"Norfolk School District","=""0980011""","*","*",74
"North Branford School District","=""0990011""",1684,16,1700
"North Canaan School District","=""1000011""",244,9,253
"North Haven School District","=""1010011""",3081,100,3181
"North Stonington School District","=""1020011""",747,0,747
"Norwalk School District","=""1030011""",9669,2047,11716
"Norwich Free Academy District","=""9010022""",2054,212,2266
"Norwich School District","=""1040011""",2947,641,3588
"Odyssey Community School District","=""2630013""",278,51,329
"Old Saybrook School District","=""1060011""",1127,68,1195
"Orange School District","=""1070011""",1165,71,1236
"Oxford School District","=""1080011""",1673,49,1722
"Park City Prep Charter School District","=""2830013""",334,27,361
"Plainfield School District","=""1090011""",2145,35,2180
"Plainville School District","=""1100011""",2191,165,2356
"Plymouth School District","=""1110011""",1348,20,1368
"Pomfret School District","=""1120011""",385,0,385
"Portland School District","=""1130011""",1267,43,1310
"Preston School District","=""1140011""",426,12,438
"Putnam School District","=""1160011""",1128,47,1175
"Redding School District","=""1170011""",824,12,836
"Regional School District 01","=""2010012""",356,6,362
"Regional School District 04","=""2040012""",847,11,858
"Regional School District 05","=""2050012""",2170,15,2185
"Regional School District 06","=""2060012""",904,13,917
"Regional School District 07","=""2070012""","*","*",1036
"Regional School District 08","=""2080012""",1406,6,1412
"Regional School District 09","=""2090012""","*","*",867
"Regional School District 10","=""2100012""",2208,34,2242
"Regional School District 11","=""2110012""","*","*",207
"Regional School District 12","=""2120012""",699,7,706
"Regional School District 13","=""2130012""",1504,13,1517
"Regional School District 14","=""2140012""",1574,18,1592
"Regional School District 15","=""2150012""",3634,43,3677
"Regional School District 16","=""2160012""",2057,27,2084
"Regional School District 17","=""2170012""",1939,19,1958
"Regional School District 18","=""2180012""",1260,30,1290
"Regional School District 19","=""2190012""",1094,8,1102
"Ridgefield School District","=""1180011""",4651,56,4707
"Rocky Hill School District","=""1190011""",2486,215,2701
"Salem School District","=""1210011""","*","*",422
"Salisbury School District","=""1220011""",273,11,284
"Scotland School District","=""1230011""",106,0,106
"Seymour School District","=""1240011""",2096,83,2179
"Sharon School District","=""1250011""","*","*",103
"Shelton School District","=""1260011""",4416,258,4674
"Sherman School District","=""1270011""","*","*",275
"Side By Side Charter School District","=""2700013""",213,23,236
"Simsbury School District","=""1280011""",4028,63,4091
"Somers School District","=""1290011""",1345,8,1353
"South Windsor School District","=""1320011""",4253,301,4554
"Southington School District","=""1310011""",6211,125,6336
"Sprague School District","=""1330011""",272,8,280
"Stafford School District","=""1340011""","*","*",1459
"Stamford Academy District","=""2820013""",133,14,147
"Stamford Charter School for Excellence District","=""2960013""",346,49,395
"Stamford School District","=""1350011""",14208,2392,16600
"Sterling School District","=""1360011""",365,0,365
"Stonington School District","=""1370011""",1968,13,1981
"Stratford School District","=""1380011""",6412,450,6862
"Suffield School District","=""1390011""",2084,43,2127
"The Bridge Academy District","=""2690013""",269,12,281
"The Gilbert School District","=""9020022""",454,13,467
"The Woodstock Academy District","=""9030022""",1107,0,1107
"Thomaston School District","=""1400011""",844,13,857
"Thompson School District","=""1410011""","*","*",995
"Tolland School District","=""1420011""",2341,13,2354
"Torrington School District","=""1430011""",3472,385,3857
"Trumbull School District","=""1440011""",6565,243,6808
"Unified School District #1","=""3360015""","*","*",158
"Unified School District #2","=""3470015""","*","*",95
"Union School District","=""1450011""",46,0,46
"Vernon School District","=""1460011""",3034,117,3151
"Voluntown School District","=""1470011""",264,0,264
"Wallingford School District","=""1480011""",5357,336,5693
"Waterbury School District","=""1510011""",15888,2919,18807
"Waterford School District","=""1520011""",2394,75,2469
"Watertown School District","=""1530011""",2601,123,2724
"West Hartford School District","=""1550011""",8875,627,9502
"West Haven School District","=""1560011""",4997,868,5865
"Westbrook School District","=""1540011""",580,89,669
"Weston School District","=""1570011""",2272,18,2290
"Westport School District","=""1580011""",5273,71,5344
"Wethersfield School District","=""1590011""",3261,349,3610
"Willington School District","=""1600011""",432,7,439
"Wilton School District","=""1610011""",3840,30,3870
"Winchester School District","=""1620011""",552,23,575
"Windham School District","=""1630011""",2394,951,3345
"Windsor Locks School District","=""1650011""",1499,100,1599
"Windsor School District","=""1640011""",3218,127,3345
"Wolcott School District","=""1660011""",2125,71,2196
"Woodbridge School District","=""1670011""",817,24,841
"Woodstock School District","=""1690011""","*","*",824
"Total","=""""",484261,43568,527829

