"Student Counts by District and English Learner Status"
"All Districts"
"2009-10"

"",,"English Learner Status",,
"District","District Code","Not English Learner/Multilingual Learner","English Learner/Multilingual Learner","Total"
"Achievement First Bridgeport Academy District","=""2850013""",223,15,238
"Achievement First Hartford Academy District","=""2880013""",419,21,440
"Amistad Academy District","=""2790013""",656,88,744
"Andover School District","=""0010011""","*","*",336
"Ansonia School District","=""0020011""",2659,79,2738
"Area Cooperative Educational Services","=""2440014""",2031,45,2076
"Ashford School District","=""0030011""",468,10,478
"Avon School District","=""0040011""",3549,49,3598
"Barkhamsted School District","=""0050011""","*","*",367
"Berlin School District","=""0070011""",3107,62,3169
"Bethany School District","=""0080011""",516,0,516
"Bethel School District","=""0090011""",2958,95,3053
"Bloomfield School District","=""0110011""",2281,17,2298
"Bolton School District","=""0120011""","*","*",888
"Bozrah School District","=""0130011""",258,0,258
"Branford School District","=""0140011""",3437,97,3534
"Bridgeport School District","=""0150011""",17646,2661,20307
"Bristol School District","=""0170011""",8508,245,8753
"Brookfield School District","=""0180011""",2873,33,2906
"Brooklyn School District","=""0190011""",972,0,972
"Canaan School District","=""0210011""",95,0,95
"Canterbury School District","=""0220011""","*","*",556
"Canton School District","=""0230011""",1762,13,1775
"Capitol Region Education Council","=""2410014""",3807,141,3948
"Chaplin School District","=""0240011""",173,0,173
"Charter School for Young Children on Asylum Hill District","=""2870013""","*","*",185
"Cheshire School District","=""0250011""",4944,27,4971
"Chester School District","=""0260011""","*","*",299
"Clinton School District","=""0270011""",1993,42,2035
"Colchester School District","=""0280011""",3199,29,3228
"Colebrook School District","=""0290011""",119,0,119
"Columbia School District","=""0300011""","*","*",560
"Common Ground High School District","=""2680013""",153,7,160
"Connecticut Technical Education and Career System","=""9000016""",10182,287,10469
"Cooperative Educational Services","=""2430014""",778,0,778
"Cornwall School District","=""0310011""",122,0,122
"Coventry School District","=""0320011""","*","*",1920
"Cromwell School District","=""0330011""",2017,51,2068
"Danbury School District","=""0340011""",8599,1884,10483
"Darien School District","=""0350011""",4777,14,4791
"Deep River School District","=""0360011""",333,18,351
"Department of Mental Health and Addiction Services","=""""","*",0,"*"
"Derby School District","=""0370011""",1364,110,1474
"East Granby School District","=""0400011""",897,10,907
"East Haddam School District","=""0410011""","*","*",1405
"East Hampton School District","=""0420011""",2023,11,2034
"East Hartford School District","=""0430011""",6687,593,7280
"East Haven School District","=""0440011""",3371,175,3546
"East Lyme School District","=""0450011""",3080,33,3113
"East Windsor School District","=""0470011""",1341,56,1397
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",208,0,208
"Eastford School District","=""0390011""",171,0,171
"Easton School District","=""0460011""","*","*",1114
"EdAdvance","=""2420014""",200,0,200
"Ellington School District","=""0480011""",2643,32,2675
"Elm City College Preparatory School District","=""2890013""",499,48,547
"Enfield School District","=""0490011""",6037,82,6119
"Essex School District","=""0500011""",586,7,593
"Explorations District","=""2720013""",80,0,80
"Fairfield School District","=""0510011""",9908,226,10134
"Farmington School District","=""0520011""",4108,61,4169
"Franklin School District","=""0530011""",225,0,225
"Glastonbury School District","=""0540011""",6745,101,6846
"Granby School District","=""0560011""",2287,7,2294
"Greenwich School District","=""0570011""",8376,487,8863
"Griswold School District","=""0580011""",2044,24,2068
"Groton School District","=""0590011""",4991,72,5063
"Guilford School District","=""0600011""",3696,40,3736
"Hamden School District","=""0620011""",5746,251,5997
"Hampton School District","=""0630011""","*","*",143
"Hartford School District","=""0640011""",17810,3742,21552
"Hartland School District","=""0650011""",229,0,229
"Hebron School District","=""0670011""","*","*",1172
"Highville Charter School District","=""2860013""",303,0,303
"Integrated Day Charter School District","=""2640013""",315,15,330
"Interdistrict School for Arts and Comm District","=""2650013""",174,8,182
"Jumoke Academy District","=""2610013""",434,0,434
"Kent School District","=""0680011""","*","*",282
"Killingly School District","=""0690011""",2649,59,2708
"Learn","=""2450014""",999,122,1121
"Lebanon School District","=""0710011""","*","*",1457
"Ledyard School District","=""0720011""",2648,34,2682
"Lisbon School District","=""0730011""",569,0,569
"Litchfield School District","=""0740011""",1201,6,1207
"Madison School District","=""0760011""",3689,6,3695
"Manchester School District","=""0770011""",6591,350,6941
"Mansfield School District","=""0780011""",1259,16,1275
"Marlborough School District","=""0790011""",663,6,669
"Meriden School District","=""0800011""",7532,931,8463
"Middletown School District","=""0830011""",5134,105,5239
"Milford School District","=""0840011""",7024,123,7147
"Monroe School District","=""0850011""",3880,19,3899
"Montville School District","=""0860011""",2596,102,2698
"Naugatuck School District","=""0880011""",4688,205,4893
"New Beginnings Inc Family Academy District","=""2800013""",360,0,360
"New Britain School District","=""0890011""",8658,1660,10318
"New Canaan School District","=""0900011""",4068,23,4091
"New Fairfield School District","=""0910011""",3002,29,3031
"New Hartford School District","=""0920011""",632,0,632
"New Haven School District","=""0930011""",17554,2393,19947
"New London School District","=""0950011""",2373,647,3020
"New Milford School District","=""0960011""",4759,124,4883
"Newington School District","=""0940011""",4349,143,4492
"Newtown School District","=""0970011""",5497,13,5510
"Norfolk School District","=""0980011""",144,0,144
"North Branford School District","=""0990011""",2324,18,2342
"North Canaan School District","=""1000011""",322,6,328
"North Haven School District","=""1010011""",3664,48,3712
"North Stonington School District","=""1020011""","*","*",792
"Norwalk School District","=""1030011""",9707,1255,10962
"Norwich Free Academy District","=""9010022""",2336,85,2421
"Norwich School District","=""1040011""",3533,413,3946
"Odyssey Community School District","=""2630013""",180,0,180
"Old Saybrook School District","=""1060011""",1544,55,1599
"Orange School District","=""1070011""","*","*",1301
"Oxford School District","=""1080011""",2116,47,2163
"Park City Prep Charter School District","=""2830013""",236,6,242
"Plainfield School District","=""1090011""",2710,27,2737
"Plainville School District","=""1100011""",2477,77,2554
"Plymouth School District","=""1110011""",1788,11,1799
"Pomfret School District","=""1120011""",533,6,539
"Portland School District","=""1130011""","*","*",1439
"Preston School District","=""1140011""",427,11,438
"Putnam School District","=""1160011""",1200,39,1239
"Redding School District","=""1170011""","*","*",1269
"Regional School District 01","=""2010012""",516,0,516
"Regional School District 04","=""2040012""",972,9,981
"Regional School District 05","=""2050012""",2487,11,2498
"Regional School District 06","=""2060012""",1060,16,1076
"Regional School District 07","=""2070012""",1172,0,1172
"Regional School District 08","=""2080012""","*","*",1743
"Regional School District 09","=""2090012""","*","*",973
"Regional School District 10","=""2100012""",2810,21,2831
"Regional School District 11","=""2110012""",300,0,300
"Regional School District 12","=""2120012""",965,8,973
"Regional School District 13","=""2130012""",2082,12,2094
"Regional School District 14","=""2140012""",2116,13,2129
"Regional School District 15","=""2150012""",4524,34,4558
