"Student Counts by District and English Learner Status"
"All Districts"
"2008-09"

"",,"English Learner Status",,
"District","District Code","Not English Learner/Multilingual Learner","English Learner/Multilingual Learner","Total"
"Achievement First Bridgeport Academy District","=""2850013""","*","*",160
"Achievement First Hartford Academy District","=""2880013""",261,0,261
"Amistad Academy District","=""2790013""",641,0,641
"Andover School District","=""0010011""","*","*",334
"Ansonia School District","=""0020011""",2649,73,2722
"Area Cooperative Educational Services","=""2440014""",2050,48,2098
"Ashford School District","=""0030011""",480,8,488
"Avon School District","=""0040011""",3525,44,3569
"Barkhamsted School District","=""0050011""","*","*",362
"Berlin School District","=""0070011""",3144,79,3223
"Bethany School District","=""0080011""",551,0,551
"Bethel School District","=""0090011""",2989,98,3087
"Bloomfield School District","=""0110011""",2172,9,2181
"Bolton School District","=""0120011""","*","*",869
"Bozrah School District","=""0130011""","*","*",261
"Branford School District","=""0140011""",3422,93,3515
"Bridgeport School District","=""0150011""",17850,2746,20596
"Bristol School District","=""0170011""",8607,259,8866
"Brookfield School District","=""0180011""",2909,43,2952
"Brooklyn School District","=""0190011""",987,0,987
"Canaan School District","=""0210011""",85,0,85
"Canterbury School District","=""0220011""","*","*",605
"Canton School District","=""0230011""",1748,13,1761
"Capitol Region Education Council","=""2410014""",3325,111,3436
"Chaplin School District","=""0240011""",178,0,178
"Charter School for Young Children on Asylum Hill District","=""2870013""",136,0,136
"Cheshire School District","=""0250011""",4991,41,5032
"Chester School District","=""0260011""",319,0,319
"Clinton School District","=""0270011""",2056,35,2091
"Colchester School District","=""0280011""",3177,20,3197
"Colebrook School District","=""0290011""",116,0,116
"Columbia School District","=""0300011""","*","*",579
"Common Ground High School District","=""2680013""",147,8,155
"Connecticut Technical Education and Career System","=""9000016""",9925,332,10257
"Cooperative Educational Services","=""2430014""",754,0,754
"Cornwall School District","=""0310011""",122,0,122
"Coventry School District","=""0320011""","*","*",1962
"Cromwell School District","=""0330011""",1978,51,2029
"Danbury School District","=""0340011""",8462,1888,10350
"Darien School District","=""0350011""",4717,15,4732
"Deep River School District","=""0360011""",339,16,355
"Department of Mental Health and Addiction Services","=""""",8,0,8
"Derby School District","=""0370011""",1373,116,1489
"East Granby School District","=""0400011""",894,6,900
"East Haddam School District","=""0410011""",1437,0,1437
"East Hampton School District","=""0420011""",2051,13,2064
"East Hartford School District","=""0430011""",6722,542,7264
"East Haven School District","=""0440011""",3405,194,3599
"East Lyme School District","=""0450011""",3151,18,3169
"East Windsor School District","=""0470011""",1395,57,1452
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",147,0,147
"Eastford School District","=""0390011""",187,0,187
"Easton School District","=""0460011""","*","*",1158
"EdAdvance","=""2420014""",194,0,194
"Ellington School District","=""0480011""",2623,22,2645
"Elm City College Preparatory School","=""2810013""",509,0,509
"Enfield School District","=""0490011""",6231,83,6314
"Essex School District","=""0500011""",587,7,594
"Explorations District","=""2720013""",85,0,85
"Fairfield School District","=""0510011""",9726,249,9975
"Farmington School District","=""0520011""",4137,69,4206
"Franklin School District","=""0530011""",226,0,226
"Glastonbury School District","=""0540011""",6785,98,6883
"Granby School District","=""0560011""",2275,6,2281
"Greenwich School District","=""0570011""",8380,513,8893
"Griswold School District","=""0580011""",2098,25,2123
"Groton School District","=""0590011""",5078,94,5172
"Guilford School District","=""0600011""",3750,46,3796
"Hamden School District","=""0620011""",5918,200,6118
"Hampton School District","=""0630011""","*","*",149
"Hartford School District","=""0640011""",18829,3127,21956
"Hartland School District","=""0650011""",239,0,239
"Hebron School District","=""0670011""",1167,6,1173
"Highville Charter School District","=""2860013""",300,0,300
"Integrated Day Charter School District","=""2640013""",321,9,330
"Interdistrict School for Arts and Comm District","=""2650013""",173,9,182
"Jumoke Academy District","=""2610013""",412,0,412
"Kent School District","=""0680011""","*","*",284
"Killingly School District","=""0690011""",2669,55,2724
"Learn","=""2450014""",965,72,1037
"Lebanon School District","=""0710011""","*","*",1547
"Ledyard School District","=""0720011""",2727,34,2761
"Lisbon School District","=""0730011""",564,0,564
"Litchfield School District","=""0740011""",1203,0,1203
"Madison School District","=""0760011""",3730,10,3740
"Manchester School District","=""0770011""",6640,296,6936
"Mansfield School District","=""0780011""",1262,23,1285
"Marlborough School District","=""0790011""","*","*",676
"Meriden School District","=""0800011""",7784,936,8720
"Middletown School District","=""0830011""",5086,103,5189
"Milford School District","=""0840011""",7161,165,7326
"Monroe School District","=""0850011""",4030,20,4050
"Montville School District","=""0860011""",2675,109,2784
"Naugatuck School District","=""0880011""",4635,197,4832
"New Beginnings Inc Family Academy District","=""2800013""",358,0,358
"New Britain School District","=""0890011""",8815,1681,10496
"New Canaan School District","=""0900011""",4085,19,4104
"New Fairfield School District","=""0910011""",3034,22,3056
"New Hartford School District","=""0920011""",620,0,620
"New Haven School District","=""0930011""",17348,2500,19848
"New London School District","=""0950011""",2424,681,3105
"New Milford School District","=""0960011""",4792,130,4922
"Newington School District","=""0940011""",4369,164,4533
"Newtown School District","=""0970011""",5601,11,5612
"Norfolk School District","=""0980011""",157,0,157
"North Branford School District","=""0990011""",2382,19,2401
