"Student Counts by District and English Learner Status"
"All Districts"
"2016-17"

"",,"English Learner Status",,
"District","District Code","Not English Learner/Multilingual Learner","English Learner/Multilingual Learner","Total"
"Achievement First Bridgeport Academy District","=""2850013""",913,131,1044
"Achievement First Hartford Academy District","=""2880013""",1033,33,1066
"Amistad Academy District","=""2790013""",941,116,1057
"Andover School District","=""0010011""","*","*",225
"Ansonia School District","=""0020011""",2283,81,2364
"Area Cooperative Educational Services","=""2440014""",1901,46,1947
"Ashford School District","=""0030011""","*","*",407
"Avon School District","=""0040011""",3193,95,3288
"Barkhamsted School District","=""0050011""",255,0,255
"Berlin School District","=""0070011""",2729,76,2805
"Bethany School District","=""0080011""","*","*",356
"Bethel School District","=""0090011""",2870,126,2996
"Bloomfield School District","=""0110011""",2125,32,2157
"Bolton School District","=""0120011""",812,8,820
"Booker T. Washington Academy District","=""2950013""",241,0,241
"Bozrah School District","=""0130011""","*","*",208
"Branford School District","=""0140011""",2865,118,2983
"Brass City Charter School District","=""2900013""",219,0,219
"Bridgeport School District","=""0150011""",18102,3120,21222
"Bristol School District","=""0170011""",7722,351,8073
"Brookfield School District","=""0180011""",2590,83,2673
"Brooklyn School District","=""0190011""",857,6,863
"Canaan School District","=""0210011""","*","*",73
"Canterbury School District","=""0220011""",471,0,471
"Canton School District","=""0230011""",1611,12,1623
"Capital Preparatory Harbor School District","=""2970013""",254,0,254
"Capitol Region Education Council","=""2410014""",8133,458,8591
"Chaplin School District","=""0240011""",158,0,158
"Cheshire School District","=""0250011""",4320,38,4358
"Chester School District","=""0260011""","*","*",206
"Clinton School District","=""0270011""",1706,84,1790
"Colchester School District","=""0280011""",2466,22,2488
"Colebrook School District","=""0290011""",78,0,78
"Columbia School District","=""0300011""",434,0,434
"Common Ground High School District","=""2680013""","*","*",200
"Connecticut Technical Education and Career System","=""9000016""",10172,384,10556
"Cooperative Educational Services","=""2430014""","*","*",842
"Cornwall School District","=""0310011""","*","*",72
"Coventry School District","=""0320011""","*","*",1625
"Cromwell School District","=""0330011""",1935,69,2004
"Danbury School District","=""0340011""",8580,2792,11372
"Darien School District","=""0350011""",4817,11,4828
"Deep River School District","=""0360011""",276,9,285
"Department of Mental Health and Addiction Services","=""""","*",0,"*"
"Derby School District","=""0370011""",1330,57,1387
"East Granby School District","=""0400011""",859,7,866
"East Haddam School District","=""0410011""","*","*",1032
"East Hampton School District","=""0420011""",1868,8,1876
"East Hartford School District","=""0430011""",6072,662,6734
"East Haven School District","=""0440011""",2764,232,2996
"East Lyme School District","=""0450011""",2741,41,2782
"East Windsor School District","=""0470011""",1016,33,1049
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",407,6,413
"Eastford School District","=""0390011""",143,0,143
"Easton School District","=""0460011""",871,11,882
