"Student Counts by District and English Learner Status"
"All Districts"
"2014-15"

"",,"English Learner Status",,
"District","District Code","Not English Learner/Multilingual Learner","English Learner/Multilingual Learner","Total"
"Regional School District 07","=""2070012""",1076,0,1076
"Regional School District 08","=""2080012""","*","*",1661
"Regional School District 09","=""2090012""","*","*",1065
"Regional School District 10","=""2100012""",2458,26,2484
"Regional School District 11","=""2110012""","*","*",278
"Regional School District 12","=""2120012""","*","*",752
"Regional School District 13","=""2130012""",1824,8,1832
"Regional School District 14","=""2140012""",1780,23,1803
"Regional School District 15","=""2150012""",3825,43,3868
"Regional School District 16","=""2160012""",2306,23,2329
"Regional School District 17","=""2170012""","*","*",2186
"Regional School District 18","=""2180012""",1346,8,1354
"Regional School District 19","=""2190012""",1188,16,1204
"Ridgefield School District","=""1180011""",5103,75,5178
"Rocky Hill School District","=""1190011""",2356,131,2487
"Salem School District","=""1210011""","*","*",399
"Salisbury School District","=""1220011""","*","*",273
"Scotland School District","=""1230011""",129,0,129
"Seymour School District","=""1240011""",2214,72,2286
"Sharon School District","=""1250011""","*","*",177
"Shelton School District","=""1260011""",4757,190,4947
"Sherman School District","=""1270011""","*","*",349
"Side By Side Charter School District","=""2700013""",220,15,235
"Simsbury School District","=""1280011""",4262,45,4307
"Somers School District","=""1290011""","*","*",1480
"South Windsor School District","=""1320011""",4059,157,4216
"Southington School District","=""1310011""",6524,102,6626
"Sprague School District","=""1330011""","*","*",366
"Stafford School District","=""1340011""","*","*",1586
"Stamford Academy District","=""2820013""",141,0,141
"Stamford School District","=""1350011""",14001,2084,16085
"Sterling School District","=""1360011""",467,0,467
"Stonington School District","=""1370011""",2249,18,2267
"Stratford School District","=""1380011""",6721,339,7060
"Suffield School District","=""1390011""",2389,8,2397
"The Bridge Academy District","=""2690013""",268,7,275
"The Gilbert School District","=""9020022""",533,19,552
"The Woodstock Academy District","=""9030022""","*","*",1012
"Thomaston School District","=""1400011""","*","*",912
"Thompson School District","=""1410011""","*","*",1016
"Tolland School District","=""1420011""",2659,18,2677
"Torrington School District","=""1430011""",3938,365,4303
"Trailblazers Academy District","=""2780013""",119,0,119
"Trumbull School District","=""1440011""",6586,130,6716
"Unified School District #1","=""3360015""",410,0,410
"Unified School District #2","=""3470015""","*","*",215
"Union School District","=""1450011""",80,0,80
"Vernon School District","=""1460011""",3171,111,3282
"Voluntown School District","=""1470011""",317,0,317
"Wallingford School District","=""1480011""",5782,323,6105
"Waterbury School District","=""1510011""",16524,2354,18878
"Waterford School District","=""1520011""",2503,49,2552
"Watertown School District","=""1530011""",2777,71,2848
"West Hartford School District","=""1550011""",9238,556,9794
"West Haven School District","=""1560011""",5161,779,5940
"Westbrook School District","=""1540011""",764,43,807
"Weston School District","=""1570011""",2398,15,2413
"Westport School District","=""1580011""",5729,43,5772
"Wethersfield School District","=""1590011""",3412,235,3647
"Willington School District","=""1600011""","*","*",430
"Wilton School District","=""1610011""",4253,19,4272
"Winchester School District","=""1620011""",585,24,609
"Windham School District","=""1630011""",2409,781,3190
"Windsor Locks School District","=""1650011""",1590,74,1664
"Windsor School District","=""1640011""",3043,125,3168
"Wolcott School District","=""1660011""",2314,51,2365
"Woodbridge School District","=""1670011""",780,17,797
"Woodstock School District","=""1690011""","*","*",873
"Total","=""""",511430,34919,546349

