"Student Counts by District and English Learner Status"
"All Districts"
"2015-16"

"",,"English Learner Status",,
"District","District Code","Not English Learner/Multilingual Learner","English Learner/Multilingual Learner","Total"
"Achievement First Bridgeport Academy District","=""2850013""",888,128,1016
"Achievement First Hartford Academy District","=""2880013""",1011,52,1063
"Amistad Academy District","=""2790013""",930,106,1036
"Andover School District","=""0010011""","*","*",250
"Ansonia School District","=""0020011""",2316,66,2382
"Area Cooperative Educational Services","=""2440014""",1894,54,1948
"Ashford School District","=""0030011""","*","*",400
"Avon School District","=""0040011""",3182,103,3285
"Barkhamsted School District","=""0050011""",286,0,286
"Berlin School District","=""0070011""",2814,65,2879
"Bethany School District","=""0080011""","*","*",383
"Bethel School District","=""0090011""",2863,108,2971
"Bloomfield School District","=""0110011""",2050,28,2078
"Bolton School District","=""0120011""","*","*",820
"Booker T. Washington Academy District","=""2950013""",180,0,180
"Bozrah School District","=""0130011""","*","*",202
"Branford School District","=""0140011""",2952,114,3066
"Brass City Charter School District","=""2900013""",186,0,186
"Bridgeport School District","=""0150011""",18213,2978,21191
"Bristol School District","=""0170011""",7829,341,8170
"Brookfield School District","=""0180011""",2626,66,2692
"Brooklyn School District","=""0190011""","*","*",908
"Canaan School District","=""0210011""","*","*","*"
"Canterbury School District","=""0220011""",494,0,494
"Canton School District","=""0230011""",1620,13,1633
"Capital Preparatory Harbor School District","=""2970013""",249,0,249
"Capitol Region Education Council","=""2410014""",7957,397,8354
"Chaplin School District","=""0240011""",176,0,176
"Cheshire School District","=""0250011""",4375,38,4413
"Chester School District","=""0260011""","*","*",211
"Clinton School District","=""0270011""",1750,72,1822
"Colchester School District","=""0280011""",2542,21,2563
"Colebrook School District","=""0290011""",84,0,84
"Columbia School District","=""0300011""",454,0,454
"Common Ground High School District","=""2680013""","*","*",186
"Connecticut Technical Education and Career System","=""9000016""",10336,374,10710
"Cooperative Educational Services","=""2430014""","*","*",869
"Cornwall School District","=""0310011""","*","*",92
"Coventry School District","=""0320011""",1628,6,1634
"Cromwell School District","=""0330011""",1934,63,1997
"Danbury School District","=""0340011""",8577,2580,11157
"Darien School District","=""0350011""",4872,12,4884
"Deep River School District","=""0360011""",298,8,306
"Department of Mental Health and Addiction Services","=""""","*",0,"*"
"Derby School District","=""0370011""",1343,60,1403
"East Granby School District","=""0400011""",867,11,878
"East Haddam School District","=""0410011""",1073,0,1073
"East Hampton School District","=""0420011""",1881,12,1893
"East Hartford School District","=""0430011""",6258,624,6882
"East Haven School District","=""0440011""",2815,236,3051
"East Lyme School District","=""0450011""",2745,47,2792
