"Student Counts by District and English Learner Status"
"All Districts"
"2010-11"

"",,"English Learner Status",,
"District","District Code","Not English Learner/Multilingual Learner","English Learner/Multilingual Learner","Total"
"Achievement First Bridgeport Academy District","=""2850013""",377,32,409
"Achievement First Hartford Academy District","=""2880013""",582,28,610
"Amistad Academy District","=""2790013""",721,91,812
"Andover School District","=""0010011""","*","*",334
"Ansonia School District","=""0020011""",2554,73,2627
"Area Cooperative Educational Services","=""2440014""",1944,47,1991
"Ashford School District","=""0030011""",470,9,479
"Avon School District","=""0040011""",3511,53,3564
"Barkhamsted School District","=""0050011""","*","*",373
"Berlin School District","=""0070011""",3062,67,3129
"Bethany School District","=""0080011""","*","*",514
"Bethel School District","=""0090011""",2877,72,2949
"Bloomfield School District","=""0110011""",2169,38,2207
"Bolton School District","=""0120011""","*","*",904
"Bozrah School District","=""0130011""",236,0,236
"Branford School District","=""0140011""",3316,129,3445
"Bridgeport School District","=""0150011""",17813,2644,20457
"Bristol School District","=""0170011""",8404,262,8666
"Brookfield School District","=""0180011""",2849,25,2874
"Brooklyn School District","=""0190011""","*","*",957
"Canaan School District","=""0210011""",86,0,86
"Canterbury School District","=""0220011""","*","*",528
"Canton School District","=""0230011""",1774,15,1789
"Capitol Region Education Council","=""2410014""",4547,99,4646
"Chaplin School District","=""0240011""",187,0,187
"Charter School for Young Children on Asylum Hill District","=""2870013""","*","*",225
"Cheshire School District","=""0250011""",4782,43,4825
"Chester School District","=""0260011""","*","*",275
"Clinton School District","=""0270011""",2015,34,2049
"Colchester School District","=""0280011""",3078,23,3101
"Colebrook School District","=""0290011""",112,0,112
"Columbia School District","=""0300011""",545,0,545
"Common Ground High School District","=""2680013""",157,6,163
"Connecticut Technical Education and Career System","=""9000016""",10370,273,10643
"Cooperative Educational Services","=""2430014""",787,0,787
"Cornwall School District","=""0310011""",115,0,115
"Coventry School District","=""0320011""","*","*",1844
"Cromwell School District","=""0330011""",1978,54,2032
"Danbury School District","=""0340011""",8714,1980,10694
"Darien School District","=""0350011""",4841,14,4855
"Deep River School District","=""0360011""",340,14,354
"Department of Mental Health and Addiction Services","=""""",6,0,6
"Derby School District","=""0370011""",1373,103,1476
"East Granby School District","=""0400011""","*","*",893
"East Haddam School District","=""0410011""","*","*",1355
"East Hampton School District","=""0420011""",1966,12,1978
"East Hartford School District","=""0430011""",6545,583,7128
"East Haven School District","=""0440011""",3239,209,3448
"East Lyme School District","=""0450011""",3049,35,3084
"East Windsor School District","=""0470011""",1312,33,1345
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",284,0,284
"Eastford School District","=""0390011""",180,0,180
"Easton School District","=""0460011""","*","*",1103
"EdAdvance","=""2420014""",217,0,217
"Ellington School District","=""0480011""",2703,31,2734
"Elm City College Preparatory School District","=""2890013""",559,26,585
"Enfield School District","=""0490011""",5828,84,5912
"Essex School District","=""0500011""",586,8,594
"Explorations District","=""2720013""",80,0,80
"Fairfield School District","=""0510011""",9983,224,10207
"Farmington School District","=""0520011""",4078,73,4151
"Franklin School District","=""0530011""",224,0,224
"Glastonbury School District","=""0540011""",6752,89,6841
"Granby School District","=""0560011""",2244,9,2253
"Greenwich School District","=""0570011""",8416,457,8873
"Griswold School District","=""0580011""",1994,19,2013
"Groton School District","=""0590011""",4908,89,4997
"Guilford School District","=""0600011""",3668,34,3702
"Hamden School District","=""0620011""",5785,259,6044
"Hampton School District","=""0630011""",140,0,140
"Hartford School District","=""0640011""",17614,3751,21365
"Hartland School District","=""0650011""","*","*",225
"Hebron School District","=""0670011""","*","*",1136
"Highville Charter School District","=""2860013""",300,0,300
"Integrated Day Charter School District","=""2640013""",317,14,331
"Interdistrict School for Arts and Comm District","=""2650013""",172,10,182
"Jumoke Academy District","=""2610013""","*","*",432
