"Student Counts by District and English Learner Status"
"All Districts"
"2007-08"

"",,"English Learner Status",,
"District","District Code","Not English Learner/Multilingual Learner","Total","English Learner/Multilingual Learner"
"Achievement First Bridgeport Academy District","=""2850013""",85,85,0
"Amistad Academy District","=""2790013""",547,547,0
"Andover School District","=""0010011""",347,347,0
"Ansonia School District","=""0020011""",2664,2743,79
"Area Cooperative Educational Services","=""2440014""",2059,2098,39
"Ashford School District","=""0030011""","*",505,"*"
"Avon School District","=""0040011""",3563,3612,49
"Barkhamsted School District","=""0050011""","*",358,"*"
"Berlin School District","=""0070011""",3199,3275,76
"Bethany School District","=""0080011""",570,570,0
"Bethel School District","=""0090011""",3039,3157,118
"Bloomfield School District","=""0110011""",2231,2240,9
"Bolton School District","=""0120011""",876,876,0
"Bozrah School District","=""0130011""","*",269,"*"
"Branford School District","=""0140011""",3433,3514,81
"Bridgeport School District","=""0150011""",18119,20958,2839
"Bristol School District","=""0170011""",8706,8980,274
"Brookfield School District","=""0180011""",2917,2955,38
"Brooklyn School District","=""0190011""",993,993,0
"Canaan School District","=""0210011""",102,102,0
"Canterbury School District","=""0220011""","*",584,"*"
"Canton School District","=""0230011""",1725,1739,14
"Capitol Region Education Council","=""2410014""",2737,2793,56
"Chaplin School District","=""0240011""",210,210,0
"Cheshire School District","=""0250011""",5102,5144,42
"Chester School District","=""0260011""",341,341,0
"Clinton School District","=""0270011""",2077,2113,36
"Colchester School District","=""0280011""",3241,3262,21
"Colebrook School District","=""0290011""",123,123,0
"Columbia School District","=""0300011""","*",593,"*"
"Common Ground High School District","=""2680013""",152,152,0
"Connecticut Technical Education and Career System","=""9000016""",9650,9973,323
"Cooperative Educational Services","=""2430014""",675,675,0
"Cornwall School District","=""0310011""",129,129,0
"Coventry School District","=""0320011""",2016,2016,0
"Cromwell School District","=""0330011""",1937,2000,63
"Danbury School District","=""0340011""",8367,10178,1811
"Darien School District","=""0350011""",4622,4662,40
"Deep River School District","=""0360011""",375,389,14
"Department of Mental Health and Addiction Services","=""""",11,11,0
"Derby School District","=""0370011""",1361,1472,111
"East Granby School District","=""0400011""",907,914,7
"East Haddam School District","=""0410011""","*",1433,"*"
"East Hampton School District","=""0420011""",2080,2087,7
"East Hartford School District","=""0430011""",6994,7474,480
"East Haven School District","=""0440011""",3519,3699,180
"East Lyme School District","=""0450011""",3246,3269,23
"East Windsor School District","=""0470011""",1437,1494,57
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",64,64,0
"Eastford School District","=""0390011""",189,189,0
"Easton School District","=""0460011""","*",1180,"*"
"EdAdvance","=""2420014""",179,179,0
"Ellington School District","=""0480011""",2589,2612,23
"Elm City College Preparatory School","=""2810013""",476,476,0
"Enfield School District","=""0490011""",6290,6373,83
"Essex School District","=""0500011""","*",551,"*"
"Explorations District","=""2720013""",86,86,0
"Fairfield School District","=""0510011""",9565,9797,232
"Farmington School District","=""0520011""",4145,4209,64
