"Student Counts by District and English Learner Status"
"All Districts"
"2013-14"

"",,"English Learner Status",,
"District","District Code","Not English Learner/Multilingual Learner","English Learner/Multilingual Learner","Total"
"Achievement First Bridgeport Academy District","=""2850013""",734,101,835
"Achievement First Hartford Academy District","=""2880013""",840,30,870
"Amistad Academy District","=""2790013""",835,102,937
"Andover School District","=""0010011""","*","*",299
"Ansonia School District","=""0020011""",2254,84,2338
"Area Cooperative Educational Services","=""2440014""",1887,46,1933
"Ashford School District","=""0030011""",418,6,424
"Avon School District","=""0040011""",3341,46,3387
"Barkhamsted School District","=""0050011""","*","*",307
"Berlin School District","=""0070011""",2889,74,2963
"Bethany School District","=""0080011""",436,0,436
"Bethel School District","=""0090011""",2927,73,3000
"Bloomfield School District","=""0110011""",2067,29,2096
"Bolton School District","=""0120011""",862,7,869
"Bozrah School District","=""0130011""","*","*",244
"Branford School District","=""0140011""",3142,103,3245
"Brass City Charter School District","=""2900013""",115,0,115
"Bridgeport School District","=""0150011""",18233,2696,20929
"Bristol School District","=""0170011""",7951,317,8268
"Brookfield School District","=""0180011""",2728,43,2771
"Brooklyn School District","=""0190011""",918,8,926
"Canaan School District","=""0210011""",71,"*","*"
"Canterbury School District","=""0220011""","*","*",464
"Canton School District","=""0230011""",1688,12,1700
"Capitol Region Education Council","=""2410014""",6956,221,7177
"Chaplin School District","=""0240011""","*","*",183
"Cheshire School District","=""0250011""",4590,30,4620
"Chester School District","=""0260011""",228,0,228
"Clinton School District","=""0270011""",1896,65,1961
"Colchester School District","=""0280011""",2722,22,2744
"Colebrook School District","=""0290011""",99,0,99
"Columbia School District","=""0300011""",474,0,474
"Common Ground High School District","=""2680013""","*","*",180
"Connecticut Technical Education and Career System","=""9000016""",10411,287,10698
"Cooperative Educational Services","=""2430014""",822,0,822
"Cornwall School District","=""0310011""","*","*",105
"Coventry School District","=""0320011""","*","*",1693
"Cromwell School District","=""0330011""",1921,47,1968
"Danbury School District","=""0340011""",8594,2199,10793
"Darien School District","=""0350011""",4914,15,4929
"Deep River School District","=""0360011""",319,14,333
"Department of Mental Health and Addiction Services","=""""","*",0,"*"
"Derby School District","=""0370011""",1432,90,1522
"East Granby School District","=""0400011""",862,12,874
"East Haddam School District","=""0410011""","*","*",1199
"East Hampton School District","=""0420011""",1870,7,1877
"East Hartford School District","=""0430011""",6530,628,7158
"East Haven School District","=""0440011""",2926,201,3127
"East Lyme School District","=""0450011""",2830,38,2868
"East Windsor School District","=""0470011""",1183,33,1216
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",359,7,366
"Eastford School District","=""0390011""",152,0,152
"Easton School District","=""0460011""",956,6,962
"EdAdvance","=""2420014""",229,0,229
"Ellington School District","=""0480011""",2624,40,2664
"Elm City College Preparatory School District","=""2890013""",579,45,624
"Enfield School District","=""0490011""",5123,102,5225
"Essex School District","=""0500011""","*","*",510
"Explorations District","=""2720013""",83,0,83
"Fairfield School District","=""0510011""",10074,214,10288
"Farmington School District","=""0520011""",3965,71,4036
"Franklin School District","=""0530011""",185,0,185
"Glastonbury School District","=""0540011""",6333,77,6410
"Granby School District","=""0560011""",2054,11,2065
"Greenwich School District","=""0570011""",8300,486,8786
"Griswold School District","=""0580011""",1969,12,1981
"Groton School District","=""0590011""",4603,99,4702
"Guilford School District","=""0600011""",3507,33,3540
"Hamden School District","=""0620011""",5569,242,5811
"Hampton School District","=""0630011""",111,0,111
"Hartford School District","=""0640011""",18125,3695,21820
"Hartland School District","=""0650011""",205,0,205
"Hebron School District","=""0670011""","*","*",868
"Highville Charter School District","=""2860013""",361,0,361
"Integrated Day Charter School District","=""2640013""",303,27,330
"Interdistrict School for Arts and Comm District","=""2650013""",208,38,246
"Jumoke Academy District","=""2610013""",704,0,704
"Kent School District","=""0680011""","*","*",272
"Killingly School District","=""0690011""",2603,68,2671
"Learn","=""2450014""",2017,120,2137
"Lebanon School District","=""0710011""","*","*",1158
"Ledyard School District","=""0720011""",2557,23,2580
"Lisbon School District","=""0730011""","*","*",402
"Litchfield School District","=""0740011""","*","*",992
"Madison School District","=""0760011""",3280,17,3297
"Manchester School District","=""0770011""",5904,352,6256
"Mansfield School District","=""0780011""",1197,52,1249
"Marlborough School District","=""0790011""","*","*",605
"Meriden School District","=""0800011""",7164,1019,8183
"Middletown School District","=""0830011""",4695,152,4847
"Milford School District","=""0840011""",6311,123,6434
"Monroe School District","=""0850011""",3364,15,3379
"Montville School District","=""0860011""",2331,87,2418
"Naugatuck School District","=""0880011""",4199,157,4356
"New Beginnings Inc Family Academy District","=""2800013""","*","*",402
"New Britain School District","=""0890011""",8468,1668,10136
"New Canaan School District","=""0900011""",4138,54,4192
"New Fairfield School District","=""0910011""",2692,38,2730
"New Hartford School District","=""0920011""","*","*",545
"New Haven School District","=""0930011""",18681,2739,21420
"New London School District","=""0950011""",2458,657,3115
"New Milford School District","=""0960011""",4383,121,4504
"Newington School District","=""0940011""",4088,156,4244
"Newtown School District","=""0970011""",4905,15,4920
"Norfolk School District","=""0980011""",117,0,117
"North Branford School District","=""0990011""",2001,17,2018
"North Canaan School District","=""1000011""","*","*",295
"North Haven School District","=""1010011""",3348,54,3402
"North Stonington School District","=""1020011""",751,0,751
"Norwalk School District","=""1030011""",9875,1294,11169
"Norwich Free Academy District","=""9010022""",2170,154,2324
"Norwich School District","=""1040011""",3337,467,3804
"Odyssey Community School District","=""2630013""",325,0,325
