"Student Counts by District and English Learner Status"
"All Districts"
"2023-24"

"",,"English Learner Status",,
"District","District Code","Not English Learner/Multilingual Learner","English Learner/Multilingual Learner","Total"
"Achievement First Bridgeport Academy District","=""2850013""",937,161,1098
"Achievement First Hartford Academy District","=""2880013""",908,53,961
"Amistad Academy District","=""2790013""",983,142,1125
"Andover School District","=""0010011""","*","*",205
"Ansonia School District","=""0020011""",2216,181,2397
"Area Cooperative Educational Services","=""2440014""",1628,91,1719
"Ashford School District","=""0030011""","*","*",355
"Avon School District","=""0040011""",3028,97,3125
"Barkhamsted School District","=""0050011""","*","*",218
"Berlin School District","=""0070011""",2547,114,2661
"Bethany School District","=""0080011""",415,30,445
"Bethel School District","=""0090011""",3016,233,3249
"Bloomfield School District","=""0110011""",1882,100,1982
"Bolton School District","=""0120011""",693,6,699
"Booker T. Washington Academy District","=""2950013""",365,19,384
"Bozrah School District","=""0130011""","*","*",170
"Branford School District","=""0140011""",2430,195,2625
"Brass City Charter School District","=""2900013""",348,15,363
"Bridgeport School District","=""0150011""",14054,5537,19591
"Bristol School District","=""0170011""",7232,542,7774
"Brookfield School District","=""0180011""",2467,115,2582
"Brooklyn School District","=""0190011""",871,14,885
"Canaan School District","=""0210011""","*","*",80
"Canterbury School District","=""0220011""","*","*",486
"Canton School District","=""0230011""",1492,14,1506
"Capital Preparatory Harbor School District","=""2970013""",700,81,781
"Capitol Region Education Council","=""2410014""",8070,846,8916
"Chaplin School District","=""0240011""","*","*",154
"Cheshire School District","=""0250011""",4097,127,4224
"Chester School District","=""0260011""","*","*",207
"Clinton School District","=""0270011""",1310,147,1457
"Colchester School District","=""0280011""",2120,41,2161
"Colebrook School District","=""0290011""",66,0,66
"Columbia School District","=""0300011""","*","*",477
"Common Ground High School District","=""2680013""",209,14,223
"Connecticut Technical Education and Career System","=""9000016""",10621,573,11194
"Cooperative Educational Services","=""2430014""",771,37,808
"Cornwall School District","=""0310011""","*","*",97
"Coventry School District","=""0320011""",1615,18,1633
"Cromwell School District","=""0330011""",1793,111,1904
"Danbury School District","=""0340011""",7762,4364,12126
"Darien School District","=""0350011""",4610,71,4681
"Deep River School District","=""0360011""",186,9,195
"Department of Mental Health and Addiction Services","=""""","*",0,"*"
"Derby School District","=""0370011""",1286,59,1345
"East Granby School District","=""0400011""",809,16,825
"East Haddam School District","=""0410011""",987,12,999
"East Hampton School District","=""0420011""",1732,10,1742
"East Hartford School District","=""0430011""",5235,1175,6410
"East Haven School District","=""0440011""",2548,355,2903
"East Lyme School District","=""0450011""",2401,105,2506
"East Windsor School District","=""0470011""",979,73,1052
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",360,8,368
"Eastford School District","=""0390011""","*","*",174
"Easton School District","=""0460011""",877,27,904
"EdAdvance","=""2420014""","*","*",288
"Ellington School District","=""0480011""",2498,49,2547
"Elm City College Preparatory School District","=""2890013""",697,78,775
"Elm City Montessori School District","=""2910013""",297,8,305
"Enfield School District","=""0490011""",4647,179,4826
"Essex School District","=""0500011""",290,10,300
"Explorations District","=""2720013""","*","*",88
"Fairfield School District","=""0510011""",9010,345,9355
"Farmington School District","=""0520011""",3956,238,4194
"Franklin School District","=""0530011""",192,0,192
"Glastonbury School District","=""0540011""",5472,202,5674
"Goodwin University Educational Services (GUES)","=""2310018""",1050,164,1214
"Granby School District","=""0560011""",1731,11,1742
"Great Oaks Charter School District","=""2940013""",555,104,659
"Greenwich School District","=""0570011""",8116,473,8589
"Griswold School District","=""0580011""",1744,31,1775
"Groton School District","=""0590011""",3916,183,4099
"Guilford School District","=""0600011""",3080,50,3130
"Hamden School District","=""0620011""",5062,393,5455
"Hampton School District","=""0630011""",74,0,74
"Hartford School District","=""0640011""",12648,4191,16839
"Hartland School District","=""0650011""",109,0,109
"Hebron School District","=""0670011""","*","*",701
"Highville Charter School District","=""2860013""","*","*",504
"Integrated Day Charter School District","=""2640013""",337,25,362
"Interdistrict School for Arts and Comm District","=""2650013""",231,48,279
"Jumoke Academy District","=""2610013""",608,11,619
"Kent School District","=""0680011""","*","*",191
"Killingly School District","=""0690011""",2369,54,2423
"Learn","=""2450014""",1284,112,1396
"Lebanon School District","=""0710011""",975,10,985
"Ledyard School District","=""0720011""",2402,43,2445
"Lisbon School District","=""0730011""",435,7,442
"Litchfield School District","=""0740011""",815,7,822
"Madison School District","=""0760011""",2402,32,2434
"Manchester School District","=""0770011""",5595,572,6167
"Mansfield School District","=""0780011""",934,68,1002
"Marlborough School District","=""0790011""",439,6,445
