"Student Counts by District and English Learner Status"
"All Districts"
"2020-21"

"",,"English Learner Status",,
"District","District Code","Not English Learner/Multilingual Learner","English Learner/Multilingual Learner","Total"
"Achievement First Bridgeport Academy District","=""2850013""",997,130,1127
"Achievement First Hartford Academy District","=""2880013""",1094,70,1164
"Amistad Academy District","=""2790013""",1030,104,1134
"Andover School District","=""0010011""","*","*",174
"Ansonia School District","=""0020011""",2112,126,2238
"Area Cooperative Educational Services","=""2440014""",1680,146,1826
"Ashford School District","=""0030011""",364,6,370
"Avon School District","=""0040011""",3033,95,3128
"Barkhamsted School District","=""0050011""",203,0,203
"Berlin School District","=""0070011""",2614,101,2715
"Bethany School District","=""0080011""",358,12,370
"Bethel School District","=""0090011""",2907,182,3089
"Bloomfield School District","=""0110011""",2006,74,2080
"Bolton School District","=""0120011""",746,7,753
"Booker T. Washington Academy District","=""2950013""",458,22,480
"Bozrah School District","=""0130011""",174,6,180
"Branford School District","=""0140011""",2441,149,2590
"Brass City Charter School District","=""2900013""",345,16,361
"Bridgeport School District","=""0150011""",15513,3936,19449
"Bristol School District","=""0170011""",7325,401,7726
"Brookfield School District","=""0180011""",2471,92,2563
"Brooklyn School District","=""0190011""",819,12,831
"Canaan School District","=""0210011""","*","*",68
"Canterbury School District","=""0220011""","*","*",435
"Canton School District","=""0230011""",1508,9,1517
"Capital Preparatory Harbor School District","=""2970013""",739,46,785
"Capitol Region Education Council","=""2410014""",8116,683,8799
"Chaplin School District","=""0240011""","*","*",131
"Cheshire School District","=""0250011""",4047,75,4122
"Chester School District","=""0260011""","*","*",201
"Clinton School District","=""0270011""",1462,108,1570
"Colchester School District","=""0280011""",2181,12,2193
"Colebrook School District","=""0290011""",75,0,75
"Columbia School District","=""0300011""","*","*",402
"Common Ground High School District","=""2680013""",225,11,236
"Connecticut Technical Education and Career System","=""9000016""",10867,471,11338
"Cooperative Educational Services","=""2430014""",753,36,789
"Cornwall School District","=""0310011""","*","*",104
"Coventry School District","=""0320011""",1592,14,1606
"Cromwell School District","=""0330011""",1886,103,1989
"Danbury School District","=""0340011""",8534,3300,11834
"Darien School District","=""0350011""",4627,55,4682
"Deep River School District","=""0360011""","*","*",218
"Department of Mental Health and Addiction Services","=""""","*",0,"*"
"Derby School District","=""0370011""",1197,37,1234
"East Granby School District","=""0400011""",818,16,834
"East Haddam School District","=""0410011""","*","*",935
"East Hampton School District","=""0420011""","*","*",1824
"East Hartford School District","=""0430011""",5645,936,6581
"East Haven School District","=""0440011""",2546,255,2801
"East Lyme School District","=""0450011""",2556,56,2612
"East Windsor School District","=""0470011""",971,79,1050
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",434,10,444
"Eastford School District","=""0390011""","*","*",140
"Easton School District","=""0460011""",842,16,858
"EdAdvance","=""2420014""","*","*",228
"Ellington School District","=""0480011""",2586,40,2626
"Elm City College Preparatory School District","=""2890013""",725,49,774
"Elm City Montessori School District","=""2910013""",253,6,259
"Enfield School District","=""0490011""",4777,144,4921
"Essex School District","=""0500011""",307,6,313
"Explorations District","=""2720013""",86,0,86
"Fairfield School District","=""0510011""",9215,229,9444
"Farmington School District","=""0520011""",3910,176,4086
"Franklin School District","=""0530011""",165,0,165
"Glastonbury School District","=""0540011""",5610,148,5758
"Granby School District","=""0560011""","*","*",1729
"Great Oaks Charter School District","=""2940013""",588,82,670
"Greenwich School District","=""0570011""",8443,353,8796
"Griswold School District","=""0580011""",1648,23,1671
"Groton School District","=""0590011""",3921,147,4068
"Guilford School District","=""0600011""",3046,59,3105
"Hamden School District","=""0620011""",5040,304,5344
"Hampton School District","=""0630011""",73,0,73
"Hartford School District","=""0640011""",13929,3804,17733
"Hartland School District","=""0650011""","*","*",145
"Hebron School District","=""0670011""","*","*",636
"Highville Charter School District","=""2860013""","*","*",447
"Integrated Day Charter School District","=""2640013""",328,25,353
"Interdistrict School for Arts and Comm District","=""2650013""",227,54,281
"Jumoke Academy District","=""2610013""","*","*",686
"Kent School District","=""0680011""","*","*",207
"Killingly School District","=""0690011""",2273,63,2336
"Learn","=""2450014""",2146,213,2359
"Lebanon School District","=""0710011""",939,9,948
"Ledyard School District","=""0720011""",2324,34,2358
"Lisbon School District","=""0730011""",418,12,430
"Litchfield School District","=""0740011""","*","*",821
"Madison School District","=""0760011""",2443,35,2478
"Manchester School District","=""0770011""",5661,430,6091
"Mansfield School District","=""0780011""",993,46,1039
"Marlborough School District","=""0790011""","*","*",442
"Meriden School District","=""0800011""",6805,1313,8118
"Middletown School District","=""0830011""",4253,156,4409
"Milford School District","=""0840011""",5305,128,5433
"Monroe School District","=""0850011""",3144,35,3179
"Montville School District","=""0860011""",1873,91,1964
"Naugatuck School District","=""0880011""",3935,320,4255
"New Beginnings Inc Family Academy District","=""2800013""",494,8,502
"New Britain School District","=""0890011""",7973,1692,9665
"New Canaan School District","=""0900011""",4203,29,4232
"New Fairfield School District","=""0910011""",2052,80,2132
"New Hartford School District","=""0920011""",414,6,420
"New Haven School District","=""0930011""",16471,3580,20051
"New London School District","=""0950011""",2490,807,3297
"New Milford School District","=""0960011""",3557,176,3733
"Newington School District","=""0940011""",3705,269,3974
"Newtown School District","=""0970011""",4032,21,4053
"Norfolk School District","=""0980011""","*","*",80
"North Branford School District","=""0990011""",1598,17,1615
"North Canaan School District","=""1000011""",240,8,248
"North Haven School District","=""1010011""",2986,107,3093
"North Stonington School District","=""1020011""",707,0,707
"Norwalk School District","=""1030011""",9610,1969,11579
"Norwich Free Academy District","=""9010022""",1919,194,2113
"Norwich School District","=""1040011""",2759,618,3377
"Odyssey Community School District","=""2630013""",291,37,328
"Old Saybrook School District","=""1060011""",1005,69,1074
"Orange School District","=""1070011""",1171,63,1234
"Oxford School District","=""1080011""",1579,39,1618
"Park City Prep Charter School District","=""2830013""",328,32,360
"Plainfield School District","=""1090011""",1973,37,2010
"Plainville School District","=""1100011""",2090,175,2265
"Plymouth School District","=""1110011""",1274,26,1300
"Pomfret School District","=""1120011""",339,0,339
"Portland School District","=""1130011""",1236,43,1279
"Preston School District","=""1140011""",398,7,405
"Putnam School District","=""1160011""",1074,40,1114
"Redding School District","=""1170011""",796,10,806
"Regional School District 01","=""2010012""","*","*",323
"Regional School District 04","=""2040012""",831,7,838
"Regional School District 05","=""2050012""",2166,18,2184
"Regional School District 06","=""2060012""",868,12,880
"Regional School District 07","=""2070012""","*","*",991
"Regional School District 08","=""2080012""","*","*",1302
"Regional School District 09","=""2090012""","*","*",835
"Regional School District 10","=""2100012""",2168,33,2201
"Regional School District 11","=""2110012""","*","*",205
"Regional School District 12","=""2120012""",682,6,688
"Regional School District 13","=""2130012""",1426,14,1440
"Regional School District 14","=""2140012""",1564,16,1580
"Regional School District 15","=""2150012""",3467,46,3513
"Regional School District 16","=""2160012""",1962,39,2001
"Regional School District 17","=""2170012""",1837,12,1849
"Regional School District 18","=""2180012""",1257,26,1283
"Regional School District 19","=""2190012""",1098,7,1105
"Ridgefield School District","=""1180011""",4506,50,4556
"Rocky Hill School District","=""1190011""",2440,202,2642
"Salem School District","=""1210011""","*","*",390
"Salisbury School District","=""1220011""",302,8,310
"Scotland School District","=""1230011""",88,0,88
"Seymour School District","=""1240011""",2023,87,2110
"Sharon School District","=""1250011""",106,6,112
"Shelton School District","=""1260011""",4144,261,4405
"Sherman School District","=""1270011""","*","*",252
"Side By Side Charter School District","=""2700013""",207,28,235
"Simsbury School District","=""1280011""",3957,65,4022
"Somers School District","=""1290011""","*","*",1305
"South Windsor School District","=""1320011""",4235,323,4558
"Southington School District","=""1310011""",6046,144,6190
"Sprague School District","=""1330011""",244,10,254
"Stafford School District","=""1340011""",1346,6,1352
"Stamford Charter School for Excellence District","=""2960013""",344,47,391
"Stamford School District","=""1350011""",14099,2174,16273
"Sterling School District","=""1360011""",312,0,312
"Stonington School District","=""1370011""",1891,10,1901
