fiscal_year,policy_year,low FRPL,middle,high FRPL,gap_change_high_minus_low
2019,1,0.0010555464999762185,0.003439912051527649,0.04517794636773387,0.04412239986775765
2020,2,0.0025214599102943904,0.007508853549390329,0.09261706758633877,0.09009560767604438
2021,3,0.004333468379368443,0.011886346261910824,0.13820153450814313,0.1338680661287747
2022,4,0.007280013847824841,0.01672694165553808,0.1811629796149608,0.17388296576713597
2023,5,0.00998528532945882,0.021096751876928135,0.21648214215480818,0.20649685682534935
2024,6,0.012813946913362973,0.026322578229896747,0.2509530971197359,0.23813915020637294
2025,7,0.015083879590025362,0.031095412183384036,0.2778987231691179,0.2628148435790925
