"Student Counts by District and Special Education Status"
"All Districts"
"2007-08"

"",,"Special Education Status",,
"District","District Code","Students without Disabilities","Students with Disabilities","Total"
"Achievement First Bridgeport Academy District","=""2850013""","*","*",85
"Amistad Academy District","=""2790013""",530,17,547
"Andover School District","=""0010011""",321,26,347
"Ansonia School District","=""0020011""",2454,289,2743
"Area Cooperative Educational Services","=""2440014""",1347,751,2098
"Ashford School District","=""0030011""",431,74,505
"Avon School District","=""0040011""",3228,384,3612
"Barkhamsted School District","=""0050011""",305,53,358
"Berlin School District","=""0070011""",2853,422,3275
"Bethany School District","=""0080011""",495,75,570
"Bethel School District","=""0090011""",2831,326,3157
"Bloomfield School District","=""0110011""",2013,227,2240
"Bolton School District","=""0120011""",790,86,876
"Bozrah School District","=""0130011""",224,45,269
"Branford School District","=""0140011""",3042,472,3514
"Bridgeport School District","=""0150011""",18329,2629,20958
"Bristol School District","=""0170011""",7819,1161,8980
"Brookfield School District","=""0180011""",2737,218,2955
"Brooklyn School District","=""0190011""",889,104,993
"Canaan School District","=""0210011""",89,13,102
"Canterbury School District","=""0220011""",520,64,584
"Canton School District","=""0230011""",1523,216,1739
"Capitol Region Education Council","=""2410014""",2195,598,2793
"Chaplin School District","=""0240011""",182,28,210
"Cheshire School District","=""0250011""",4629,515,5144
"Chester School District","=""0260011""",284,57,341
"Clinton School District","=""0270011""",1852,261,2113
"Colchester School District","=""0280011""",2897,365,3262
"Colebrook School District","=""0290011""",104,19,123
"Columbia School District","=""0300011""",528,65,593
"Common Ground High School District","=""2680013""",120,32,152
"Connecticut Technical Education and Career System","=""9000016""",9198,775,9973
"Cooperative Educational Services","=""2430014""",410,265,675
"Cornwall School District","=""0310011""",115,14,129
"Coventry School District","=""0320011""",1769,247,2016
"Cromwell School District","=""0330011""",1796,204,2000
"Danbury School District","=""0340011""",9099,1079,10178
"Darien School District","=""0350011""",4143,519,4662
"Deep River School District","=""0360011""",321,68,389
"Department of Mental Health and Addiction Services","=""""","*","*",11
"Derby School District","=""0370011""",1338,134,1472
"East Granby School District","=""0400011""",800,114,914
"East Haddam School District","=""0410011""",1245,188,1433
"East Hampton School District","=""0420011""",1902,185,2087
"East Hartford School District","=""0430011""",6385,1089,7474
"East Haven School District","=""0440011""",3257,442,3699
"East Lyme School District","=""0450011""",2862,407,3269
"East Windsor School District","=""0470011""",1264,230,1494
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",18,46,64
"Eastford School District","=""0390011""",165,24,189
"Easton School District","=""0460011""",1077,103,1180
"EdAdvance","=""2420014""",156,23,179
"Ellington School District","=""0480011""",2343,269,2612
"Elm City College Preparatory School","=""2810013""",454,22,476
"Enfield School District","=""0490011""",5538,835,6373
"Essex School District","=""0500011""",506,45,551
"Explorations District","=""2720013""",65,21,86
"Fairfield School District","=""0510011""",8749,1048,9797
"Farmington School District","=""0520011""",3803,406,4209
"Franklin School District","=""0530011""",204,31,235
"Glastonbury School District","=""0540011""",6077,805,6882
"Granby School District","=""0560011""",2130,209,2339
"Greenwich School District","=""0570011""",7976,1038,9014
"Griswold School District","=""0580011""",1875,271,2146
"Groton School District","=""0590011""",4516,682,5198
"Guilford School District","=""0600011""",3432,407,3839
"Hamden School District","=""0620011""",5496,810,6306
"Hampton School District","=""0630011""",146,20,166
"Hartford School District","=""0640011""",19480,3199,22679
"Hartland School District","=""0650011""",217,19,236
"Hebron School District","=""0670011""",1074,132,1206
"Highville Charter School District","=""2860013""","*","*",277
"Integrated Day Charter School District","=""2640013""",300,30,330
"Interdistrict School for Arts and Comm District","=""2650013""",168,13,181
"Jumoke Academy District","=""2610013""",354,15,369
"Kent School District","=""0680011""",214,43,257
"Killingly School District","=""0690011""",2374,361,2735
"Learn","=""2450014""",921,156,1077
"Lebanon School District","=""0710011""",1352,178,1530
"Ledyard School District","=""0720011""",2533,372,2905
"Lisbon School District","=""0730011""",512,67,579
"Litchfield School District","=""0740011""",1079,136,1215
"Madison School District","=""0760011""",3410,386,3796
"Manchester School District","=""0770011""",5916,997,6913
"Mansfield School District","=""0780011""",1124,183,1307
"Marlborough School District","=""0790011""",602,61,663
"Meriden School District","=""0800011""",7605,1303,8908
"Middletown School District","=""0830011""",4499,589,5088
"Milford School District","=""0840011""",6446,954,7400
"Monroe School District","=""0850011""",3815,411,4226
"Montville School District","=""0860011""",2531,340,2871
"Naugatuck School District","=""0880011""",4364,567,4931
"New Beginnings Inc Family Academy District","=""2800013""",349,13,362
"New Britain School District","=""0890011""",9137,1582,10719
"New Canaan School District","=""0900011""",3628,502,4130
"New Fairfield School District","=""0910011""",2706,342,3048
"New Hartford School District","=""0920011""",552,66,618
"New Haven School District","=""0930011""",18057,1924,19981
"New London School District","=""0950011""",2531,402,2933
"New Milford School District","=""0960011""",4366,668,5034
"Newington School District","=""0940011""",4086,480,4566
"Newtown School District","=""0970011""",5155,508,5663
"Norfolk School District","=""0980011""",146,22,168
"North Branford School District","=""0990011""",2141,293,2434
"North Canaan School District","=""1000011""",316,43,359
"North Haven School District","=""1010011""",3412,485,3897
"North Stonington School District","=""1020011""",721,84,805
"Norwalk School District","=""1030011""",9540,1189,10729
"Norwich Free Academy District","=""9010022""",2141,308,2449
"Norwich School District","=""1040011""",3421,649,4070
"Odyssey Community School District","=""2630013""",159,18,177
"Old Saybrook School District","=""1060011""",1424,197,1621
"Orange School District","=""1070011""",1252,125,1377
"Oxford School District","=""1080011""",1703,158,1861
"Park City Prep Charter School District","=""2830013""",197,9,206
"Plainfield School District","=""1090011""",2454,330,2784
"Plainville School District","=""1100011""",2258,371,2629
"Plymouth School District","=""1110011""",1696,217,1913
"Pomfret School District","=""1120011""",468,75,543
"Portland School District","=""1130011""",1304,129,1433
"Preston School District","=""1140011""",433,76,509
"Putnam School District","=""1160011""",1087,232,1319
"Redding School District","=""1170011""",1151,158,1309
"Regional School District 01","=""2010012""",511,59,570
"Regional School District 04","=""2040012""",840,121,961
"Regional School District 05","=""2050012""",2229,254,2483
"Regional School District 06","=""2060012""",966,164,1130
"Regional School District 07","=""2070012""",1008,147,1155
"Regional School District 08","=""2080012""",1476,200,1676
"Regional School District 09","=""2090012""",868,111,979
"Regional School District 10","=""2100012""",2577,278,2855
"Regional School District 11","=""2110012""",247,52,299
"Regional School District 12","=""2120012""",891,171,1062
"Regional School District 13","=""2130012""",1875,281,2156
"Regional School District 14","=""2140012""",1960,255,2215
"Regional School District 15","=""2150012""",4019,564,4583
"Regional School District 16","=""2160012""",2440,251,2691
"Regional School District 17","=""2170012""",2267,295,2562
"Regional School District 18","=""2180012""",1386,152,1538
"Regional School District 19","=""2190012""",1004,187,1191
"Ridgefield School District","=""1180011""",4997,563,5560
"Rocky Hill School District","=""1190011""",2340,282,2622
"Salem School District","=""1210011""",465,41,506
"Salisbury School District","=""1220011""",267,40,307
"Scotland School District","=""1230011""",162,28,190
"Seymour School District","=""1240011""",2419,200,2619
"Sharon School District","=""1250011""",181,38,219
"Shelton School District","=""1260011""",5244,426,5670
"Sherman School District","=""1270011""",388,71,459
"Side By Side Charter School District","=""2700013""",209,21,230
"Simsbury School District","=""1280011""",4328,645,4973
"Somers School District","=""1290011""",1573,161,1734
"South Windsor School District","=""1320011""",4358,614,4972
"Southington School District","=""1310011""",6161,786,6947
"Sprague School District","=""1330011""",322,34,356
"Stafford School District","=""1340011""",1759,158,1917
"Stamford Academy District","=""2820013""",104,27,131
"Stamford School District","=""1350011""",13481,1501,14982
"Sterling School District","=""1360011""",440,64,504
"Stonington School District","=""1370011""",2274,275,2549
"Stratford School District","=""1380011""",6714,726,7440
"Suffield School District","=""1390011""",2314,280,2594
"The Bridge Academy District","=""2690013""",232,28,260
"The Gilbert School District","=""9020022""",364,44,408
"The Woodstock Academy District","=""9030022""",1095,58,1153
"Thomaston School District","=""1400011""",1085,187,1272
"Thompson School District","=""1410011""",1345,143,1488
"Tolland School District","=""1420011""",2800,343,3143
"Torrington School District","=""1430011""",4167,701,4868
"Trailblazers Academy District","=""2780013""",114,36,150
"Trumbull School District","=""1440011""",6282,636,6918
"Unified School District #1","=""3360015""",716,479,1195
"Unified School District #2","=""3470015""",73,302,375
"Union School District","=""1450011""","*","*",73
"Vernon School District","=""1460011""",3340,382,3722
"Voluntown School District","=""1470011""",280,35,315
"Wallingford School District","=""1480011""",6091,764,6855
"Waterbury School District","=""1510011""",15669,2732,18401
"Waterford School District","=""1520011""",2632,322,2954
"Watertown School District","=""1530011""",3035,377,3412
"West Hartford School District","=""1550011""",8861,1184,10045
"West Haven School District","=""1560011""",5772,718,6490
"Westbrook School District","=""1540011""",900,85,985
"Weston School District","=""1570011""",2365,226,2591
"Westport School District","=""1580011""",5112,588,5700
"Wethersfield School District","=""1590011""",3446,392,3838
"Willington School District","=""1600011""",512,89,601
"Wilton School District","=""1610011""",3927,457,4384
"Winchester School District","=""1620011""",882,191,1073
"Windham School District","=""1630011""",3019,656,3675
"Windsor Locks School District","=""1650011""",1620,223,1843
"Windsor School District","=""1640011""",3614,514,4128
"Wolcott School District","=""1660011""",2621,307,2928
"Woodbridge School District","=""1670011""",717,71,788
"Woodstock School District","=""1690011""",844,107,951
"Total","=""""",506098,68750,574848

