"Student Counts by District and Special Education Status"
"All Districts"
"2020-21"

"",,"Special Education Status",,
"District","District Code","Students without Disabilities","Students with Disabilities","Total"
"Achievement First Bridgeport Academy District","=""2850013""",1021,106,1127
"Achievement First Hartford Academy District","=""2880013""",1049,115,1164
"Amistad Academy District","=""2790013""",1033,101,1134
"Andover School District","=""0010011""",151,23,174
"Ansonia School District","=""0020011""",1820,418,2238
"Area Cooperative Educational Services","=""2440014""",1050,776,1826
"Ashford School District","=""0030011""",317,53,370
"Avon School District","=""0040011""",2797,331,3128
"Barkhamsted School District","=""0050011""",152,51,203
"Berlin School District","=""0070011""",2291,424,2715
"Bethany School District","=""0080011""",317,53,370
"Bethel School District","=""0090011""",2676,413,3089
"Bloomfield School District","=""0110011""",1690,390,2080
"Bolton School District","=""0120011""",666,87,753
"Booker T. Washington Academy District","=""2950013""",444,36,480
"Bozrah School District","=""0130011""",140,40,180
"Branford School District","=""0140011""",2226,364,2590
"Brass City Charter School District","=""2900013""",327,34,361
"Bridgeport School District","=""0150011""",15765,3684,19449
"Bristol School District","=""0170011""",6133,1593,7726
"Brookfield School District","=""0180011""",2195,368,2563
"Brooklyn School District","=""0190011""",689,142,831
"Canaan School District","=""0210011""","*","*",68
"Canterbury School District","=""0220011""",385,50,435
"Canton School District","=""0230011""",1302,215,1517
"Capital Preparatory Harbor School District","=""2970013""",713,72,785
"Capitol Region Education Council","=""2410014""",7163,1636,8799
"Chaplin School District","=""0240011""",106,25,131
"Cheshire School District","=""0250011""",3573,549,4122
"Chester School District","=""0260011""",176,25,201
"Clinton School District","=""0270011""",1357,213,1570
"Colchester School District","=""0280011""",1840,353,2193
"Colebrook School District","=""0290011""",55,20,75
"Columbia School District","=""0300011""",358,44,402
"Common Ground High School District","=""2680013""",180,56,236
"Connecticut Technical Education and Career System","=""9000016""",9850,1488,11338
"Cooperative Educational Services","=""2430014""",463,326,789
"Cornwall School District","=""0310011""",93,11,104
"Coventry School District","=""0320011""",1385,221,1606
"Cromwell School District","=""0330011""",1765,224,1989
"Danbury School District","=""0340011""",10193,1641,11834
"Darien School District","=""0350011""",3880,802,4682
"Deep River School District","=""0360011""",187,31,218
"Department of Mental Health and Addiction Services","=""""",0,"*","*"
"Derby School District","=""0370011""",968,266,1234
"East Granby School District","=""0400011""",708,126,834
"East Haddam School District","=""0410011""",804,131,935
"East Hampton School District","=""0420011""",1544,280,1824
"East Hartford School District","=""0430011""",5153,1428,6581
"East Haven School District","=""0440011""",2337,464,2801
"East Lyme School District","=""0450011""",2185,427,2612
"East Windsor School District","=""0470011""",826,224,1050
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",246,198,444
"Eastford School District","=""0390011""",113,27,140
"Easton School District","=""0460011""",739,119,858
"EdAdvance","=""2420014""",137,91,228
"Ellington School District","=""0480011""",2266,360,2626
"Elm City College Preparatory School District","=""2890013""",702,72,774
"Elm City Montessori School District","=""2910013""",243,16,259
"Enfield School District","=""0490011""",4038,883,4921
"Essex School District","=""0500011""",258,55,313
"Explorations District","=""2720013""",53,33,86
"Fairfield School District","=""0510011""",8006,1438,9444
"Farmington School District","=""0520011""",3577,509,4086
"Franklin School District","=""0530011""",151,14,165
"Glastonbury School District","=""0540011""",5097,661,5758
"Granby School District","=""0560011""",1458,271,1729
"Great Oaks Charter School District","=""2940013""",550,120,670
"Greenwich School District","=""0570011""",7660,1136,8796
"Griswold School District","=""0580011""",1336,335,1671
"Groton School District","=""0590011""",3302,766,4068
"Guilford School District","=""0600011""",2723,382,3105
"Hamden School District","=""0620011""",4340,1004,5344
"Hampton School District","=""0630011""",56,17,73
"Hartford School District","=""0640011""",14123,3610,17733
"Hartland School District","=""0650011""",113,32,145
"Hebron School District","=""0670011""",561,75,636
"Highville Charter School District","=""2860013""",424,23,447
"Integrated Day Charter School District","=""2640013""",321,32,353
"Interdistrict School for Arts and Comm District","=""2650013""",227,54,281
"Jumoke Academy District","=""2610013""",635,51,686
"Kent School District","=""0680011""",184,23,207
"Killingly School District","=""0690011""",1928,408,2336
"Learn","=""2450014""",1973,386,2359
"Lebanon School District","=""0710011""",780,168,948
"Ledyard School District","=""0720011""",1921,437,2358
"Lisbon School District","=""0730011""",361,69,430
"Litchfield School District","=""0740011""",686,135,821
"Madison School District","=""0760011""",2105,373,2478
"Manchester School District","=""0770011""",5059,1032,6091
"Mansfield School District","=""0780011""",898,141,1039
"Marlborough School District","=""0790011""",388,54,442
"Meriden School District","=""0800011""",6420,1698,8118
"Middletown School District","=""0830011""",3760,649,4409
"Milford School District","=""0840011""",4574,859,5433
"Monroe School District","=""0850011""",2758,421,3179
"Montville School District","=""0860011""",1607,357,1964
"Naugatuck School District","=""0880011""",3480,775,4255
"New Beginnings Inc Family Academy District","=""2800013""",456,46,502
"New Britain School District","=""0890011""",7574,2091,9665
"New Canaan School District","=""0900011""",3701,531,4232
"New Fairfield School District","=""0910011""",1806,326,2132
"New Hartford School District","=""0920011""",355,65,420
"New Haven School District","=""0930011""",16918,3133,20051
"New London School District","=""0950011""",2669,628,3297
"New Milford School District","=""0960011""",3144,589,3733
"Newington School District","=""0940011""",3379,595,3974
"Newtown School District","=""0970011""",3463,590,4053
"Norfolk School District","=""0980011""",62,18,80
"North Branford School District","=""0990011""",1376,239,1615
"North Canaan School District","=""1000011""",208,40,248
"North Haven School District","=""1010011""",2702,391,3093
"North Stonington School District","=""1020011""",635,72,707
"Norwalk School District","=""1030011""",9863,1716,11579
