"Student Counts by District and Special Education Status"
"All Districts"
"2022-23"

"",,"Special Education Status",,
"District","District Code","Students without Disabilities","Students with Disabilities","Total"
"Achievement First Bridgeport Academy District","=""2850013""",975,109,1084
"Achievement First Hartford Academy District","=""2880013""",937,104,1041
"Amistad Academy District","=""2790013""",1016,100,1116
"Andover School District","=""0010011""",166,31,197
"Ansonia School District","=""0020011""",1943,389,2332
"Area Cooperative Educational Services","=""2440014""",988,752,1740
"Ashford School District","=""0030011""",315,53,368
"Avon School District","=""0040011""",2735,371,3106
"Barkhamsted School District","=""0050011""",163,46,209
"Berlin School District","=""0070011""",2255,427,2682
"Bethany School District","=""0080011""",363,66,429
"Bethel School District","=""0090011""",2711,512,3223
"Bloomfield School District","=""0110011""",1646,409,2055
"Bolton School District","=""0120011""",647,87,734
"Booker T. Washington Academy District","=""2950013""",411,33,444
"Bozrah School District","=""0130011""",138,32,170
"Branford School District","=""0140011""",2312,339,2651
"Brass City Charter School District","=""2900013""",307,53,360
"Bridgeport School District","=""0150011""",15567,3770,19337
"Bristol School District","=""0170011""",6159,1625,7784
"Brookfield School District","=""0180011""",2185,378,2563
"Brooklyn School District","=""0190011""",737,166,903
"Canaan School District","=""0210011""",62,10,72
"Canterbury School District","=""0220011""",411,63,474
"Canton School District","=""0230011""",1269,259,1528
"Capital Preparatory Harbor School District","=""2970013""",689,83,772
"Capitol Region Education Council","=""2410014""",7126,1816,8942
"Chaplin School District","=""0240011""",119,25,144
"Cheshire School District","=""0250011""",3632,576,4208
"Chester School District","=""0260011""",193,29,222
"Clinton School District","=""0270011""",1273,224,1497
"Colchester School District","=""0280011""",1871,364,2235
"Colebrook School District","=""0290011""",57,15,72
"Columbia School District","=""0300011""",408,56,464
"Common Ground High School District","=""2680013""",161,65,226
"Connecticut Technical Education and Career System","=""9000016""",9325,1858,11183
"Cooperative Educational Services","=""2430014""",488,334,822
"Cornwall School District","=""0310011""",83,11,94
"Coventry School District","=""0320011""",1431,226,1657
"Cromwell School District","=""0330011""",1704,243,1947
"Danbury School District","=""0340011""",10414,1695,12109
"Darien School District","=""0350011""",3818,882,4700
"Deep River School District","=""0360011""",164,28,192
"Department of Mental Health and Addiction Services","=""""",0,"*","*"
"Derby School District","=""0370011""",1017,300,1317
"East Granby School District","=""0400011""",746,118,864
"East Haddam School District","=""0410011""",846,144,990
"East Hampton School District","=""0420011""",1467,303,1770
"East Hartford School District","=""0430011""",4963,1429,6392
"East Haven School District","=""0440011""",2378,507,2885
"East Lyme School District","=""0450011""",2120,497,2617
"East Windsor School District","=""0470011""",825,205,1030
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",254,150,404
"Eastford School District","=""0390011""",129,25,154
"Easton School District","=""0460011""",781,122,903
"EdAdvance","=""2420014""",171,106,277
"Ellington School District","=""0480011""",2182,404,2586
"Elm City College Preparatory School District","=""2890013""",713,70,783
"Elm City Montessori School District","=""2910013""",270,28,298
"Enfield School District","=""0490011""",3991,922,4913
"Essex School District","=""0500011""",235,66,301
"Explorations District","=""2720013""",62,31,93
"Fairfield School District","=""0510011""",7718,1661,9379
"Farmington School District","=""0520011""",3607,540,4147
"Franklin School District","=""0530011""",169,18,187
"Glastonbury School District","=""0540011""",4997,666,5663
"Goodwin University Educational Services (GUES)","=""2310018""",943,197,1140
"Granby School District","=""0560011""",1472,266,1738
"Great Oaks Charter School District","=""2940013""",526,138,664
"Greenwich School District","=""0570011""",7281,1279,8560
"Griswold School District","=""0580011""",1365,360,1725
"Groton School District","=""0590011""",3311,793,4104
"Guilford School District","=""0600011""",2713,442,3155
"Hamden School District","=""0620011""",4442,1026,5468
"Hampton School District","=""0630011""",49,18,67
"Hartford School District","=""0640011""",13372,3402,16774
"Hartland School District","=""0650011""",90,26,116
"Hebron School District","=""0670011""",608,88,696
"Highville Charter School District","=""2860013""",462,43,505
"Integrated Day Charter School District","=""2640013""",325,36,361
"Interdistrict School for Arts and Comm District","=""2650013""",237,44,281
"Jumoke Academy District","=""2610013""",582,47,629
"Kent School District","=""0680011""",167,27,194
"Killingly School District","=""0690011""",1946,504,2450
"Learn","=""2450014""",1190,220,1410
"Lebanon School District","=""0710011""",795,163,958
"Ledyard School District","=""0720011""",1978,443,2421
"Lisbon School District","=""0730011""",347,90,437
"Litchfield School District","=""0740011""",662,151,813
"Madison School District","=""0760011""",2067,377,2444
"Manchester School District","=""0770011""",5093,1099,6192
"Mansfield School District","=""0780011""",881,146,1027
"Marlborough School District","=""0790011""",393,63,456
"Meriden School District","=""0800011""",6835,1795,8630
"Middletown School District","=""0830011""",3718,696,4414
"Milford School District","=""0840011""",4463,919,5382
"Monroe School District","=""0850011""",2891,507,3398
"Montville School District","=""0860011""",1620,397,2017
"Naugatuck School District","=""0880011""",3511,826,4337
"New Beginnings Inc Family Academy District","=""2800013""",372,34,406
"New Britain School District","=""0890011""",7519,2198,9717
"New Canaan School District","=""0900011""",3645,523,4168
"New Fairfield School District","=""0910011""",1768,375,2143
"New Hartford School District","=""0920011""",379,64,443
"New Haven School District","=""0930011""",16167,2983,19150
"New London School District","=""0950011""",2362,586,2948
"New Milford School District","=""0960011""",3067,616,3683
"Newington School District","=""0940011""",3316,621,3937
"Newtown School District","=""0970011""",3354,649,4003
"Norfolk School District","=""0980011""",50,16,66
"North Branford School District","=""0990011""",1295,243,1538
"North Canaan School District","=""1000011""",200,38,238
"North Haven School District","=""1010011""",2746,441,3187
"North Stonington School District","=""1020011""",666,93,759
"Norwalk School District","=""1030011""",9669,1845,11514
"Norwich Free Academy District","=""9010022""",1833,273,2106
"Norwich School District","=""1040011""",2681,667,3348
"Odyssey Community School District","=""2630013""",341,33,374
"Old Saybrook School District","=""1060011""",895,175,1070
"Orange School District","=""1070011""",1138,143,1281
"Oxford School District","=""1080011""",1454,263,1717
"Park City Prep Charter School District","=""2830013""",348,35,383
"Plainfield School District","=""1090011""",1580,364,1944
"Plainville School District","=""1100011""",1950,341,2291
"Plymouth School District","=""1110011""",1029,277,1306
"Pomfret School District","=""1120011""",315,55,370
"Portland School District","=""1130011""",998,242,1240
"Preston School District","=""1140011""",380,60,440
"Putnam School District","=""1160011""",962,223,1185
"Redding School District","=""1170011""",709,123,832
"Regional School District 01","=""2010012""",270,56,326
"Regional School District 04","=""2040012""",596,155,751
"Regional School District 05","=""2050012""",1813,262,2075
"Regional School District 06","=""2060012""",695,158,853
"Regional School District 07","=""2070012""",683,207,890
"Regional School District 08","=""2080012""",1011,195,1206
"Regional School District 09","=""2090012""",657,122,779
"Regional School District 10","=""2100012""",1840,307,2147
"Regional School District 11","=""2110012""",176,49,225
"Regional School District 12","=""2120012""",685,119,804
"Regional School District 13","=""2130012""",1052,313,1365
"Regional School District 14","=""2140012""",1327,290,1617
"Regional School District 15","=""2150012""",2831,638,3469
"Regional School District 16","=""2160012""",1663,295,1958
"Regional School District 17","=""2170012""",1492,322,1814
"Regional School District 18","=""2180012""",1106,182,1288
"Regional School District 19","=""2190012""",932,194,1126
"Ridgefield School District","=""1180011""",3777,791,4568
"Rocky Hill School District","=""1190011""",2179,371,2550
"Salem School District","=""1210011""",329,72,401
"Salisbury School District","=""1220011""",257,39,296
"Scotland School District","=""1230011""",77,20,97
"Seymour School District","=""1240011""",1790,343,2133
"Sharon School District","=""1250011""",76,21,97
"Shelton School District","=""1260011""",3785,727,4512
"Sherman School District","=""1270011""",230,35,265
"Side By Side Charter School District","=""2700013""",215,21,236
"Simsbury School District","=""1280011""",3425,700,4125
"Somers School District","=""1290011""",1148,197,1345
"South Windsor School District","=""1320011""",4231,646,4877
"Southington School District","=""1310011""",5272,1012,6284
"Sprague School District","=""1330011""",227,49,276
"Stafford School District","=""1340011""",1140,261,1401
"Stamford Charter School for Excellence District","=""2960013""",533,28,561
"Stamford School District","=""1350011""",13567,2591,16158
"Sterling School District","=""1360011""",266,57,323
"Stonington School District","=""1370011""",1528,272,1800
"Stratford School District","=""1380011""",5628,1134,6762
"Suffield School District","=""1390011""",1732,309,2041
"The Bridge Academy District","=""2690013""",231,49,280
"The Gilbert School District","=""9020022""",356,54,410
"The Woodstock Academy District","=""9030022""",957,84,1041
"Thomaston School District","=""1400011""",707,113,820
"Thompson School District","=""1410011""",724,203,927
"Tolland School District","=""1420011""",1938,364,2302
"Torrington School District","=""1430011""",3171,712,3883
"Trumbull School District","=""1440011""",5934,986,6920
"Unified School District #1","=""3360015""",16,108,124
