"Student Counts by District and Special Education Status"
"All Districts"
"2009-10"

"",,"Special Education Status",,
"District","District Code","Students without Disabilities","Students with Disabilities","Total"
"Achievement First Bridgeport Academy District","=""2850013""",219,19,238
"Achievement First Hartford Academy District","=""2880013""",407,33,440
"Amistad Academy District","=""2790013""",717,27,744
"Andover School District","=""0010011""",308,28,336
"Ansonia School District","=""0020011""",2470,268,2738
"Area Cooperative Educational Services","=""2440014""",1344,732,2076
"Ashford School District","=""0030011""",415,63,478
"Avon School District","=""0040011""",3206,392,3598
"Barkhamsted School District","=""0050011""",322,45,367
"Berlin School District","=""0070011""",2816,353,3169
"Bethany School District","=""0080011""",435,81,516
"Bethel School District","=""0090011""",2703,350,3053
"Bloomfield School District","=""0110011""",2074,224,2298
"Bolton School District","=""0120011""",803,85,888
"Bozrah School District","=""0130011""",217,41,258
"Branford School District","=""0140011""",3064,470,3534
"Bridgeport School District","=""0150011""",17683,2624,20307
"Bristol School District","=""0170011""",7532,1221,8753
"Brookfield School District","=""0180011""",2696,210,2906
"Brooklyn School District","=""0190011""",847,125,972
"Canaan School District","=""0210011""",79,16,95
"Canterbury School District","=""0220011""",505,51,556
"Canton School District","=""0230011""",1595,180,1775
"Capitol Region Education Council","=""2410014""",3305,643,3948
"Chaplin School District","=""0240011""",155,18,173
"Charter School for Young Children on Asylum Hill District","=""2870013""",176,9,185
"Cheshire School District","=""0250011""",4459,512,4971
"Chester School District","=""0260011""",261,38,299
"Clinton School District","=""0270011""",1764,271,2035
"Colchester School District","=""0280011""",2831,397,3228
"Colebrook School District","=""0290011""",99,20,119
"Columbia School District","=""0300011""",508,52,560
"Common Ground High School District","=""2680013""",138,22,160
"Connecticut Technical Education and Career System","=""9000016""",9704,765,10469
"Cooperative Educational Services","=""2430014""",471,307,778
"Cornwall School District","=""0310011""",100,22,122
"Coventry School District","=""0320011""",1695,225,1920
"Cromwell School District","=""0330011""",1858,210,2068
"Danbury School District","=""0340011""",9331,1152,10483
"Darien School District","=""0350011""",4237,554,4791
"Deep River School District","=""0360011""",310,41,351
"Department of Mental Health and Addiction Services","=""""",0,"*","*"
"Derby School District","=""0370011""",1334,140,1474
"East Granby School District","=""0400011""",806,101,907
"East Haddam School District","=""0410011""",1222,183,1405
"East Hampton School District","=""0420011""",1862,172,2034
"East Hartford School District","=""0430011""",6168,1112,7280
"East Haven School District","=""0440011""",3087,459,3546
"East Lyme School District","=""0450011""",2729,384,3113
"East Windsor School District","=""0470011""",1201,196,1397
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",141,67,208
"Eastford School District","=""0390011""",140,31,171
"Easton School District","=""0460011""",1016,98,1114
"EdAdvance","=""2420014""",174,26,200
"Ellington School District","=""0480011""",2416,259,2675
"Elm City College Preparatory School District","=""2890013""",517,30,547
"Enfield School District","=""0490011""",5282,837,6119
"Essex School District","=""0500011""",534,59,593
"Explorations District","=""2720013""",59,21,80
"Fairfield School District","=""0510011""",9059,1075,10134
"Farmington School District","=""0520011""",3742,427,4169
"Franklin School District","=""0530011""",200,25,225
"Glastonbury School District","=""0540011""",6166,680,6846
"Granby School District","=""0560011""",2107,187,2294
"Greenwich School District","=""0570011""",7866,997,8863
"Griswold School District","=""0580011""",1798,270,2068
"Groton School District","=""0590011""",4435,628,5063
"Guilford School District","=""0600011""",3337,399,3736
"Hamden School District","=""0620011""",5216,781,5997
"Hampton School District","=""0630011""",125,18,143
"Hartford School District","=""0640011""",18493,3059,21552
"Hartland School District","=""0650011""",212,17,229
"Hebron School District","=""0670011""",1028,144,1172
"Highville Charter School District","=""2860013""","*","*",303
"Integrated Day Charter School District","=""2640013""",304,26,330
"Interdistrict School for Arts and Comm District","=""2650013""",158,24,182
"Jumoke Academy District","=""2610013""",424,10,434
"Kent School District","=""0680011""",237,45,282
"Killingly School District","=""0690011""",2330,378,2708
"Learn","=""2450014""",969,152,1121
"Lebanon School District","=""0710011""",1281,176,1457
"Ledyard School District","=""0720011""",2334,348,2682
"Lisbon School District","=""0730011""",502,67,569
"Litchfield School District","=""0740011""",1079,128,1207
"Madison School District","=""0760011""",3313,382,3695
"Manchester School District","=""0770011""",5941,1000,6941
"Mansfield School District","=""0780011""",1104,171,1275
"Marlborough School District","=""0790011""",620,49,669
"Meriden School District","=""0800011""",7258,1205,8463
"Middletown School District","=""0830011""",4641,598,5239
"Milford School District","=""0840011""",6241,906,7147
"Monroe School District","=""0850011""",3515,384,3899
"Montville School District","=""0860011""",2416,282,2698
"Naugatuck School District","=""0880011""",4302,591,4893
"New Beginnings Inc Family Academy District","=""2800013""",341,19,360
"New Britain School District","=""0890011""",8787,1531,10318
"New Canaan School District","=""0900011""",3614,477,4091
"New Fairfield School District","=""0910011""",2698,333,3031
"New Hartford School District","=""0920011""",563,69,632
"New Haven School District","=""0930011""",17849,2098,19947
"New London School District","=""0950011""",2589,431,3020
"New Milford School District","=""0960011""",4202,681,4883
"Newington School District","=""0940011""",3954,538,4492
"Newtown School District","=""0970011""",5026,484,5510
"Norfolk School District","=""0980011""",122,22,144
"North Branford School District","=""0990011""",2060,282,2342
"North Canaan School District","=""1000011""",283,45,328
"North Haven School District","=""1010011""",3303,409,3712
"North Stonington School District","=""1020011""",708,84,792
"Norwalk School District","=""1030011""",9780,1182,10962
"Norwich Free Academy District","=""9010022""",2081,340,2421
"Norwich School District","=""1040011""",3315,631,3946
"Odyssey Community School District","=""2630013""",161,19,180
"Old Saybrook School District","=""1060011""",1428,171,1599
"Orange School District","=""1070011""",1174,127,1301
"Oxford School District","=""1080011""",2006,157,2163
"Park City Prep Charter School District","=""2830013""",225,17,242
"Plainfield School District","=""1090011""",2413,324,2737
"Plainville School District","=""1100011""",2217,337,2554
