"Student Counts by District and Special Education Status"
"All Districts"
"2014-15"

"",,"Special Education Status",,
"District","District Code","Students without Disabilities","Students with Disabilities","Total"
"Achievement First Bridgeport Academy District","=""2850013""",897,80,977
"Achievement First Hartford Academy District","=""2880013""",863,91,954
"Amistad Academy District","=""2790013""",934,50,984
"Andover School District","=""0010011""",255,20,275
"Ansonia School District","=""0020011""",2021,394,2415
"Area Cooperative Educational Services","=""2440014""",1192,747,1939
"Ashford School District","=""0030011""",367,50,417
"Avon School District","=""0040011""",3009,323,3332
"Barkhamsted School District","=""0050011""",268,49,317
"Berlin School District","=""0070011""",2585,324,2909
"Bethany School District","=""0080011""",344,63,407
"Bethel School District","=""0090011""",2614,325,2939
"Bloomfield School District","=""0110011""",1831,284,2115
"Bolton School District","=""0120011""",749,98,847
"Booker T. Washington Academy District","=""2950013""","*","*",91
"Bozrah School District","=""0130011""",185,26,211
"Branford School District","=""0140011""",2696,412,3108
"Brass City Charter School District","=""2900013""",139,11,150
"Bridgeport School District","=""0150011""",18130,3114,21244
"Bristol School District","=""0170011""",6827,1406,8233
"Brookfield School District","=""0180011""",2399,320,2719
"Brooklyn School District","=""0190011""",816,104,920
"Canaan School District","=""0210011""",69,9,78
"Canterbury School District","=""0220011""",427,50,477
"Canton School District","=""0230011""",1455,174,1629
"Capitol Region Education Council","=""2410014""",6924,1242,8166
"Chaplin School District","=""0240011""",154,24,178
"Cheshire School District","=""0250011""",4056,495,4551
"Chester School District","=""0260011""",184,35,219
"Clinton School District","=""0270011""",1686,202,1888
"Colchester School District","=""0280011""",2283,371,2654
"Colebrook School District","=""0290011""",74,17,91
"Columbia School District","=""0300011""",403,55,458
"Common Ground High School District","=""2680013""",150,30,180
"Connecticut Technical Education and Career System","=""9000016""",9825,965,10790
"Cooperative Educational Services","=""2430014""",506,343,849
"Cornwall School District","=""0310011""",76,15,91
"Coventry School District","=""0320011""",1426,225,1651
"Cromwell School District","=""0330011""",1758,226,1984
"Danbury School District","=""0340011""",9612,1333,10945
"Darien School District","=""0350011""",4338,594,4932
"Deep River School District","=""0360011""",268,48,316
"Department of Mental Health and Addiction Services","=""""",0,7,7
"Derby School District","=""0370011""",1256,211,1467
"East Granby School District","=""0400011""",793,93,886
"East Haddam School District","=""0410011""",966,177,1143
"East Hampton School District","=""0420011""",1673,162,1835
"East Hartford School District","=""0430011""",5929,1131,7060
"East Haven School District","=""0440011""",2621,390,3011
"East Lyme School District","=""0450011""",2449,390,2839
"East Windsor School District","=""0470011""",922,216,1138
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",261,150,411
"Eastford School District","=""0390011""",121,18,139
"Easton School District","=""0460011""",844,92,936
"EdAdvance","=""2420014""",213,37,250
"Ellington School District","=""0480011""",2364,294,2658
"Elm City College Preparatory School District","=""2890013""",600,35,635
"Elm City Montessori School District","=""2910013""","*","*",70
"Enfield School District","=""0490011""",4424,750,5174
"Essex School District","=""0500011""",373,81,454
"Explorations District","=""2720013""",58,30,88
"Fairfield School District","=""0510011""",9067,1146,10213
"Farmington School District","=""0520011""",3538,482,4020
"Franklin School District","=""0530011""",143,27,170
"Glastonbury School District","=""0540011""",5544,604,6148
"Granby School District","=""0560011""",1770,200,1970
"Great Oaks Charter School District","=""2940013""",110,17,127
"Greenwich School District","=""0570011""",7897,916,8813
"Griswold School District","=""0580011""",1620,277,1897
"Groton School District","=""0590011""",3858,707,4565
"Guilford School District","=""0600011""",3033,394,3427
"Hamden School District","=""0620011""",4801,879,5680
"Hampton School District","=""0630011""",89,16,105
"Hartford School District","=""0640011""",18400,3552,21952
"Hartland School District","=""0650011""",176,27,203
"Hebron School District","=""0670011""",663,123,786
"Highville Charter School District","=""2860013""",385,18,403
"Integrated Day Charter School District","=""2640013""",302,29,331
"Interdistrict School for Arts and Comm District","=""2650013""",224,38,262
"Jumoke Academy District","=""2610013""",672,44,716
"Kent School District","=""0680011""",227,31,258
"Killingly School District","=""0690011""",2164,413,2577
"Learn","=""2450014""",1957,313,2270
"Lebanon School District","=""0710011""",933,172,1105
"Ledyard School District","=""0720011""",2148,392,2540
"Lisbon School District","=""0730011""",351,52,403
"Litchfield School District","=""0740011""",869,114,983
"Madison School District","=""0760011""",2796,375,3171
"Manchester School District","=""0770011""",5429,838,6267
"Mansfield School District","=""0780011""",1089,153,1242
"Marlborough School District","=""0790011""",545,55,600
"Meriden School District","=""0800011""",6686,1414,8100
"Middletown School District","=""0830011""",4159,635,4794
"Milford School District","=""0840011""",5512,766,6278
"Monroe School District","=""0850011""",2945,354,3299
"Montville School District","=""0860011""",2047,309,2356
"Naugatuck School District","=""0880011""",3654,662,4316
"New Beginnings Inc Family Academy District","=""2800013""",431,42,473
"New Britain School District","=""0890011""",8460,1641,10101
"New Canaan School District","=""0900011""",3805,408,4213
"New Fairfield School District","=""0910011""",2396,266,2662
"New Hartford School District","=""0920011""",447,59,506
"New Haven School District","=""0930011""",19004,2708,21712
"New London School District","=""0950011""",2647,606,3253
"New Milford School District","=""0960011""",3781,581,4362
"Newington School District","=""0940011""",3592,535,4127
"Newtown School District","=""0970011""",4302,465,4767
"Norfolk School District","=""0980011""",96,20,116
"North Branford School District","=""0990011""",1677,292,1969
"North Canaan School District","=""1000011""",238,42,280
"North Haven School District","=""1010011""",2938,374,3312
"North Stonington School District","=""1020011""",668,73,741
"Norwalk School District","=""1030011""",9955,1356,11311
"Norwich Free Academy District","=""9010022""",2023,294,2317
"Norwich School District","=""1040011""",3124,640,3764
"Odyssey Community School District","=""2630013""",302,26,328
"Old Saybrook School District","=""1060011""",1220,205,1425
"Orange School District","=""1070011""",1075,105,1180
"Oxford School District","=""1080011""",1741,238,1979
"Park City Prep Charter School District","=""2830013""",334,26,360
"Path Academy District","=""2930013""",96,36,132
"Plainfield School District","=""1090011""",2022,329,2351
"Plainville School District","=""1100011""",2072,340,2412
"Plymouth School District","=""1110011""",1330,226,1556
"Pomfret School District","=""1120011""",368,42,410
"Portland School District","=""1130011""",1190,144,1334
"Preston School District","=""1140011""",347,79,426
"Putnam School District","=""1160011""",1071,181,1252
"Redding School District","=""1170011""",863,138,1001
"Regional School District 01","=""2010012""",341,65,406
"Regional School District 04","=""2040012""",847,127,974
"Regional School District 05","=""2050012""",2072,256,2328
"Regional School District 06","=""2060012""",836,135,971
"Regional School District 07","=""2070012""",949,127,1076
"Regional School District 08","=""2080012""",1460,201,1661
"Regional School District 09","=""2090012""",945,120,1065
"Regional School District 10","=""2100012""",2225,259,2484
"Regional School District 11","=""2110012""",215,63,278
"Regional School District 12","=""2120012""",641,111,752
"Regional School District 13","=""2130012""",1539,293,1832
"Regional School District 14","=""2140012""",1606,197,1803
"Regional School District 15","=""2150012""",3367,501,3868
"Regional School District 16","=""2160012""",1991,338,2329
"Regional School District 17","=""2170012""",1838,348,2186
"Regional School District 18","=""2180012""",1184,170,1354
"Regional School District 19","=""2190012""",1011,193,1204
"Ridgefield School District","=""1180011""",4702,476,5178
