"Student Counts by District and Special Education Status"
"All Districts"
"2010-11"

"",,"Special Education Status",,
"District","District Code","Students without Disabilities","Students with Disabilities","Total"
"Achievement First Bridgeport Academy District","=""2850013""",379,30,409
"Achievement First Hartford Academy District","=""2880013""",563,47,610
"Amistad Academy District","=""2790013""",767,45,812
"Andover School District","=""0010011""",306,28,334
"Ansonia School District","=""0020011""",2348,279,2627
"Area Cooperative Educational Services","=""2440014""",1264,727,1991
"Ashford School District","=""0030011""",420,59,479
"Avon School District","=""0040011""",3190,374,3564
"Barkhamsted School District","=""0050011""",323,50,373
"Berlin School District","=""0070011""",2809,320,3129
"Bethany School District","=""0080011""",443,71,514
"Bethel School District","=""0090011""",2620,329,2949
"Bloomfield School District","=""0110011""",1979,228,2207
"Bolton School District","=""0120011""",816,88,904
"Bozrah School District","=""0130011""",202,34,236
"Branford School District","=""0140011""",2974,471,3445
"Bridgeport School District","=""0150011""",17804,2653,20457
"Bristol School District","=""0170011""",7410,1256,8666
"Brookfield School District","=""0180011""",2627,247,2874
"Brooklyn School District","=""0190011""",850,107,957
"Canaan School District","=""0210011""",73,13,86
"Canterbury School District","=""0220011""",465,63,528
"Canton School District","=""0230011""",1627,162,1789
"Capitol Region Education Council","=""2410014""",3964,682,4646
"Chaplin School District","=""0240011""",167,20,187
"Charter School for Young Children on Asylum Hill District","=""2870013""",213,12,225
"Cheshire School District","=""0250011""",4330,495,4825
"Chester School District","=""0260011""",243,32,275
"Clinton School District","=""0270011""",1788,261,2049
"Colchester School District","=""0280011""",2715,386,3101
"Colebrook School District","=""0290011""",95,17,112
"Columbia School District","=""0300011""",490,55,545
"Common Ground High School District","=""2680013""",143,20,163
"Connecticut Technical Education and Career System","=""9000016""",9901,742,10643
"Cooperative Educational Services","=""2430014""",477,310,787
"Cornwall School District","=""0310011""",100,15,115
"Coventry School District","=""0320011""",1631,213,1844
"Cromwell School District","=""0330011""",1823,209,2032
"Danbury School District","=""0340011""",9517,1177,10694
"Darien School District","=""0350011""",4302,553,4855
"Deep River School District","=""0360011""",321,33,354
"Department of Mental Health and Addiction Services","=""""",0,"*","*"
"Derby School District","=""0370011""",1332,144,1476
"East Granby School District","=""0400011""",804,89,893
"East Haddam School District","=""0410011""",1189,166,1355
"East Hampton School District","=""0420011""",1827,151,1978
"East Hartford School District","=""0430011""",6031,1097,7128
"East Haven School District","=""0440011""",3008,440,3448
"East Lyme School District","=""0450011""",2701,383,3084
"East Windsor School District","=""0470011""",1166,179,1345
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",197,87,284
"Eastford School District","=""0390011""",152,28,180
"Easton School District","=""0460011""",1009,94,1103
"EdAdvance","=""2420014""",185,32,217
"Ellington School District","=""0480011""",2456,278,2734
"Elm City College Preparatory School District","=""2890013""",557,28,585
"Enfield School District","=""0490011""",5137,775,5912
"Essex School District","=""0500011""",528,66,594
"Explorations District","=""2720013""","*","*",80
"Fairfield School District","=""0510011""",9102,1105,10207
"Farmington School District","=""0520011""",3718,433,4151
"Franklin School District","=""0530011""",200,24,224
"Glastonbury School District","=""0540011""",6158,683,6841
"Granby School District","=""0560011""",2070,183,2253
"Greenwich School District","=""0570011""",7930,943,8873
"Griswold School District","=""0580011""",1754,259,2013
"Groton School District","=""0590011""",4320,677,4997
"Guilford School District","=""0600011""",3337,365,3702
"Hamden School District","=""0620011""",5271,773,6044
"Hampton School District","=""0630011""",117,23,140
"Hartford School District","=""0640011""",18363,3002,21365
"Hartland School District","=""0650011""",198,27,225
"Hebron School District","=""0670011""",999,137,1136
"Highville Charter School District","=""2860013""","*","*",300
"Integrated Day Charter School District","=""2640013""",309,22,331
"Interdistrict School for Arts and Comm District","=""2650013""",153,29,182
"Jumoke Academy District","=""2610013""",413,19,432
"Kent School District","=""0680011""",244,43,287
"Killingly School District","=""0690011""",2327,384,2711
"Learn","=""2450014""",1134,161,1295
"Lebanon School District","=""0710011""",1233,179,1412
"Ledyard School District","=""0720011""",2284,359,2643
"Lisbon School District","=""0730011""",465,70,535
"Litchfield School District","=""0740011""",1057,119,1176
"Madison School District","=""0760011""",3237,393,3630
"Manchester School District","=""0770011""",5899,963,6862
"Mansfield School District","=""0780011""",1160,171,1331
"Marlborough School District","=""0790011""",630,45,675
"Meriden School District","=""0800011""",7229,1177,8406
"Middletown School District","=""0830011""",4654,597,5251
"Milford School District","=""0840011""",6135,853,6988
"Monroe School District","=""0850011""",3398,363,3761
"Montville School District","=""0860011""",2378,292,2670
"Naugatuck School District","=""0880011""",4123,551,4674
"New Beginnings Inc Family Academy District","=""2800013""",338,22,360
"New Britain School District","=""0890011""",8691,1531,10222
"New Canaan School District","=""0900011""",3713,430,4143
"New Fairfield School District","=""0910011""",2586,334,2920
"New Hartford School District","=""0920011""",538,72,610
"New Haven School District","=""0930011""",17935,2259,20194
"New London School District","=""0950011""",2591,515,3106
"New Milford School District","=""0960011""",4116,657,4773
"Newington School District","=""0940011""",3913,534,4447
"Newtown School District","=""0970011""",4993,471,5464
"Norfolk School District","=""0980011""",117,24,141
"North Branford School District","=""0990011""",1994,299,2293
"North Canaan School District","=""1000011""",276,42,318
"North Haven School District","=""1010011""",3239,385,3624
"North Stonington School District","=""1020011""",723,73,796
"Norwalk School District","=""1030011""",9969,1174,11143
