"Student Counts by District and Special Education Status"
"All Districts"
"2021-22"

"",,"Special Education Status",,
"District","District Code","Students without Disabilities","Students with Disabilities","Total"
"Achievement First Bridgeport Academy District","=""2850013""",1001,104,1105
"Achievement First Hartford Academy District","=""2880013""",1011,112,1123
"Amistad Academy District","=""2790013""",1010,105,1115
"Andover School District","=""0010011""",166,26,192
"Ansonia School District","=""0020011""",1855,410,2265
"Area Cooperative Educational Services","=""2440014""",1069,750,1819
"Ashford School District","=""0030011""",329,52,381
"Avon School District","=""0040011""",2776,351,3127
"Barkhamsted School District","=""0050011""",161,48,209
"Berlin School District","=""0070011""",2246,422,2668
"Bethany School District","=""0080011""",329,60,389
"Bethel School District","=""0090011""",2709,451,3160
"Bloomfield School District","=""0110011""",1618,423,2041
"Bolton School District","=""0120011""",664,86,750
"Booker T. Washington Academy District","=""2950013""",478,41,519
"Bozrah School District","=""0130011""",133,36,169
"Branford School District","=""0140011""",2284,350,2634
"Brass City Charter School District","=""2900013""",321,39,360
"Bridgeport School District","=""0150011""",15567,3664,19231
"Bristol School District","=""0170011""",6166,1590,7756
"Brookfield School District","=""0180011""",2220,381,2601
"Brooklyn School District","=""0190011""",729,149,878
"Canaan School District","=""0210011""","*","*",74
"Canterbury School District","=""0220011""",411,59,470
"Canton School District","=""0230011""",1282,230,1512
"Capital Preparatory Harbor School District","=""2970013""",708,85,793
"Capitol Region Education Council","=""2410014""",7073,1678,8751
"Chaplin School District","=""0240011""",134,21,155
"Cheshire School District","=""0250011""",3616,577,4193
"Chester School District","=""0260011""",180,30,210
"Clinton School District","=""0270011""",1329,220,1549
"Colchester School District","=""0280011""",1880,341,2221
"Colebrook School District","=""0290011""",56,21,77
"Columbia School District","=""0300011""",388,54,442
"Common Ground High School District","=""2680013""",172,59,231
"Connecticut Technical Education and Career System","=""9000016""",9737,1763,11500
"Cooperative Educational Services","=""2430014""",507,321,828
"Cornwall School District","=""0310011""",103,8,111
"Coventry School District","=""0320011""",1435,223,1658
"Cromwell School District","=""0330011""",1711,237,1948
"Danbury School District","=""0340011""",10194,1649,11843
"Darien School District","=""0350011""",3881,873,4754
"Deep River School District","=""0360011""",165,39,204
"Department of Mental Health and Addiction Services","=""""",0,"*","*"
"Derby School District","=""0370011""",1011,274,1285
"East Granby School District","=""0400011""",698,129,827
"East Haddam School District","=""0410011""",828,143,971
"East Hampton School District","=""0420011""",1487,299,1786
"East Hartford School District","=""0430011""",4954,1372,6326
"East Haven School District","=""0440011""",2390,479,2869
"East Lyme School District","=""0450011""",2171,473,2644
"East Windsor School District","=""0470011""",813,218,1031
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",241,176,417
"Eastford School District","=""0390011""",122,22,144
"Easton School District","=""0460011""",767,128,895
"EdAdvance","=""2420014""",163,91,254
"Ellington School District","=""0480011""",2256,365,2621
"Elm City College Preparatory School District","=""2890013""",703,73,776
"Elm City Montessori School District","=""2910013""",263,19,282
"Enfield School District","=""0490011""",4017,878,4895
"Essex School District","=""0500011""",251,50,301
"Explorations District","=""2720013""",58,31,89
"Fairfield School District","=""0510011""",7847,1531,9378
"Farmington School District","=""0520011""",3591,525,4116
"Franklin School District","=""0530011""",163,17,180
