"Student Counts by District and Special Education Status"
"All Districts"
"2023-24"

"",,"Special Education Status",,
"District","District Code","Students without Disabilities","Students with Disabilities","Total"
"Achievement First Bridgeport Academy District","=""2850013""",962,136,1098
"Achievement First Hartford Academy District","=""2880013""",853,108,961
"Amistad Academy District","=""2790013""",1019,106,1125
"Andover School District","=""0010011""",184,21,205
"Ansonia School District","=""0020011""",1973,424,2397
"Area Cooperative Educational Services","=""2440014""",945,774,1719
"Ashford School District","=""0030011""",300,55,355
"Avon School District","=""0040011""",2739,386,3125
"Barkhamsted School District","=""0050011""",157,61,218
"Berlin School District","=""0070011""",2233,428,2661
"Bethany School District","=""0080011""",360,85,445
"Bethel School District","=""0090011""",2716,533,3249
"Bloomfield School District","=""0110011""",1581,401,1982
"Bolton School District","=""0120011""",612,87,699
"Booker T. Washington Academy District","=""2950013""",351,33,384
"Bozrah School District","=""0130011""",141,29,170
"Branford School District","=""0140011""",2259,366,2625
"Brass City Charter School District","=""2900013""",300,63,363
"Bridgeport School District","=""0150011""",15604,3987,19591
"Bristol School District","=""0170011""",6060,1714,7774
"Brookfield School District","=""0180011""",2202,380,2582
"Brooklyn School District","=""0190011""",700,185,885
"Canaan School District","=""0210011""",68,12,80
"Canterbury School District","=""0220011""",407,79,486
"Canton School District","=""0230011""",1235,271,1506
"Capital Preparatory Harbor School District","=""2970013""",711,70,781
"Capitol Region Education Council","=""2410014""",7014,1902,8916
"Chaplin School District","=""0240011""",124,30,154
"Cheshire School District","=""0250011""",3609,615,4224
"Chester School District","=""0260011""",181,26,207
"Clinton School District","=""0270011""",1221,236,1457
"Colchester School District","=""0280011""",1756,405,2161
"Colebrook School District","=""0290011""",48,18,66
"Columbia School District","=""0300011""",417,60,477
"Common Ground High School District","=""2680013""",156,67,223
"Connecticut Technical Education and Career System","=""9000016""",9275,1919,11194
"Cooperative Educational Services","=""2430014""",466,342,808
"Cornwall School District","=""0310011""",86,11,97
"Coventry School District","=""0320011""",1392,241,1633
"Cromwell School District","=""0330011""",1645,259,1904
"Danbury School District","=""0340011""",10363,1763,12126
"Darien School District","=""0350011""",3715,966,4681
"Deep River School District","=""0360011""",162,33,195
"Department of Mental Health and Addiction Services","=""""",0,"*","*"
"Derby School District","=""0370011""",1035,310,1345
"East Granby School District","=""0400011""",709,116,825
"East Haddam School District","=""0410011""",855,144,999
"East Hampton School District","=""0420011""",1431,311,1742
"East Hartford School District","=""0430011""",4901,1509,6410
"East Haven School District","=""0440011""",2360,543,2903
"East Lyme School District","=""0450011""",2013,493,2506
"East Windsor School District","=""0470011""",837,215,1052
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",228,140,368
"Eastford School District","=""0390011""",147,27,174
"Easton School District","=""0460011""",751,153,904
"EdAdvance","=""2420014""",179,109,288
"Ellington School District","=""0480011""",2113,434,2547
"Elm City College Preparatory School District","=""2890013""",698,77,775
"Elm City Montessori School District","=""2910013""",266,39,305
"Enfield School District","=""0490011""",3846,980,4826
"Essex School District","=""0500011""",220,80,300
"Explorations District","=""2720013""",59,29,88
"Fairfield School District","=""0510011""",7581,1774,9355
"Farmington School District","=""0520011""",3633,561,4194
"Franklin School District","=""0530011""",173,19,192
"Glastonbury School District","=""0540011""",4954,720,5674
"Goodwin University Educational Services (GUES)","=""2310018""",1001,213,1214
"Granby School District","=""0560011""",1474,268,1742
"Great Oaks Charter School District","=""2940013""",538,121,659
"Greenwich School District","=""0570011""",7270,1319,8589
"Griswold School District","=""0580011""",1413,362,1775
"Groton School District","=""0590011""",3293,806,4099
"Guilford School District","=""0600011""",2656,474,3130
"Hamden School District","=""0620011""",4366,1089,5455
"Hampton School District","=""0630011""",54,20,74
"Hartford School District","=""0640011""",13376,3463,16839
"Hartland School District","=""0650011""",87,22,109
"Hebron School District","=""0670011""",602,99,701
"Highville Charter School District","=""2860013""",460,44,504
"Integrated Day Charter School District","=""2640013""",322,40,362
"Interdistrict School for Arts and Comm District","=""2650013""",229,50,279
"Jumoke Academy District","=""2610013""",571,48,619
"Kent School District","=""0680011""",157,34,191
"Killingly School District","=""0690011""",1918,505,2423
"Learn","=""2450014""",1139,257,1396
"Lebanon School District","=""0710011""",794,191,985
"Ledyard School District","=""0720011""",1972,473,2445
"Lisbon School District","=""0730011""",348,94,442
"Litchfield School District","=""0740011""",670,152,822
"Madison School District","=""0760011""",2044,390,2434
"Manchester School District","=""0770011""",4986,1181,6167
"Mansfield School District","=""0780011""",862,140,1002
"Marlborough School District","=""0790011""",386,59,445
"Meriden School District","=""0800011""",6907,1882,8789
"Middletown School District","=""0830011""",3610,768,4378
"Milford School District","=""0840011""",4369,958,5327
"Monroe School District","=""0850011""",2914,556,3470
"Montville School District","=""0860011""",1591,430,2021
"Naugatuck School District","=""0880011""",3387,844,4231
"New Beginnings Inc Family Academy District","=""2800013""",356,36,392
"New Britain School District","=""0890011""",7559,2341,9900
"New Canaan School District","=""0900011""",3550,559,4109
"New Fairfield School District","=""0910011""",1761,393,2154
"New Hartford School District","=""0920011""",361,94,455
"New Haven School District","=""0930011""",15949,3017,18966
"New London School District","=""0950011""",2315,607,2922
"New Milford School District","=""0960011""",2992,610,3602
"Newington School District","=""0940011""",3273,620,3893
"Newtown School District","=""0970011""",3331,620,3951
"Norfolk School District","=""0980011""",42,14,56
"North Branford School District","=""0990011""",1297,244,1541
"North Canaan School District","=""1000011""",208,36,244
"North Haven School District","=""1010011""",2766,470,3236
"North Stonington School District","=""1020011""",635,106,741
"Norwalk School District","=""1030011""",9561,1959,11520
"Norwich Free Academy District","=""9010022""",1823,248,2071
"Norwich School District","=""1040011""",2596,740,3336
"Odyssey Community School District","=""2630013""",336,34,370
"Old Saybrook School District","=""1060011""",869,161,1030
"Orange School District","=""1070011""",1137,144,1281
"Oxford School District","=""1080011""",1401,266,1667
"Park City Prep Charter School District","=""2830013""",365,38,403
"Plainfield School District","=""1090011""",1515,380,1895
