"Student Counts by District and Special Education Status"
"All Districts"
"2016-17"

"",,"Special Education Status",,
"District","District Code","Students without Disabilities","Students with Disabilities","Total"
"Achievement First Bridgeport Academy District","=""2850013""",955,89,1044
"Achievement First Hartford Academy District","=""2880013""",955,111,1066
"Amistad Academy District","=""2790013""",998,59,1057
"Andover School District","=""0010011""",215,10,225
"Ansonia School District","=""0020011""",1905,459,2364
"Area Cooperative Educational Services","=""2440014""",1228,719,1947
"Ashford School District","=""0030011""",357,50,407
"Avon School District","=""0040011""",2967,321,3288
"Barkhamsted School District","=""0050011""",201,54,255
"Berlin School District","=""0070011""",2443,362,2805
"Bethany School District","=""0080011""",301,55,356
"Bethel School District","=""0090011""",2641,355,2996
"Bloomfield School District","=""0110011""",1840,317,2157
"Bolton School District","=""0120011""",726,94,820
"Booker T. Washington Academy District","=""2950013""",227,14,241
"Bozrah School District","=""0130011""",186,22,208
"Branford School District","=""0140011""",2570,413,2983
"Brass City Charter School District","=""2900013""",204,15,219
"Bridgeport School District","=""0150011""",17788,3434,21222
"Bristol School District","=""0170011""",6626,1447,8073
"Brookfield School District","=""0180011""",2323,350,2673
"Brooklyn School District","=""0190011""",746,117,863
"Canaan School District","=""0210011""",65,8,73
"Canterbury School District","=""0220011""",414,57,471
"Canton School District","=""0230011""",1437,186,1623
"Capital Preparatory Harbor School District","=""2970013""",222,32,254
"Capitol Region Education Council","=""2410014""",7147,1444,8591
"Chaplin School District","=""0240011""",138,20,158
"Cheshire School District","=""0250011""",3848,510,4358
"Chester School District","=""0260011""",172,34,206
"Clinton School District","=""0270011""",1577,213,1790
"Colchester School District","=""0280011""",2107,381,2488
"Colebrook School District","=""0290011""",63,15,78
"Columbia School District","=""0300011""",369,65,434
"Common Ground High School District","=""2680013""",163,37,200
"Connecticut Technical Education and Career System","=""9000016""",9558,998,10556
"Cooperative Educational Services","=""2430014""",506,336,842
"Cornwall School District","=""0310011""",63,9,72
"Coventry School District","=""0320011""",1396,229,1625
"Cromwell School District","=""0330011""",1765,239,2004
"Danbury School District","=""0340011""",9942,1430,11372
"Darien School District","=""0350011""",4177,651,4828
"Deep River School District","=""0360011""",248,37,285
"Department of Mental Health and Addiction Services","=""""",0,"*","*"
"Derby School District","=""0370011""",1184,203,1387
"East Granby School District","=""0400011""",754,112,866
"East Haddam School District","=""0410011""",892,140,1032
"East Hampton School District","=""0420011""",1680,196,1876
"East Hartford School District","=""0430011""",5533,1201,6734
"East Haven School District","=""0440011""",2594,402,2996
"East Lyme School District","=""0450011""",2385,397,2782
"East Windsor School District","=""0470011""",852,197,1049
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",243,170,413
"Eastford School District","=""0390011""",112,31,143
"Easton School District","=""0460011""",785,97,882
"EdAdvance","=""2420014""",207,12,219
"Ellington School District","=""0480011""",2324,323,2647
"Elm City College Preparatory School District","=""2890013""",671,55,726
"Elm City Montessori School District","=""2910013""","*","*",140
"Enfield School District","=""0490011""",4462,787,5249
"Essex School District","=""0500011""",303,68,371
"Explorations District","=""2720013""",54,38,92
"Fairfield School District","=""0510011""",8841,1186,10027
"Farmington School District","=""0520011""",3587,491,4078
"Franklin School District","=""0530011""",145,18,163
"Glastonbury School District","=""0540011""",5351,645,5996
"Granby School District","=""0560011""",1651,229,1880
"Great Oaks Charter School District","=""2940013""",267,57,324
"Greenwich School District","=""0570011""",8001,970,8971
"Griswold School District","=""0580011""",1567,281,1848
"Groton School District","=""0590011""",3715,746,4461
"Guilford School District","=""0600011""",2992,421,3413
"Hamden School District","=""0620011""",4502,991,5493
"Hampton School District","=""0630011""",85,20,105
"Hartford School District","=""0640011""",17160,3733,20893
"Hartland School District","=""0650011""",159,30,189
"Hebron School District","=""0670011""",618,88,706
"Highville Charter School District","=""2860013""",469,33,502
"Integrated Day Charter School District","=""2640013""",305,25,330
"Interdistrict School for Arts and Comm District","=""2650013""",234,36,270
"Jumoke Academy District","=""2610013""",705,48,753
