"Student Counts by District and Special Education Status"
"All Districts"
"2018-19"

"",,"Special Education Status",,
"District","District Code","Students without Disabilities","Students with Disabilities","Total"
"Achievement First Bridgeport Academy District","=""2850013""",996,97,1093
"Achievement First Hartford Academy District","=""2880013""",997,115,1112
"Amistad Academy District","=""2790013""",1012,71,1083
"Andover School District","=""0010011""",179,12,191
"Ansonia School District","=""0020011""",1839,485,2324
"Area Cooperative Educational Services","=""2440014""",1123,751,1874
"Ashford School District","=""0030011""",362,48,410
"Avon School District","=""0040011""",2814,338,3152
"Barkhamsted School District","=""0050011""",171,56,227
"Berlin School District","=""0070011""",2403,400,2803
"Bethany School District","=""0080011""",311,55,366
"Bethel School District","=""0090011""",2710,402,3112
"Bloomfield School District","=""0110011""",1807,377,2184
"Bolton School District","=""0120011""",692,94,786
"Booker T. Washington Academy District","=""2950013""",338,22,360
"Bozrah School District","=""0130011""",174,29,203
"Branford School District","=""0140011""",2485,375,2860
"Brass City Charter School District","=""2900013""",266,21,287
"Bridgeport School District","=""0150011""",16970,3602,20572
"Bristol School District","=""0170011""",6404,1552,7956
"Brookfield School District","=""0180011""",2240,390,2630
"Brooklyn School District","=""0190011""",776,146,922
"Canaan School District","=""0210011""","*","*",63
"Canterbury School District","=""0220011""",415,56,471
"Canton School District","=""0230011""",1360,200,1560
"Capital Preparatory Harbor School District","=""2970013""",563,71,634
"Capitol Region Education Council","=""2410014""",7164,1508,8672
"Chaplin School District","=""0240011""",127,29,156
"Cheshire School District","=""0250011""",3756,528,4284
"Chester School District","=""0260011""",166,28,194
"Clinton School District","=""0270011""",1494,250,1744
"Colchester School District","=""0280011""",1924,397,2321
"Colebrook School District","=""0290011""",66,18,84
"Columbia School District","=""0300011""",387,50,437
"Common Ground High School District","=""2680013""",167,49,216
"Connecticut Technical Education and Career System","=""9000016""",9550,1097,10647
"Cooperative Educational Services","=""2430014""",485,354,839
"Cornwall School District","=""0310011""",80,11,91
"Coventry School District","=""0320011""",1421,228,1649
"Cromwell School District","=""0330011""",1727,219,1946
"Danbury School District","=""0340011""",9948,1583,11531
"Darien School District","=""0350011""",4044,725,4769
"Deep River School District","=""0360011""",209,33,242
"Department of Mental Health and Addiction Services","=""""",0,"*","*"
"Derby School District","=""0370011""",1069,239,1308
"East Granby School District","=""0400011""",740,115,855
"East Haddam School District","=""0410011""",873,136,1009
"East Hampton School District","=""0420011""",1638,231,1869
"East Hartford School District","=""0430011""",5515,1321,6836
"East Haven School District","=""0440011""",2456,440,2896
"East Lyme School District","=""0450011""",2299,400,2699
"East Windsor School District","=""0470011""",884,223,1107
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",249,180,429
"Eastford School District","=""0390011""",129,37,166
"Easton School District","=""0460011""",758,143,901
"EdAdvance","=""2420014""",184,94,278
"Ellington School District","=""0480011""",2367,368,2735
"Elm City College Preparatory School District","=""2890013""",696,60,756
"Elm City Montessori School District","=""2910013""",191,8,199
"Enfield School District","=""0490011""",4221,879,5100
"Essex School District","=""0500011""",273,62,335
"Explorations District","=""2720013""",61,27,88
"Fairfield School District","=""0510011""",8514,1336,9850
"Farmington School District","=""0520011""",3613,481,4094
"Franklin School District","=""0530011""",145,9,154
"Glastonbury School District","=""0540011""",5209,689,5898
"Granby School District","=""0560011""",1611,266,1877
"Great Oaks Charter School District","=""2940013""",380,85,465
"Greenwich School District","=""0570011""",8032,1067,9099
"Griswold School District","=""0580011""",1457,319,1776
"Groton School District","=""0590011""",3538,786,4324
"Guilford School District","=""0600011""",2934,377,3311
"Hamden School District","=""0620011""",4433,979,5412
"Hampton School District","=""0630011""",76,17,93
"Hartford School District","=""0640011""",16013,3754,19767
"Hartland School District","=""0650011""",131,31,162
"Hebron School District","=""0670011""",585,79,664
"Highville Charter School District","=""2860013""",476,26,502
"Integrated Day Charter School District","=""2640013""",308,29,337
"Interdistrict School for Arts and Comm District","=""2650013""",240,38,278
"Jumoke Academy District","=""2610013""",675,42,717
"Kent School District","=""0680011""",196,17,213
"Killingly School District","=""0690011""",2105,396,2501
"Learn","=""2450014""",2140,369,2509
"Lebanon School District","=""0710011""",848,157,1005
"Ledyard School District","=""0720011""",1950,481,2431
"Lisbon School District","=""0730011""",341,67,408
"Litchfield School District","=""0740011""",755,140,895
"Madison School District","=""0760011""",2352,385,2737
"Manchester School District","=""0770011""",5250,1001,6251
"Mansfield School District","=""0780011""",1021,124,1145
"Marlborough School District","=""0790011""",396,53,449
"Meriden School District","=""0800011""",6335,1638,7973
"Middletown School District","=""0830011""",3984,656,4640
"Milford School District","=""0840011""",4783,852,5635
"Monroe School District","=""0850011""",2710,408,3118
"Montville School District","=""0860011""",1736,341,2077
"Naugatuck School District","=""0880011""",3615,705,4320
"New Beginnings Inc Family Academy District","=""2800013""",442,40,482
"New Britain School District","=""0890011""",8065,2114,10179
"New Canaan School District","=""0900011""",3673,500,4173
"New Fairfield School District","=""0910011""",1940,306,2246
"New Hartford School District","=""0920011""",397,49,446
"New Haven School District","=""0930011""",18112,3152,21264
"New London School District","=""0950011""",2924,631,3555
"New Milford School District","=""0960011""",3403,588,3991
"Newington School District","=""0940011""",3490,561,4051
"Newtown School District","=""0970011""",3722,584,4306
"Norfolk School District","=""0980011""",77,19,96
"North Branford School District","=""0990011""",1494,247,1741
"North Canaan School District","=""1000011""",213,42,255
"North Haven School District","=""1010011""",2782,383,3165
"North Stonington School District","=""1020011""",653,74,727
"Norwalk School District","=""1030011""",9830,1671,11501
"Norwich Free Academy District","=""9010022""",2005,251,2256
"Norwich School District","=""1040011""",2869,752,3621
"Odyssey Community School District","=""2630013""",301,28,329
"Old Saybrook School District","=""1060011""",1057,162,1219
"Orange School District","=""1070011""",1078,103,1181
"Oxford School District","=""1080011""",1593,206,1799
"Park City Prep Charter School District","=""2830013""",317,43,360
"Plainfield School District","=""1090011""",1852,353,2205
"Plainville School District","=""1100011""",2042,311,2353
"Plymouth School District","=""1110011""",1180,249,1429
"Pomfret School District","=""1120011""",341,40,381
"Portland School District","=""1130011""",1164,159,1323
"Preston School District","=""1140011""",370,76,446
"Putnam School District","=""1160011""",994,221,1215
"Redding School District","=""1170011""",704,154,858
"Regional School District 01","=""2010012""",327,64,391
"Regional School District 04","=""2040012""",746,151,897
"Regional School District 05","=""2050012""",1903,283,2186
"Regional School District 06","=""2060012""",747,165,912
"Regional School District 07","=""2070012""",884,191,1075
"Regional School District 08","=""2080012""",1245,211,1456
"Regional School District 09","=""2090012""",779,110,889
"Regional School District 10","=""2100012""",1988,285,2273
"Regional School District 11","=""2110012""",186,46,232
"Regional School District 12","=""2120012""",585,100,685
"Regional School District 13","=""2130012""",1328,289,1617
"Regional School District 14","=""2140012""",1384,272,1656
"Regional School District 15","=""2150012""",3003,625,3628
"Regional School District 16","=""2160012""",1859,275,2134
"Regional School District 17","=""2170012""",1678,348,2026
"Regional School District 18","=""2180012""",1104,159,1263
"Regional School District 19","=""2190012""",980,170,1150
"Ridgefield School District","=""1180011""",4219,641,4860
"Rocky Hill School District","=""1190011""",2422,326,2748
"Salem School District","=""1210011""",354,64,418
"Salisbury School District","=""1220011""",258,29,287
"Scotland School District","=""1230011""",87,18,105
"Seymour School District","=""1240011""",1852,326,2178
"Sharon School District","=""1250011""",90,25,115
"Shelton School District","=""1260011""",4025,688,4713
"Sherman School District","=""1270011""",243,36,279
"Side By Side Charter School District","=""2700013""",211,25,236
"Simsbury School District","=""1280011""",3494,586,4080
"Somers School District","=""1290011""",1187,192,1379
"South Windsor School District","=""1320011""",3763,607,4370
"Southington School District","=""1310011""",5447,938,6385
"Sprague School District","=""1330011""",263,57,320
"Stafford School District","=""1340011""",1287,224,1511
"Stamford Academy District","=""2820013""",98,54,152
"Stamford Charter School for Excellence District","=""2960013""",319,20,339
"Stamford School District","=""1350011""",13840,2213,16053
"Sterling School District","=""1360011""",311,57,368
"Stonington School District","=""1370011""",1736,314,2050
"Stratford School District","=""1380011""",5873,943,6816
"Suffield School District","=""1390011""",1850,298,2148
"The Bridge Academy District","=""2690013""",226,55,281
"The Gilbert School District","=""9020022""",437,74,511
"The Woodstock Academy District","=""9030022""",1024,74,1098
"Thomaston School District","=""1400011""",719,134,853
"Thompson School District","=""1410011""",858,136,994
"Tolland School District","=""1420011""",2070,322,2392
"Torrington School District","=""1430011""",3102,810,3912
"Trailblazers Academy District","=""2780013""",94,33,127
"Trumbull School District","=""1440011""",5928,816,6744
"Unified School District #1","=""3360015""",21,135,156
"Unified School District #2","=""3470015""",11,98,109
"Union School District","=""1450011""",40,"*","*"
"Vernon School District","=""1460011""",2603,534,3137
"Voluntown School District","=""1470011""",219,49,268
"Wallingford School District","=""1480011""",4897,873,5770
"Waterbury School District","=""1510011""",15264,3583,18847
"Waterford School District","=""1520011""",2106,413,2519
"Watertown School District","=""1530011""",2365,389,2754
"West Hartford School District","=""1550011""",8372,1282,9654
"West Haven School District","=""1560011""",4889,1027,5916
"Westbrook School District","=""1540011""",564,114,678
"Weston School District","=""1570011""",2073,249,2322
"Westport School District","=""1580011""",4853,686,5539
"Wethersfield School District","=""1590011""",3110,510,3620
"Willington School District","=""1600011""",360,70,430
"Wilton School District","=""1610011""",3389,566,3955
"Winchester School District","=""1620011""",433,121,554
"Windham School District","=""1630011""",2693,684,3377
"Windsor Locks School District","=""1650011""",1310,260,1570
"Windsor School District","=""1640011""",2666,631,3297
"Wolcott School District","=""1660011""",1958,286,2244
"Woodbridge School District","=""1670011""",756,91,847
"Woodstock School District","=""1690011""",738,103,841
"Total","=""""",448854,81758,530612

