"Student Counts by District and Special Education Status"
"All Districts"
"2013-14"

"",,"Special Education Status",,
"District","District Code","Students without Disabilities","Students with Disabilities","Total"
"Achievement First Bridgeport Academy District","=""2850013""",777,58,835
"Achievement First Hartford Academy District","=""2880013""",793,77,870
"Amistad Academy District","=""2790013""",886,51,937
"Andover School District","=""0010011""",277,22,299
"Ansonia School District","=""0020011""",2020,318,2338
"Area Cooperative Educational Services","=""2440014""",1199,734,1933
"Ashford School District","=""0030011""",374,50,424
"Avon School District","=""0040011""",3033,354,3387
"Barkhamsted School District","=""0050011""",263,44,307
"Berlin School District","=""0070011""",2649,314,2963
"Bethany School District","=""0080011""",379,57,436
"Bethel School District","=""0090011""",2675,325,3000
"Bloomfield School District","=""0110011""",1853,243,2096
"Bolton School District","=""0120011""",780,89,869
"Bozrah School District","=""0130011""",214,30,244
"Branford School District","=""0140011""",2833,412,3245
"Brass City Charter School District","=""2900013""","*","*",115
"Bridgeport School District","=""0150011""",18147,2782,20929
"Bristol School District","=""0170011""",6934,1334,8268
"Brookfield School District","=""0180011""",2453,318,2771
"Brooklyn School District","=""0190011""",822,104,926
"Canaan School District","=""0210011""",66,"*","*"
"Canterbury School District","=""0220011""",413,51,464
"Canton School District","=""0230011""",1533,167,1700
"Capitol Region Education Council","=""2410014""",6095,1082,7177
"Chaplin School District","=""0240011""",160,23,183
"Cheshire School District","=""0250011""",4135,485,4620
"Chester School District","=""0260011""",194,34,228
"Clinton School District","=""0270011""",1756,205,1961
"Colchester School District","=""0280011""",2371,373,2744
"Colebrook School District","=""0290011""",84,15,99
"Columbia School District","=""0300011""",421,53,474
"Common Ground High School District","=""2680013""",149,31,180
"Connecticut Technical Education and Career System","=""9000016""",9818,880,10698
"Cooperative Educational Services","=""2430014""",481,341,822
"Cornwall School District","=""0310011""",88,17,105
"Coventry School District","=""0320011""",1473,220,1693
"Cromwell School District","=""0330011""",1759,209,1968
"Danbury School District","=""0340011""",9525,1268,10793
"Darien School District","=""0350011""",4372,557,4929
"Deep River School District","=""0360011""",290,43,333
"Department of Mental Health and Addiction Services","=""""",0,"*","*"
"Derby School District","=""0370011""",1316,206,1522
"East Granby School District","=""0400011""",779,95,874
"East Haddam School District","=""0410011""",1014,185,1199
"East Hampton School District","=""0420011""",1716,161,1877
"East Hartford School District","=""0430011""",5997,1161,7158
"East Haven School District","=""0440011""",2709,418,3127
"East Lyme School District","=""0450011""",2491,377,2868
"East Windsor School District","=""0470011""",1017,199,1216
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",227,139,366
"Eastford School District","=""0390011""",129,23,152
"Easton School District","=""0460011""",874,88,962
"EdAdvance","=""2420014""",190,39,229
"Ellington School District","=""0480011""",2359,305,2664
"Elm City College Preparatory School District","=""2890013""",581,43,624
"Enfield School District","=""0490011""",4485,740,5225
"Essex School District","=""0500011""",430,80,510
"Explorations District","=""2720013""",56,27,83
"Fairfield School District","=""0510011""",9153,1135,10288
"Farmington School District","=""0520011""",3582,454,4036
"Franklin School District","=""0530011""",157,28,185
"Glastonbury School District","=""0540011""",5795,615,6410
"Granby School District","=""0560011""",1866,199,2065
"Greenwich School District","=""0570011""",7901,885,8786
"Griswold School District","=""0580011""",1697,284,1981
"Groton School District","=""0590011""",3965,737,4702
"Guilford School District","=""0600011""",3164,376,3540
"Hamden School District","=""0620011""",5010,801,5811
"Hampton School District","=""0630011""",93,18,111
"Hartford School District","=""0640011""",18363,3457,21820
"Hartland School District","=""0650011""",178,27,205
"Hebron School District","=""0670011""",759,109,868
"Highville Charter School District","=""2860013""",346,15,361
"Integrated Day Charter School District","=""2640013""",298,32,330
"Interdistrict School for Arts and Comm District","=""2650013""",207,39,246
"Jumoke Academy District","=""2610013""",666,38,704
"Kent School District","=""0680011""",243,29,272
"Killingly School District","=""0690011""",2268,403,2671
"Learn","=""2450014""",1860,277,2137
"Lebanon School District","=""0710011""",985,173,1158
"Ledyard School District","=""0720011""",2203,377,2580
"Lisbon School District","=""0730011""",343,59,402
"Litchfield School District","=""0740011""",885,107,992
"Madison School District","=""0760011""",2922,375,3297
"Manchester School District","=""0770011""",5419,837,6256
"Mansfield School District","=""0780011""",1105,144,1249
"Marlborough School District","=""0790011""",547,58,605
"Meriden School District","=""0800011""",6842,1341,8183
"Middletown School District","=""0830011""",4223,624,4847
"Milford School District","=""0840011""",5632,802,6434
"Monroe School District","=""0850011""",3008,371,3379
"Montville School District","=""0860011""",2127,291,2418
"Naugatuck School District","=""0880011""",3745,611,4356
