"Student Counts by District and Special Education Status"
"All Districts"
"2008-09"

"",,"Special Education Status",,
"District","District Code","Students without Disabilities","Students with Disabilities","Total"
"Achievement First Bridgeport Academy District","=""2850013""",147,13,160
"Achievement First Hartford Academy District","=""2880013""",245,16,261
"Amistad Academy District","=""2790013""",618,23,641
"Andover School District","=""0010011""",304,30,334
"Ansonia School District","=""0020011""",2443,279,2722
"Area Cooperative Educational Services","=""2440014""",1352,746,2098
"Ashford School District","=""0030011""",417,71,488
"Avon School District","=""0040011""",3187,382,3569
"Barkhamsted School District","=""0050011""",309,53,362
"Berlin School District","=""0070011""",2818,405,3223
"Bethany School District","=""0080011""",471,80,551
"Bethel School District","=""0090011""",2753,334,3087
"Bloomfield School District","=""0110011""",1946,235,2181
"Bolton School District","=""0120011""",789,80,869
"Bozrah School District","=""0130011""",227,34,261
"Branford School District","=""0140011""",3062,453,3515
"Bridgeport School District","=""0150011""",18033,2563,20596
"Bristol School District","=""0170011""",7689,1177,8866
"Brookfield School District","=""0180011""",2745,207,2952
"Brooklyn School District","=""0190011""",873,114,987
"Canaan School District","=""0210011""",72,13,85
"Canterbury School District","=""0220011""",544,61,605
"Canton School District","=""0230011""",1563,198,1761
"Capitol Region Education Council","=""2410014""",2841,595,3436
"Chaplin School District","=""0240011""",151,27,178
"Charter School for Young Children on Asylum Hill District","=""2870013""",129,7,136
"Cheshire School District","=""0250011""",4501,531,5032
"Chester School District","=""0260011""",268,51,319
"Clinton School District","=""0270011""",1806,285,2091
"Colchester School District","=""0280011""",2824,373,3197
"Colebrook School District","=""0290011""",101,15,116
"Columbia School District","=""0300011""",521,58,579
"Common Ground High School District","=""2680013""",129,26,155
"Connecticut Technical Education and Career System","=""9000016""",9481,776,10257
"Cooperative Educational Services","=""2430014""",458,296,754
"Cornwall School District","=""0310011""",104,18,122
"Coventry School District","=""0320011""",1728,234,1962
"Cromwell School District","=""0330011""",1821,208,2029
"Danbury School District","=""0340011""",9232,1118,10350
"Darien School District","=""0350011""",4199,533,4732
"Deep River School District","=""0360011""",305,50,355
"Department of Mental Health and Addiction Services","=""""",0,8,8
"Derby School District","=""0370011""",1343,146,1489
"East Granby School District","=""0400011""",797,103,900
"East Haddam School District","=""0410011""",1258,179,1437
"East Hampton School District","=""0420011""",1884,180,2064
"East Hartford School District","=""0430011""",6205,1059,7264
"East Haven School District","=""0440011""",3132,467,3599
"East Lyme School District","=""0450011""",2754,415,3169
"East Windsor School District","=""0470011""",1240,212,1452
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",87,60,147
"Eastford School District","=""0390011""",157,30,187
"Easton School District","=""0460011""",1051,107,1158
"EdAdvance","=""2420014""",168,26,194
"Ellington School District","=""0480011""",2362,283,2645
"Elm City College Preparatory School","=""2810013""",482,27,509
"Enfield School District","=""0490011""",5475,839,6314
"Essex School District","=""0500011""",522,72,594
"Explorations District","=""2720013""",63,22,85
"Fairfield School District","=""0510011""",8909,1066,9975
"Farmington School District","=""0520011""",3781,425,4206
"Franklin School District","=""0530011""",197,29,226
"Glastonbury School District","=""0540011""",6164,719,6883
"Granby School District","=""0560011""",2090,191,2281
"Greenwich School District","=""0570011""",7882,1011,8893
"Griswold School District","=""0580011""",1845,278,2123
"Groton School District","=""0590011""",4503,669,5172
"Guilford School District","=""0600011""",3388,408,3796
"Hamden School District","=""0620011""",5337,781,6118
"Hampton School District","=""0630011""",129,20,149
"Hartford School District","=""0640011""",18869,3087,21956
"Hartland School District","=""0650011""",226,13,239
"Hebron School District","=""0670011""",1044,129,1173
"Highville Charter School District","=""2860013""","*","*",300
"Integrated Day Charter School District","=""2640013""",301,29,330
"Interdistrict School for Arts and Comm District","=""2650013""",156,26,182
"Jumoke Academy District","=""2610013""",401,11,412
"Kent School District","=""0680011""",240,44,284
"Killingly School District","=""0690011""",2346,378,2724
"Learn","=""2450014""",896,141,1037
"Lebanon School District","=""0710011""",1355,192,1547
"Ledyard School District","=""0720011""",2427,334,2761
"Lisbon School District","=""0730011""",502,62,564
"Litchfield School District","=""0740011""",1072,131,1203
"Madison School District","=""0760011""",3362,378,3740
"Manchester School District","=""0770011""",5954,982,6936
"Mansfield School District","=""0780011""",1116,169,1285
"Marlborough School District","=""0790011""",617,59,676
"Meriden School District","=""0800011""",7461,1259,8720
"Middletown School District","=""0830011""",4601,588,5189
"Milford School District","=""0840011""",6388,938,7326
"Monroe School District","=""0850011""",3641,409,4050
"Montville School District","=""0860011""",2475,309,2784
"Naugatuck School District","=""0880011""",4263,569,4832
"New Beginnings Inc Family Academy District","=""2800013""",340,18,358
"New Britain School District","=""0890011""",8946,1550,10496
"New Canaan School District","=""0900011""",3592,512,4104
"New Fairfield School District","=""0910011""",2708,348,3056
"New Hartford School District","=""0920011""",554,66,620
"New Haven School District","=""0930011""",17834,2014,19848
"New London School District","=""0950011""",2657,448,3105
"New Milford School District","=""0960011""",4222,700,4922
"Newington School District","=""0940011""",4024,509,4533
"Newtown School District","=""0970011""",5112,500,5612
"Norfolk School District","=""0980011""",138,19,157
"North Branford School District","=""0990011""",2112,289,2401
"North Canaan School District","=""1000011""",304,34,338
"North Haven School District","=""1010011""",3376,460,3836
"North Stonington School District","=""1020011""",714,81,795
"Norwalk School District","=""1030011""",9656,1186,10842
"Norwich Free Academy District","=""9010022""",2146,342,2488
"Norwich School District","=""1040011""",3377,627,4004
"Odyssey Community School District","=""2630013""",163,15,178
"Old Saybrook School District","=""1060011""",1431,197,1628
"Orange School District","=""1070011""",1209,111,1320
"Oxford School District","=""1080011""",1871,156,2027
"Park City Prep Charter School District","=""2830013""",212,12,224
"Plainfield School District","=""1090011""",2411,309,2720
"Plainville School District","=""1100011""",2200,342,2542
"Plymouth School District","=""1110011""",1645,219,1864
"Pomfret School District","=""1120011""",470,75,545
"Portland School District","=""1130011""",1308,124,1432
"Preston School District","=""1140011""",425,69,494
"Putnam School District","=""1160011""",1025,229,1254
"Redding School District","=""1170011""",1141,163,1304
"Regional School District 01","=""2010012""",494,69,563
"Regional School District 04","=""2040012""",838,121,959
"Regional School District 05","=""2050012""",2237,267,2504
"Regional School District 06","=""2060012""",954,130,1084
"Regional School District 07","=""2070012""",1042,155,1197
"Regional School District 08","=""2080012""",1532,227,1759
"Regional School District 09","=""2090012""",855,112,967
"Regional School District 10","=""2100012""",2560,302,2862
"Regional School District 11","=""2110012""",265,53,318
"Regional School District 12","=""2120012""",861,153,1014
"Regional School District 13","=""2130012""",1863,280,2143
"Regional School District 14","=""2140012""",1891,251,2142
"Regional School District 15","=""2150012""",3999,560,4559
"Regional School District 16","=""2160012""",2366,252,2618
"Regional School District 17","=""2170012""",2269,278,2547
"Regional School District 18","=""2180012""",1312,158,1470
"Regional School District 19","=""2190012""",985,196,1181
"Ridgefield School District","=""1180011""",4998,553,5551
"Rocky Hill School District","=""1190011""",2354,271,2625
"Salem School District","=""1210011""",471,52,523
"Salisbury School District","=""1220011""",282,37,319
"Scotland School District","=""1230011""",158,32,190
"Seymour School District","=""1240011""",2372,210,2582
"Sharon School District","=""1250011""",158,38,196
"Shelton School District","=""1260011""",5062,508,5570
"Sherman School District","=""1270011""",395,65,460
"Side By Side Charter School District","=""2700013""",205,24,229
"Simsbury School District","=""1280011""",4351,599,4950
"Somers School District","=""1290011""",1548,181,1729
"South Windsor School District","=""1320011""",4240,599,4839
"Southington School District","=""1310011""",6104,762,6866
"Sprague School District","=""1330011""",324,31,355
"Stafford School District","=""1340011""",1739,179,1918
