"Student Counts by District and Special Education Status"
"All Districts"
"2015-16"

"",,"Special Education Status",,
"District","District Code","Students without Disabilities","Students with Disabilities","Total"
"Achievement First Bridgeport Academy District","=""2850013""",922,94,1016
"Achievement First Hartford Academy District","=""2880013""",948,115,1063
"Amistad Academy District","=""2790013""",979,57,1036
"Andover School District","=""0010011""",233,17,250
"Ansonia School District","=""0020011""",1954,428,2382
"Area Cooperative Educational Services","=""2440014""",1206,742,1948
"Ashford School District","=""0030011""",355,45,400
"Avon School District","=""0040011""",2990,295,3285
"Barkhamsted School District","=""0050011""",235,51,286
"Berlin School District","=""0070011""",2537,342,2879
"Bethany School District","=""0080011""",332,51,383
"Bethel School District","=""0090011""",2647,324,2971
"Bloomfield School District","=""0110011""",1779,299,2078
"Bolton School District","=""0120011""",724,96,820
"Booker T. Washington Academy District","=""2950013""",169,11,180
"Bozrah School District","=""0130011""",177,25,202
"Branford School District","=""0140011""",2644,422,3066
"Brass City Charter School District","=""2900013""",174,12,186
"Bridgeport School District","=""0150011""",17993,3198,21191
"Bristol School District","=""0170011""",6757,1413,8170
"Brookfield School District","=""0180011""",2351,341,2692
"Brooklyn School District","=""0190011""",803,105,908
"Canaan School District","=""0210011""",68,"*","*"
"Canterbury School District","=""0220011""",444,50,494
"Canton School District","=""0230011""",1445,188,1633
"Capital Preparatory Harbor School District","=""2970013""",228,21,249
"Capitol Region Education Council","=""2410014""",7030,1324,8354
"Chaplin School District","=""0240011""",148,28,176
"Cheshire School District","=""0250011""",3915,498,4413
"Chester School District","=""0260011""",177,34,211
"Clinton School District","=""0270011""",1616,206,1822
"Colchester School District","=""0280011""",2185,378,2563
"Colebrook School District","=""0290011""",67,17,84
"Columbia School District","=""0300011""",392,62,454
"Common Ground High School District","=""2680013""",150,36,186
"Connecticut Technical Education and Career System","=""9000016""",9693,1017,10710
"Cooperative Educational Services","=""2430014""",509,360,869
"Cornwall School District","=""0310011""",78,14,92
"Coventry School District","=""0320011""",1409,225,1634
"Cromwell School District","=""0330011""",1767,230,1997
"Danbury School District","=""0340011""",9760,1397,11157
"Darien School District","=""0350011""",4261,623,4884
"Deep River School District","=""0360011""",263,43,306
"Department of Mental Health and Addiction Services","=""""",0,"*","*"
"Derby School District","=""0370011""",1201,202,1403
"East Granby School District","=""0400011""",767,111,878
"East Haddam School District","=""0410011""",906,167,1073
"East Hampton School District","=""0420011""",1722,171,1893
"East Hartford School District","=""0430011""",5742,1140,6882
"East Haven School District","=""0440011""",2656,395,3051
"East Lyme School District","=""0450011""",2413,379,2792
"East Windsor School District","=""0470011""",904,201,1105
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",270,155,425
"Eastford School District","=""0390011""",111,23,134
"Easton School District","=""0460011""",831,91,922
"EdAdvance","=""2420014""",197,30,227
"Ellington School District","=""0480011""",2327,306,2633
"Elm City College Preparatory School District","=""2890013""",655,48,703
"Elm City Montessori School District","=""2910013""","*","*",113
"Enfield School District","=""0490011""",4424,765,5189
"Essex School District","=""0500011""",339,81,420
"Explorations District","=""2720013""",56,36,92
"Fairfield School District","=""0510011""",8970,1121,10091
"Farmington School District","=""0520011""",3601,495,4096
"Franklin School District","=""0530011""",145,25,170
"Glastonbury School District","=""0540011""",5428,641,6069
"Granby School District","=""0560011""",1739,222,1961
"Great Oaks Charter School District","=""2940013""",189,37,226
"Greenwich School District","=""0570011""",7889,936,8825
"Griswold School District","=""0580011""",1617,274,1891
"Groton School District","=""0590011""",3777,742,4519
"Guilford School District","=""0600011""",3018,401,3419
"Hamden School District","=""0620011""",4613,934,5547
"Hampton School District","=""0630011""",83,18,101
"Hartford School District","=""0640011""",17815,3648,21463
"Hartland School District","=""0650011""",163,25,188
"Hebron School District","=""0670011""",632,100,732
"Highville Charter School District","=""2860013""",439,23,462
"Integrated Day Charter School District","=""2640013""",307,24,331
"Interdistrict School for Arts and Comm District","=""2650013""",227,44,271
"Jumoke Academy District","=""2610013""",692,42,734
"Kent School District","=""0680011""",210,27,237
"Killingly School District","=""0690011""",2177,419,2596
"Learn","=""2450014""",2022,351,2373
"Lebanon School District","=""0710011""",892,162,1054
"Ledyard School District","=""0720011""",2053,392,2445
"Lisbon School District","=""0730011""",344,48,392
"Litchfield School District","=""0740011""",853,118,971
"Madison School District","=""0760011""",2656,371,3027
"Manchester School District","=""0770011""",5400,843,6243
"Mansfield School District","=""0780011""",1113,138,1251
"Marlborough School District","=""0790011""",504,52,556
"Meriden School District","=""0800011""",6517,1476,7993
"Middletown School District","=""0830011""",4062,639,4701
"Milford School District","=""0840011""",5391,761,6152
"Monroe School District","=""0850011""",2820,360,3180
"Montville School District","=""0860011""",1918,338,2256
"Naugatuck School District","=""0880011""",3559,687,4246
"New Beginnings Inc Family Academy District","=""2800013""",458,41,499
"New Britain School District","=""0890011""",8374,1697,10071
"New Canaan School District","=""0900011""",3807,420,4227
"New Fairfield School District","=""0910011""",2253,244,2497
"New Hartford School District","=""0920011""",410,60,470
"New Haven School District","=""0930011""",18908,2817,21725
"New London School District","=""0950011""",2783,598,3381
"New Milford School District","=""0960011""",3675,570,4245
"Newington School District","=""0940011""",3532,528,4060
"Newtown School District","=""0970011""",4096,492,4588
"Norfolk School District","=""0980011""",98,18,116
"North Branford School District","=""0990011""",1613,276,1889
"North Canaan School District","=""1000011""",222,38,260
"North Haven School District","=""1010011""",2835,353,3188
"North Stonington School District","=""1020011""",655,73,728
"Norwalk School District","=""1030011""",9943,1466,11409
"Norwich Free Academy District","=""9010022""",2023,259,2282
"Norwich School District","=""1040011""",3040,665,3705
"Odyssey Community School District","=""2630013""",303,25,328
"Old Saybrook School District","=""1060011""",1167,179,1346
"Orange School District","=""1070011""",1082,97,1179
"Oxford School District","=""1080011""",1724,250,1974
"Park City Prep Charter School District","=""2830013""",333,27,360
"Path Academy District","=""2930013""",110,33,143
"Plainfield School District","=""1090011""",2012,318,2330
"Plainville School District","=""1100011""",2090,319,2409
"Plymouth School District","=""1110011""",1293,229,1522
"Pomfret School District","=""1120011""",349,53,402
"Portland School District","=""1130011""",1208,152,1360
"Preston School District","=""1140011""",366,79,445
"Putnam School District","=""1160011""",997,198,1195
"Redding School District","=""1170011""",814,140,954
"Regional School District 01","=""2010012""",366,80,446
"Regional School District 04","=""2040012""",794,134,928
"Regional School District 05","=""2050012""",2001,269,2270
"Regional School District 06","=""2060012""",839,147,986
"Regional School District 07","=""2070012""",972,128,1100
"Regional School District 08","=""2080012""",1414,187,1601
"Regional School District 09","=""2090012""",904,124,1028
"Regional School District 10","=""2100012""",2160,256,2416
"Regional School District 11","=""2110012""",195,58,253
"Regional School District 12","=""2120012""",623,109,732
"Regional School District 13","=""2130012""",1469,282,1751
"Regional School District 14","=""2140012""",1578,190,1768
"Regional School District 15","=""2150012""",3251,542,3793
"Regional School District 16","=""2160012""",1936,334,2270
"Regional School District 17","=""2170012""",1767,366,2133
"Regional School District 18","=""2180012""",1172,167,1339
"Regional School District 19","=""2190012""",1017,196,1213
"Ridgefield School District","=""1180011""",4589,463,5052
"Rocky Hill School District","=""1190011""",2348,262,2610
"Salem School District","=""1210011""",316,68,384
"Salisbury School District","=""1220011""",246,28,274
"Scotland School District","=""1230011""",104,15,119
"Seymour School District","=""1240011""",1933,282,2215
"Sharon School District","=""1250011""",133,27,160
"Shelton School District","=""1260011""",4263,662,4925
"Sherman School District","=""1270011""",288,49,337
"Side By Side Charter School District","=""2700013""",217,19,236
"Simsbury School District","=""1280011""",3650,540,4190
"Somers School District","=""1290011""",1273,162,1435
"South Windsor School District","=""1320011""",3606,550,4156
"Southington School District","=""1310011""",5760,823,6583
"Sprague School District","=""1330011""",311,51,362
"Stafford School District","=""1340011""",1357,187,1544
"Stamford Academy District","=""2820013""",112,38,150
"Stamford Charter School for Excellence District","=""2960013""",154,10,164
"Stamford School District","=""1350011""",14086,1860,15946
"Sterling School District","=""1360011""",400,54,454
"Stonington School District","=""1370011""",1848,326,2174
"Stratford School District","=""1380011""",6071,830,6901
"Suffield School District","=""1390011""",2091,267,2358
"The Bridge Academy District","=""2690013""",232,47,279
"The Gilbert School District","=""9020022""",464,89,553
"The Woodstock Academy District","=""9030022""",972,50,1022
"Thomaston School District","=""1400011""",752,148,900
"Thompson School District","=""1410011""",883,124,1007
"Tolland School District","=""1420011""",2291,309,2600
"Torrington School District","=""1430011""",3444,822,4266
"Trailblazers Academy District","=""2780013""",85,40,125
"Trumbull School District","=""1440011""",5998,689,6687
"Unified School District #1","=""3360015""",223,167,390
"Unified School District #2","=""3470015""","*","*",173
"Union School District","=""1450011""",67,13,80
"Vernon School District","=""1460011""",2696,508,3204
"Voluntown School District","=""1470011""",245,58,303
"Wallingford School District","=""1480011""",5303,717,6020
"Waterbury School District","=""1510011""",15443,3419,18862
"Waterford School District","=""1520011""",2161,367,2528
"Watertown School District","=""1530011""",2467,361,2828
"West Hartford School District","=""1550011""",8575,1182,9757
"West Haven School District","=""1560011""",4860,982,5842
"Westbrook School District","=""1540011""",681,101,782
"Weston School District","=""1570011""",2188,220,2408
"Westport School District","=""1580011""",5114,600,5714
"Wethersfield School District","=""1590011""",3139,512,3651
"Willington School District","=""1600011""",357,78,435
"Wilton School District","=""1610011""",3608,565,4173
"Winchester School District","=""1620011""",457,132,589
"Windham School District","=""1630011""",2771,525,3296
"Windsor Locks School District","=""1650011""",1400,238,1638
"Windsor School District","=""1640011""",2667,547,3214
"Wolcott School District","=""1660011""",2086,260,2346
"Woodbridge School District","=""1670011""",707,68,775
"Woodstock School District","=""1690011""",769,93,862
"Total","=""""",467309,74506,541815

