"Student Counts by District and Special Education Status"
"All Districts"
"2019-20"

"",,"Special Education Status",,
"District","District Code","Students without Disabilities","Students with Disabilities","Total"
"Achievement First Bridgeport Academy District","=""2850013""",998,112,1110
"Achievement First Hartford Academy District","=""2880013""",1052,117,1169
"Amistad Academy District","=""2790013""",1023,80,1103
"Andover School District","=""0010011""",174,21,195
"Ansonia School District","=""0020011""",1811,473,2284
"Area Cooperative Educational Services","=""2440014""",1074,762,1836
"Ashford School District","=""0030011""",338,52,390
"Avon School District","=""0040011""",2838,347,3185
"Barkhamsted School District","=""0050011""",160,59,219
"Berlin School District","=""0070011""",2335,420,2755
"Bethany School District","=""0080011""",318,52,370
"Bethel School District","=""0090011""",2747,401,3148
"Bloomfield School District","=""0110011""",1791,415,2206
"Bolton School District","=""0120011""",687,92,779
"Booker T. Washington Academy District","=""2950013""",391,29,420
"Bozrah School District","=""0130011""",157,33,190
"Branford School District","=""0140011""",2422,380,2802
"Brass City Charter School District","=""2900013""",299,27,326
"Bridgeport School District","=""0150011""",16514,3797,20311
"Bristol School District","=""0170011""",6346,1630,7976
"Brookfield School District","=""0180011""",2229,394,2623
"Brooklyn School District","=""0190011""",767,151,918
"Canaan School District","=""0210011""",57,10,67
"Canterbury School District","=""0220011""",415,60,475
"Canton School District","=""0230011""",1358,216,1574
"Capital Preparatory Harbor School District","=""2970013""",683,77,760
"Capitol Region Education Council","=""2410014""",7050,1607,8657
"Chaplin School District","=""0240011""",110,30,140
"Cheshire School District","=""0250011""",3653,546,4199
"Chester School District","=""0260011""",162,24,186
"Clinton School District","=""0270011""",1441,241,1682
"Colchester School District","=""0280011""",1922,400,2322
"Colebrook School District","=""0290011""",56,18,74
"Columbia School District","=""0300011""",364,46,410
"Common Ground High School District","=""2680013""",168,55,223
"Connecticut Technical Education and Career System","=""9000016""",9758,1237,10995
"Cooperative Educational Services","=""2430014""",504,355,859
"Cornwall School District","=""0310011""",75,12,87
"Coventry School District","=""0320011""",1448,230,1678
"Cromwell School District","=""0330011""",1745,237,1982
"Danbury School District","=""0340011""",10275,1653,11928
"Darien School District","=""0350011""",3958,807,4765
"Deep River School District","=""0360011""",202,33,235
"Department of Mental Health and Addiction Services","=""""",0,7,7
"Derby School District","=""0370011""",1030,265,1295
"East Granby School District","=""0400011""",711,125,836
"East Haddam School District","=""0410011""",868,129,997
"East Hampton School District","=""0420011""",1578,264,1842
"East Hartford School District","=""0430011""",5404,1389,6793
"East Haven School District","=""0440011""",2441,453,2894
"East Lyme School District","=""0450011""",2268,425,2693
"East Windsor School District","=""0470011""",868,211,1079
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",279,195,474
"Eastford School District","=""0390011""",118,33,151
"Easton School District","=""0460011""",742,143,885
"EdAdvance","=""2420014""",191,74,265
"Ellington School District","=""0480011""",2315,366,2681
"Elm City College Preparatory School District","=""2890013""",697,70,767
"Elm City Montessori School District","=""2910013""",216,13,229
"Enfield School District","=""0490011""",4157,888,5045
"Essex School District","=""0500011""",270,61,331
"Explorations District","=""2720013""",55,38,93
"Fairfield School District","=""0510011""",8223,1448,9671
"Farmington School District","=""0520011""",3660,499,4159
"Franklin School District","=""0530011""",152,8,160
"Glastonbury School District","=""0540011""",5150,685,5835
"Granby School District","=""0560011""",1533,266,1799
"Great Oaks Charter School District","=""2940013""",462,93,555
"Greenwich School District","=""0570011""",7924,1124,9048
"Griswold School District","=""0580011""",1438,334,1772
"Groton School District","=""0590011""",3479,793,4272
"Guilford School District","=""0600011""",2885,374,3259
"Hamden School District","=""0620011""",4492,1003,5495
"Hampton School District","=""0630011""",75,15,90
"Hartford School District","=""0640011""",15166,3714,18880
"Hartland School District","=""0650011""",127,30,157
"Hebron School District","=""0670011""",573,85,658
"Highville Charter School District","=""2860013""",436,24,460
"Integrated Day Charter School District","=""2640013""",320,32,352
"Interdistrict School for Arts and Comm District","=""2650013""",228,51,279
"Jumoke Academy District","=""2610013""",664,42,706
"Kent School District","=""0680011""",184,21,205
"Killingly School District","=""0690011""",2064,426,2490
"Learn","=""2450014""",2113,405,2518
"Lebanon School District","=""0710011""",820,171,991
"Ledyard School District","=""0720011""",1964,462,2426
"Lisbon School District","=""0730011""",357,64,421
"Litchfield School District","=""0740011""",743,146,889
"Madison School District","=""0760011""",2230,396,2626
"Manchester School District","=""0770011""",5229,1080,6309
"Mansfield School District","=""0780011""",986,147,1133
"Marlborough School District","=""0790011""",396,52,448
"Meriden School District","=""0800011""",6451,1712,8163
"Middletown School District","=""0830011""",3947,673,4620
"Milford School District","=""0840011""",4743,878,5621
"Monroe School District","=""0850011""",2725,411,3136
"Montville School District","=""0860011""",1690,374,2064
"Naugatuck School District","=""0880011""",3601,771,4372
"New Beginnings Inc Family Academy District","=""2800013""",458,47,505
"New Britain School District","=""0890011""",7900,2193,10093
"New Canaan School District","=""0900011""",3690,531,4221
"New Fairfield School District","=""0910011""",1857,329,2186
"New Hartford School District","=""0920011""",378,59,437
"New Haven School District","=""0930011""",17455,3220,20675
"New London School District","=""0950011""",2826,614,3440
"New Milford School District","=""0960011""",3346,602,3948
"Newington School District","=""0940011""",3446,569,4015
"Newtown School District","=""0970011""",3592,596,4188
"Norfolk School District","=""0980011""",52,22,74
"North Branford School District","=""0990011""",1439,261,1700
"North Canaan School District","=""1000011""",213,40,253
"North Haven School District","=""1010011""",2791,390,3181
"North Stonington School District","=""1020011""",672,75,747
"Norwalk School District","=""1030011""",9996,1720,11716
"Norwich Free Academy District","=""9010022""",2013,253,2266
"Norwich School District","=""1040011""",2893,695,3588
"Odyssey Community School District","=""2630013""",304,25,329
"Old Saybrook School District","=""1060011""",1021,174,1195
"Orange School District","=""1070011""",1118,118,1236
"Oxford School District","=""1080011""",1522,200,1722
"Park City Prep Charter School District","=""2830013""",327,34,361
"Plainfield School District","=""1090011""",1812,368,2180
"Plainville School District","=""1100011""",2033,323,2356
"Plymouth School District","=""1110011""",1118,250,1368
"Pomfret School District","=""1120011""",346,39,385
"Portland School District","=""1130011""",1128,182,1310
"Preston School District","=""1140011""",361,77,438
"Putnam School District","=""1160011""",952,223,1175
"Redding School District","=""1170011""",681,155,836
"Regional School District 01","=""2010012""",300,62,362
"Regional School District 04","=""2040012""",702,156,858
"Regional School District 05","=""2050012""",1898,287,2185
"Regional School District 06","=""2060012""",760,157,917
"Regional School District 07","=""2070012""",835,201,1036
"Regional School District 08","=""2080012""",1207,205,1412
"Regional School District 09","=""2090012""",750,117,867
"Regional School District 10","=""2100012""",1944,298,2242
"Regional School District 11","=""2110012""",166,41,207
"Regional School District 12","=""2120012""",606,100,706
"Regional School District 13","=""2130012""",1234,283,1517
"Regional School District 14","=""2140012""",1339,253,1592
"Regional School District 15","=""2150012""",3030,647,3677
"Regional School District 16","=""2160012""",1812,272,2084
"Regional School District 17","=""2170012""",1617,341,1958
"Regional School District 18","=""2180012""",1115,175,1290
"Regional School District 19","=""2190012""",933,169,1102
"Ridgefield School District","=""1180011""",4051,656,4707
"Rocky Hill School District","=""1190011""",2367,334,2701
"Salem School District","=""1210011""",357,65,422
"Salisbury School District","=""1220011""",255,29,284
"Scotland School District","=""1230011""",85,21,106
"Seymour School District","=""1240011""",1843,336,2179
"Sharon School District","=""1250011""",75,28,103
"Shelton School District","=""1260011""",3972,702,4674
"Sherman School District","=""1270011""",235,40,275
"Side By Side Charter School District","=""2700013""",211,25,236
"Simsbury School District","=""1280011""",3485,606,4091
"Somers School District","=""1290011""",1154,199,1353
"South Windsor School District","=""1320011""",3942,612,4554
"Southington School District","=""1310011""",5381,955,6336
"Sprague School District","=""1330011""",229,51,280
"Stafford School District","=""1340011""",1243,216,1459
"Stamford Academy District","=""2820013""",95,52,147
"Stamford Charter School for Excellence District","=""2960013""",369,26,395
"Stamford School District","=""1350011""",14195,2405,16600
"Sterling School District","=""1360011""",310,55,365
"Stonington School District","=""1370011""",1668,313,1981
"Stratford School District","=""1380011""",5849,1013,6862
"Suffield School District","=""1390011""",1816,311,2127
"The Bridge Academy District","=""2690013""",221,60,281
"The Gilbert School District","=""9020022""",397,70,467
"The Woodstock Academy District","=""9030022""",1038,69,1107
"Thomaston School District","=""1400011""",716,141,857
