"Student Counts by District and Special Education Status"
"All Districts"
"2025-26"

"",,"Special Education Status",,
"District","District Code","Students without Disabilities","Students with Disabilities","Total"
"Regional School District 05","=""2050012""",1849,287,2136
"Regional School District 07","=""2070012""",572,195,767
"Regional School District 08","=""2080012""",859,172,1031
"Regional School District 09","=""2090012""",581,115,696
"Regional School District 10","=""2100012""",1686,369,2055
"Regional School District 11","=""2110012""",151,41,192
"Regional School District 12","=""2120012""",706,104,810
"Regional School District 13","=""2130012""",1007,287,1294
"Regional School District 14","=""2140012""",1239,297,1536
"Regional School District 15","=""2150012""",2723,627,3350
"Regional School District 16","=""2160012""",1583,307,1890
"Regional School District 17","=""2170012""",1375,293,1668
"Regional School District 18","=""2180012""",1049,200,1249
"Regional School District 19","=""2190012""",819,185,1004
"Regional School District 20","=""2200012""",1273,325,1598
"Ridgefield School District","=""1180011""",3530,859,4389
"Rocky Hill School District","=""1190011""",2177,384,2561
"Salem School District","=""1210011""",331,68,399
"Salisbury School District","=""1220011""",232,44,276
"Scotland School District","=""1230011""",66,21,87
"Seymour School District","=""1240011""",1636,395,2031
"Sharon School District","=""1250011""",77,17,94
"Shelton School District","=""1260011""",3570,839,4409
"Sherman School District","=""1270011""",200,34,234
"Side By Side Charter School District","=""2700013""",211,25,236
"Simsbury School District","=""1280011""",3293,743,4036
"Somers School District","=""1290011""",1104,200,1304
"South Windsor School District","=""1320011""",4480,673,5153
"Southington School District","=""1310011""",5055,1060,6115
"Sprague School District","=""1330011""",206,48,254
"Stafford School District","=""1340011""",1028,241,1269
"Stamford Big Picture Learning Academy District","=""""","*","*","*"
"Stamford Charter School for Excellence District","=""2960013""",510,31,541
"Stamford School District","=""1350011""",12518,2824,15342
"Sterling School District","=""1360011""",229,71,300
"Stonington School District","=""1370011""",1370,298,1668
"Stratford School District","=""1380011""",5095,1312,6407
"Suffield School District","=""1390011""",1668,367,2035
"The Bridge Academy District","=""2690013""",237,44,281
"The Gilbert School District","=""9020022""",347,68,415
"The Woodstock Academy District","=""9030022""",910,88,998
"Thomaston School District","=""1400011""",634,131,765
"Thompson School District","=""1410011""",610,184,794
"Tolland School District","=""1420011""",1763,351,2114
"Torrington School District","=""1430011""",3092,776,3868
"Trumbull School District","=""1440011""",5824,1055,6879
"Unified School District #1","=""3360015""",21,122,143
"Unified School District #2","=""3470015""","*","*",90
"Union School District","=""1450011""",35,6,41
"Vernon School District","=""1460011""",2607,639,3246
"Voluntown School District","=""1470011""",175,34,209
"Wallingford School District","=""1480011""",4150,941,5091
"Waterbury School District","=""1510011""",14386,3995,18381
"Waterford School District","=""1520011""",1805,400,2205
"Watertown School District","=""1530011""",2072,472,2544
"West Hartford School District","=""1550011""",7332,1737,9069
"West Haven School District","=""1560011""",4628,1235,5863
"Westbrook School District","=""1540011""",446,107,553
"Weston School District","=""1570011""",1746,288,2034
"Westport School District","=""1580011""",4494,772,5266
"Wethersfield School District","=""1590011""",2873,539,3412
"Willington School District","=""1600011""",301,75,376
"Wilton School District","=""1610011""",3039,663,3702
"Winchester School District","=""1620011""",480,127,607
"Windham School District","=""1630011""",2405,653,3058
"Windsor Locks School District","=""1650011""",1126,315,1441
"Windsor School District","=""1640011""",2519,698,3217
"Wolcott School District","=""1660011""",1686,339,2025
"Woodbridge School District","=""1670011""",738,124,862
"Woodstock School District","=""1690011""",622,125,747
"Total","=""""",402804,94960,497764

