"Student Counts by District and Special Education Status"
"All Districts"
"2012-13"

"",,"Special Education Status",,
"District","District Code","Students without Disabilities","Students with Disabilities","Total"
"Achievement First Bridgeport Academy District","=""2850013""",645,57,702
"Achievement First Hartford Academy District","=""2880013""",760,64,824
"Amistad Academy District","=""2790013""",859,45,904
"Andover School District","=""0010011""",290,25,315
"Ansonia School District","=""0020011""",2132,293,2425
"Area Cooperative Educational Services","=""2440014""",1233,699,1932
"Ashford School District","=""0030011""",384,56,440
"Avon School District","=""0040011""",3052,369,3421
"Barkhamsted School District","=""0050011""",306,43,349
"Berlin School District","=""0070011""",2674,311,2985
"Bethany School District","=""0080011""",416,57,473
"Bethel School District","=""0090011""",2656,331,2987
"Bloomfield School District","=""0110011""",1888,231,2119
"Bolton School District","=""0120011""",803,94,897
"Bozrah School District","=""0130011""",214,29,243
"Branford School District","=""0140011""",2839,443,3282
"Bridgeport School District","=""0150011""",17617,2721,20338
"Bristol School District","=""0170011""",7067,1298,8365
"Brookfield School District","=""0180011""",2499,294,2793
"Brooklyn School District","=""0190011""",826,122,948
"Canaan School District","=""0210011""",62,13,75
"Canterbury School District","=""0220011""",445,54,499
"Canton School District","=""0230011""",1603,155,1758
"Capitol Region Education Council","=""2410014""",5322,936,6258
"Chaplin School District","=""0240011""",168,17,185
"Cheshire School District","=""0250011""",4189,485,4674
"Chester School District","=""0260011""",210,42,252
"Clinton School District","=""0270011""",1781,208,1989
"Colchester School District","=""0280011""",2526,367,2893
"Colebrook School District","=""0290011""",90,14,104
"Columbia School District","=""0300011""",457,54,511
"Common Ground High School District","=""2680013""",148,21,169
"Connecticut Technical Education and Career System","=""9000016""",9853,798,10651
"Cooperative Educational Services","=""2430014""",491,347,838
"Cornwall School District","=""0310011""",90,13,103
"Coventry School District","=""0320011""",1522,213,1735
"Cromwell School District","=""0330011""",1786,199,1985
"Danbury School District","=""0340011""",9733,1217,10950
"Darien School District","=""0350011""",4260,620,4880
"Deep River School District","=""0360011""",309,41,350
"Department of Mental Health and Addiction Services","=""""",0,"*","*"
"Derby School District","=""0370011""",1313,185,1498
"East Granby School District","=""0400011""",772,93,865
"East Haddam School District","=""0410011""",1080,177,1257
"East Hampton School District","=""0420011""",1736,162,1898
"East Hartford School District","=""0430011""",5929,1124,7053
"East Haven School District","=""0440011""",2814,427,3241
"East Lyme School District","=""0450011""",2573,366,2939
"East Windsor School District","=""0470011""",1074,202,1276
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",219,111,330
"Eastford School District","=""0390011""",144,25,169
"Easton School District","=""0460011""",933,86,1019
"EdAdvance","=""2420014""",210,39,249
"Ellington School District","=""0480011""",2427,294,2721
"Elm City College Preparatory School District","=""2890013""",565,39,604
"Enfield School District","=""0490011""",4737,743,5480
"Essex School District","=""0500011""",452,78,530
"Explorations District","=""2720013""",56,17,73
"Fairfield School District","=""0510011""",9154,1173,10327
"Farmington School District","=""0520011""",3623,448,4071
"Franklin School District","=""0530011""",180,24,204
"Glastonbury School District","=""0540011""",5986,620,6606
"Granby School District","=""0560011""",1929,183,2112
"Greenwich School District","=""0570011""",7971,900,8871
"Griswold School District","=""0580011""",1702,273,1975
"Groton School District","=""0590011""",4097,714,4811
"Guilford School District","=""0600011""",3224,373,3597
"Hamden School District","=""0620011""",5105,736,5841
"Hampton School District","=""0630011""",96,20,116
"Hartford School District","=""0640011""",18477,3488,21965
"Hartland School District","=""0650011""",189,26,215
"Hebron School District","=""0670011""",818,120,938
"Highville Charter School District","=""2860013""",331,10,341
"Integrated Day Charter School District","=""2640013""",298,32,330
"Interdistrict School for Arts and Comm District","=""2650013""",160,31,191
"Jumoke Academy District","=""2610013""",561,28,589
"Kent School District","=""0680011""",239,32,271
"Killingly School District","=""0690011""",2333,383,2716
"Learn","=""2450014""",1493,235,1728
"Lebanon School District","=""0710011""",1062,176,1238
"Ledyard School District","=""0720011""",2244,372,2616
"Lisbon School District","=""0730011""",378,70,448
"Litchfield School District","=""0740011""",925,115,1040
"Madison School District","=""0760011""",3022,368,3390
"Manchester School District","=""0770011""",5374,901,6275
"Mansfield School District","=""0780011""",1168,153,1321
"Marlborough School District","=""0790011""",575,64,639
"Meriden School District","=""0800011""",6958,1302,8260
"Middletown School District","=""0830011""",4334,614,4948
"Milford School District","=""0840011""",5837,833,6670
"Monroe School District","=""0850011""",3111,377,3488
"Montville School District","=""0860011""",2157,298,2455
"Naugatuck School District","=""0880011""",3888,602,4490
"New Beginnings Inc Family Academy District","=""2800013""",370,29,399
"New Britain School District","=""0890011""",8666,1656,10322
"New Canaan School District","=""0900011""",3822,401,4223
"New Fairfield School District","=""0910011""",2512,293,2805
"New Hartford School District","=""0920011""",508,59,567
