"Student Counts by District and Special Education Status"
"All Districts"
"2011-12"

"",,"Special Education Status",,
"District","District Code","Students without Disabilities","Students with Disabilities","Total"
"Achievement First Bridgeport Academy District","=""2850013""",495,48,543
"Achievement First Hartford Academy District","=""2880013""",714,48,762
"Amistad Academy District","=""2790013""",806,51,857
"Andover School District","=""0010011""",290,24,314
"Ansonia School District","=""0020011""",2244,282,2526
"Area Cooperative Educational Services","=""2440014""",1253,702,1955
"Ashford School District","=""0030011""",426,55,481
"Avon School District","=""0040011""",3136,382,3518
"Barkhamsted School District","=""0050011""",319,38,357
"Berlin School District","=""0070011""",2726,301,3027
"Bethany School District","=""0080011""",426,66,492
"Bethel School District","=""0090011""",2659,323,2982
"Bloomfield School District","=""0110011""",1917,247,2164
"Bolton School District","=""0120011""",802,95,897
"Bozrah School District","=""0130011""",204,32,236
"Branford School District","=""0140011""",2886,455,3341
"Bridgeport School District","=""0150011""",17693,2674,20367
"Bristol School District","=""0170011""",7251,1272,8523
"Brookfield School District","=""0180011""",2577,268,2845
"Brooklyn School District","=""0190011""",824,115,939
"Canaan School District","=""0210011""",73,13,86
"Canterbury School District","=""0220011""",464,56,520
"Canton School District","=""0230011""",1590,161,1751
"Capitol Region Education Council","=""2410014""",4755,803,5558
"Chaplin School District","=""0240011""",164,18,182
"Cheshire School District","=""0250011""",4319,490,4809
"Chester School District","=""0260011""",228,32,260
"Clinton School District","=""0270011""",1789,223,2012
"Colchester School District","=""0280011""",2655,376,3031
"Colebrook School District","=""0290011""",87,12,99
"Columbia School District","=""0300011""",482,48,530
"Common Ground High School District","=""2680013""",150,15,165
"Connecticut Technical Education and Career System","=""9000016""",9896,760,10656
"Cooperative Educational Services","=""2430014""",486,327,813
"Cornwall School District","=""0310011""",91,15,106
"Coventry School District","=""0320011""",1581,215,1796
"Cromwell School District","=""0330011""",1781,219,2000
"Danbury School District","=""0340011""",9661,1161,10822
"Darien School District","=""0350011""",4220,613,4833
"Deep River School District","=""0360011""",322,37,359
"Department of Mental Health and Addiction Services","=""""",0,6,6
"Derby School District","=""0370011""",1295,158,1453
"East Granby School District","=""0400011""",762,85,847
"East Haddam School District","=""0410011""",1109,178,1287
"East Hampton School District","=""0420011""",1795,157,1952
"East Hartford School District","=""0430011""",6045,1131,7176
"East Haven School District","=""0440011""",2868,429,3297
"East Lyme School District","=""0450011""",2613,372,2985
"East Windsor School District","=""0470011""",1128,170,1298
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",210,85,295
"Eastford School District","=""0390011""",149,27,176
"Easton School District","=""0460011""",975,84,1059
"EdAdvance","=""2420014""",185,36,221
"Ellington School District","=""0480011""",2459,296,2755
"Elm City College Preparatory School District","=""2890013""",572,28,600
"Enfield School District","=""0490011""",4922,751,5673
"Essex School District","=""0500011""",490,69,559
"Explorations District","=""2720013""",57,17,74
"Fairfield School District","=""0510011""",9205,1130,10335
"Farmington School District","=""0520011""",3655,414,4069
"Franklin School District","=""0530011""",180,26,206
"Glastonbury School District","=""0540011""",6081,640,6721
"Granby School District","=""0560011""",1981,190,2171
"Greenwich School District","=""0570011""",7922,900,8822
"Griswold School District","=""0580011""",1715,259,1974
"Groton School District","=""0590011""",4274,716,4990
"Guilford School District","=""0600011""",3299,385,3684
"Hamden School District","=""0620011""",5156,741,5897
"Hampton School District","=""0630011""",109,17,126
"Hartford School District","=""0640011""",18108,3189,21297
"Hartland School District","=""0650011""",199,28,227
"Hebron School District","=""0670011""",922,126,1048
"Highville Charter School District","=""2860013""",331,6,337
"Integrated Day Charter School District","=""2640013""",303,27,330
"Interdistrict School for Arts and Comm District","=""2650013""",159,32,191
"Jumoke Academy District","=""2610013""",469,19,488
"Kent School District","=""0680011""",246,32,278
"Killingly School District","=""0690011""",2324,380,2704
"Learn","=""2450014""",1311,203,1514
"Lebanon School District","=""0710011""",1129,164,1293
"Ledyard School District","=""0720011""",2255,349,2604
"Lisbon School District","=""0730011""",413,68,481
"Litchfield School District","=""0740011""",1015,118,1133
"Madison School District","=""0760011""",3094,371,3465
"Manchester School District","=""0770011""",5508,946,6454
"Mansfield School District","=""0780011""",1168,161,1329
"Marlborough School District","=""0790011""",618,54,672
"Meriden School District","=""0800011""",7097,1245,8342
"Middletown School District","=""0830011""",4490,616,5106
"Milford School District","=""0840011""",6007,829,6836
"Monroe School District","=""0850011""",3227,362,3589
