"NAME","S1901_C01_001E","S1901_C01_012E","S1901_C01_013E","state","county","county subdivision"
"Avon town, Hartford County, Connecticut","7180","123077","190195","09","003","02060"
"Berlin town, Hartford County, Connecticut","8242","102075","124819","09","003","04300"
"Bristol town, Hartford County, Connecticut","24408","68485","87097","09","003","08490"
"Burlington town, Hartford County, Connecticut","3442","129783","153489","09","003","10100"
"Canton town, Hartford County, Connecticut","4238","89863","125013","09","003","12270"
"East Hartford town, Hartford County, Connecticut","18874","59954","76617","09","003","22630"
"East Windsor town, Hartford County, Connecticut","4988","78667","90839","09","003","24800"
"Farmington town, Hartford County, Connecticut","10479","97262","134569","09","003","27600"
"Glastonbury town, Hartford County, Connecticut","13958","120605","149738","09","003","31240"
"Granby town, Hartford County, Connecticut","4413","111347","140392","09","003","32640"
"Hartland town, Hartford County, Connecticut","789","97850","115767","09","003","37140"
"Manchester town, Hartford County, Connecticut","23938","74270","89143","09","003","44700"
"New Britain town, Hartford County, Connecticut","27683","47393","62315","09","003","50440"
"Newington town, Hartford County, Connecticut","12581","82721","96371","09","003","52140"
"Plainville town, Hartford County, Connecticut","8187","70012","86778","09","003","60120"
"Simsbury town, Hartford County, Connecticut","9384","128829","172669","09","003","68940"
"Southington town, Hartford County, Connecticut","17059","101098","120998","09","003","70550"
"South Windsor town, Hartford County, Connecticut","9753","119972","140807","09","003","71390"
"West Hartford town, Hartford County, Connecticut","25406","105230","142731","09","003","82590"
"Wethersfield town, Hartford County, Connecticut","10929","90881","109841","09","003","84900"
"Windsor Locks town, Hartford County, Connecticut","5398","72090","93950","09","003","87070"
"Barkhamsted town, Litchfield County, Connecticut","1342","103500","115096","09","005","02760"
"Bethlehem town, Litchfield County, Connecticut","1342","92237","117347","09","005","04930"
"Canaan town, Litchfield County, Connecticut","546","68750","110672","09","005","10940"
"Colebrook town, Litchfield County, Connecticut","599","96250","109759","09","005","16050"
"Goshen town, Litchfield County, Connecticut","995","117438","164737","09","005","32290"
"Harwinton town, Litchfield County, Connecticut","2038","110652","129835","09","005","37280"
"Kent town, Litchfield County, Connecticut","1277","77344","134889","09","005","40290"
"Morris town, Litchfield County, Connecticut","891","82240","115021","09","005","49460"
"New Hartford town, Litchfield County, Connecticut","2586","103400","148783","09","005","51350"
"New Milford town, Litchfield County, Connecticut","10221","93815","115359","09","005","52630"
"Norfolk town, Litchfield County, Connecticut","686","75179","104014","09","005","53470"
"North Canaan town, Litchfield County, Connecticut","1310","63214","87889","09","005","54030"
"Plymouth town, Litchfield County, Connecticut","4861","79029","94435","09","005","60750"
"Roxbury town, Litchfield County, Connecticut","963","109063","161971","09","005","65930"
"Salisbury town, Litchfield County, Connecticut","1422","72632","139032","09","005","66420"
"Sharon town, Litchfield County, Connecticut","1367","97560","149241","09","005","67960"
"Thomaston town, Litchfield County, Connecticut","3034","71039","94456","09","005","75730"
"Torrington town, Litchfield County, Connecticut","14377","60662","77196","09","005","76570"
"Warren town, Litchfield County, Connecticut","552","121875","180613","09","005","79510"
"Washington town, Litchfield County, Connecticut","1405","102114","169435","09","005","79720"
"Watertown town, Litchfield County, Connecticut","9018","71964","99815","09","005","80490"
"Winchester town, Litchfield County, Connecticut","4818","63882","79944","09","005","86440"
"Woodbury town, Litchfield County, Connecticut","4533","100850","129311","09","005","87910"
"Ashford town, Windham County, Connecticut","1779","84909","120133","09","015","01430"
"Brooklyn town, Windham County, Connecticut","2790","75993","99611","09","015","09190"
"Canterbury town, Windham County, Connecticut","2121","86178","100687","09","015","12130"
"Bloomfield town, Hartford County, Connecticut","8620","79134","102991","09","003","05910"
"East Granby town, Hartford County, Connecticut","1939","107566","112553","09","003","22070"
"Enfield town, Hartford County, Connecticut","16897","83232","94021","09","003","25990"
"Hartford town, Hartford County, Connecticut","47722","36154","54231","09","003","37070"
"Marlborough town, Hartford County, Connecticut","2289","113547","140471","09","003","45820"
"Rocky Hill town, Hartford County, Connecticut","8677","85123","108675","09","003","65370"
"Suffield town, Hartford County, Connecticut","5125","110938","149961","09","003","74540"
"Windsor town, Hartford County, Connecticut","11055","92079","106389","09","003","87000"
"Bridgewater town, Litchfield County, Connecticut","725","130186","178039","09","005","08210"
"Cornwall town, Litchfield County, Connecticut","623","90197","149023","09","005","17240"
"Litchfield town, Litchfield County, Connecticut","3371","87241","117641","09","005","43370"
"Sterling town, Windham County, Connecticut","1372","84643","83777","09","015","73420"
"Woodstock town, Windham County, Connecticut","3274","92165","117253","09","015","88190"
"Bethany town, New Haven County, Connecticut","1860","151034","211576","09","009","04580"
"Derby town, New Haven County, Connecticut","5740","58534","74727","09","009","19550"
"Madison town, New Haven County, Connecticut","6789","119777","162157","09","009","44560"
"Milford town, New Haven County, Connecticut","22360","95627","123184","09","009","47535"
"North Haven town, New Haven County, Connecticut","9159","104812","128099","09","009","54870"
"Seymour town, New Haven County, Connecticut","6297","80396","102851","09","009","67610"
"Waterbury town, New Haven County, Connecticut","42135","46329","61667","09","009","80070"
"County subdivisions not defined, New London County, Connecticut","0","-666666666","-666666666","09","011","00000"
"Franklin town, New London County, Connecticut","702","91875","110647","09","011","29910"
"Mansfield town, Tolland County, Connecticut","5798","50492","87984","09","013","44910"
"Tolland town, Tolland County, Connecticut","5460","118367","154757","09","013","76290"
"County subdivisions not defined, Fairfield County, Connecticut","0","-666666666","-666666666","09","001","00000"
"Danbury town, Fairfield County, Connecticut","31074","73204","95577","09","001","18500"
"Fairfield town, Fairfield County, Connecticut","21176","140308","198022","09","001","26620"
