"NAME","S1901_C01_001E","S1901_C01_012E","S1901_C01_013E","state","county","county subdivision"
"Bridgeport town, Fairfield County, Connecticut","50547","45441","62879","09","001","08070"
"Weston town, Fairfield County, Connecticut","3473","219083","292611","09","001","83430"
"County subdivisions not defined, Fairfield County, Connecticut","0","-666666666","-666666666","09","001","00000"
"Easton town, Fairfield County, Connecticut","2805","142841","185186","09","001","23890"
"Darien town, Fairfield County, Connecticut","6858","210511","352839","09","001","18850"
"Ridgefield town, Fairfield County, Connecticut","8983","158518","223440","09","001","63970"
"Shelton town, Fairfield County, Connecticut","16351","94446","115632","09","001","68170"
"Westport town, Fairfield County, Connecticut","9896","187988","309144","09","001","83500"
"Danbury town, Fairfield County, Connecticut","29736","71672","93792","09","001","18500"
"Sherman town, Fairfield County, Connecticut","1477","113506","181559","09","001","68310"
"Brookfield town, Fairfield County, Connecticut","6190","107255","134849","09","001","08980"
"Trumbull town, Fairfield County, Connecticut","12427","118707","146377","09","001","77200"
"Southbury town, New Haven County, Connecticut","7900","94176","119631","09","009","69640"
"Cheshire town, New Haven County, Connecticut","10162","112945","135807","09","009","14160"
"Hamden town, New Haven County, Connecticut","22945","75392","96733","09","009","35650"
"North Branford town, New Haven County, Connecticut","5451","86087","119524","09","009","53890"
"Seymour town, New Haven County, Connecticut","6239","70941","93167","09","009","67610"
"Waterbury town, New Haven County, Connecticut","40579","41617","57251","09","009","80070"
"North Haven town, New Haven County, Connecticut","8785","99094","125155","09","009","54870"
"Milford town, New Haven County, Connecticut","22065","89778","112164","09","009","47535"
"Harwinton town, Litchfield County, Connecticut","1937","108355","122694","09","005","37280"
"Morris town, Litchfield County, Connecticut","866","94500","130360","09","005","49460"
"Plymouth town, Litchfield County, Connecticut","4733","80750","93642","09","005","60750"
"Sharon town, Litchfield County, Connecticut","1296","78403","146552","09","005","67960"
"Thomaston town, Litchfield County, Connecticut","3134","67862","82178","09","005","75730"
"Salisbury town, Litchfield County, Connecticut","1675","83698","129769","09","005","66420"
"Torrington town, Litchfield County, Connecticut","14429","63576","74353","09","005","76570"
"Cornwall town, Litchfield County, Connecticut","571","82083","126697","09","005","17240"
"New Milford town, Litchfield County, Connecticut","10434","87188","108621","09","005","52630"
"Watertown town, Litchfield County, Connecticut","8522","76920","100235","09","005","80490"
"Colebrook town, Litchfield County, Connecticut","588","91786","105329","09","005","16050"
"Goshen town, Litchfield County, Connecticut","1095","98967","118548","09","005","32290"
"Woodbury town, Litchfield County, Connecticut","4139","78025","115481","09","005","87910"
"Bridgewater town, Litchfield County, Connecticut","710","106429","163741","09","005","08210"
"Canaan town, Litchfield County, Connecticut","531","77847","128483","09","005","10940"
"North Canaan town, Litchfield County, Connecticut","1358","68438","81617","09","005","54030"
"Litchfield town, Litchfield County, Connecticut","3474","80570","108446","09","005","43370"
"Warren town, Litchfield County, Connecticut","569","107813","147660","09","005","79510"
"Norfolk town, Litchfield County, Connecticut","679","75547","106447","09","005","53470"
"Roxbury town, Litchfield County, Connecticut","888","137656","208567","09","005","65930"
