"NAME","S1901_C01_001E","S1901_C01_012E","S1901_C01_013E","state","county","county subdivision"
"South Windsor town, Hartford County, Connecticut","9691","105986","122502","09","003","71390"
"West Hartford town, Hartford County, Connecticut","24470","95298","133890","09","003","82590"
"Windsor town, Hartford County, Connecticut","10856","89565","102876","09","003","87000"
"Windsor Locks town, Hartford County, Connecticut","5078","67072","86663","09","003","87070"
"East Windsor town, Hartford County, Connecticut","4739","75056","84701","09","003","24800"
"New Britain town, Hartford County, Connecticut","28531","43611","56293","09","003","50440"
"Bristol town, Hartford County, Connecticut","24789","64586","77864","09","003","08490"
"Farmington town, Hartford County, Connecticut","10423","94785","135075","09","003","27600"
"Southington town, Hartford County, Connecticut","16887","90796","105390","09","003","70550"
"East Granby town, Hartford County, Connecticut","2117","93385","100809","09","003","22070"
"Avon town, Hartford County, Connecticut","6970","125536","174681","09","003","02060"
"Wethersfield town, Hartford County, Connecticut","10778","81452","99329","09","003","84900"
"Berlin town, Hartford County, Connecticut","8207","93328","111451","09","003","04300"
"Burlington town, Hartford County, Connecticut","3363","121635","143980","09","003","10100"
"Granby town, Hartford County, Connecticut","4280","111220","137121","09","003","32640"
"Hartland town, Hartford County, Connecticut","756","94569","111529","09","003","37140"
"East Hartford town, Hartford County, Connecticut","19572","52049","65567","09","003","22630"
"Hartford town, Hartford County, Connecticut","45822","33841","48913","09","003","37070"
"Manchester town, Hartford County, Connecticut","23728","67325","81768","09","003","44700"
"Bloomfield town, Hartford County, Connecticut","8605","73593","96485","09","003","05910"
"Glastonbury town, Hartford County, Connecticut","13587","111645","151993","09","003","31240"
"Suffield town, Hartford County, Connecticut","4927","105777","137652","09","003","74540"
"Marlborough town, Hartford County, Connecticut","2312","110250","131024","09","003","45820"
"Rocky Hill town, Hartford County, Connecticut","8547","79421","102328","09","003","65370"
"Chaplin town, Windham County, Connecticut","872","76932","86425","09","015","13810"
"Canterbury town, Windham County, Connecticut","1847","89213","97817","09","015","12130"
"Plainfield town, Windham County, Connecticut","5694","67409","75195","09","015","59980"
"Thompson town, Windham County, Connecticut","3681","77267","87836","09","015","75870"
"Woodstock town, Windham County, Connecticut","3081","81441","95847","09","015","88190"
"Scotland town, Windham County, Connecticut","578","85714","94821","09","015","67400"
"Pomfret town, Windham County, Connecticut","1644","84457","107095","09","015","61030"
"Windham town, Windham County, Connecticut","8685","41293","51602","09","015","86790"
"Ashford town, Windham County, Connecticut","1754","68846","82182","09","015","01430"
"Brooklyn town, Windham County, Connecticut","3088","75000","81345","09","015","09190"
"Killingly town, Windham County, Connecticut","7066","54868","68857","09","015","40500"
"Putnam town, Windham County, Connecticut","3874","58416","71749","09","015","62710"
"Sterling town, Windham County, Connecticut","1284","75574","81105","09","015","73420"
"Eastford town, Windham County, Connecticut","657","84375","95089","09","015","21860"
"Hampton town, Windham County, Connecticut","724","74265","89315","09","015","36000"
"Colchester town, New London County, Connecticut","5851","101031","114959","09","011","15910"
"Ledyard town, New London County, Connecticut","5625","88163","110961","09","011","42600"
"New London town, New London County, Connecticut","10984","37331","54286","09","011","52350"
"Bozrah town, New London County, Connecticut","1018","82500","91730","09","011","06820"
"Preston town, New London County, Connecticut","1855","74083","88520","09","011","62150"
"County subdivisions not defined, New London County, Connecticut","0","-666666666","-666666666","09","011","00000"
"Franklin town, New London County, Connecticut","723","92279","108565","09","011","29910"
"Lebanon town, New London County, Connecticut","2703","93531","105825","09","011","42390"
"Salem town, New London County, Connecticut","1637","106719","123156","09","011","66210"
"Waterford town, New London County, Connecticut","7896","79175","99957","09","011","80280"
"North Stonington town, New London County, Connecticut","2000","84833","95328","09","011","55500"
"Sprague town, New London County, Connecticut","1185","62178","75912","09","011","71670"
"Stonington town, New London County, Connecticut","8024","78875","110888","09","011","73770"
"Norwich town, New London County, Connecticut","15795","53682","70176","09","011","56270"
"East Lyme town, New London County, Connecticut","7446","83590","106967","09","011","23400"
"Groton town, New London County, Connecticut","16002","63895","83919","09","011","34250"
"Voluntown town, New London County, Connecticut","1006","81400","85205","09","011","78600"
"Lisbon town, New London County, Connecticut","1651","85296","100183","09","011","43230"
"Griswold town, New London County, Connecticut","4457","60521","81456","09","011","33900"
"Montville town, New London County, Connecticut","7027","72639","87191","09","011","48900"
"Lyme town, New London County, Connecticut","1093","84922","135949","09","011","44210"
