"NAME","S1901_C01_001E","S1901_C01_012E","S1901_C01_013E","state","county","county subdivision"
"Redding town, Fairfield County, Connecticut","3496","129643","167125","09","001","63480"
"Stratford town, Fairfield County, Connecticut","20540","69336","86669","09","001","74190"
"New Canaan town, Fairfield County, Connecticut","7018","176601","321457","09","001","50580"
"New Fairfield town, Fairfield County, Connecticut","4795","101392","130320","09","001","50860"
"Newtown town, Fairfield County, Connecticut","9796","110036","138713","09","001","52980"
"Easton town, Fairfield County, Connecticut","2672","133356","170599","09","001","23890"
"Stamford town, Fairfield County, Connecticut","47708","81634","128362","09","001","73070"
"Weston town, Fairfield County, Connecticut","3440","218152","277362","09","001","83430"
"County subdivisions not defined, Fairfield County, Connecticut","0","-666666666","-666666666","09","001","00000"
"Wilton town, Fairfield County, Connecticut","5917","179844","257307","09","001","86370"
"Bridgeport town, Fairfield County, Connecticut","50357","43137","58870","09","001","08070"
"Darien town, Fairfield County, Connecticut","6618","208125","327901","09","001","18850"
"Fairfield town, Fairfield County, Connecticut","20155","122135","178839","09","001","26620"
"Ridgefield town, Fairfield County, Connecticut","8909","145014","214844","09","001","63970"
"Shelton town, Fairfield County, Connecticut","15803","87277","110449","09","001","68170"
"Bethel town, Fairfield County, Connecticut","7210","94292","117069","09","001","04720"
"Danbury town, Fairfield County, Connecticut","29426","67430","86678","09","001","18500"
"Norwalk town, Fairfield County, Connecticut","33184","80896","116736","09","001","56060"
"Brookfield town, Fairfield County, Connecticut","6042","106278","128801","09","001","08980"
"Trumbull town, Fairfield County, Connecticut","12040","112674","137374","09","001","77200"
"Cheshire town, New Haven County, Connecticut","10045","108559","127386","09","009","14160"
"Hamden town, New Haven County, Connecticut","23356","71665","91217","09","009","35650"
"Seymour town, New Haven County, Connecticut","6063","79734","94270","09","009","67610"
"Waterbury town, New Haven County, Connecticut","39735","39681","53387","09","009","80070"
"North Haven town, New Haven County, Connecticut","8367","93696","112156","09","009","54870"
"Harwinton town, Litchfield County, Connecticut","2022","93770","116677","09","005","37280"
"Morris town, Litchfield County, Connecticut","936","82031","121904","09","005","49460"
"Plymouth town, Litchfield County, Connecticut","4733","70635","80591","09","005","60750"
"Thomaston town, Litchfield County, Connecticut","3027","65901","78590","09","005","75730"
"Salisbury town, Litchfield County, Connecticut","1698","74853","119417","09","005","66420"
"Cornwall town, Litchfield County, Connecticut","593","74107","111017","09","005","17240"
"New Milford town, Litchfield County, Connecticut","10373","81350","98136","09","005","52630"
"Watertown town, Litchfield County, Connecticut","8344","76175","99759","09","005","80490"
"Goshen town, Litchfield County, Connecticut","1069","95219","105465","09","005","32290"
"Woodbury town, Litchfield County, Connecticut","4059","79387","110249","09","005","87910"
"Canaan town, Litchfield County, Connecticut","540","72174","96356","09","005","10940"
"Bethlehem town, Litchfield County, Connecticut","1277","87056","117532","09","005","04930"
