"NAME","S1901_C01_001E","S1901_C01_012E","S1901_C01_013E","state","county","county subdivision"
"Plymouth town, Naugatuck Valley Planning Region, Connecticut","4496","94600","105774","09","140","60750"
"Prospect town, Naugatuck Valley Planning Region, Connecticut","3208","124382","139161","09","140","62290"
"Seymour town, Naugatuck Valley Planning Region, Connecticut","6465","96747","118580","09","140","67610"
"Shelton town, Naugatuck Valley Planning Region, Connecticut","15774","112366","140301","09","140","68170"
"Southbury town, Naugatuck Valley Planning Region, Connecticut","8020","107266","157429","09","140","69640"
"Thomaston town, Naugatuck Valley Planning Region, Connecticut","2984","91967","133195","09","140","75730"
"Waterbury town, Naugatuck Valley Planning Region, Connecticut","45968","51451","69383","09","140","80070"
"Watertown town, Naugatuck Valley Planning Region, Connecticut","8796","84536","112895","09","140","80490"
"Wolcott town, Naugatuck Valley Planning Region, Connecticut","6087","113433","130834","09","140","87560"
"Woodbury town, Naugatuck Valley Planning Region, Connecticut","4494","120577","144948","09","140","87910"
"Ashford town, Northeastern Connecticut Planning Region, Connecticut","1806","94778","135441","09","150","01430"
"Brooklyn town, Northeastern Connecticut Planning Region, Connecticut","2925","84816","112909","09","150","09190"
"Canterbury town, Northeastern Connecticut Planning Region, Connecticut","2308","96121","102820","09","150","12130"
"Chaplin town, Northeastern Connecticut Planning Region, Connecticut","918","83750","91049","09","150","13810"
"Eastford town, Northeastern Connecticut Planning Region, Connecticut","591","100673","115904","09","150","21860"
"Hampton town, Northeastern Connecticut Planning Region, Connecticut","681","107109","124185","09","150","36000"
"Killingly town, Northeastern Connecticut Planning Region, Connecticut","7137","76552","89490","09","150","40500"
"Plainfield town, Northeastern Connecticut Planning Region, Connecticut","6009","68651","84643","09","150","59980"
"Pomfret town, Northeastern Connecticut Planning Region, Connecticut","1692","98750","124037","09","150","61030"
"Putnam town, Northeastern Connecticut Planning Region, Connecticut","4010","63721","78956","09","150","62710"
"Scotland town, Northeastern Connecticut Planning Region, Connecticut","626","90317","103881","09","150","67400"
"Sterling town, Northeastern Connecticut Planning Region, Connecticut","1205","82703","98116","09","150","73420"
"Thompson town, Northeastern Connecticut Planning Region, Connecticut","3819","95905","104464","09","150","75870"
"Union town, Northeastern Connecticut Planning Region, Connecticut","397","100547","120188","09","150","77830"
"Voluntown town, Northeastern Connecticut Planning Region, Connecticut","1057","84250","104408","09","150","78600"
"Woodstock town, Northeastern Connecticut Planning Region, Connecticut","3393","101496","139568","09","150","88190"
"Barkhamsted town, Northwest Hills Planning Region, Connecticut","1386","120125","135255","09","160","02760"
"Burlington town, Northwest Hills Planning Region, Connecticut","3206","148696","174049","09","160","10100"
"Canaan town, Northwest Hills Planning Region, Connecticut","502","89318","124380","09","160","10940"
"Colebrook town, Northwest Hills Planning Region, Connecticut","621","120625","130965","09","160","16050"
"Cornwall town, Northwest Hills Planning Region, Connecticut","615","99922","161451","09","160","17240"
"Goshen town, Northwest Hills Planning Region, Connecticut","1197","138299","209413","09","160","32290"
"Hartland town, Northwest Hills Planning Region, Connecticut","738","111429","140475","09","160","37140"
"Harwinton town, Northwest Hills Planning Region, Connecticut","2069","102078","137587","09","160","37280"
"Kent town, Northwest Hills Planning Region, Connecticut","1277","93281","164549","09","160","40290"
"Litchfield town, Northwest Hills Planning Region, Connecticut","3481","112910","144353","09","160","43370"
"Morris town, Northwest Hills Planning Region, Connecticut","888","101638","162002","09","160","49460"
"New Hartford town, Northwest Hills Planning Region, Connecticut","2707","102522","157705","09","160","51350"
"Norfolk town, Northwest Hills Planning Region, Connecticut","734","92500","157459","09","160","53470"
"North Canaan town, Northwest Hills Planning Region, Connecticut","1206","60962","93867","09","160","54030"
"Roxbury town, Northwest Hills Planning Region, Connecticut","968","132500","182026","09","160","65930"
"Salisbury town, Northwest Hills Planning Region, Connecticut","1648","99083","161792","09","160","66420"
"Sharon town, Northwest Hills Planning Region, Connecticut","1298","102963","180060","09","160","67960"
"Torrington town, Northwest Hills Planning Region, Connecticut","14645","66616","82562","09","160","76570"
"Warren town, Northwest Hills Planning Region, Connecticut","523","130156","217311","09","160","79510"
"Washington town, Northwest Hills Planning Region, Connecticut","1453","85709","158453","09","160","79720"
"Winchester town, Northwest Hills Planning Region, Connecticut","4814","73000","86242","09","160","86440"
"County subdivisions not defined, South Central Connecticut Planning Region, Connecticut","0","-666666666","-666666666","09","170","00000"
"Bethany town, South Central Connecticut Planning Region, Connecticut","1742","141000","199342","09","170","04580"
"Branford town, South Central Connecticut Planning Region, Connecticut","13087","94750","135537","09","170","07310"
"East Haven town, South Central Connecticut Planning Region, Connecticut","11028","83489","100165","09","170","22910"
"Guilford town, South Central Connecticut Planning Region, Connecticut","8786","124793","174176","09","170","34950"
"Hamden town, South Central Connecticut Planning Region, Connecticut","22891","90484","113394","09","170","35650"
"Madison town, South Central Connecticut Planning Region, Connecticut","6825","156171","204918","09","170","44560"
"Meriden town, South Central Connecticut Planning Region, Connecticut","25018","63671","84046","09","170","46520"
"Milford town, South Central Connecticut Planning Region, Connecticut","21951","104441","140690","09","170","47535"
"New Haven town, South Central Connecticut Planning Region, Connecticut","52977","54305","82869","09","170","52070"
"North Branford town, South Central Connecticut Planning Region, Connecticut","5082","114167","150580","09","170","53890"
"North Haven town, South Central Connecticut Planning Region, Connecticut","9559","121250","147069","09","170","54870"
"Orange town, South Central Connecticut Planning Region, Connecticut","5192","138514","167978","09","170","57600"
"Wallingford town, South Central Connecticut Planning Region, Connecticut","18431","98465","115652","09","170","78740"
"West Haven town, South Central Connecticut Planning Region, Connecticut","20405","72827","92458","09","170","82870"
"Woodbridge town, South Central Connecticut Planning Region, Connecticut","3180","190536","237497","09","170","87700"
"County subdivisions not defined, Southeastern Connecticut Planning Region, Connecticut","0","-666666666","-666666666","09","180","00000"
"Bozrah town, Southeastern Connecticut Planning Region, Connecticut","943","102440","119352","09","180","06820"
"Colchester town, Southeastern Connecticut Planning Region, Connecticut","6089","114505","131327","09","180","15910"
"East Lyme town, Southeastern Connecticut Planning Region, Connecticut","7654","105064","133116","09","180","23400"
"Franklin town, Southeastern Connecticut Planning Region, Connecticut","700","95543","115082","09","180","29910"
"Griswold town, Southeastern Connecticut Planning Region, Connecticut","4884","74207","93844","09","180","33900"
"Groton town, Southeastern Connecticut Planning Region, Connecticut","16391","82149","105902","09","180","34250"
"Lebanon town, Southeastern Connecticut Planning Region, Connecticut","2795","107050","128340","09","180","42390"
