District,District Code,fiscal_year,enrollment_total,n_black,n_hispanic,n_white,n_native_american,n_asian,n_two_or_more,n_pacific_islander,n_ell,n_free_lunch,n_reduced_lunch,n_sped,n_frpl,n_black_hispanic,pct_white,pct_black,pct_hispanic,pct_asian,pct_native_american,pct_two_or_more,pct_pacific_islander,pct_black_hispanic,pct_ell,pct_free_lunch,pct_frpl,pct_sped,pct_nonwhite
Capitol Region Education Council,2410014,2008,2793.0,1082.0,565.0,1033.0,9.0,104.0,,,56.0,526.0,255.0,598.0,781.0,1647.0,36.98532044396706,38.73970640887934,20.229144289294666,3.7235947010383104,0.322234156820623,,,58.968850698174,2.0050125313283207,18.8327962764053,27.96276405298962,21.41066953097028,63.01467955603294
Chaplin School District,0240011,2008,210.0,,14.0,189.0,,,,,0.0,28.0,13.0,28.0,41.0,17.0,90.0,,6.666666666666667,,,,,8.095238095238095,0.0,13.333333333333334,19.523809523809526,13.333333333333334,10.0
Cheshire School District,0250011,2008,5144.0,93.0,138.0,4524.0,6.0,383.0,,,42.0,104.0,70.0,515.0,174.0,231.0,87.94712286158631,1.8079315707620531,2.6827371695178845,7.44556765163297,0.11664074650077762,,,4.490668740279938,0.8164852255054432,2.021772939346812,3.382581648522551,10.011664074650078,12.052877138413692
Chester School District,0260011,2008,341.0,,,322.0,0.0,9.0,,,0.0,,,57.0,,,94.42815249266863,,,2.6392961876832843,0.0,,,,0.0,,,16.715542521994134,5.57184750733137
Clinton School District,0270011,2008,2113.0,,133.0,1906.0,,57.0,,,36.0,102.0,68.0,261.0,170.0,136.0,90.20350212967345,,6.294368196876479,2.6975863700899194,,,,6.436346426881212,1.7037387600567913,4.827259820160909,8.045433033601515,12.352106010411736,9.796497870326547
Colchester School District,0280011,2008,3262.0,98.0,117.0,2980.0,23.0,44.0,,,21.0,180.0,83.0,365.0,263.0,215.0,91.35499693439607,3.004291845493562,3.5867565910484367,1.3488657265481299,0.7050889025137952,,,6.591048436541999,0.6437768240343348,5.518087063151441,8.062538320049049,11.189454322501533,8.64500306560393
Colebrook School District,0290011,2008,123.0,0.0,0.0,119.0,,,,,0.0,,,19.0,,0.0,96.7479674796748,0.0,0.0,,,,,0.0,0.0,,,15.447154471544716,3.2520325203252014
Columbia School District,0300011,2008,593.0,,14.0,570.0,,,,,,24.0,11.0,65.0,35.0,17.0,96.12141652613828,,2.360876897133221,,,,,2.866779089376054,,4.0472175379426645,5.902192242833052,10.961214165261383,3.878583473861724
Common Ground High School District,2680013,2008,152.0,82.0,47.0,,0.0,,,,0.0,78.0,21.0,32.0,99.0,129.0,,53.94736842105263,30.92105263157895,,0.0,,,84.86842105263158,0.0,51.31578947368421,65.13157894736842,21.052631578947366,
Connecticut Technical Education and Career System,9000016,2008,9973.0,1482.0,2575.0,5774.0,61.0,81.0,,,323.0,1957.0,726.0,775.0,2683.0,4057.0,57.89632006417327,14.860122330291789,25.819713225709418,0.8121929208863933,0.6116514589391356,,,40.6798355560012,3.2387446104482103,19.622982051539157,26.902637120224604,7.770981650456232,42.10367993582673
Cooperative Educational Services,2430014,2008,675.0,229.0,168.0,254.0,,,,,0.0,186.0,69.0,265.0,255.0,397.0,37.629629629629626,33.925925925925924,24.88888888888889,,,,,58.81481481481482,0.0,27.555555555555557,37.77777777777778,39.25925925925926,62.370370370370374
Cornwall School District,0310011,2008,129.0,,6.0,116.0,0.0,,,,0.0,7.0,0.0,14.0,7.0,9.0,89.92248062015504,,4.651162790697675,,0.0,,,6.976744186046512,0.0,5.426356589147287,5.426356589147287,10.852713178294573,10.077519379844958
Coventry School District,0320011,2008,2016.0,34.0,48.0,1912.0,,,,,0.0,110.0,79.0,247.0,189.0,82.0,94.84126984126983,1.6865079365079365,2.380952380952381,,,,,4.067460317460317,0.0,5.4563492063492065,9.375,12.251984126984127,5.158730158730165
Cromwell School District,0330011,2008,2000.0,163.0,109.0,1652.0,,,,,63.0,135.0,89.0,204.0,224.0,272.0,82.6,8.15,5.45,,,,,13.600000000000001,3.15,6.75,11.200000000000001,10.2,17.400000000000006
Danbury School District,0340011,2008,10178.0,1017.0,3211.0,5139.0,6.0,805.0,,,1811.0,2439.0,853.0,1079.0,3292.0,4228.0,50.49125564943997,9.99213990960896,31.54843780703478,7.909215955983494,0.05895067793279622,,,41.54057771664374,17.79327962271566,23.963450579681666,32.34427195912753,10.60129691491452,49.50874435056003
Darien School District,0350011,2008,4662.0,36.0,86.0,4399.0,15.0,126.0,,,40.0,53.0,29.0,519.0,82.0,122.0,94.35864435864436,0.7722007722007722,1.8447018447018446,2.7027027027027026,0.32175032175032175,,,2.616902616902617,0.8580008580008579,1.136851136851137,1.758901758901759,11.132561132561133,5.641355641355645
Deep River School District,0360011,2008,389.0,11.0,27.0,346.0,,,,,14.0,24.0,14.0,68.0,38.0,38.0,88.94601542416453,2.827763496143959,6.940874035989718,,,,,9.768637532133676,3.5989717223650386,6.169665809768637,9.768637532133676,17.480719794344473,11.053984575835472
Derby School District,0370011,2008,1472.0,220.0,290.0,909.0,,,,,111.0,461.0,136.0,134.0,597.0,510.0,61.752717391304344,14.945652173913043,19.70108695652174,,,,,34.64673913043478,7.540760869565218,31.3179347826087,40.557065217391305,9.103260869565217,38.247282608695656
East Granby School District,0400011,2008,914.0,35.0,30.0,817.0,,,,,7.0,10.0,0.0,114.0,10.0,65.0,89.38730853391685,3.8293216630196936,3.282275711159737,,,,,7.11159737417943,0.7658643326039387,1.0940919037199124,1.0940919037199124,12.472647702407002,10.612691466083149
East Haddam School District,0410011,2008,1433.0,18.0,36.0,1360.0,,,,,,50.0,34.0,188.0,84.0,54.0,94.90579204466155,1.2561060711793441,2.5122121423586883,,,,,3.768318213538032,,3.4891835310537336,5.861828332170272,13.119330076762036,5.094207955338447
East Hampton School District,0420011,2008,2087.0,,50.0,1969.0,,37.0,,,7.0,113.0,41.0,185.0,154.0,53.0,94.3459511260182,,2.3957834211787254,1.7728797316722569,,,,2.539530426449449,0.33540967896502155,5.41447053186392,7.379012937230474,8.864398658361285,5.654048873981793
East Hartford School District,0430011,2008,7474.0,2651.0,2680.0,1675.0,22.0,446.0,,,480.0,2585.0,781.0,1089.0,3366.0,5331.0,22.41102488627241,35.46962804388547,35.85763981803586,5.967353492105968,0.29435375970029437,,,71.32726786192133,6.4222638480064225,34.586566764784585,45.03612523414503,14.570511105164572,77.58897511372759
East Haven School District,0440011,2008,3699.0,101.0,446.0,2988.0,9.0,155.0,,,180.0,707.0,357.0,442.0,1064.0,547.0,80.7785888077859,2.7304676939713435,12.057312787239795,4.190321708569884,0.24330900243309003,,,14.787780481211138,4.866180048661801,19.113273857799406,28.76453095431198,11.949175452825088,19.221411192214106
East Lyme School District,0450011,2008,3269.0,65.0,105.0,2803.0,31.0,265.0,,,23.0,102.0,69.0,407.0,171.0,170.0,85.7448761089018,1.9883756500458858,3.2119914346895073,8.106454573263996,0.9483022330988069,,,5.200367084735393,0.7035790761700825,3.120220250841236,5.230957479351483,12.450290608748853,14.255123891098194
East Windsor School District,0470011,2008,1494.0,205.0,143.0,1077.0,,,,,57.0,276.0,105.0,230.0,381.0,348.0,72.08835341365462,13.721552878179386,9.571619812583668,,,,,23.293172690763054,3.815261044176707,18.473895582329316,25.502008032128515,15.39491298527443,27.911646586345384
Eastern Connecticut Regional Educational Service Center (EASTCONN),2530014,2008,64.0,,,56.0,,0.0,,,0.0,12.0,7.0,46.0,19.0,,87.5,,,0.0,,,,,0.0,18.75,29.6875,71.875,12.5
Eastford School District,0390011,2008,189.0,,6.0,174.0,,,,,0.0,7.0,7.0,24.0,14.0,9.0,92.06349206349206,,3.1746031746031744,,,,,4.761904761904762,0.0,3.7037037037037033,7.4074074074074066,12.698412698412698,7.936507936507937
Easton School District,0460011,2008,1180.0,13.0,39.0,1085.0,0.0,43.0,,,,,,103.0,,52.0,91.94915254237289,1.1016949152542372,3.305084745762712,3.6440677966101696,0.0,,,4.406779661016949,,,,8.728813559322033,8.050847457627114
EdAdvance,2420014,2008,179.0,,46.0,115.0,0.0,,,,0.0,159.0,0.0,23.0,159.0,49.0,64.24581005586593,,25.69832402234637,,0.0,,,27.37430167597765,0.0,88.8268156424581,88.8268156424581,12.849162011173185,35.75418994413407
Ellington School District,0480011,2008,2612.0,82.0,49.0,2396.0,8.0,77.0,,,23.0,76.0,46.0,269.0,122.0,131.0,91.73047473200613,3.139356814701378,1.8759571209800918,2.9479326186830015,0.3062787136294028,,,5.01531393568147,0.880551301684533,2.909647779479326,4.670750382848392,10.298621745788667,8.26952526799387
Elm City College Preparatory School,2810013,2008,476.0,373.0,94.0,,0.0,,,,0.0,261.0,84.0,22.0,345.0,467.0,,78.36134453781513,19.747899159663866,,0.0,,,98.10924369747899,0.0,54.83193277310925,72.47899159663865,4.621848739495799,
Enfield School District,0490011,2008,6373.0,525.0,339.0,5344.0,21.0,144.0,,,83.0,1091.0,421.0,835.0,1512.0,864.0,83.85375804173859,8.237878550133376,5.319315863800408,2.2595324023222974,0.32951514200533505,,,13.557194413933782,1.3023693707829906,17.11909618703907,23.72509022438412,13.102149694021653,16.146241958261413
Essex School District,0500011,2008,551.0,,17.0,509.0,,14.0,,,,10.0,8.0,45.0,18.0,20.0,92.37749546279493,,3.0852994555353903,2.540834845735027,,,,3.6297640653357535,,1.8148820326678767,3.2667876588021776,8.166969147005444,7.622504537205074
Explorations District,2720013,2008,86.0,0.0,,81.0,,0.0,,,0.0,18.0,8.0,21.0,26.0,3.0,94.18604651162791,0.0,,0.0,,,,3.488372093023256,0.0,20.930232558139537,30.23255813953488,24.418604651162788,5.813953488372093
Fairfield School District,0510011,2008,9797.0,,542.0,8518.0,,496.0,,,232.0,302.0,192.0,1048.0,494.0,545.0,86.94498315810962,,5.532305807900378,5.06277431866898,,,,5.562927426763295,2.368071858732265,3.082576298867,5.042359906093702,10.697152189445749,13.055016841890378
Farmington School District,0520011,2008,4209.0,231.0,169.0,3422.0,6.0,381.0,,,64.0,175.0,51.0,406.0,226.0,400.0,81.30197196483725,5.48823948681397,4.0152055119981,9.052031361368496,0.14255167498218105,,,9.50344499881207,1.520551199809931,4.15775718698028,5.369446424328819,9.64599667379425,18.69802803516275
Franklin School District,0530011,2008,235.0,,7.0,222.0,,,,,0.0,12.0,10.0,31.0,22.0,10.0,94.46808510638299,,2.9787234042553195,,,,,4.25531914893617,0.0,5.106382978723404,9.361702127659575,13.191489361702127,5.531914893617014
Glastonbury School District,0540011,2008,6882.0,240.0,303.0,5800.0,17.0,522.0,,,99.0,214.0,99.0,805.0,313.0,543.0,84.27782621331008,3.4873583260680032,4.402789886660854,7.585004359197908,0.24702121476315023,,,7.890148212728858,1.4385353095030515,3.109561174077303,4.548096483580355,11.697181052019761,15.722173786689922
Granby School District,0560011,2008,2339.0,101.0,46.0,2157.0,8.0,27.0,,,,68.0,36.0,209.0,104.0,147.0,92.21889696451476,4.318084651560496,1.9666524155622063,1.1543394613082514,0.3420265070542967,,,6.284737067122702,,2.907225309961522,4.4463445917058575,8.9354424967935,7.781103035485245
Greenwich School District,0570011,2008,9014.0,241.0,1294.0,6701.0,10.0,768.0,,,597.0,549.0,249.0,1038.0,798.0,1535.0,74.33991568670957,2.673618815176392,14.355447082316397,8.520079875748836,0.11093854004881294,,,17.02906589749279,6.623030840914133,6.090525848679832,8.852895495895275,11.515420457066785,25.660084313290426
Griswold School District,0580011,2008,2146.0,48.0,60.0,1966.0,35.0,37.0,,,19.0,381.0,165.0,271.0,546.0,108.0,91.61230195712953,2.2367194780987885,2.7958993476234855,1.7241379310344827,1.6309412861136998,,,5.032618825722274,0.8853681267474371,17.753960857409133,25.442684063373715,12.628145386766077,8.387698042870468
Groton School District,0590011,2008,5198.0,731.0,530.0,3459.0,92.0,386.0,,,99.0,935.0,573.0,682.0,1508.0,1261.0,66.54482493266642,14.063101192766448,10.196229318968834,7.425933051173528,1.7699115044247788,,,24.259330511735282,1.904578684109273,17.987687572143134,29.011158137745284,13.12043093497499,33.455175067333585
Guilford School District,0600011,2008,3839.0,,169.0,3477.0,,142.0,,,46.0,116.0,48.0,407.0,164.0,172.0,90.57046105756707,,4.402188069809846,3.6988799166449593,,,,4.4803334201615,1.198228705392029,3.021620213597291,4.271945819223756,10.601719197707736,9.429538942432927
Hamden School District,0620011,2008,6306.0,2096.0,832.0,2971.0,10.0,397.0,,,77.0,1115.0,384.0,810.0,1499.0,2928.0,47.11385981604821,33.238185854741516,13.193783698065333,6.2955915001585785,0.1585791309863622,,,46.43196955280685,1.2210593085949888,17.681573104979385,23.771011734855694,12.844909609895339,52.88614018395179
Hampton School District,0630011,2008,166.0,0.0,9.0,154.0,,,,,,,,20.0,,9.0,92.7710843373494,0.0,5.421686746987952,,,,,5.421686746987952,,,,12.048192771084338,7.228915662650607
Hartford School District,0640011,2008,22679.0,9118.0,11836.0,1415.0,,253.0,,,3764.0,21932.0,204.0,3199.0,22136.0,20954.0,6.239252171612505,40.204594558842984,52.189249966929765,1.1155694695533311,,,,92.39384452577274,16.596851713038493,96.70620397724767,97.60571453767803,14.105560209885798,93.7607478283875
Hartland School District,0650011,2008,236.0,,,219.0,,8.0,,,0.0,,0.0,19.0,0.0,,92.79661016949152,,,3.389830508474576,,,,,0.0,,0.0,8.050847457627118,7.203389830508485
Hebron School District,0670011,2008,1206.0,6.0,18.0,1167.0,0.0,15.0,,,,26.0,23.0,132.0,49.0,24.0,96.76616915422885,0.4975124378109453,1.4925373134328357,1.2437810945273633,0.0,,,1.9900497512437811,,2.155887230514096,4.06301824212272,10.945273631840797,3.233830845771152
Highville Charter School District,2860013,2008,277.0,251.0,19.0,,0.0,,,,0.0,89.0,44.0,,133.0,270.0,,90.61371841155234,6.859205776173286,,0.0,,,97.47292418772562,0.0,32.12996389891697,48.014440433213,,
Integrated Day Charter School District,2640013,2008,330.0,53.0,26.0,229.0,,,,,8.0,41.0,33.0,30.0,74.0,79.0,69.39393939393939,16.060606060606062,7.878787878787878,,,,,23.939393939393938,2.4242424242424243,12.424242424242424,22.424242424242426,9.090909090909092,30.60606060606061
Interdistrict School for Arts and Comm District,2650013,2008,181.0,34.0,76.0,64.0,,,,,12.0,91.0,18.0,13.0,109.0,110.0,35.35911602209944,18.784530386740332,41.988950276243095,,,,,60.773480662983424,6.629834254143646,50.27624309392266,60.22099447513812,7.18232044198895,64.64088397790056
Jumoke Academy District,2610013,2008,369.0,361.0,8.0,0.0,0.0,0.0,,,0.0,301.0,68.0,15.0,369.0,369.0,0.0,97.8319783197832,2.168021680216802,0.0,0.0,,,100.0,0.0,81.57181571815718,100.0,4.0650406504065035,100.0
Kent School District,0680011,2008,257.0,6.0,18.0,221.0,0.0,12.0,,,0.0,8.0,13.0,43.0,21.0,24.0,85.99221789883269,2.3346303501945527,7.003891050583658,4.669260700389105,0.0,,,9.33852140077821,0.0,3.11284046692607,8.171206225680933,16.731517509727624,14.007782101167308
Killingly School District,0690011,2008,2735.0,89.0,99.0,2458.0,26.0,63.0,,,66.0,711.0,276.0,361.0,987.0,188.0,89.87202925045705,3.2541133455210236,3.619744058500914,2.303473491773309,0.9506398537477149,,,6.873857404021938,2.413162705667276,25.996343692870198,36.087751371115175,13.199268738574041,10.127970749542953
Learn,2450014,2008,1077.0,178.0,282.0,546.0,23.0,48.0,,,94.0,338.0,99.0,156.0,437.0,460.0,50.69637883008357,16.527390900649955,26.18384401114206,4.456824512534819,2.1355617455896008,,,42.71123491179202,8.72794800371402,31.38347260909935,40.575673166202414,14.484679665738161,49.30362116991643
Lebanon School District,0710011,2008,1530.0,22.0,31.0,1453.0,13.0,11.0,,,,87.0,45.0,178.0,132.0,53.0,94.9673202614379,1.4379084967320261,2.026143790849673,0.7189542483660131,0.8496732026143791,,,3.4640522875816995,,5.686274509803922,8.627450980392156,11.633986928104575,5.032679738562095
Ledyard School District,0720011,2008,2905.0,156.0,164.0,2313.0,123.0,149.0,,,40.0,209.0,116.0,372.0,325.0,320.0,79.62134251290878,5.370051635111876,5.645438898450947,5.129087779690189,4.23407917383821,,,11.015490533562824,1.376936316695353,7.194492254733219,11.187607573149743,12.80550774526678,20.378657487091218
Lisbon School District,0730011,2008,579.0,13.0,12.0,525.0,6.0,23.0,,,0.0,44.0,31.0,67.0,75.0,25.0,90.67357512953367,2.2452504317789295,2.072538860103627,3.9723661485319512,1.0362694300518136,,,4.317789291882556,0.0,7.599309153713299,12.953367875647666,11.57167530224525,9.326424870466326
Litchfield School District,0740011,2008,1215.0,8.0,32.0,1140.0,8.0,27.0,,,0.0,38.0,37.0,136.0,75.0,40.0,93.82716049382715,0.6584362139917695,2.633744855967078,2.2222222222222223,0.6584362139917695,,,3.292181069958848,0.0,3.1275720164609053,6.172839506172839,11.193415637860083,6.172839506172849
Madison School District,0760011,2008,3796.0,34.0,45.0,3570.0,10.0,137.0,,,,37.0,10.0,386.0,47.0,79.0,94.0463645943098,0.8956796628029504,1.1854583772391991,3.6090621707060064,0.26343519494204426,,,2.0811380400421498,,0.9747102212855638,1.238145416227608,10.168598524762908,5.953635405690207
Manchester School District,0770011,2008,6913.0,1526.0,1365.0,3551.0,31.0,440.0,,,253.0,1950.0,514.0,997.0,2464.0,2891.0,51.36698972949515,22.074352668884707,19.745407203818893,6.364819904527702,0.4484304932735426,,,41.81975987270361,3.6597714451034284,28.20772457688413,35.64299146535513,14.42210328366845,48.63301027050485
Mansfield School District,0780011,2008,1307.0,37.0,78.0,1045.0,6.0,141.0,,,35.0,140.0,48.0,183.0,188.0,115.0,79.95409334353482,2.8309104820198927,5.9678653404743685,10.788064269319051,0.45906656465187456,,,8.798775822494262,2.6778882938026016,10.711553175210407,14.384085692425403,14.001530221882172,20.045906656465178
Marlborough School District,0790011,2008,663.0,11.0,21.0,606.0,0.0,25.0,,,,16.0,7.0,61.0,23.0,32.0,91.4027149321267,1.6591251885369533,3.167420814479638,3.770739064856712,0.0,,,4.826546003016592,,2.413273001508296,3.469079939668175,9.200603318250378,8.597285067873301
Meriden School District,0800011,2008,8908.0,1172.0,3796.0,3730.0,18.0,192.0,,,958.0,4725.0,226.0,1303.0,4951.0,4968.0,41.8724741805119,13.15671306690615,42.61338123035473,2.155365963179165,0.2020655590480467,,,55.77009429726088,10.754378087112707,53.04220925011226,55.5792546026044,14.62730130220027,58.1275258194881
Middletown School District,0830011,2008,5088.0,1295.0,631.0,2864.0,20.0,278.0,,,139.0,1314.0,358.0,589.0,1672.0,1926.0,56.289308176100626,25.45204402515723,12.401729559748427,5.463836477987422,0.39308176100628933,,,37.85377358490566,2.731918238993711,25.825471698113205,32.861635220125784,11.57625786163522,43.710691823899374
Milford School District,0840011,2008,7400.0,323.0,423.0,6127.0,16.0,511.0,,,183.0,712.0,342.0,954.0,1054.0,746.0,82.7972972972973,4.364864864864865,5.716216216216216,6.905405405405405,0.21621621621621623,,,10.08108108108108,2.4729729729729732,9.621621621621621,14.243243243243242,12.891891891891891,17.202702702702695
Monroe School District,0850011,2008,4226.0,89.0,174.0,3819.0,15.0,129.0,,,11.0,79.0,54.0,411.0,133.0,263.0,90.36914339801231,2.106010411736867,4.117368670137245,3.052531945101751,0.3549455750118315,,,6.223379081874112,0.2602934216753431,1.8693800283956459,3.1471840984382395,9.725508755324183,9.630856601987688
Montville School District,0860011,2008,2871.0,146.0,178.0,2244.0,,207.0,,,113.0,322.0,137.0,340.0,459.0,324.0,78.16091954022988,5.085336119818878,6.199930337861372,7.210031347962382,,,,11.285266457680251,3.9359108324625565,11.215604319052595,15.987460815047022,11.842563566701497,21.839080459770116
Naugatuck School District,0880011,2008,4931.0,398.0,572.0,3766.0,,177.0,,,237.0,1101.0,452.0,567.0,1553.0,970.0,76.37396065706753,8.071385114581222,11.600081119448388,3.58953559115798,,,,19.67146623402961,4.806327316974245,22.328128168728455,31.49462583654431,11.498681808963699,23.626039342932472
New Beginnings Inc Family Academy District,2800013,2008,362.0,300.0,53.0,9.0,0.0,0.0,,,0.0,160.0,36.0,13.0,196.0,353.0,2.4861878453038675,82.87292817679558,14.64088397790055,0.0,0.0,,,97.51381215469614,0.0,44.19889502762431,54.14364640883977,3.591160220994475,97.51381215469613
New Britain School District,0890011,2008,10719.0,1945.0,6078.0,2428.0,12.0,256.0,,,1733.0,5568.0,1117.0,1582.0,6685.0,8023.0,22.651366731971265,18.14534937960631,56.703050657710605,2.3882824890381564,0.11195074167366359,,,74.8484000373169,16.167552943371582,51.9451441365799,62.365892340703425,14.758839443977983,77.34863326802873
New Canaan School District,0900011,2008,4130.0,,78.0,3896.0,,115.0,,,20.0,0.0,0.0,502.0,0.0,81.0,94.33414043583535,,1.8886198547215496,2.784503631961259,,,,1.9612590799031475,0.48426150121065376,0.0,0.0,12.154963680387409,5.6658595641646485
New Fairfield School District,0910011,2008,3048.0,,103.0,2877.0,,50.0,,,18.0,72.0,52.0,342.0,124.0,106.0,94.38976377952756,,3.379265091863517,1.6404199475065617,,,,3.477690288713911,0.5905511811023622,2.3622047244094486,4.0682414698162725,11.220472440944881,5.610236220472444
