District,ppe_instructional_staff,ppe_instructional_supplies,ppe_instruction_media,ppe_student_support,ppe_admin_support,ppe_plant,ppe_transportation,ppe_other,ppe_total,fiscal_year,District Code
Suffield School District,7528,299,86,744,1539,873,527.0,67,12361,2010,1390011.0
The Bridge Academy District,7229,341,46,787,852,564,,353,10277,2010,2690013.0
Thomaston School District,7463,240,14,553,1506,1317,760.0,250,11740,2010,1400011.0
Thompson School District,6411,108,166,906,1639,1399,711.0,199,12659,2010,1410011.0
Tolland School District,6885,165,470,464,1020,1076,551.0,33,11133,2010,1420011.0
Torrington School District,8463,198,265,690,1153,1275,843.0,99,13878,2010,1430011.0
Trailblazers Academy District,8399,61,0,1953,11132,2287,,663,24670,2010,2780013.0
Trumbull School District,7124,294,506,935,1492,1347,646.0,119,12952,2010,1440011.0
Union School District,8853,1097,52,677,2177,837,1696.0,0,14115,2010,1450011.0
Vernon School District,7511,476,461,835,1037,1321,613.0,149,12655,2010,1460011.0
Voluntown School District,8523,593,295,1416,1888,1455,996.0,188,16757,2010,1470011.0
Wallingford School District,7644,50,363,845,1697,1286,807.0,199,13226,2010,1480011.0
Waterbury School District,7501,319,1886,675,1247,1179,598.0,428,14122,2010,1510011.0
Waterford School District,8604,343,168,973,1422,1433,753.0,271,13303,2010,1520011.0
Watertown School District,7269,262,146,447,1411,1263,537.0,0,11624,2010,1530011.0
West Hartford School District,7392,200,604,854,1478,1285,509.0,117,12701,2010,1550011.0
West Haven School District,8063,221,431,767,1083,2493,616.0,261,12901,2010,1560011.0
Westbrook School District,8602,514,260,759,1517,1684,429.0,396,14315,2010,1540011.0
Weston School District,9907,216,1413,1012,1396,2268,617.0,425,17837,2010,1570011.0
Westport School District,9655,472,771,1293,1676,2150,705.0,238,17454,2010,1580011.0
Wethersfield School District,8100,268,325,787,1185,1582,557.0,177,13368,2010,1590011.0
Willington School District,9108,270,443,765,1881,1112,588.0,0,14675,2010,1600011.0
Wilton School District,9703,191,737,1503,1663,1431,727.0,0,16411,2010,1610011.0
Winchester School District,8287,82,276,936,1940,1185,716.0,4,14958,2010,1620011.0
Windham School District,9235,239,313,1009,808,1256,699.0,158,14116,2010,1630011.0
Windsor Locks School District,9627,262,580,809,1602,1839,600.0,262,15241,2010,1650011.0
Windsor School District,8915,271,647,1359,1908,1541,764.0,153,15186,2010,1640011.0
Wolcott School District,7676,206,146,457,1208,1328,579.0,266,11300,2010,1660011.0
Woodbridge School District,11100,653,92,211,2239,945,331.0,10,16196,2010,1670011.0
Woodstock School District,7399,271,188,774,895,907,553.0,6,11524,2010,1690011.0
Achievement First Bridgeport Academy District,5341,1156,2218,996,2739,345,,692,13569,2011,2850013.0
Achievement First Hartford Academy District,6235,940,1704,500,2148,89,,51,11683,2011,2880013.0
Amistad Academy District,6311,818,1832,1927,2233,226,,602,13993,2011,2790013.0
Andover School District,7988,322,223,467,1749,1360,228.0,0,12923,2011,10011.0
Ansonia School District,6563,395,284,611,1200,1074,562.0,288,10992,2011,20011.0
Ashford School District,9502,325,126,460,1574,1031,912.0,60,14873,2011,30011.0
Avon School District,7499,219,345,956,1205,1277,581.0,277,12562,2011,40011.0
Barkhamsted School District,6737,140,413,140,1095,937,427.0,1,10744,2011,50011.0
Berlin School District,7108,357,337,1240,1417,1642,645.0,268,13264,2011,70011.0
Bethany School District,7856,376,547,297,1321,1442,360.0,0,13317,2011,80011.0
Bethel School District,8263,203,957,967,1358,1238,718.0,179,14459,2011,90011.0
Bloomfield School District,10151,527,274,1461,2838,2367,777.0,245,17318,2011,110011.0
Bolton School District,8219,231,592,991,1553,1160,789.0,251,14108,2011,120011.0
Bozrah School District,9573,510,148,819,1860,1324,989.0,0,17367,2011,130011.0
Branford School District,8640,391,556,895,1214,1178,809.0,286,14407,2011,140011.0
Bridgeport School District,8816,201,252,883,1134,1227,682.0,48,13795,2011,150011.0
Bristol School District,7627,171,654,623,1109,1204,614.0,241,12679,2011,170011.0
Brookfield School District,8041,150,624,869,1403,1141,644.0,230,12996,2011,180011.0
Brooklyn School District,7870,175,184,746,976,1130,805.0,78,12694,2011,190011.0
Canaan School District,15577,538,649,1357,3155,2089,799.0,170,23960,2011,210011.0
Canterbury School District,8779,422,139,841,1626,2569,1241.0,50,17016,2011,220011.0
Canton School District,6672,246,302,1669,1328,1448,723.0,348,13098,2011,230011.0
Chaplin School District,10522,432,1030,1391,1894,1665,670.0,29,18176,2011,240011.0
Charter School for Young Children on Asylum Hill District,7918,696,38,723,2079,2612,,268,14334,2011,2870013.0
Cheshire School District,7541,247,455,830,1252,1310,777.0,183,13023,2011,250011.0
Chester School District,8785,233,134,2352,2439,1394,234.0,0,15304,2011,260011.0
Clinton School District,9414,605,321,1044,1294,1043,701.0,76,15099,2011,270011.0
Colchester School District,7182,175,173,874,1206,1083,793.0,119,12047,2011,280011.0
Colebrook School District,9946,92,271,326,2327,1518,380.0,106,16310,2011,290011.0
Columbia School District,7463,471,276,3217,1669,783,950.0,758,16755,2011,300011.0
Common Ground High School District,6245,933,1204,528,3008,1005,,1150,14129,2011,2680013.0
Cornwall School District,13897,736,958,1404,3066,2767,1441.0,0,24268,2011,310011.0
Coventry School District,8373,223,80,776,1253,1416,868.0,226,13673,2011,320011.0
Cromwell School District,8321,249,164,663,1436,1986,447.0,161,13572,2011,330011.0
Danbury School District,8221,333,354,641,1025,874,588.0,83,12099,2011,340011.0
Darien School District,10339,248,661,575,1331,1465,544.0,297,15952,2011,350011.0
Deep River School District,8037,162,157,1896,1900,1465,397.0,0,14819,2011,360011.0
Derby School District,7385,162,123,895,1725,1422,543.0,159,12715,2011,370011.0
East Granby School District,8964,508,843,866,1901,1573,562.0,224,15055,2011,400011.0
East Haddam School District,8042,439,296,748,1481,1736,887.0,19,14246,2011,410011.0
East Hampton School District,8388,272,411,928,1483,1480,754.0,9,13909,2011,420011.0
East Hartford School District,9043,276,219,437,1537,1364,625.0,96,12509,2011,430011.0
East Haven School District,7442,116,79,1222,2032,1417,672.0,296,13378,2011,440011.0
East Lyme School District,8110,127,550,577,1144,1608,572.0,240,13354,2011,450011.0
East Windsor School District,9046,377,258,539,2377,1465,867.0,66,15095,2011,470011.0
Eastford School District,9739,371,316,1508,1578,1570,772.0,0,16369,2011,390011.0
Easton School District,9234,167,324,173,1615,1489,710.0,6,14359,2011,460011.0
Ellington School District,6774,151,306,871,844,1137,656.0,140,11172,2011,480011.0
Elm City College Preparatory School District,5361,972,2090,1238,2747,301,,653,13398,2011,2890013.0
Enfield School District,7874,191,118,902,1439,1008,558.0,168,12381,2011,490011.0
Essex School District,7389,271,192,1393,1610,1043,296.0,2,12974,2011,500011.0
Explorations District,7481,160,235,640,2873,2363,,128,14056,2011,2720013.0
Fairfield School District,8021,209,1025,1074,1656,1502,748.0,208,14815,2011,510011.0
Farmington School District,8470,184,396,903,1053,1342,587.0,60,13534,2011,520011.0
Franklin School District,7768,21,19,710,1505,1461,659.0,136,13713,2011,530011.0
Glastonbury School District,7384,269,685,733,1454,1386,675.0,161,13011,2011,540011.0
Granby School District,7062,481,382,748,1358,1450,644.0,249,12263,2011,560011.0
Greenwich School District,12187,358,299,1225,1718,1865,507.0,0,18698,2011,570011.0
Griswold School District,8538,199,101,444,1815,1210,796.0,196,13507,2011,580011.0
Groton School District,8842,350,540,1188,1595,1619,787.0,0,14850,2011,590011.0
Guilford School District,8182,240,427,904,1444,1217,814.0,192,14081,2011,600011.0
Hamden School District,10237,139,208,1218,1538,1738,878.0,150,15662,2011,620011.0
Hampton School District,10215,300,525,1261,2397,1346,686.0,195,19402,2011,630011.0
Hartford School District,9103,613,351,1202,2123,2055,1222.0,14,16999,2011,640011.0
Hartland School District,7464,281,905,1736,1844,1234,836.0,576,13760,2011,650011.0
Hebron School District,6981,163,399,804,1003,1107,242.0,0,10828,2011,670011.0
Highville Charter School District,5275,199,184,404,1989,1884,,793,10810,2011,2860013.0
Integrated Day Charter School District,5911,128,314,267,1681,1256,,339,9913,2011,2640013.0
Interdistrict School for Arts and Comm District,8088,189,49,327,2085,1299,,0,12075,2011,2650013.0
Jumoke Academy District,5794,260,613,759,2037,1414,,0,10877,2011,2610013.0
Kent School District,10056,471,427,1056,1696,1736,911.0,26,16807,2011,680011.0
Killingly School District,7649,229,718,683,1422,1538,919.0,0,14449,2011,690011.0
Lebanon School District,8125,284,201,442,1349,1257,919.0,50,13260,2011,710011.0
Ledyard School District,7256,353,385,736,1492,1052,904.0,146,12703,2011,720011.0
Lisbon School District,8502,498,55,1174,1359,1388,788.0,0,14685,2011,730011.0
Litchfield School District,7741,211,902,1157,1362,1608,760.0,295,14373,2011,740011.0
Madison School District,7630,358,540,1111,1097,1416,826.0,357,13749,2011,760011.0
Manchester School District,8917,337,576,981,1541,1588,532.0,200,14307,2011,770011.0
Mansfield School District,10222,390,467,714,2141,1335,491.0,61,16285,2011,780011.0
Marlborough School District,7215,140,319,432,1006,1062,264.0,0,10579,2011,790011.0
Meriden School District,7670,98,150,1011,1196,1298,599.0,86,12732,2011,800011.0
Middletown School District,8411,151,282,757,1020,1675,1087.0,191,13984,2011,830011.0
Milford School District,10126,381,270,441,1256,1632,562.0,134,15161,2011,840011.0
Monroe School District,8570,310,536,1018,1255,1576,596.0,83,14127,2011,850011.0
Montville School District,8484,495,290,821,1222,1547,750.0,216,13762,2011,860011.0
Naugatuck School District,8622,141,163,883,1576,1226,582.0,202,13259,2011,880011.0
New Beginnings Inc Family Academy District,5879,349,232,541,1688,1267,,850,10827,2011,2800013.0
New Britain School District,8774,327,276,416,1161,1044,1024.0,19,13338,2011,890011.0
New Canaan School District,9822,193,331,1700,2095,2120,955.0,292,18132,2011,900011.0
New Fairfield School District,7723,314,342,990,1437,1159,532.0,184,12974,2011,910011.0
New Hartford School District,9234,121,52,480,1254,1460,554.0,28,13875,2011,920011.0
New Haven School District,10196,260,351,471,1985,1726,1119.0,330,16996,2011,930011.0
New London School District,8133,316,555,1082,1765,1793,897.0,152,13505,2011,950011.0
New Milford School District,7699,349,240,867,1115,1196,912.0,211,12956,2011,960011.0
Newington School District,8531,406,429,726,1400,1780,603.0,168,14393,2011,940011.0
Newtown School District,7152,206,302,914,1222,1726,877.0,154,12856,2011,970011.0
Norfolk School District,10273,174,192,361,3078,2980,642.0,17,17869,2011,980011.0
North Branford School District,6874,256,670,1018,1326,1540,860.0,323,12893,2011,990011.0
North Canaan School District,9679,420,30,962,2996,1730,711.0,0,17059,2011,1000011.0
North Haven School District,6861,182,293,1168,2041,1175,556.0,136,12771,2011,1010011.0
North Stonington School District,9375,664,201,787,1641,1563,990.0,0,15153,2011,1020011.0
Norwalk School District,9933,167,131,994,2061,1393,455.0,116,15644,2011,1030011.0
Norwich School District,8685,95,122,1376,1109,1137,1013.0,0,15135,2011,1040011.0
Odyssey Community School District,6136,225,107,203,2351,1269,,0,10290,2011,2630013.0
Old Saybrook School District,7878,163,812,846,1389,1736,542.0,300,14268,2011,1060011.0
Orange School District,8951,209,568,1155,1400,1219,388.0,0,14464,2011,1070011.0
Oxford School District,7102,280,12,871,1543,1289,632.0,224,12267,2011,1080011.0
Park City Prep Charter School District,4495,772,216,820,2174,1455,,0,9932,2011,2830013.0
Plainfield School District,7921,163,189,1000,1298,1163,1009.0,84,13637,2011,1090011.0
Plainville School District,8364,282,386,589,1492,1455,648.0,0,13814,2011,1100011.0
Plymouth School District,7786,396,256,493,1135,1957,1106.0,240,12757,2011,1110011.0
Pomfret School District,9306,261,198,216,1077,1261,945.0,0,14963,2011,1120011.0
Portland School District,7476,212,404,798,1452,1898,555.0,211,13068,2011,1130011.0
Preston School District,11205,325,72,746,2091,1789,1261.0,0,20326,2011,1140011.0
Putnam School District,8257,292,250,1287,1426,1362,658.0,192,14619,2011,1160011.0
Redding School District,11945,240,367,172,1517,1688,784.0,2,17532,2011,1170011.0
Regional School District 01,10653,468,968,1548,1939,2514,283.0,848,20855,2011,2010012.0
Regional School District 04,8278,234,272,834,2834,2397,492.0,79,15990,2011,2040012.0
Regional School District 05,7682,210,472,887,2122,1372,693.0,384,14501,2011,2050012.0
Regional School District 06,8854,204,754,1012,1794,1709,827.0,266,15582,2011,2060012.0
Regional School District 07,7920,338,197,636,1458,1886,1217.0,385,14608,2011,2070012.0
Regional School District 08,7436,83,530,647,1044,1166,695.0,185,12321,2011,2080012.0
Regional School District 09,12716,411,414,136,1609,2133,833.0,6,19538,2011,2090012.0
Regional School District 10,6799,218,734,777,1041,1227,803.0,0,12010,2011,2100012.0
Regional School District 11,10436,527,402,1294,3322,2339,1158.0,816,20166,2011,2110012.0
Regional School District 12,11887,558,875,1775,1989,2195,1525.0,428,21720,2011,2120012.0
Regional School District 13,8284,194,476,1942,1620,1692,820.0,307,15605,2011,2130012.0
Regional School District 14,7143,282,584,1346,1316,1521,907.0,369,14350,2011,2140012.0
Regional School District 15,7715,147,409,1230,1293,1496,791.0,298,13587,2011,2150012.0
Regional School District 16,7840,232,756,923,1512,1361,896.0,187,13939,2011,2160012.0
Regional School District 17,8163,269,247,740,1488,1823,1209.0,243,14492,2011,2170012.0
Regional School District 18,8806,321,964,1363,1939,2728,771.0,350,17768,2011,2180012.0
Regional School District 19,8928,217,254,991,1790,1267,1097.0,598,15980,2011,2190012.0
Ridgefield School District,8984,202,757,732,1164,1621,823.0,163,15065,2011,1180011.0
Rocky Hill School District,7888,230,786,808,1015,1524,489.0,0,12984,2011,1190011.0
Salem School District,9418,603,77,304,2419,1710,984.0,0,16436,2011,1210011.0
Salisbury School District,12025,277,688,758,1699,2992,983.0,0,20277,2011,1220011.0
Scotland School District,10653,515,438,1193,2030,1541,551.0,221,17578,2011,1230011.0
Seymour School District,6781,215,303,804,1751,1645,522.0,148,12179,2011,1240011.0
Sharon School District,12946,455,275,1679,2796,2794,950.0,63,22966,2011,1250011.0
Shelton School District,7043,285,400,1068,1294,1348,665.0,78,12379,2011,1260011.0
Sherman School District,10707,375,699,130,1384,1323,736.0,93,14473,2011,1270011.0
Side By Side Charter School District,6496,107,29,1503,1721,1183,,0,11040,2011,2700013.0
Simsbury School District,7941,242,831,989,1105,1417,490.0,145,13221,2011,1280011.0
Somers School District,7700,227,270,782,1214,1116,648.0,162,12689,2011,1290011.0
South Windsor School District,8148,342,484,1014,1450,1412,707.0,250,14144,2011,1320011.0
Southington School District,7580,262,134,848,1308,1067,486.0,113,12284,2011,1310011.0
Sprague School District,8547,544,138,577,1939,1284,824.0,65,14015,2011,1330011.0
Stafford School District,7922,213,221,985,1440,1567,1055.0,43,14051,2011,1340011.0
Stamford Academy District,10096,613,0,4522,7014,1217,,584,24521,2011,2820013.0
Stamford School District,9371,297,1066,1051,1889,1461,787.0,0,16448,2011,1350011.0
Sterling School District,7702,238,547,361,1044,1096,979.0,50,15238,2011,1360011.0
Stonington School District,7426,139,568,772,1081,1563,816.0,172,13192,2011,1370011.0
Stratford School District,7830,203,411,1310,1212,1224,602.0,197,13522,2011,1380011.0
Suffield School District,7900,249,90,744,1611,862,504.0,54,12681,2011,1390011.0
The Bridge Academy District,7092,527,133,880,912,713,,441,10815,2011,2690013.0
Thomaston School District,7855,255,21,544,1633,1466,740.0,228,12140,2011,1400011.0
Thompson School District,6442,175,163,936,1983,1613,627.0,260,13236,2011,1410011.0
Tolland School District,7028,113,467,486,1100,1137,630.0,9,11525,2011,1420011.0
Torrington School District,8767,164,245,792,1201,1300,845.0,110,14296,2011,1430011.0
Trailblazers Academy District,9274,448,0,2859,12312,1509,,712,27331,2011,2780013.0
Trumbull School District,7654,115,400,931,1464,1313,649.0,111,12989,2011,1440011.0
Union School District,8384,545,33,781,2577,1658,1788.0,0,14708,2011,1450011.0
Vernon School District,8073,383,761,919,1127,1557,620.0,154,13803,2011,1460011.0
Voluntown School District,8344,321,245,1485,1990,1294,841.0,141,16004,2011,1470011.0
Wallingford School District,7802,91,394,890,1815,1316,882.0,201,13744,2011,1480011.0
Waterbury School District,7743,236,1945,682,1290,1232,628.0,455,14483,2011,1510011.0
Waterford School District,9012,451,183,961,1464,1650,821.0,270,14132,2011,1520011.0
Watertown School District,6623,160,132,788,1374,1351,603.0,144,11691,2011,1530011.0
West Hartford School District,7693,219,672,890,1555,1195,538.0,117,13140,2011,1550011.0
West Haven School District,8095,235,435,778,1105,2534,541.0,263,12938,2011,1560011.0
Westbrook School District,9326,570,290,831,1576,1717,397.0,426,15325,2011,1540011.0
Weston School District,10185,143,1441,1107,1465,2323,678.0,393,18299,2011,1570011.0
Westport School District,9962,453,702,1298,1765,2164,701.0,253,17826,2011,1580011.0
Wethersfield School District,8198,182,273,836,1153,1741,586.0,169,13610,2011,1590011.0
Willington School District,9555,213,488,840,1998,1252,556.0,0,15619,2011,1600011.0
Wilton School District,9689,210,687,1457,1592,1508,740.0,0,16428,2011,1610011.0
Winchester School District,8076,19,167,1542,1485,1132,674.0,3,14496,2011,1620011.0
Windham School District,9585,242,248,942,943,1266,778.0,164,14934,2011,1630011.0
Windsor Locks School District,9445,256,572,982,1566,1985,619.0,252,15502,2011,1650011.0
Windsor School District,9116,348,657,1433,1999,1709,973.0,157,15778,2011,1640011.0
Wolcott School District,7694,210,193,402,1187,1401,619.0,275,11512,2011,1660011.0
Woodbridge School District,10884,698,89,213,2332,1314,333.0,0,16399,2011,1670011.0
Woodstock School District,7169,279,191,808,891,1062,557.0,61,11563,2011,1690011.0
Achievement First Bridgeport Academy District,6707,392,285,1091,4012,546,,696,13848,2012,2850013.0
Achievement First Hartford Academy District,7358,324,192,261,2419,36,,50,10686,2012,2880013.0
Amistad Academy District,7776,400,644,1383,2520,495,,617,13959,2012,2790013.0
Andover School District,8328,382,250,502,1834,1358,238.0,0,13585,2012,10011.0
Ansonia School District,6886,367,192,583,1408,1058,669.0,207,11376,2012,20011.0
Ashford School District,9401,601,160,474,1670,1198,845.0,81,15187,2012,30011.0
Avon School District,8094,385,287,850,1218,1354,625.0,181,13301,2012,40011.0
Barkhamsted School District,6933,150,400,150,1169,1200,429.0,0,11142,2012,50011.0
Berlin School District,7503,409,321,1308,1486,2044,703.0,292,14219,2012,70011.0
Bethany School District,8521,271,175,358,1630,1662,333.0,0,13977,2012,80011.0
Bethel School District,8120,196,1214,955,1345,1228,736.0,180,14603,2012,90011.0
Bloomfield School District,10008,397,812,1396,2792,2370,836.0,230,17641,2012,110011.0
Bolton School District,8343,247,587,981,1767,1252,785.0,228,14505,2012,120011.0
Bozrah School District,9617,312,160,836,1829,1460,944.0,74,17019,2012,130011.0
Branford School District,9132,281,574,933,1344,1242,809.0,305,15062,2012,140011.0
Bridgeport School District,8111,192,237,971,1247,1303,688.0,46,13364,2012,150011.0
Bristol School District,7829,124,515,852,944,1151,595.0,333,12852,2012,170011.0
Brookfield School District,7950,124,676,928,1440,935,649.0,344,13208,2012,180011.0
Brooklyn School District,7771,141,183,782,979,1313,847.0,1,12887,2012,190011.0
Canaan School District,14770,378,335,1257,3078,2237,799.0,207,21753,2012,210011.0
Canterbury School District,9243,224,143,911,1481,2230,1255.0,56,17051,2012,220011.0
Canton School District,7257,210,314,1691,1481,1396,800.0,265,13796,2012,230011.0
Chaplin School District,10435,478,833,1422,1897,1839,670.0,184,18290,2012,240011.0
Cheshire School District,7584,215,487,820,1274,1244,806.0,200,13068,2012,250011.0
Chester School District,9010,368,116,2308,2423,1502,266.0,0,15944,2012,260011.0
Clinton School District,9381,709,291,981,1275,1198,690.0,76,15175,2012,270011.0
Colchester School District,7329,169,250,976,1217,1225,840.0,150,12589,2012,280011.0
Colebrook School District,11518,188,398,378,2643,1599,425.0,153,17941,2012,290011.0
Columbia School District,7280,145,327,3124,1789,1075,1064.0,789,16787,2012,300011.0
Common Ground High School District,6751,354,1542,693,2429,1235,,1354,14417,2012,2680013.0
Cornwall School District,15810,664,1082,1563,3395,3085,1531.0,0,27294,2012,310011.0
Coventry School District,9302,240,101,764,1344,1646,1017.0,170,15121,2012,320011.0
Cromwell School District,8562,378,154,694,1366,1453,528.0,171,13228,2012,330011.0
Danbury School District,8105,217,217,637,1189,958,667.0,68,11998,2012,340011.0
Darien School District,10719,261,698,600,1353,1464,614.0,259,16578,2012,350011.0
Deep River School District,7998,195,156,2185,1962,1350,510.0,0,14949,2012,360011.0
Derby School District,7509,196,82,1031,1574,1597,590.0,164,13026,2012,370011.0
East Granby School District,9747,704,812,859,2008,1601,595.0,231,15994,2012,400011.0
East Haddam School District,8452,274,308,819,1619,1922,905.0,39,15041,2012,410011.0
East Hampton School District,8525,211,410,910,1641,1361,711.0,313,14116,2012,420011.0
East Hartford School District,9053,257,182,529,1654,1223,601.0,98,12410,2012,430011.0
East Haven School District,7888,103,95,1253,2217,1172,735.0,253,13949,2012,440011.0
East Lyme School District,8354,161,577,806,1269,1753,516.0,263,14026,2012,450011.0
East Windsor School District,9335,416,278,558,2466,1339,936.0,68,15439,2012,470011.0
Eastford School District,9313,365,330,1610,2091,1487,876.0,0,17584,2012,390011.0
Easton School District,9947,181,411,181,1739,1371,700.0,0,15287,2012,460011.0
Ellington School District,6949,200,327,882,913,1084,649.0,164,11436,2012,480011.0
Elm City College Preparatory School District,7621,331,539,825,3789,414,,653,14287,2012,2890013.0
Enfield School District,7981,195,136,901,1515,1208,665.0,200,12754,2012,490011.0
Essex School District,7902,233,201,1735,1741,1228,315.0,28,14227,2012,500011.0
Explorations District,8157,134,193,749,3287,2464,,137,15382,2012,2720013.0
Fairfield School District,8211,184,924,1108,1677,1559,743.0,189,14981,2012,510011.0
Farmington School District,8891,279,443,962,1148,1523,617.0,61,14459,2012,520011.0
Franklin School District,8408,239,69,767,1754,1816,874.0,82,15020,2012,530011.0
Glastonbury School District,7587,405,749,770,1454,1443,729.0,178,13538,2012,540011.0
Granby School District,7373,448,451,842,1328,1428,716.0,257,12710,2012,560011.0
Greenwich School District,11989,357,322,1242,1657,1495,522.0,0,18196,2012,570011.0
Griswold School District,7863,134,185,497,1816,1233,862.0,202,13082,2012,580011.0
Groton School District,8586,277,541,1165,1933,1618,812.0,0,14902,2012,590011.0
Guilford School District,8291,251,486,923,1454,1283,801.0,196,14458,2012,600011.0
Hamden School District,10147,127,245,1384,1617,1791,917.0,161,15839,2012,620011.0
Hampton School District,11428,265,656,1450,2894,3424,738.0,141,24487,2012,630011.0
Hartford School District,9197,335,321,1297,2325,1935,1258.0,12,16961,2012,640011.0
Hartland School District,7475,311,809,1802,1810,1141,783.0,577,14044,2012,650011.0
Hebron School District,7700,288,512,932,961,947,241.0,0,11621,2012,670011.0
Highville Charter School District,4886,555,116,315,1773,1640,,783,10223,2012,2860013.0
Integrated Day Charter School District,5977,116,469,245,1745,1258,,343,10171,2012,2640013.0
Interdistrict School for Arts and Comm District,8146,259,246,492,2490,1126,,0,12808,2012,2650013.0
Jumoke Academy District,5088,260,633,1455,2020,1176,,8,10639,2012,2610013.0
Kent School District,10758,471,379,1139,1899,1770,988.0,38,18318,2012,680011.0
Killingly School District,7711,186,686,806,1519,1505,961.0,0,14570,2012,690011.0
Lebanon School District,7830,225,312,893,1546,1528,962.0,185,14095,2012,710011.0
Ledyard School District,7432,402,375,778,1641,1043,1027.0,158,13162,2012,720011.0
Lisbon School District,9544,179,55,1375,1514,1394,965.0,0,16289,2012,730011.0
Litchfield School District,7869,180,1022,1324,1417,1696,900.0,343,15332,2012,740011.0
Madison School District,7981,395,595,1180,1160,1491,890.0,397,14497,2012,760011.0
Manchester School District,9752,250,569,1069,1638,1664,495.0,248,14994,2012,770011.0
Mansfield School District,9935,493,446,981,2154,1345,548.0,70,16483,2012,780011.0
Marlborough School District,7376,233,315,376,1002,962,270.0,0,10711,2012,790011.0
Meriden School District,7619,213,131,958,1230,1446,632.0,91,12854,2012,800011.0
Middletown School District,8042,154,251,987,1258,1654,1115.0,343,14060,2012,830011.0
Milford School District,10318,424,280,480,1357,1725,596.0,152,15653,2012,840011.0
Monroe School District,9025,195,553,1108,1305,1566,651.0,126,14691,2012,850011.0
Montville School District,8666,617,299,856,1263,1603,890.0,198,14348,2012,860011.0
Naugatuck School District,9110,200,182,930,1583,1371,582.0,171,13869,2012,880011.0
New Beginnings Inc Family Academy District,5435,458,78,610,1666,1309,,793,10473,2012,2800013.0
New Britain School District,8249,157,129,400,1177,928,1058.0,23,12333,2012,890011.0
New Canaan School District,10039,202,420,1675,2168,2132,941.0,260,18468,2012,900011.0
New Fairfield School District,8033,292,368,1030,1361,1161,562.0,173,13242,2012,910011.0
New Hartford School District,8882,192,59,475,1387,1327,563.0,31,13529,2012,920011.0
New Haven School District,9711,289,282,564,1782,1618,1218.0,215,16221,2012,930011.0
New London School District,8514,233,537,1199,1950,1723,920.0,146,13946,2012,950011.0
New Milford School District,7365,227,253,869,1301,1196,946.0,200,12750,2012,960011.0
Newington School District,8560,315,508,787,1420,2077,663.0,181,14784,2012,940011.0
Newtown School District,7392,232,309,971,1273,1828,940.0,162,13374,2012,970011.0
Norfolk School District,11432,301,724,426,3372,2927,692.0,60,20465,2012,980011.0
North Branford School District,7187,224,755,1109,1356,1494,948.0,292,13424,2012,990011.0
North Canaan School District,10844,300,119,1309,1779,1839,754.0,55,17762,2012,1000011.0
North Haven School District,6947,171,253,1255,1955,1121,735.0,134,12990,2012,1010011.0
North Stonington School District,9109,788,215,850,2071,1567,1055.0,0,15511,2012,1020011.0
Norwalk School District,10019,122,106,1035,2157,1383,470.0,123,15834,2012,1030011.0
Norwich School District,7781,97,125,1466,1089,1032,1066.0,0,14590,2012,1040011.0
Odyssey Community School District,5566,346,49,164,1595,987,,0,8706,2012,2630013.0
Old Saybrook School District,7827,332,680,907,1442,1689,598.0,324,14670,2012,1060011.0
Orange School District,9048,244,475,1227,1328,1153,418.0,0,14600,2012,1070011.0
Oxford School District,7290,277,39,796,1634,1254,647.0,161,12332,2012,1080011.0
Park City Prep Charter School District,4322,299,270,1083,2652,1443,,0,10069,2012,2830013.0
Plainfield School District,7300,152,196,1017,1282,1165,942.0,102,12973,2012,1090011.0
Plainville School District,8597,396,417,607,1615,1454,681.0,0,14297,2012,1100011.0
Plymouth School District,8725,600,131,461,1165,1689,1170.0,235,13512,2012,1110011.0
Pomfret School District,8960,243,209,238,1218,1096,1091.0,0,15013,2012,1120011.0
Portland School District,7583,355,432,844,1540,1777,577.0,225,13329,2012,1130011.0
Preston School District,11532,253,269,1050,2162,1844,1488.0,126,21334,2012,1140011.0
Putnam School District,8053,491,249,1654,1678,1354,759.0,206,15354,2012,1160011.0
Redding School District,12902,236,349,183,1599,1751,712.0,7,18844,2012,1170011.0
Regional School District 01,11780,668,1065,1746,2319,2688,303.0,916,22389,2012,2010012.0
Regional School District 04,8508,243,305,873,2906,1927,550.0,91,15814,2012,2040012.0
Regional School District 05,8247,200,472,934,2262,1630,775.0,376,15523,2012,2050012.0
Regional School District 06,8966,414,562,994,1819,1895,921.0,266,15902,2012,2060012.0
Regional School District 07,8297,341,207,651,1536,1852,1379.0,380,15209,2012,2070012.0
Regional School District 08,7725,108,531,677,1039,1148,664.0,195,12399,2012,2080012.0
Regional School District 09,12642,416,391,135,1624,2048,918.0,2,19277,2012,2090012.0
Regional School District 10,7369,241,783,847,1133,1306,842.0,0,12939,2012,2100012.0
Regional School District 11,8620,349,372,1374,3659,2720,1070.0,751,19565,2012,2110012.0
Regional School District 12,12201,648,993,1850,2145,2630,1586.0,470,22820,2012,2120012.0
Regional School District 13,9106,175,457,1462,1850,1562,841.0,297,15861,2012,2130012.0
Regional School District 14,7799,225,725,1407,1334,1400,973.0,387,15135,2012,2140012.0
Regional School District 15,8047,146,286,1262,1360,1597,884.0,324,14190,2012,2150012.0
Regional School District 16,7461,195,719,903,1655,1267,912.0,200,13592,2012,2160012.0
Regional School District 17,8344,162,252,793,1629,1963,1274.0,276,15254,2012,2170012.0
