District,fiscal_year,cohort_count,graduation_count,graduation_rate
Achievement First Bridgeport Academy District,2016,30.0,24.0,80.0
Achievement First Hartford Academy District,2016,35.0,30.0,85.7
Amistad Academy District,2016,30.0,27.0,90.0
Ansonia School District,2016,138.0,112.0,81.2
Avon School District,2016,240.0,233.0,97.1
Berlin School District,2016,249.0,236.0,94.8
Bethel School District,2016,251.0,237.0,94.4
Bloomfield School District,2016,156.0,142.0,91.0
Bolton School District,2016,85.0,78.0,91.8
Branford School District,2016,256.0,240.0,93.8
Bridgeport School District,2016,1387.0,922.0,66.5
Bristol School District,2016,659.0,548.0,83.2
Brookfield School District,2016,215.0,208.0,96.7
Canton School District,2016,106.0,102.0,96.2
Capital Preparatory Harbor School District,2016,8.0,,
Capitol Region Education Council,2016,425.0,393.0,92.5
Cheshire School District,2016,387.0,371.0,95.9
Clinton School District,2016,140.0,123.0,87.9
Colchester School District,2016,214.0,202.0,94.4
Common Ground High School District,2016,34.0,31.0,91.2
Connecticut Technical Education and Career System,2016,2471.0,2400.0,97.1
Coventry School District,2016,130.0,117.0,90.0
Cromwell School District,2016,143.0,133.0,93.0
Danbury School District,2016,766.0,590.0,77.0
Darien School District,2016,332.0,327.0,98.5
Department of Mental Health and Addiction Services,2016,,,
Derby School District,2016,97.0,74.0,76.3
East Granby School District,2016,72.0,71.0,98.6
East Haddam School District,2016,80.0,76.0,95.0
East Hampton School District,2016,151.0,143.0,94.7
East Hartford School District,2016,543.0,481.0,88.6
East Haven School District,2016,240.0,177.0,73.8
East Lyme School District,2016,259.0,241.0,93.1
East Windsor School District,2016,78.0,68.0,87.2
Eastern Connecticut Regional Educational Service Center (EASTCONN),2016,73.0,60.0,82.2
Ellington School District,2016,187.0,181.0,96.8
Elm City College Preparatory School District,2016,17.0,15.0,
Enfield School District,2016,447.0,378.0,84.6
Explorations District,2016,27.0,20.0,74.1
Fairfield School District,2016,760.0,719.0,94.6
Farmington School District,2016,338.0,323.0,95.6
Glastonbury School District,2016,537.0,521.0,97.0
Granby School District,2016,194.0,191.0,98.5
Greenwich School District,2016,634.0,598.0,94.3
Griswold School District,2016,150.0,130.0,86.7
Groton School District,2016,266.0,229.0,86.1
Guilford School District,2016,251.0,234.0,93.2
Hamden School District,2016,465.0,407.0,87.5
Hartford School District,2016,1515.0,1071.0,70.7
Jumoke Academy District,2016,7.0,,
Killingly School District,2016,210.0,167.0,79.5
Learn,2016,193.0,182.0,94.3
Lebanon School District,2016,102.0,97.0,95.1
Ledyard School District,2016,232.0,210.0,90.5
Litchfield School District,2016,85.0,82.0,96.5
Madison School District,2016,302.0,295.0,97.7
Manchester School District,2016,407.0,338.0,83.0
Meriden School District,2016,611.0,425.0,69.6
Middletown School District,2016,334.0,289.0,86.5
Milford School District,2016,482.0,445.0,92.3
Monroe School District,2016,290.0,287.0,99.0
Montville School District,2016,180.0,164.0,91.1
Naugatuck School District,2016,310.0,264.0,85.2
New Britain School District,2016,645.0,454.0,70.4
