District,fiscal_year,cohort_count,graduation_count,graduation_rate
Achievement First Bridgeport Academy District,2015,31.0,29.0,93.5
Amistad Academy District,2015,29.0,24.0,82.8
Ansonia School District,2015,172.0,144.0,83.7
Avon School District,2015,248.0,238.0,96.0
Berlin School District,2015,210.0,197.0,93.8
Bethel School District,2015,218.0,209.0,95.9
Bloomfield School District,2015,176.0,154.0,87.5
Bolton School District,2015,76.0,73.0,96.1
Branford School District,2015,253.0,228.0,90.1
Bridgeport School District,2015,1188.0,755.0,63.6
Bristol School District,2015,647.0,526.0,81.3
Brookfield School District,2015,235.0,224.0,95.3
Canton School District,2015,132.0,126.0,95.5
Capitol Region Education Council,2015,323.0,292.0,90.4
Cheshire School District,2015,392.0,381.0,97.2
Clinton School District,2015,162.0,146.0,90.1
Colchester School District,2015,228.0,210.0,92.1
Common Ground High School District,2015,37.0,37.0,100.0
Connecticut Technical Education and Career System,2015,2468.0,2404.0,97.4
Coventry School District,2015,117.0,109.0,93.2
Cromwell School District,2015,128.0,123.0,96.1
Danbury School District,2015,772.0,595.0,77.1
Darien School District,2015,334.0,323.0,96.7
Derby School District,2015,102.0,85.0,83.3
East Granby School District,2015,61.0,61.0,100.0
East Haddam School District,2015,113.0,102.0,90.3
East Hampton School District,2015,127.0,120.0,94.5
East Hartford School District,2015,566.0,498.0,88.0
East Haven School District,2015,244.0,184.0,75.4
East Lyme School District,2015,274.0,260.0,94.9
East Windsor School District,2015,90.0,78.0,86.7
Eastern Connecticut Regional Educational Service Center (EASTCONN),2015,72.0,54.0,75.0
Ellington School District,2015,206.0,200.0,97.1
Elm City College Preparatory School District,2015,14.0,10.0,
Enfield School District,2015,392.0,340.0,86.7
Explorations District,2015,23.0,20.0,87.0
Fairfield School District,2015,717.0,675.0,94.1
Farmington School District,2015,335.0,321.0,95.8
Glastonbury School District,2015,524.0,512.0,97.7
Granby School District,2015,165.0,161.0,97.6
Greenwich School District,2015,647.0,616.0,95.2
Griswold School District,2015,148.0,131.0,88.5
Groton School District,2015,272.0,238.0,87.5
Guilford School District,2015,274.0,260.0,94.9
Hamden School District,2015,465.0,411.0,88.4
Hartford School District,2015,1484.0,1041.0,70.1
Killingly School District,2015,203.0,156.0,76.8
Learn,2015,176.0,157.0,89.2
Lebanon School District,2015,95.0,90.0,94.7
Ledyard School District,2015,233.0,216.0,92.7
Litchfield School District,2015,70.0,70.0,100.0
Madison School District,2015,309.0,305.0,98.7
Manchester School District,2015,454.0,367.0,80.8
Meriden School District,2015,626.0,463.0,74.0
Middletown School District,2015,315.0,278.0,88.3
Milford School District,2015,459.0,417.0,90.8
Monroe School District,2015,321.0,313.0,97.5
Montville School District,2015,179.0,167.0,93.3
Naugatuck School District,2015,337.0,288.0,85.5
New Britain School District,2015,660.0,453.0,68.6
New Canaan School District,2015,307.0,304.0,99.0
New Fairfield School District,2015,264.0,261.0,98.9
New Haven School District,2015,1485.0,1115.0,75.1
New London School District,2015,202.0,149.0,73.8
New Milford School District,2015,371.0,335.0,90.3
Newington School District,2015,358.0,332.0,92.7
Newtown School District,2015,453.0,432.0,95.4
North Branford School District,2015,166.0,155.0,93.4
North Haven School District,2015,296.0,270.0,91.2
North Stonington School District,2015,51.0,47.0,92.2
Norwalk School District,2015,876.0,785.0,89.6
Norwich Free Academy District,2015,590.0,517.0,87.6
Old Saybrook School District,2015,126.0,120.0,95.2
Oxford School District,2015,125.0,116.0,92.8
Plainfield School District,2015,168.0,137.0,81.5
Plainville School District,2015,182.0,162.0,89.0
Plymouth School District,2015,121.0,106.0,87.6
Portland School District,2015,92.0,83.0,90.2
Putnam School District,2015,65.0,56.0,86.2
Regional School District 01,2015,87.0,82.0,94.3
Regional School District 04,2015,182.0,176.0,96.7
Regional School District 05,2015,417.0,402.0,96.4
Regional School District 06,2015,87.0,83.0,95.4
Regional School District 07,2015,143.0,139.0,97.2
Regional School District 08,2015,269.0,249.0,92.6
Regional School District 09,2015,256.0,246.0,96.1
Regional School District 10,2015,191.0,183.0,95.8
Regional School District 11,2015,51.0,50.0,98.0
Regional School District 12,2015,72.0,70.0,97.2
Regional School District 13,2015,154.0,141.0,91.6
Regional School District 14,2015,189.0,186.0,98.4
Regional School District 15,2015,293.0,278.0,94.9
Regional School District 16,2015,167.0,158.0,94.6
Regional School District 17,2015,168.0,162.0,96.4
Regional School District 18,2015,89.0,84.0,94.4
Regional School District 19,2015,292.0,267.0,91.4
Ridgefield School District,2015,446.0,429.0,96.2
Rocky Hill School District,2015,196.0,181.0,92.3
Seymour School District,2015,148.0,132.0,89.2
Shelton School District,2015,370.0,348.0,94.1
Simsbury School District,2015,382.0,364.0,95.3
Somers School District,2015,130.0,122.0,93.8
South Windsor School District,2015,355.0,328.0,92.4
Southington School District,2015,519.0,482.0,92.9
