District,fiscal_year,cohort_count,graduation_count,graduation_rate
Achievement First Bridgeport Academy District,2018,30.0,22.0,73.3
Achievement First Hartford Academy District,2018,35.0,31.0,88.6
Amistad Academy District,2018,44.0,42.0,95.5
Ansonia School District,2018,169.0,145.0,85.8
Avon School District,2018,282.0,272.0,96.5
Berlin School District,2018,216.0,203.0,94.0
Bethel School District,2018,203.0,189.0,93.1
Bloomfield School District,2018,168.0,147.0,87.5
Bolton School District,2018,80.0,78.0,97.5
Branford School District,2018,227.0,212.0,93.4
Bridgeport School District,2018,1446.0,1086.0,75.1
Bristol School District,2018,600.0,518.0,86.3
Brookfield School District,2018,212.0,204.0,96.2
Canton School District,2018,116.0,110.0,94.8
Capital Preparatory Harbor School District,2018,32.0,18.0,56.3
Capitol Region Education Council,2018,534.0,507.0,94.9
Cheshire School District,2018,351.0,333.0,94.9
Clinton School District,2018,132.0,120.0,90.9
Colchester School District,2018,222.0,209.0,94.1
Common Ground High School District,2018,37.0,34.0,91.9
Connecticut Technical Education and Career System,2018,2422.0,2350.0,97.0
Coventry School District,2018,123.0,116.0,94.3
Cromwell School District,2018,153.0,150.0,98.0
Danbury School District,2018,781.0,632.0,80.9
Darien School District,2018,344.0,332.0,96.5
Department of Mental Health and Addiction Services,2018,,,
Derby School District,2018,101.0,80.0,79.2
East Granby School District,2018,59.0,56.0,94.9
East Haddam School District,2018,84.0,78.0,92.9
East Hampton School District,2018,113.0,107.0,94.7
East Hartford School District,2018,509.0,449.0,88.2
East Haven School District,2018,248.0,209.0,84.3
East Lyme School District,2018,287.0,274.0,95.5
East Windsor School District,2018,95.0,86.0,90.5
Eastern Connecticut Regional Educational Service Center (EASTCONN),2018,84.0,64.0,76.2
Ellington School District,2018,181.0,175.0,96.7
Elm City College Preparatory School District,2018,26.0,25.0,96.2
Enfield School District,2018,404.0,362.0,89.6
Explorations District,2018,28.0,23.0,82.1
Fairfield School District,2018,787.0,759.0,96.4
Farmington School District,2018,297.0,284.0,95.6
Glastonbury School District,2018,496.0,479.0,96.6
