District,fiscal_year,cohort_count,graduation_count,graduation_rate
Amistad Academy District,2013,23.0,16.0,69.6
Ansonia School District,2013,212.0,160.0,75.5
Avon School District,2013,263.0,252.0,95.8
Berlin School District,2013,262.0,252.0,96.2
Bethel School District,2013,234.0,217.0,92.7
Bloomfield School District,2013,165.0,146.0,88.5
Bolton School District,2013,81.0,79.0,97.5
Branford School District,2013,271.0,250.0,92.3
Bridgeport School District,2013,1229.0,827.0,67.3
Bristol School District,2013,635.0,507.0,79.8
Brookfield School District,2013,242.0,232.0,95.9
Canton School District,2013,124.0,117.0,94.4
Capitol Region Education Council,2013,246.0,209.0,85.0
Cheshire School District,2013,384.0,362.0,94.3
Clinton School District,2013,145.0,128.0,88.3
Colchester School District,2013,253.0,236.0,93.3
Common Ground High School District,2013,38.0,34.0,89.5
Connecticut Technical Education and Career System,2013,2483.0,2392.0,96.3
Coventry School District,2013,138.0,125.0,90.6
Cromwell School District,2013,145.0,133.0,91.7
Danbury School District,2013,779.0,588.0,75.5
Darien School District,2013,316.0,307.0,97.2
Department of Mental Health and Addiction Services,2013,,,
Derby School District,2013,91.0,59.0,64.8
East Granby School District,2013,71.0,67.0,94.4
East Haddam School District,2013,100.0,96.0,96.0
East Hampton School District,2013,132.0,127.0,96.2
East Hartford School District,2013,556.0,432.0,77.7
East Haven School District,2013,246.0,182.0,74.0
East Lyme School District,2013,311.0,293.0,94.2
East Windsor School District,2013,96.0,79.0,82.3
Eastern Connecticut Regional Educational Service Center (EASTCONN),2013,69.0,54.0,78.3
Ellington School District,2013,198.0,182.0,91.9
Elm City College Preparatory School District,2013,13.0,8.0,
Enfield School District,2013,445.0,389.0,87.4
Explorations District,2013,32.0,21.0,65.6
Fairfield School District,2013,708.0,656.0,92.7
Farmington School District,2013,326.0,310.0,95.1
Glastonbury School District,2013,552.0,536.0,97.1
Granby School District,2013,197.0,192.0,97.5
Greenwich School District,2013,691.0,655.0,94.8
Griswold School District,2013,170.0,148.0,87.1
Groton School District,2013,327.0,269.0,82.3
Guilford School District,2013,281.0,262.0,93.2
Hamden School District,2013,455.0,388.0,85.3
Hartford School District,2013,1418.0,1009.0,71.2
Killingly School District,2013,223.0,167.0,74.9
Learn,2013,43.0,35.0,81.4
Lebanon School District,2013,118.0,110.0,93.2
Ledyard School District,2013,232.0,208.0,89.7
Lisbon School District,2013,6.0,,
Litchfield School District,2013,88.0,87.0,98.9
Madison School District,2013,317.0,313.0,98.7
Manchester School District,2013,479.0,358.0,74.7
Meriden School District,2013,639.0,448.0,70.1
Middletown School District,2013,379.0,307.0,81.0
Milford School District,2013,525.0,446.0,85.0
Monroe School District,2013,309.0,300.0,97.1
Montville School District,2013,188.0,161.0,85.6
Naugatuck School District,2013,335.0,261.0,77.9
New Britain School District,2013,654.0,398.0,60.9
New Canaan School District,2013,339.0,331.0,97.6
New Fairfield School District,2013,258.0,247.0,95.7
New Haven School District,2013,1315.0,939.0,71.4
New London School District,2013,257.0,165.0,64.2
New Milford School District,2013,392.0,340.0,86.7
Newington School District,2013,376.0,339.0,90.2
Newtown School District,2013,471.0,443.0,94.1
North Branford School District,2013,170.0,163.0,95.9
North Haven School District,2013,314.0,275.0,87.6
North Stonington School District,2013,48.0,46.0,95.8
Norwalk School District,2013,780.0,661.0,84.7
Norwich Free Academy District,2013,615.0,499.0,81.1
Old Saybrook School District,2013,139.0,132.0,95.0
Oxford School District,2013,155.0,151.0,97.4
Plainfield School District,2013,203.0,172.0,84.7
Plainville School District,2013,206.0,183.0,88.8
Plymouth School District,2013,128.0,109.0,85.2
Portland School District,2013,93.0,80.0,86.0
Putnam School District,2013,96.0,74.0,77.1
Regional School District 01,2013,109.0,99.0,90.8
Regional School District 04,2013,163.0,155.0,95.1
Regional School District 05,2013,396.0,380.0,96.0
Regional School District 06,2013,97.0,93.0,95.9
Regional School District 07,2013,194.0,184.0,94.8
Regional School District 08,2013,285.0,262.0,91.9
Regional School District 09,2013,240.0,226.0,94.2
Regional School District 10,2013,198.0,183.0,92.4
Regional School District 11,2013,44.0,38.0,86.4
Regional School District 12,2013,91.0,78.0,85.7
Regional School District 13,2013,153.0,144.0,94.1
Regional School District 14,2013,201.0,187.0,93.0
Regional School District 15,2013,320.0,302.0,94.4
Regional School District 16,2013,186.0,166.0,89.2
Regional School District 17,2013,164.0,158.0,96.3
Regional School District 18,2013,114.0,108.0,94.7
Regional School District 19,2013,316.0,277.0,87.7
Ridgefield School District,2013,414.0,398.0,96.1
Rocky Hill School District,2013,177.0,159.0,89.8
Seymour School District,2013,181.0,155.0,85.6
Shelton School District,2013,394.0,355.0,90.1
Simsbury School District,2013,400.0,389.0,97.3
Somers School District,2013,146.0,141.0,96.6
South Windsor School District,2013,386.0,364.0,94.3
Southington School District,2013,490.0,446.0,91.0
Stafford School District,2013,129.0,112.0,86.8
Stamford Academy District,2013,37.0,10.0,27.0
Stamford School District,2013,1218.0,1083.0,88.9
