District,fiscal_year,cohort_count,graduation_count,graduation_rate
Achievement First Bridgeport Academy District,2021,61.0,54.0,88.5
Achievement First Hartford Academy District,2021,44.0,44.0,100.0
Amistad Academy District,2021,61.0,57.0,93.4
Ansonia School District,2021,123.0,91.0,74.0
Avon School District,2021,258.0,245.0,95.0
Berlin School District,2021,248.0,233.0,94.0
Bethel School District,2021,244.0,229.0,93.9
Bloomfield School District,2021,165.0,146.0,88.5
Bolton School District,2021,59.0,56.0,94.9
Branford School District,2021,198.0,183.0,92.4
Bridgeport School District,2021,1308.0,994.0,76.0
Bristol School District,2021,600.0,535.0,89.2
Brookfield School District,2021,217.0,210.0,96.8
Canton School District,2021,126.0,118.0,93.7
Capital Preparatory Harbor School District,2021,51.0,44.0,86.3
Capitol Region Education Council,2021,446.0,404.0,90.6
Cheshire School District,2021,362.0,351.0,97.0
Clinton School District,2021,141.0,130.0,92.2
Colchester School District,2021,203.0,185.0,91.1
Common Ground High School District,2021,60.0,47.0,78.3
Connecticut Technical Education and Career System,2021,2556.0,2472.0,96.7
Coventry School District,2021,113.0,108.0,95.6
Cromwell School District,2021,138.0,134.0,97.1
Danbury School District,2021,856.0,706.0,82.5
Darien School District,2021,311.0,308.0,99.0
Department of Mental Health and Addiction Services,2021,,,
Derby School District,2021,93.0,71.0,76.3
East Granby School District,2021,67.0,64.0,95.5
East Haddam School District,2021,93.0,88.0,94.6
East Hampton School District,2021,132.0,126.0,95.5
East Hartford School District,2021,549.0,501.0,91.3
East Haven School District,2021,235.0,191.0,81.3
East Lyme School District,2021,263.0,251.0,95.4
East Windsor School District,2021,65.0,54.0,83.1
Eastern Connecticut Regional Educational Service Center (EASTCONN),2021,73.0,63.0,86.3
Ellington School District,2021,195.0,190.0,97.4
Elm City College Preparatory School District,2021,34.0,31.0,91.2
Enfield School District,2021,415.0,378.0,91.1
Explorations District,2021,18.0,14.0,
Fairfield School District,2021,743.0,718.0,96.6
Farmington School District,2021,321.0,311.0,96.9
Glastonbury School District,2021,492.0,476.0,96.7
Granby School District,2021,153.0,147.0,96.1
Great Oaks Charter School District,2021,61.0,50.0,82.0
Greenwich School District,2021,681.0,656.0,96.3
Griswold School District,2021,136.0,116.0,85.3
Groton School District,2021,250.0,214.0,85.6
Guilford School District,2021,273.0,262.0,96.0
Hamden School District,2021,403.0,353.0,87.6
Hartford School District,2021,1322.0,956.0,72.3
Highville Charter School District,2021,14.0,14.0,
Jumoke Academy District,2021,9.0,9.0,
Killingly School District,2021,201.0,176.0,87.6
Learn,2021,206.0,201.0,97.6
Lebanon School District,2021,76.0,69.0,90.8
Ledyard School District,2021,171.0,166.0,97.1
Litchfield School District,2021,65.0,62.0,95.4
Madison School District,2021,288.0,278.0,96.5
Manchester School District,2021,438.0,355.0,81.1
Meriden School District,2021,584.0,498.0,85.3
Middletown School District,2021,357.0,333.0,93.3
Milford School District,2021,464.0,430.0,92.7
Monroe School District,2021,261.0,252.0,96.6
Montville School District,2021,149.0,137.0,91.9
Naugatuck School District,2021,332.0,295.0,88.9
New Britain School District,2021,609.0,479.0,78.7
New Canaan School District,2021,376.0,368.0,97.9
New Fairfield School District,2021,189.0,183.0,96.8
New Haven School District,2021,1426.0,1121.0,78.6
New London School District,2021,260.0,226.0,86.9
New Milford School District,2021,323.0,297.0,92.0
Newington School District,2021,323.0,310.0,96.0
Newtown School District,2021,392.0,378.0,96.4
