District,fiscal_year,cohort_count,graduation_count,graduation_rate
Achievement First Bridgeport Academy District,2020,50.0,43.0,86.0
Achievement First Hartford Academy District,2020,39.0,37.0,94.9
Amistad Academy District,2020,53.0,44.0,83.0
Ansonia School District,2020,180.0,151.0,83.9
Avon School District,2020,232.0,223.0,96.1
Berlin School District,2020,208.0,193.0,92.8
Bethel School District,2020,228.0,220.0,96.5
Bloomfield School District,2020,172.0,155.0,90.1
Bolton School District,2020,58.0,58.0,100.0
Branford School District,2020,239.0,221.0,92.5
Bridgeport School District,2020,1458.0,1085.0,74.4
Bristol School District,2020,575.0,512.0,89.0
Brookfield School District,2020,198.0,188.0,94.9
Canton School District,2020,116.0,114.0,98.3
Capital Preparatory Harbor School District,2020,41.0,27.0,65.9
Capitol Region Education Council,2020,474.0,460.0,97.0
Cheshire School District,2020,348.0,334.0,96.0
Clinton School District,2020,156.0,147.0,94.2
Colchester School District,2020,190.0,172.0,90.5
Common Ground High School District,2020,40.0,38.0,95.0
Connecticut Technical Education and Career System,2020,2373.0,2308.0,97.3
Coventry School District,2020,126.0,119.0,94.4
Cromwell School District,2020,124.0,117.0,94.4
Danbury School District,2020,830.0,671.0,80.8
Darien School District,2020,360.0,350.0,97.2
Department of Mental Health and Addiction Services,2020,,,
Derby School District,2020,90.0,69.0,76.7
East Granby School District,2020,54.0,52.0,96.3
East Haddam School District,2020,77.0,71.0,92.2
East Hampton School District,2020,121.0,118.0,97.5
East Hartford School District,2020,536.0,459.0,85.6
East Haven School District,2020,263.0,206.0,78.3
East Lyme School District,2020,243.0,229.0,94.2
East Windsor School District,2020,73.0,62.0,84.9
Eastern Connecticut Regional Educational Service Center (EASTCONN),2020,83.0,69.0,83.1
Ellington School District,2020,190.0,180.0,94.7
Elm City College Preparatory School District,2020,42.0,39.0,92.9
Enfield School District,2020,381.0,351.0,92.1
Explorations District,2020,31.0,17.0,54.8
Fairfield School District,2020,750.0,716.0,95.5
Farmington School District,2020,300.0,296.0,98.7
Glastonbury School District,2020,498.0,480.0,96.4
Granby School District,2020,160.0,157.0,98.1
Greenwich School District,2020,705.0,673.0,95.5
Griswold School District,2020,138.0,124.0,89.9
Groton School District,2020,245.0,216.0,88.2
Guilford School District,2020,291.0,275.0,94.5
Hamden School District,2020,435.0,378.0,86.9
Hartford School District,2020,1413.0,970.0,68.6
Highville Charter School District,2020,13.0,13.0,
Jumoke Academy District,2020,,,
Killingly School District,2020,204.0,172.0,84.3
Learn,2020,218.0,202.0,92.7
Lebanon School District,2020,79.0,74.0,93.7
Ledyard School District,2020,188.0,174.0,92.6
Litchfield School District,2020,80.0,79.0,98.8
Madison School District,2020,288.0,277.0,96.2
Manchester School District,2020,423.0,344.0,81.3
Meriden School District,2020,599.0,509.0,85.0
Middletown School District,2020,344.0,307.0,89.2
Milford School District,2020,454.0,422.0,93.0
Monroe School District,2020,237.0,230.0,97.0
Montville School District,2020,159.0,135.0,84.9
Naugatuck School District,2020,329.0,287.0,87.2
New Britain School District,2020,624.0,491.0,78.7
New Canaan School District,2020,303.0,296.0,97.7
New Fairfield School District,2020,190.0,188.0,98.9
New Haven School District,2020,1462.0,1138.0,77.8
New London School District,2020,246.0,192.0,78.0
New Milford School District,2020,357.0,322.0,90.2
Newington School District,2020,333.0,321.0,96.4
Newtown School District,2020,429.0,418.0,97.4
North Branford School District,2020,139.0,122.0,87.8
North Haven School District,2020,269.0,250.0,92.9
North Stonington School District,2020,48.0,44.0,91.7
Norwalk School District,2020,914.0,782.0,85.6
Norwich Free Academy District,2020,644.0,564.0,87.6
Old Saybrook School District,2020,129.0,122.0,94.6
Oxford School District,2020,138.0,132.0,95.7
Plainfield School District,2020,175.0,151.0,86.3
Plainville School District,2020,160.0,151.0,94.4
Plymouth School District,2020,102.0,91.0,89.2
Portland School District,2020,91.0,84.0,92.3
Putnam School District,2020,63.0,59.0,93.7
Regional School District 01,2020,97.0,88.0,90.7
Regional School District 04,2020,157.0,139.0,88.5
Regional School District 05,2020,373.0,356.0,95.4
Regional School District 06,2020,111.0,109.0,98.2
Regional School District 07,2020,151.0,145.0,96.0
Regional School District 08,2020,253.0,245.0,96.8
Regional School District 09,2020,208.0,200.0,96.2
Regional School District 10,2020,160.0,157.0,98.1
Regional School District 11,2020,28.0,27.0,96.4
Regional School District 12,2020,76.0,72.0,94.7
Regional School District 13,2020,130.0,123.0,94.6
Regional School District 14,2020,148.0,145.0,98.0
Regional School District 15,2020,325.0,313.0,96.3
Regional School District 16,2020,174.0,167.0,96.0
Regional School District 17,2020,165.0,153.0,92.7
Regional School District 18,2020,129.0,124.0,96.1
Regional School District 19,2020,297.0,278.0,93.6
Ridgefield School District,2020,393.0,383.0,97.5
Rocky Hill School District,2020,182.0,169.0,92.9
Seymour School District,2020,161.0,148.0,91.9
Shelton School District,2020,375.0,356.0,94.9
Simsbury School District,2020,364.0,348.0,95.6
Somers School District,2020,106.0,100.0,94.3
South Windsor School District,2020,334.0,320.0,95.8
Southington School District,2020,542.0,510.0,94.1
Stafford School District,2020,106.0,97.0,91.5
Stamford Academy District,2020,62.0,31.0,50.0
Stamford School District,2020,1223.0,1057.0,86.4
Stonington School District,2020,162.0,155.0,95.7
Stratford School District,2020,524.0,484.0,92.4
Suffield School District,2020,188.0,183.0,97.3
The Bridge Academy District,2020,39.0,29.0,74.4
The Gilbert School District,2020,97.0,86.0,88.7
The Woodstock Academy District,2020,297.0,284.0,95.6
Thomaston School District,2020,54.0,52.0,96.3
Thompson School District,2020,48.0,41.0,85.4
Tolland School District,2020,212.0,202.0,95.3
Torrington School District,2020,226.0,181.0,80.1
Trumbull School District,2020,508.0,483.0,95.1
Unified School District #1,2020,277.0,7.0,2.5
Unified School District #2,2020,19.0,,
Vernon School District,2020,203.0,167.0,82.3
Wallingford School District,2020,479.0,449.0,93.7
Waterbury School District,2020,1201.0,986.0,82.1
Waterford School District,2020,222.0,193.0,86.9
Watertown School District,2020,207.0,191.0,92.3
West Hartford School District,2020,739.0,679.0,91.9
West Haven School District,2020,432.0,366.0,84.7
Westbrook School District,2020,55.0,50.0,90.9
Weston School District,2020,184.0,184.0,100.0
Westport School District,2020,442.0,434.0,98.2
Wethersfield School District,2020,279.0,266.0,95.3
Wilton School District,2020,314.0,307.0,97.8
Windham School District,2020,161.0,125.0,77.6
Windsor Locks School District,2020,121.0,103.0,85.1
Windsor School District,2020,305.0,268.0,87.9
Wolcott School District,2020,209.0,201.0,96.2
