District,fiscal_year,cohort_count,graduation_count,graduation_rate
Amistad Academy District,2014,23.0,19.0,82.6
Ansonia School District,2014,157.0,120.0,76.4
Avon School District,2014,272.0,265.0,97.4
Berlin School District,2014,235.0,223.0,94.9
Bethel School District,2014,244.0,226.0,92.6
Bloomfield School District,2014,169.0,148.0,87.6
Bolton School District,2014,103.0,97.0,94.2
Branford School District,2014,299.0,272.0,91.0
Bridgeport School District,2014,1247.0,892.0,71.5
Bristol School District,2014,699.0,572.0,81.8
Brookfield School District,2014,232.0,225.0,97.0
Canton School District,2014,136.0,128.0,94.1
Capitol Region Education Council,2014,317.0,281.0,88.6
Cheshire School District,2014,389.0,371.0,95.4
Clinton School District,2014,133.0,123.0,92.5
Colchester School District,2014,248.0,237.0,95.6
Common Ground High School District,2014,29.0,26.0,89.7
Connecticut Technical Education and Career System,2014,2423.0,2329.0,96.1
Coventry School District,2014,133.0,128.0,96.2
Cromwell School District,2014,134.0,122.0,91.0
Danbury School District,2014,761.0,594.0,78.1
Darien School District,2014,336.0,325.0,96.7
Department of Mental Health and Addiction Services,2014,,,
Derby School District,2014,102.0,83.0,81.4
East Granby School District,2014,66.0,60.0,90.9
East Haddam School District,2014,105.0,98.0,93.3
East Hampton School District,2014,121.0,117.0,96.7
East Hartford School District,2014,507.0,397.0,78.3
East Haven School District,2014,260.0,210.0,80.8
East Lyme School District,2014,274.0,256.0,93.4
East Windsor School District,2014,109.0,97.0,89.0
Eastern Connecticut Regional Educational Service Center (EASTCONN),2014,66.0,49.0,74.2
Ellington School District,2014,194.0,185.0,95.4
Elm City College Preparatory School District,2014,24.0,15.0,62.5
Enfield School District,2014,424.0,366.0,86.3
Explorations District,2014,27.0,18.0,66.7
Fairfield School District,2014,728.0,683.0,93.8
Farmington School District,2014,344.0,328.0,95.3
Glastonbury School District,2014,585.0,562.0,96.1
Granby School District,2014,205.0,194.0,94.6
Greenwich School District,2014,670.0,637.0,95.1
Griswold School District,2014,170.0,144.0,84.7
Groton School District,2014,317.0,269.0,84.9
Guilford School District,2014,286.0,265.0,92.7
Hamden School District,2014,458.0,408.0,89.1
Hartford School District,2014,1370.0,980.0,71.5
Killingly School District,2014,218.0,176.0,80.7
Learn,2014,153.0,141.0,92.2
Lebanon School District,2014,105.0,98.0,93.3
Ledyard School District,2014,247.0,224.0,90.7
Lisbon School District,2014,,,
Litchfield School District,2014,69.0,64.0,92.8
Madison School District,2014,320.0,310.0,96.9
Manchester School District,2014,454.0,373.0,82.2
Meriden School District,2014,615.0,468.0,76.1
Middletown School District,2014,334.0,276.0,82.6
Milford School District,2014,508.0,468.0,92.1
Monroe School District,2014,300.0,289.0,96.3
Montville School District,2014,193.0,171.0,88.6
Naugatuck School District,2014,333.0,273.0,82.0
New Britain School District,2014,656.0,417.0,63.6
New Canaan School District,2014,312.0,307.0,98.4
New Fairfield School District,2014,239.0,231.0,96.7
New Haven School District,2014,1309.0,988.0,75.5
New London School District,2014,228.0,162.0,71.1
New Milford School District,2014,383.0,344.0,89.8
Newington School District,2014,364.0,338.0,92.9
Newtown School District,2014,423.0,409.0,96.7
North Branford School District,2014,150.0,136.0,90.7
North Haven School District,2014,320.0,283.0,88.4
North Stonington School District,2014,56.0,54.0,96.4
Norwalk School District,2014,822.0,689.0,83.8
Norwich Free Academy District,2014,613.0,533.0,86.9
Old Saybrook School District,2014,137.0,126.0,92.0
Oxford School District,2014,174.0,168.0,96.6
Plainfield School District,2014,174.0,145.0,83.3
Plainville School District,2014,176.0,156.0,88.6
