District,fiscal_year,cohort_count,graduation_count,graduation_rate
Achievement First Bridgeport Academy District,2024,48.0,43.0,89.6
Achievement First Hartford Academy District,2024,68.0,56.0,82.4
Amistad Academy District,2024,63.0,57.0,90.5
Ansonia School District,2024,161.0,138.0,85.7
Avon School District,2024,222.0,210.0,94.6
Berlin School District,2024,199.0,189.0,95.0
Bethel School District,2024,247.0,232.0,93.9
Bloomfield School District,2024,150.0,125.0,83.3
Bolton School District,2024,52.0,49.0,94.2
Branford School District,2024,216.0,197.0,91.2
Bridgeport School District,2024,1491.0,1120.0,75.1
Bristol School District,2024,618.0,562.0,90.9
Brookfield School District,2024,227.0,214.0,94.3
Canton School District,2024,114.0,104.0,91.2
Capital Preparatory Harbor School District,2024,40.0,38.0,95.0
Capitol Region Education Council,2024,461.0,417.0,90.5
Cheshire School District,2024,294.0,276.0,93.9
Clinton School District,2024,121.0,115.0,95.0
Colchester School District,2024,154.0,145.0,94.2
Common Ground High School District,2024,51.0,37.0,72.5
Connecticut Technical Education and Career System,2024,2592.0,2517.0,97.1
Coventry School District,2024,102.0,97.0,95.1
Cromwell School District,2024,139.0,131.0,94.2
Danbury School District,2024,924.0,702.0,76.0
Darien School District,2024,328.0,318.0,97.0
Derby School District,2024,112.0,87.0,77.7
East Granby School District,2024,51.0,48.0,94.1
East Haddam School District,2024,67.0,62.0,92.5
East Hampton School District,2024,148.0,144.0,97.3
East Hartford School District,2024,499.0,422.0,84.6
East Haven School District,2024,241.0,199.0,82.6
East Lyme School District,2024,249.0,235.0,94.4
East Windsor School District,2024,59.0,51.0,86.4
Eastern Connecticut Regional Educational Service Center (EASTCONN),2024,46.0,38.0,82.6
Ellington School District,2024,196.0,183.0,93.4
Elm City College Preparatory School District,2024,52.0,40.0,76.9
Enfield School District,2024,411.0,369.0,89.8
Explorations District,2024,23.0,15.0,65.2
Fairfield School District,2024,818.0,775.0,94.7
Farmington School District,2024,304.0,292.0,96.1
Glastonbury School District,2024,440.0,426.0,96.8
Goodwin University Educational Services (GUES),2024,105.0,86.0,81.9
Granby School District,2024,144.0,136.0,94.4
Great Oaks Charter School District,2024,66.0,49.0,74.2
Greenwich School District,2024,652.0,627.0,96.2
Griswold School District,2024,123.0,102.0,82.9
Groton School District,2024,267.0,235.0,88.0
Guilford School District,2024,271.0,261.0,96.3
Hamden School District,2024,476.0,402.0,84.5
Hartford School District,2024,1273.0,1001.0,78.6
Highville Charter School District,2024,17.0,14.0,
Killingly School District,2024,151.0,129.0,85.4
Learn,2024,104.0,101.0,97.1
Lebanon School District,2024,83.0,69.0,83.1
Ledyard School District,2024,193.0,182.0,94.3
Litchfield School District,2024,61.0,59.0,96.7
Madison School District,2024,212.0,202.0,95.3
Manchester School District,2024,439.0,368.0,83.8
Meriden School District,2024,637.0,545.0,85.6
Middletown School District,2024,320.0,288.0,90.0
Milford School District,2024,432.0,398.0,92.1
Monroe School District,2024,265.0,254.0,95.8
Montville School District,2024,119.0,106.0,89.1
Naugatuck School District,2024,345.0,302.0,87.5
New Britain School District,2024,661.0,469.0,71.0
New Canaan School District,2024,316.0,304.0,96.2
New Fairfield School District,2024,182.0,176.0,96.7
New Haven School District,2024,1520.0,1102.0,72.5
New London School District,2024,237.0,186.0,78.5
New Milford School District,2024,328.0,284.0,86.6
Newington School District,2024,339.0,322.0,95.0
Newtown School District,2024,345.0,336.0,97.4
North Branford School District,2024,101.0,99.0,98.0
North Haven School District,2024,233.0,218.0,93.6
North Stonington School District,2024,47.0,44.0,93.6
Norwalk School District,2024,1017.0,942.0,92.6
Norwich Free Academy District,2024,535.0,478.0,89.3
Old Saybrook School District,2024,82.0,78.0,95.1
Oxford School District,2024,133.0,125.0,94.0
Plainfield School District,2024,136.0,110.0,80.9
Plainville School District,2024,171.0,160.0,93.6
Plymouth School District,2024,107.0,101.0,94.4
Portland School District,2024,74.0,63.0,85.1
Putnam School District,2024,58.0,54.0,93.1
Regional School District 01,2024,58.0,55.0,94.8
Regional School District 04,2024,142.0,136.0,95.8
Regional School District 05,2024,349.0,337.0,96.6
Regional School District 06,2024,92.0,91.0,98.9
Regional School District 07,2024,127.0,125.0,98.4
Regional School District 08,2024,219.0,207.0,94.5
Regional School District 09,2024,194.0,184.0,94.8
Regional School District 10,2024,149.0,145.0,97.3
Regional School District 11,2024,11.0,11.0,
Regional School District 12,2024,78.0,74.0,94.9
Regional School District 13,2024,91.0,86.0,94.5
Regional School District 14,2024,158.0,152.0,96.2
Regional School District 15,2024,267.0,259.0,97.0
Regional School District 16,2024,149.0,139.0,93.3
Regional School District 17,2024,138.0,133.0,96.4
Regional School District 18,2024,109.0,104.0,95.4
Regional School District 19,2024,271.0,254.0,93.7
Ridgefield School District,2024,365.0,350.0,95.9
Rocky Hill School District,2024,179.0,170.0,95.0
Seymour School District,2024,140.0,121.0,86.4
Shelton School District,2024,319.0,292.0,91.5
Simsbury School District,2024,317.0,305.0,96.2
Somers School District,2024,114.0,105.0,92.1
South Windsor School District,2024,318.0,309.0,97.2
Southington School District,2024,492.0,449.0,91.3
Stafford School District,2024,103.0,101.0,98.1
Stamford School District,2024,1329.0,1056.0,79.5
Stonington School District,2024,137.0,128.0,93.4
Stratford School District,2024,616.0,560.0,90.9
Suffield School District,2024,199.0,192.0,96.5
The Bridge Academy District,2024,40.0,37.0,92.5
The Gilbert School District,2024,63.0,53.0,84.1
The Woodstock Academy District,2024,237.0,227.0,95.8
Thomaston School District,2024,45.0,43.0,95.6
Thompson School District,2024,60.0,54.0,90.0
Tolland School District,2024,188.0,183.0,97.3
Torrington School District,2024,271.0,207.0,76.4
Trumbull School District,2024,554.0,529.0,95.5
Unified School District #1,2024,46.0,,
Vernon School District,2024,252.0,224.0,88.9
Wallingford School District,2024,416.0,378.0,90.9
Waterbury School District,2024,1263.0,1082.0,85.7
Waterford School District,2024,177.0,161.0,91.0
Watertown School District,2024,203.0,177.0,87.2
West Hartford School District,2024,745.0,687.0,92.2
West Haven School District,2024,518.0,459.0,88.6
Westbrook School District,2024,51.0,48.0,94.1
Weston School District,2024,182.0,174.0,95.6
Westport School District,2024,427.0,409.0,95.8
Wethersfield School District,2024,273.0,259.0,94.9
Wilton School District,2024,314.0,307.0,97.8
Windham School District,2024,163.0,130.0,79.8
Windsor Locks School District,2024,106.0,94.0,88.7
Windsor School District,2024,297.0,253.0,85.2
Wolcott School District,2024,164.0,148.0,90.2
