District,fiscal_year,cohort_count,graduation_count,graduation_rate
Achievement First Bridgeport Academy District,2025,59.0,54.0,91.5
Achievement First Hartford Academy District,2025,58.0,52.0,89.7
Amistad Academy District,2025,65.0,54.0,83.1
Ansonia School District,2025,160.0,129.0,80.6
Area Cooperative Educational Services,2025,18.0,,
Avon School District,2025,238.0,226.0,95.0
Berlin School District,2025,240.0,233.0,97.1
Bethel School District,2025,295.0,280.0,94.9
Bloomfield School District,2025,177.0,158.0,89.3
Bolton School District,2025,48.0,47.0,97.9
Branford School District,2025,197.0,182.0,92.4
Bridgeport School District,2025,1373.0,1092.0,79.5
Bristol School District,2025,608.0,565.0,92.9
Brookfield School District,2025,226.0,219.0,96.9
Canton School District,2025,108.0,107.0,99.1
Capital Preparatory Harbor School District,2025,35.0,33.0,94.3
Capitol Region Education Council,2025,445.0,413.0,92.8
Cheshire School District,2025,311.0,299.0,96.1
Clinton School District,2025,121.0,117.0,96.7
Colchester School District,2025,142.0,122.0,85.9
Common Ground High School District,2025,45.0,40.0,88.9
Connecticut Technical Education and Career System,2025,2625.0,2567.0,97.8
Coventry School District,2025,92.0,85.0,92.4
Cromwell School District,2025,135.0,130.0,96.3
Danbury School District,2025,913.0,760.0,83.2
Darien School District,2025,350.0,341.0,97.4
Derby School District,2025,121.0,95.0,78.5
East Granby School District,2025,69.0,68.0,98.6
East Haddam School District,2025,70.0,66.0,94.3
East Hampton School District,2025,124.0,118.0,95.2
East Hartford School District,2025,559.0,492.0,88.0
East Haven School District,2025,204.0,183.0,89.7
East Lyme School District,2025,223.0,213.0,95.5
East Windsor School District,2025,60.0,54.0,90.0
Eastern Connecticut Regional Educational Service Center (EASTCONN),2025,68.0,62.0,91.2
Ellington School District,2025,182.0,171.0,94.0
Elm City College Preparatory School District,2025,43.0,39.0,90.7
Enfield School District,2025,371.0,332.0,89.5
Explorations District,2025,25.0,16.0,64.0
Fairfield School District,2025,682.0,651.0,95.5
Farmington School District,2025,326.0,318.0,97.5
Glastonbury School District,2025,469.0,453.0,96.6
Goodwin University Educational Services (GUES),2025,95.0,90.0,94.7
Granby School District,2025,142.0,132.0,93.0
Great Oaks Charter School District,2025,84.0,65.0,77.4
Greenwich School District,2025,659.0,646.0,98.0
Griswold School District,2025,149.0,135.0,90.6
Groton School District,2025,244.0,227.0,93.0
Guilford School District,2025,276.0,264.0,95.7
Hamden School District,2025,450.0,383.0,85.1
Hartford School District,2025,1194.0,1019.0,85.3
Highville Charter School District,2025,12.0,10.0,
Killingly School District,2025,186.0,160.0,86.0
Learn,2025,111.0,109.0,98.2
Lebanon School District,2025,79.0,75.0,94.9
Ledyard School District,2025,180.0,173.0,96.1
Madison School District,2025,191.0,185.0,96.9
Manchester School District,2025,497.0,437.0,87.9
Meriden School District,2025,686.0,596.0,86.9
Middletown School District,2025,333.0,299.0,89.8
Milford School District,2025,408.0,382.0,93.6
Monroe School District,2025,271.0,262.0,96.7
Montville School District,2025,142.0,132.0,93.0
Naugatuck School District,2025,343.0,294.0,85.7
New Britain School District,2025,672.0,488.0,72.6
New Canaan School District,2025,321.0,318.0,99.1
New Fairfield School District,2025,170.0,166.0,97.6
New Haven School District,2025,1441.0,1152.0,79.9
New London School District,2025,218.0,179.0,82.1
New Milford School District,2025,323.0,298.0,92.3
Newington School District,2025,340.0,325.0,95.6
Newtown School District,2025,341.0,335.0,98.2
North Branford School District,2025,102.0,99.0,97.1
North Haven School District,2025,254.0,244.0,96.1
North Stonington School District,2025,58.0,55.0,94.8
Norwalk School District,2025,942.0,871.0,92.5
Norwich Free Academy District,2025,581.0,533.0,91.7
Old Saybrook School District,2025,87.0,82.0,94.3
Oxford School District,2025,151.0,144.0,95.4
Plainfield School District,2025,119.0,103.0,86.6
Plainville School District,2025,162.0,149.0,92.0
Plymouth School District,2025,75.0,70.0,93.3
Portland School District,2025,83.0,74.0,89.2
Putnam School District,2025,65.0,57.0,87.7
Regional School District 01,2025,99.0,94.0,94.9
Regional School District 04,2025,116.0,111.0,95.7
Regional School District 05,2025,327.0,315.0,96.3
Regional School District 07,2025,174.0,167.0,96.0
Regional School District 08,2025,201.0,193.0,96.0
Regional School District 09,2025,186.0,178.0,95.7
Regional School District 10,2025,172.0,169.0,98.3
Regional School District 11,2025,30.0,27.0,90.0
Regional School District 12,2025,81.0,78.0,96.3
Regional School District 13,2025,106.0,98.0,92.5
Regional School District 14,2025,147.0,142.0,96.6
Regional School District 15,2025,245.0,238.0,97.1
Regional School District 16,2025,149.0,142.0,95.3
Regional School District 17,2025,125.0,122.0,97.6
Regional School District 18,2025,99.0,92.0,92.9
Regional School District 19,2025,301.0,264.0,87.7
Regional School District 20,2025,143.0,133.0,93.0
Ridgefield School District,2025,381.0,370.0,97.1
Rocky Hill School District,2025,165.0,150.0,90.9
Seymour School District,2025,175.0,165.0,94.3
Shelton School District,2025,352.0,329.0,93.5
Simsbury School District,2025,309.0,298.0,96.4
Somers School District,2025,97.0,94.0,96.9
South Windsor School District,2025,336.0,327.0,97.3
Southington School District,2025,488.0,464.0,95.1
Stafford School District,2025,83.0,75.0,90.4
Stamford School District,2025,1291.0,1094.0,84.7
Stonington School District,2025,174.0,162.0,93.1
Stratford School District,2025,566.0,526.0,92.9
Suffield School District,2025,156.0,149.0,95.5
The Bridge Academy District,2025,33.0,32.0,97.0
The Gilbert School District,2025,86.0,83.0,96.5
The Woodstock Academy District,2025,259.0,253.0,97.7
Thomaston School District,2025,44.0,43.0,97.7
Thompson School District,2025,49.0,44.0,89.8
Tolland School District,2025,159.0,153.0,96.2
Torrington School District,2025,247.0,216.0,87.4
Trumbull School District,2025,545.0,540.0,99.1
Unified School District #1,2025,44.0,0.0,0.0
Unified School District #2,2025,,,
Vernon School District,2025,252.0,228.0,90.5
Wallingford School District,2025,414.0,383.0,92.5
Waterbury School District,2025,1333.0,1149.0,86.2
Waterford School District,2025,175.0,165.0,94.3
Watertown School District,2025,187.0,171.0,91.4
West Hartford School District,2025,715.0,670.0,93.7
West Haven School District,2025,492.0,459.0,93.3
Westbrook School District,2025,42.0,41.0,97.6
Weston School District,2025,184.0,183.0,99.5
Westport School District,2025,407.0,399.0,98.0
Wethersfield School District,2025,292.0,278.0,95.2
Wilton School District,2025,299.0,291.0,97.3
Windham School District,2025,186.0,160.0,86.0
Windsor Locks School District,2025,132.0,119.0,90.2
Windsor School District,2025,270.0,246.0,91.1
Wolcott School District,2025,159.0,152.0,95.6
