District,fiscal_year,cohort_count,graduation_count,graduation_rate
Achievement First Bridgeport Academy District,2022,61.0,57.0,93.4
Achievement First Hartford Academy District,2022,84.0,74.0,88.1
Amistad Academy District,2022,60.0,57.0,95.0
Ansonia School District,2022,152.0,120.0,78.9
Avon School District,2022,245.0,235.0,95.9
Berlin School District,2022,214.0,201.0,93.9
Bethel School District,2022,207.0,191.0,92.3
Bloomfield School District,2022,155.0,135.0,87.1
Bolton School District,2022,75.0,71.0,94.7
Branford School District,2022,198.0,180.0,90.9
Bridgeport School District,2022,1347.0,999.0,74.2
Bristol School District,2022,593.0,501.0,84.5
Brookfield School District,2022,228.0,216.0,94.7
Canton School District,2022,118.0,110.0,93.2
Capital Preparatory Harbor School District,2022,29.0,28.0,96.6
Capitol Region Education Council,2022,505.0,470.0,93.1
Cheshire School District,2022,380.0,362.0,95.3
Clinton School District,2022,131.0,121.0,92.4
Colchester School District,2022,188.0,164.0,87.2
Common Ground High School District,2022,51.0,45.0,88.2
Connecticut Technical Education and Career System,2022,2619.0,2507.0,95.7
Coventry School District,2022,109.0,105.0,96.3
Cromwell School District,2022,130.0,118.0,90.8
Danbury School District,2022,852.0,682.0,80.0
Darien School District,2022,359.0,352.0,98.1
Department of Mental Health and Addiction Services,2022,,,
Derby School District,2022,83.0,56.0,67.5
East Granby School District,2022,64.0,62.0,96.9
East Haddam School District,2022,75.0,71.0,94.7
East Hampton School District,2022,137.0,131.0,95.6
East Hartford School District,2022,509.0,447.0,87.8
East Haven School District,2022,229.0,175.0,76.4
East Lyme School District,2022,250.0,229.0,91.6
East Windsor School District,2022,75.0,69.0,92.0
Eastern Connecticut Regional Educational Service Center (EASTCONN),2022,70.0,60.0,85.7
Ellington School District,2022,207.0,199.0,96.1
Elm City College Preparatory School District,2022,42.0,38.0,90.5
Enfield School District,2022,360.0,317.0,88.1
Explorations District,2022,34.0,28.0,82.4
Fairfield School District,2022,744.0,712.0,95.7
Farmington School District,2022,340.0,333.0,97.9
Glastonbury School District,2022,500.0,481.0,96.2
Goodwin University Educational Services (GUES),2022,108.0,101.0,93.5
Granby School District,2022,162.0,158.0,97.5
Great Oaks Charter School District,2022,50.0,43.0,86.0
Greenwich School District,2022,690.0,662.0,95.9
Griswold School District,2022,138.0,114.0,82.6
Groton School District,2022,264.0,237.0,89.8
Guilford School District,2022,276.0,258.0,93.5
Hamden School District,2022,434.0,367.0,84.6
Hartford School District,2022,1103.0,814.0,73.8
Highville Charter School District,2022,11.0,11.0,
Jumoke Academy District,2022,7.0,7.0,
Killingly School District,2022,191.0,150.0,78.5
Learn,2022,96.0,95.0,99.0
Lebanon School District,2022,76.0,74.0,97.4
Ledyard School District,2022,196.0,187.0,95.4
Litchfield School District,2022,59.0,56.0,94.9
Madison School District,2022,236.0,231.0,97.9
Manchester School District,2022,488.0,420.0,86.1
Meriden School District,2022,628.0,544.0,86.6
Middletown School District,2022,357.0,334.0,93.6
Milford School District,2022,420.0,395.0,94.0
Monroe School District,2022,293.0,290.0,99.0
Montville School District,2022,150.0,137.0,91.3
Naugatuck School District,2022,331.0,293.0,88.5
New Britain School District,2022,644.0,493.0,76.6
New Canaan School District,2022,283.0,281.0,99.3
New Fairfield School District,2022,181.0,176.0,97.2
New Haven School District,2022,1403.0,1063.0,75.8
New London School District,2022,246.0,194.0,78.9
New Milford School District,2022,337.0,279.0,82.8
Newington School District,2022,319.0,306.0,95.9
Newtown School District,2022,364.0,350.0,96.2
North Branford School District,2022,132.0,125.0,94.7
North Haven School District,2022,272.0,252.0,92.6
North Stonington School District,2022,51.0,50.0,98.0
Norwalk School District,2022,960.0,875.0,91.1
Norwich Free Academy District,2022,524.0,464.0,88.5
Old Saybrook School District,2022,100.0,94.0,94.0
Oxford School District,2022,134.0,126.0,94.0
Plainfield School District,2022,132.0,108.0,81.8
Plainville School District,2022,173.0,160.0,92.5
Plymouth School District,2022,97.0,85.0,87.6
Portland School District,2022,101.0,95.0,94.1
Putnam School District,2022,59.0,52.0,88.1
Regional School District 01,2022,93.0,86.0,92.5
Regional School District 04,2022,170.0,161.0,94.7
Regional School District 05,2022,390.0,378.0,96.9
Regional School District 06,2022,94.0,87.0,92.6
Regional School District 07,2022,176.0,169.0,96.0
Regional School District 08,2022,205.0,191.0,93.2
Regional School District 09,2022,214.0,206.0,96.3
Regional School District 10,2022,188.0,182.0,96.8
Regional School District 11,2022,38.0,31.0,81.6
Regional School District 12,2022,64.0,64.0,100.0
Regional School District 13,2022,111.0,106.0,95.5
Regional School District 14,2022,169.0,163.0,96.4
Regional School District 15,2022,311.0,291.0,93.6
Regional School District 16,2022,186.0,176.0,94.6
Regional School District 17,2022,136.0,133.0,97.8
Regional School District 18,2022,127.0,119.0,93.7
Regional School District 19,2022,259.0,239.0,92.3
Ridgefield School District,2022,391.0,375.0,95.9
Rocky Hill School District,2022,180.0,170.0,94.4
Seymour School District,2022,161.0,139.0,86.3
