District,fiscal_year,cohort_count,graduation_count,graduation_rate
Amistad Academy District,2012,21.0,15.0,71.4
Ansonia School District,2012,205.0,156.0,76.1
Avon School District,2012,285.0,274.0,96.1
Berlin School District,2012,263.0,249.0,94.7
Bethel School District,2012,239.0,225.0,94.1
Bloomfield School District,2012,196.0,153.0,78.1
Bolton School District,2012,73.0,66.0,90.4
Branford School District,2012,258.0,240.0,93.0
Bridgeport School District,2012,1273.0,844.0,66.3
Bristol School District,2012,631.0,537.0,85.1
Brookfield School District,2012,254.0,247.0,97.2
Canton School District,2012,119.0,116.0,97.5
Capitol Region Education Council,2012,335.0,266.0,79.4
Cheshire School District,2012,411.0,394.0,95.9
Clinton School District,2012,123.0,114.0,92.7
Colchester School District,2012,246.0,233.0,94.7
Common Ground High School District,2012,31.0,28.0,90.3
Connecticut Technical Education and Career System,2012,2531.0,2428.0,95.9
Coventry School District,2012,153.0,132.0,86.3
Cromwell School District,2012,152.0,139.0,91.4
Danbury School District,2012,757.0,581.0,76.8
Darien School District,2012,311.0,300.0,96.5
Derby School District,2012,106.0,80.0,75.5
East Granby School District,2012,61.0,58.0,95.1
East Haddam School District,2012,102.0,94.0,92.2
East Hampton School District,2012,165.0,156.0,94.5
East Hartford School District,2012,591.0,453.0,76.6
East Haven School District,2012,230.0,166.0,72.2
East Lyme School District,2012,303.0,286.0,94.4
East Windsor School District,2012,89.0,77.0,86.5
Eastern Connecticut Regional Educational Service Center (EASTCONN),2012,86.0,68.0,79.1
Ellington School District,2012,203.0,183.0,90.1
Elm City College Preparatory School District,2012,19.0,15.0,
Enfield School District,2012,512.0,436.0,85.2
Explorations District,2012,28.0,16.0,57.1
Fairfield School District,2012,690.0,650.0,94.2
Farmington School District,2012,304.0,286.0,94.1
Glastonbury School District,2012,512.0,491.0,95.9
Granby School District,2012,189.0,184.0,97.4
Greenwich School District,2012,646.0,596.0,92.3
Griswold School District,2012,184.0,161.0,87.5
Groton School District,2012,345.0,282.0,81.7
Guilford School District,2012,287.0,280.0,97.6
Hamden School District,2012,523.0,441.0,84.3
Hartford School District,2012,1396.0,902.0,64.6
Killingly School District,2012,191.0,147.0,77.0
