District,fiscal_year,subject,total_students,total_tested,participation_rate,n_scored,pct_prof,avg_score
Old Saybrook School District,2018,ELA,109.0,104.0,95.4,104.0,85.6,578.0
Oxford School District,2018,ELA,158.0,156.0,98.7,156.0,71.8,536.0
Path Academy District,2018,ELA,24.0,11.0,45.8,11.0,,
Plainfield School District,2018,ELA,163.0,148.0,90.8,144.0,54.9,489.0
Plainville School District,2018,ELA,180.0,174.0,96.7,174.0,65.5,512.0
Plymouth School District,2018,ELA,126.0,122.0,96.8,119.0,62.2,501.0
Portland School District,2018,ELA,102.0,102.0,100.0,102.0,80.4,552.0
Putnam School District,2018,ELA,78.0,74.0,94.9,74.0,,478.0
Regional School District 01,2018,ELA,110.0,106.0,96.4,106.0,65.1,522.0
Regional School District 04,2018,ELA,144.0,138.0,95.8,138.0,84.1,559.0
Regional School District 05,2018,ELA,361.0,356.0,98.6,356.0,84.8,582.0
Regional School District 06,2018,ELA,88.0,84.0,95.5,84.0,77.4,543.0
Regional School District 07,2018,ELA,198.0,194.0,98.0,194.0,82.0,563.0
Regional School District 08,2018,ELA,230.0,222.0,96.5,222.0,83.8,571.0
Regional School District 09,2018,ELA,231.0,223.0,96.5,221.0,86.0,581.0
Regional School District 10,2018,ELA,190.0,189.0,99.5,189.0,85.2,569.0
Regional School District 11,2018,ELA,41.0,41.0,100.0,41.0,,499.0
Regional School District 12,2018,ELA,67.0,67.0,100.0,67.0,73.1,530.0
Regional School District 13,2018,ELA,138.0,135.0,97.8,135.0,81.5,553.0
Regional School District 14,2018,ELA,193.0,190.0,98.4,190.0,71.6,525.0
Regional School District 15,2018,ELA,304.0,297.0,97.7,294.0,83.7,564.0
Regional School District 16,2018,ELA,167.0,163.0,97.6,163.0,75.5,539.0
Regional School District 17,2018,ELA,165.0,164.0,99.4,164.0,82.9,570.0
Regional School District 18,2018,ELA,116.0,109.0,94.0,109.0,89.0,577.0
Regional School District 19,2018,ELA,288.0,256.0,88.9,256.0,76.2,552.0
Ridgefield School District,2018,ELA,404.0,383.0,94.8,381.0,89.2,598.0
Rocky Hill School District,2018,ELA,182.0,181.0,99.5,181.0,68.5,537.0
Salem School District,2018,ELA,,,,,,
Seymour School District,2018,ELA,166.0,161.0,97.0,161.0,68.9,530.0
Shelton School District,2018,ELA,356.0,346.0,97.2,345.0,71.9,536.0
Simsbury School District,2018,ELA,358.0,344.0,96.1,344.0,89.8,603.0
Somers School District,2018,ELA,124.0,124.0,100.0,124.0,77.4,523.0
South Windsor School District,2018,ELA,321.0,317.0,98.8,316.0,74.1,545.0
Southington School District,2018,ELA,464.0,448.0,96.6,447.0,72.9,535.0
Sprague School District,2018,ELA,,,,,,
Stafford School District,2018,ELA,93.0,89.0,95.7,89.0,57.3,506.0
Stamford Academy District,2018,ELA,41.0,32.0,78.0,32.0,0.0,380.0
Stamford School District,2018,ELA,1093.0,1032.0,94.4,1027.0,53.7,496.0
Stonington School District,2018,ELA,175.0,163.0,93.1,163.0,74.2,539.0
Stratford School District,2018,ELA,489.0,469.0,95.9,469.0,50.3,482.0
Suffield School District,2018,ELA,215.0,213.0,99.1,213.0,84.0,560.0
The Bridge Academy District,2018,ELA,34.0,34.0,100.0,34.0,,462.0
The Gilbert School District,2018,ELA,120.0,116.0,96.7,116.0,50.0,487.0
The Woodstock Academy District,2018,ELA,299.0,297.0,99.3,297.0,74.7,536.0
Thomaston School District,2018,ELA,69.0,68.0,98.6,68.0,72.1,543.0
Thompson School District,2018,ELA,69.0,65.0,94.2,65.0,,496.0
Tolland School District,2018,ELA,197.0,194.0,98.5,193.0,80.8,564.0
Torrington School District,2018,ELA,196.0,191.0,97.4,191.0,50.8,475.0
Trumbull School District,2018,ELA,526.0,515.0,97.9,515.0,81.6,564.0
Unified School District #2,2018,ELA,16.0,14.0,,14.0,,
Vernon School District,2018,ELA,203.0,191.0,94.1,190.0,65.3,513.0
Voluntown School District,2018,ELA,,,,,,
Wallingford School District,2018,ELA,460.0,446.0,97.0,444.0,66.4,518.0
Waterbury School District,2018,ELA,1161.0,1068.0,92.0,1061.0,27.4,436.0
Waterford School District,2018,ELA,193.0,191.0,99.0,189.0,73.0,537.0
