District,fiscal_year,subject,total_students,total_tested,participation_rate,n_scored,pct_prof,avg_score
Achievement First Bridgeport Academy District,2022,ELA,69.0,66.0,95.7,65.0,27.7,444.0
Achievement First Hartford Academy District,2022,ELA,72.0,68.0,94.4,68.0,,428.0
Amistad Academy District,2022,ELA,69.0,65.0,94.2,64.0,26.6,436.0
Ansonia School District,2022,ELA,118.0,112.0,94.9,111.0,,443.0
Area Cooperative Educational Services,2022,ELA,21.0,13.0,61.9,13.0,,
Avon School District,2022,ELA,229.0,227.0,99.1,227.0,81.1,576.0
Berlin School District,2022,ELA,236.0,234.0,99.2,234.0,66.2,522.0
Bethel School District,2022,ELA,245.0,238.0,97.1,236.0,65.3,519.0
Bloomfield School District,2022,ELA,145.0,137.0,94.5,137.0,38.0,457.0
Bolton School District,2022,ELA,78.0,71.0,91.0,71.0,73.2,551.0
Branford School District,2022,ELA,209.0,202.0,96.7,202.0,53.0,495.0
Bridgeport School District,2022,ELA,1045.0,969.0,92.7,962.0,27.7,434.0
Bristol School District,2022,ELA,603.0,582.0,96.5,581.0,51.3,482.0
Brookfield School District,2022,ELA,218.0,210.0,96.3,210.0,73.3,539.0
Brooklyn School District,2022,ELA,,,,,,
Canterbury School District,2022,ELA,,,,,,
Canton School District,2022,ELA,125.0,120.0,96.0,119.0,78.2,548.0
Capital Preparatory Harbor School District,2022,ELA,53.0,52.0,98.1,52.0,19.2,426.0
Capitol Region Education Council,2022,ELA,483.0,425.0,88.0,423.0,32.4,445.0
Cheshire School District,2022,ELA,324.0,319.0,98.5,319.0,78.7,553.0
Clinton School District,2022,ELA,159.0,155.0,97.5,152.0,69.1,519.0
Colchester School District,2022,ELA,172.0,168.0,97.7,168.0,66.1,516.0
Common Ground High School District,2022,ELA,54.0,51.0,94.4,50.0,20.0,431.0
Connecticut Technical Education and Career System,2022,ELA,2663.0,2575.0,96.7,2563.0,29.4,440.0
Cooperative Educational Services,2022,ELA,18.0,11.0,,10.0,,
Coventry School District,2022,ELA,99.0,94.0,94.9,93.0,64.5,510.0
Cromwell School District,2022,ELA,146.0,141.0,96.6,140.0,60.7,508.0
Danbury School District,2022,ELA,775.0,735.0,94.8,734.0,37.7,457.0
Darien School District,2022,ELA,338.0,327.0,96.7,327.0,88.4,599.0
Derby School District,2022,ELA,66.0,62.0,93.9,62.0,,467.0
East Granby School District,2022,ELA,72.0,72.0,100.0,72.0,72.2,545.0
East Haddam School District,2022,ELA,60.0,59.0,98.3,57.0,75.4,533.0
East Hampton School District,2022,ELA,129.0,123.0,95.3,123.0,54.5,502.0
East Hartford School District,2022,ELA,421.0,405.0,96.2,403.0,32.3,448.0
East Haven School District,2022,ELA,200.0,182.0,91.0,181.0,42.0,461.0
East Lyme School District,2022,ELA,250.0,239.0,95.6,239.0,82.0,571.0
East Windsor School District,2022,ELA,62.0,61.0,98.4,59.0,32.2,464.0
Eastern Connecticut Regional Educational Service Center (EASTCONN),2022,ELA,95.0,87.0,91.6,87.0,,483.0
Eastford School District,2022,ELA,,,,,,
EdAdvance,2022,ELA,7.0,,,,,
Ellington School District,2022,ELA,193.0,182.0,94.3,182.0,70.3,535.0
