District,fiscal_year,subject,total_students,total_tested,participation_rate,n_scored,pct_prof,avg_score
Hamden School District,2022,Math,416.0,375.0,90.1,365.0,24.1,463.0
Hartford School District,2022,Math,1029.0,775.0,75.3,772.0,13.6,418.0
Highville Charter School District,2022,Math,11.0,10.0,,10.0,,
Jumoke Academy District,2022,Math,7.0,7.0,,6.0,,
Killingly School District,2022,Math,174.0,161.0,92.5,160.0,18.1,466.0
Learn,2022,Math,96.0,96.0,100.0,96.0,45.8,530.0
Lebanon School District,2022,Math,71.0,70.0,98.6,70.0,,479.0
Ledyard School District,2022,Math,191.0,191.0,100.0,190.0,38.4,510.0
Litchfield School District,2022,Math,57.0,56.0,98.2,55.0,49.1,521.0
Madison School District,2022,Math,219.0,215.0,98.2,215.0,64.7,564.0
Manchester School District,2022,Math,397.0,323.0,81.4,322.0,21.4,451.0
Meriden School District,2022,Math,582.0,538.0,92.4,536.0,15.3,423.0
Middletown School District,2022,Math,321.0,299.0,93.1,296.0,20.3,441.0
Milford School District,2022,Math,402.0,379.0,94.3,378.0,43.9,504.0
Monroe School District,2022,Math,250.0,239.0,95.6,237.0,51.9,536.0
Montville School District,2022,Math,106.0,102.0,96.2,101.0,33.7,486.0
Naugatuck School District,2022,Math,316.0,258.0,81.6,258.0,16.3,441.0
New Britain School District,2022,Math,501.0,447.0,89.2,442.0,9.7,407.0
New Canaan School District,2022,Math,327.0,314.0,96.0,314.0,70.1,581.0
New Fairfield School District,2022,Math,147.0,143.0,97.3,142.0,42.3,508.0
New Haven School District,2022,Math,1233.0,1027.0,83.3,1014.0,10.3,416.0
New London School District,2022,Math,163.0,148.0,90.8,145.0,10.3,414.0
New Milford School District,2022,Math,332.0,307.0,92.5,307.0,39.7,509.0
Newington School District,2022,Math,320.0,313.0,97.8,311.0,37.6,502.0
Newtown School District,2022,Math,360.0,345.0,95.8,345.0,57.7,545.0
North Branford School District,2022,Math,116.0,114.0,98.3,114.0,35.1,499.0
North Haven School District,2022,Math,208.0,197.0,94.7,197.0,44.2,509.0
North Stonington School District,2022,Math,56.0,56.0,100.0,56.0,51.8,535.0
Norwalk School District,2022,Math,914.0,846.0,92.6,840.0,27.7,466.0
Norwich Free Academy District,2022,Math,537.0,478.0,89.0,475.0,21.9,452.0
Norwich School District,2022,Math,,,,,,
Old Saybrook School District,2022,Math,94.0,91.0,96.8,90.0,53.3,530.0
Oxford School District,2022,Math,140.0,139.0,99.3,139.0,35.3,490.0
Plainfield School District,2022,Math,137.0,124.0,90.5,121.0,14.9,442.0
Plainville School District,2022,Math,157.0,152.0,96.8,152.0,34.9,479.0
Plymouth School District,2022,Math,88.0,81.0,92.0,81.0,,480.0
Portland School District,2022,Math,77.0,76.0,98.7,75.0,,501.0
Putnam School District,2022,Math,61.0,59.0,96.7,59.0,10.2,432.0
Regional School District 01,2022,Math,87.0,84.0,96.6,84.0,26.2,461.0
Regional School District 04,2022,Math,131.0,124.0,94.7,122.0,50.0,527.0
Regional School District 05,2022,Math,318.0,307.0,96.5,307.0,66.4,576.0
Regional School District 06,2022,Math,99.0,97.0,98.0,97.0,47.4,503.0
Regional School District 07,2022,Math,159.0,149.0,93.7,148.0,42.6,498.0
Regional School District 08,2022,Math,203.0,200.0,98.5,199.0,57.3,549.0
Regional School District 09,2022,Math,200.0,195.0,97.5,195.0,66.7,563.0
Regional School District 10,2022,Math,161.0,154.0,95.7,154.0,45.5,509.0
Regional School District 11,2022,Math,29.0,29.0,100.0,28.0,,515.0
Regional School District 12,2022,Math,70.0,65.0,92.9,65.0,38.5,504.0
Regional School District 13,2022,Math,110.0,105.0,95.5,105.0,48.6,526.0
Regional School District 14,2022,Math,168.0,163.0,97.0,161.0,33.5,492.0
Regional School District 15,2022,Math,284.0,264.0,93.0,264.0,60.6,550.0
Regional School District 16,2022,Math,153.0,152.0,99.3,151.0,41.7,503.0
Regional School District 17,2022,Math,154.0,153.0,99.4,153.0,46.4,516.0
Regional School District 18,2022,Math,112.0,110.0,98.2,110.0,69.1,577.0
Regional School District 19,2022,Math,250.0,235.0,94.0,235.0,54.5,541.0
Ridgefield School District,2022,Math,392.0,367.0,93.6,367.0,64.9,580.0
Rocky Hill School District,2022,Math,174.0,166.0,95.4,166.0,54.2,539.0
Seymour School District,2022,Math,155.0,146.0,94.2,144.0,31.3,482.0
Shelton School District,2022,Math,329.0,320.0,97.3,319.0,39.8,497.0
Sherman School District,2022,Math,,0.0,,0.0,,
Simsbury School District,2022,Math,287.0,281.0,97.9,281.0,66.2,562.0
Somers School District,2022,Math,109.0,105.0,96.3,105.0,48.6,523.0
South Windsor School District,2022,Math,345.0,339.0,98.3,339.0,56.3,550.0
Southington School District,2022,Math,528.0,509.0,96.4,509.0,46.0,518.0
Sprague School District,2022,Math,,0.0,,0.0,,
Stafford School District,2022,Math,87.0,84.0,96.6,84.0,,502.0
Stamford School District,2022,Math,973.0,860.0,88.4,858.0,27.4,473.0
Stonington School District,2022,Math,143.0,139.0,97.2,138.0,47.1,517.0
Stratford School District,2022,Math,510.0,495.0,97.1,495.0,17.6,438.0
Suffield School District,2022,Math,166.0,164.0,98.8,164.0,45.7,507.0
The Bridge Academy District,2022,Math,42.0,41.0,97.6,41.0,,408.0
The Gilbert School District,2022,Math,68.0,65.0,95.6,65.0,29.2,458.0
The Woodstock Academy District,2022,Math,315.0,309.0,98.1,306.0,35.0,497.0
Thomaston School District,2022,Math,61.0,61.0,100.0,61.0,,488.0
Thompson School District,2022,Math,48.0,37.0,77.1,37.0,27.0,482.0
Tolland School District,2022,Math,181.0,180.0,99.4,180.0,66.7,556.0
Torrington School District,2022,Math,207.0,179.0,86.5,174.0,25.9,454.0
Trumbull School District,2022,Math,494.0,486.0,98.4,485.0,62.3,557.0
Unified School District #2,2022,Math,9.0,7.0,,,,
Vernon School District,2022,Math,215.0,204.0,94.9,203.0,27.6,457.0
Wallingford School District,2022,Math,421.0,398.0,94.5,398.0,38.4,496.0
Waterbury School District,2022,Math,1046.0,994.0,95.0,976.0,4.4,397.0
Waterford School District,2022,Math,178.0,176.0,98.9,176.0,38.6,499.0
Watertown School District,2022,Math,193.0,183.0,94.8,182.0,28.0,466.0
West Hartford School District,2022,Math,717.0,700.0,97.6,698.0,57.2,545.0
West Haven School District,2022,Math,409.0,377.0,92.2,373.0,18.0,429.0
Westbrook School District,2022,Math,64.0,63.0,98.4,63.0,46.0,507.0
Weston School District,2022,Math,184.0,181.0,98.4,180.0,76.1,587.0
Westport School District,2022,Math,437.0,435.0,99.5,430.0,78.6,618.0
Wethersfield School District,2022,Math,292.0,287.0,98.3,287.0,37.3,488.0
Wilton School District,2022,Math,337.0,323.0,95.8,323.0,64.1,576.0
Windham School District,2022,Math,150.0,138.0,92.0,137.0,7.3,399.0
Windsor Locks School District,2022,Math,110.0,98.0,89.1,98.0,20.4,451.0
Windsor School District,2022,Math,279.0,266.0,95.3,265.0,23.0,466.0
Wolcott School District,2022,Math,175.0,162.0,92.6,162.0,32.7,492.0
"CT School Day SAT, 2021-22 All Districts, Math, All Students Export .csv file  Level 1Not Met Level 2Approaching Level 3Met Level 4Exceeded Level 3&4Met or Exceeded  District TotalNumberofStudents TotalNumberTested CT SchoolDay SATParticipationRate TotalNumberwithScoredTests Count % Count % Count % Count % Count % AverageScore Achievement First Bridgeport Academy District  69  66  95.7  64  32  50.0  16  25.0 * * * * 16  25.0  436 Achievement First Hartford Academy District  72  68  94.4  68  34  50.0  28  41.2 * * * * 6  8.8  423 Amistad Academy District  69  65  94.2  64  33  51.6  17  26.6  14  21.9  0  0.0  14  21.9  434 Ansonia School District  118  112  94.9  111  65  58.6  30  27.0  16  14.4  0  0.0  16  14.4  416 Area Cooperative Educational Services  21  13  61.9  13 * * * * * * * * * * * Avon School District  229  227  99.1  227  21  9.3  55  24.2  86  37.9  65  28.6  151  66.5  574 Berlin School District  236  234  99.2  234  44  18.8  79  33.8  86  36.8  25  10.7  111  47.4  516 Bethel School District  245  238  97.1  235  50  21.3  84  35.7  78  33.2  23  9.8  101  43.0  508 Bloomfield School District  145  137  94.5  137  64  46.7  49  35.8 * * * * 24  17.5  438 Bolton School District  78  71  91.0  71  14  19.7  24  33.8  24  33.8  9  12.7  33  46.5  517 Branford School District  209  202  96.7  202  57  28.2  94  46.5  41  20.3  10  5.0  51  25.2  472 Bridgeport School District  1,045  969  92.7  961  607  63.2  260  27.1  83  8.6  11  1.1  94  9.8  408 Bristol School District  603  582  96.5  580  208  35.9  227  39.1  131  22.6  14  2.4  145  25.0  462 Brookfield School District  218  210  96.3  210  26  12.4  79  37.6  76  36.2  29  13.8  105  50.0  530 Brooklyn School District * * * * * * * * * * * * * * * Canterbury School District * * * * * * * * * * * * * * * Canton School District  125  120  96.0  119  16  13.4  38  31.9  50  42.0  15  12.6  65  54.6  531 Capital Preparatory Harbor School District  53  52  98.1  52  26  50.0  23  44.2 * * * * * * 420 Capitol Region Education Council  483  425  88.0  420  245  58.3  126  30.0  38  9.0  11  2.6  49  11.7  419 Cheshire School District  324  319  98.5  319  47  14.7  103  32.3  112  35.1  57  17.9  169  53.0  541 Clinton School District  159  155  97.5  152  27  17.8  49  32.2  64  42.1  12  7.9  76  50.0  513 Colchester School District  172  168  97.7  168  23  13.7  66  39.3  63  37.5  16  9.5  79  47.0  516 Common Ground High School District  54  51  94.4  50  31  62.0 * * * * 0  0.0 * * 400 Connecticut Technical Education and Career System  2,663  2,575  96.7  2,559  1,354  52.9  956  37.4  234  9.1  15  0.6  249  9.7  420 Cooperative Educational Services  18  11 * 10 * * * * * * * * * * * Coventry School District  99  94  94.9  93  21  22.6  35  37.6  31  33.3  6  6.5  37  39.8  497 Cromwell School District  146  141  96.6  139  23  16.5  55  39.6  53  38.1  8  5.8  61  43.9  507 Danbury School District  775  735  94.8  733  364  49.7  257  35.1  99  13.5  13  1.8  112  15.3  434 Darien School District  338  327  96.7  327  16  4.9  45  13.8  122  37.3  144  44.0  266  81.3  617 Derby School District  66  62  93.9  62  30  48.4  22  35.5  10  16.1  0  0.0  10  16.1  432 East Granby School District  72  72  100.0  72  17  23.6  16  22.2  33  45.8  6  8.3  39  54.2  514 East Haddam School District  60  59  98.3  57 * * 24  42.1  26  45.6 * * * * 516 East Hampton School District  129  123  95.3  122 * * 39  32.0  42  34.4 * * * * 479 East Hartford School District  421  405  96.2  402  189  47.0  143  35.6  58  14.4  12  3.0  70  17.4  436 East Haven School District  200  182  91.0  181  89  49.2  67  37.0 * * * * 25  13.8  434 East Lyme School District  250  239  95.6  238  27  11.3  75  31.5  78  32.8  58  24.4  136  57.1  554 East Windsor School District  62  61  98.4  59  31  52.5  19  32.2 * * * * 9  15.3  437 Eastern Connecticut Regional Educational Service Center (EASTCONN)  95  87  91.6  86  46  53.5  34  39.5 * * * * 6  7.0  413 Eastford School District * * * * * * * * * * * * * * * EdAdvance  7 * * * * * * * * * * * * * * Ellington School District  193  182  94.3  182  36  19.8  52  28.6  66  36.3  28  15.4  94  51.6  529 Elm City College Preparatory School District  45  42  93.3  42  22  52.4  14  33.3  6  14.3  0  0.0  6  14.3  424 Enfield School District  357  349  97.8  349  102  29.2  165  47.3  66  18.9  16  4.6  82  23.5  472 Explorations District  22  21  95.5  21  13  61.9 * * * * 0  0.0 * * 416 Fairfield School District  735  702  95.5  702  80  11.4  205  29.2  270  38.5  147  20.9  417  59.4  553 Farmington School District  295  289  98.0  287  33  11.5  81  28.2  109  38.0  64  22.3  173  60.3  558 Glastonbury School District  473  457  96.6  455  47  10.3  112  24.6  189  41.5  107  23.5  296  65.1  563 Goodwin University Educational Services (GUES)  122  113  92.6  112  53  47.3  47  42.0  12  10.7  0  0.0  12  10.7  434 Granby School District  124  123  99.2  123  17  13.8  50  40.7  34  27.6  22  17.9  56  45.5  530 Great Oaks Charter School District  73  67  91.8  67  52  77.6 * * * * 0  0.0 * * 387 Greenwich School District  671  658  98.1  654  79  12.1  166  25.4  236  36.1  173  26.5  409  62.5  563 Griswold School District  116  111  95.7  111  40  36.0  40  36.0  31  27.9  0  0.0  31  27.9  464 Groton School District  221  197  89.1  196  57  29.1  80  40.8  50  25.5  9  4.6  59  30.1  476 Guilford School District  289  284  98.3  284  27  9.5  85  29.9  102  35.9  70  24.6  172  60.6  562 Hamden School District  416  375  90.1  365  139  38.1  138  37.8  68  18.6  20  5.5  88  24.1  463 Hartford School District  1,029  775  75.3  772  445  57.6  222  28.8  93  12.0  12  1.6  105  13.6  418 Highville Charter School District  11  10 * 10 * * * * * * * * * * * Jumoke Academy District  7  7 * 6 * * * * * * * * * * * Killingly School District  174  161  92.5  160  47  29.4  84  52.5 * * * * 29  18.1  466 Learn  96  96  100.0  96  15  15.6  37  38.5  29  30.2  15  15.6  44  45.8  530 Lebanon School District  71  70  98.6  70 * * 34  48.6  19  27.1 * * * * 479 Ledyard School District  191  191  100.0  190  35  18.4  82  43.2  51  26.8  22  11.6  73  38.4  510 Litchfield School District  57  56  98.2  55  13  23.6  15  27.3  17  30.9  10  18.2  27  49.1  521 Madison School District  219  215  98.2  215  18  8.4  58  27.0  96  44.7  43  20.0  139  64.7  564 Manchester School District  397  323  81.4  322  122  37.9  131  40.7 * * * * 69  21.4  451 Meriden School District  582  538  92.4  536  296  55.2  158  29.5 * * * * 82  15.3  423 Middletown School District  321  299  93.1  296  138  46.6  98  33.1  49  16.6  11  3.7  60  20.3  441 Milford School District  402  379  94.3  378  79  20.9  133  35.2  137  36.2  29  7.7  166  43.9  504 Monroe School District  250  239  95.6  237  28  11.8  86  36.3  88  37.1  35  14.8  123  51.9  536 Montville School District  106  102  96.2  101  27  26.7  40  39.6  26  25.7  8  7.9  34  33.7  486 Naugatuck School District  316  258  81.6  258  111  43.0  105  40.7 * * * * 42  16.3  441 New Britain School District  501  447  89.2  442  282  63.8  117  26.5 * * * * 43  9.7  407 New Canaan School District  327  314  96.0  314  19  6.1  75  23.9  124  39.5  96  30.6  220  70.1  581 New Fairfield School District  147  143  97.3  142  25  17.6  57  40.1  49  34.5  11  7.7  60  42.3  508 New Haven School District  1,233  1,027  83.3  1,014  611  60.3  299  29.5  82  8.1  22  2.2  104  10.3  416 New London School District  163  148  90.8  145  88  60.7  42  29.0 * * * * 15  10.3  414 New Milford School District  332  307  92.5  307  62  20.2  123  40.1  85  27.7  37  12.1  122  39.7  509 Newington School District  320  313  97.8  311  61  19.6  133  42.8  90  28.9  27  8.7  117  37.6  502 Newtown School District  360  345  95.8  345  38  11.0  108  31.3  138  40.0  61  17.7  199  57.7  545 North Branford School District  116  114  98.3  114  19  16.7  55  48.2  34  29.8  6  5.3  40  35.1  499 North Haven School District  208  197  94.7  197  29  14.7  81  41.1  75  38.1  12  6.1  87  44.2  509 North Stonington School District  56  56  100.0  56  6  10.7  21  37.5  23  41.1  6  10.7  29  51.8  535 Norwalk School District  914  846  92.6  840  325  38.7  282  33.6  170  20.2  63  7.5  233  27.7  466 Norwich Free Academy District  537  478  89.0  475  195  41.1  176  37.1  84  17.7  20  4.2  104  21.9  452 Norwich School District * * * * * * * * * * * * * * * Old Saybrook School District  94  91  96.8  90  17  18.9  25  27.8  30  33.3  18  20.0  48  53.3  530 Oxford School District  140  139  99.3  139  31  22.3  59  42.4  43  30.9  6  4.3  49  35.3  490 Plainfield School District  137  124  90.5  121  49  40.5  54  44.6  18  14.9  0  0.0  18  14.9  442 Plainville School District  157  152  96.8  152  48  31.6  51  33.6  43  28.3  10  6.6  53  34.9  479 Plymouth School District  88  81  92.0  81 * * 39  48.1  23  28.4 * * * * 480 Portland School District  77  76  98.7  75 * * 35  46.7  25  33.3 * * * * 501 Putnam School District  61  59  96.7  59  31  52.5  22  37.3 * * * * 6  10.2  432 Regional School District 01  87  84  96.6  84  29  34.5  33  39.3 * * * * 22  26.2  461 Regional School District 04  131  124  94.7  122  19  15.6  42  34.4  42  34.4  19  15.6  61  50.0  527 Regional School District 05  318  307  96.5  307  22  7.2  81  26.4  125  40.7  79  25.7  204  66.4  576 Regional School District 06  99  97  98.0  97  18  18.6  33  34.0  37  38.1  9  9.3  46  47.4  503 Regional School District 07  159  149  93.7  148  31  20.9  54  36.5  54  36.5  9  6.1  63  42.6  498 Regional School District 08  203  200  98.5  199  19  9.5  66  33.2  75  37.7  39  19.6  114  57.3  549 Regional School District 09  200  195  97.5  195  13  6.7  52  26.7  91  46.7  39  20.0  130  66.7  563 Regional School District 10  161  154  95.7  154  28  18.2  56  36.4  58  37.7  12  7.8  70  45.5  509 Regional School District 11  29  29  100.0  28 * * 10  35.7  7  25.0 * * * * 515 Regional School District 12  70  65  92.9  65  11  16.9  29  44.6  16  24.6  9  13.8  25  38.5  504 Regional School District 13  110  105  95.5  105  18  17.1  36  34.3  34  32.4  17  16.2  51  48.6  526 Regional School District 14  168  163  97.0  161  38  23.6  69  42.9  44  27.3  10  6.2  54  33.5  492 Regional School District 15  284  264  93.0  264  33  12.5  71  26.9  111  42.0  49  18.6  160  60.6  550 Regional School District 16  153  152  99.3  151  35  23.2  53  35.1  50  33.1  13  8.6  63  41.7  503 Regional School District 17  154  153  99.4  153  28  18.3  54  35.3  57  37.3  14  9.2  71  46.4  516 Regional School District 18  112  110  98.2  110  11  10.0  23  20.9  43  39.1  33  30.0  76  69.1  577 Regional School District 19  250  235  94.0  235  29  12.3  78  33.2  85  36.2  43  18.3  128  54.5  541 Ridgefield School District  392  367  93.6  367  17  4.6  112  30.5  136  37.1  102  27.8  238  64.9  580 Rocky Hill School District  174  166  95.4  166  23  13.9  53  31.9  60  36.1  30  18.1  90  54.2  539 Seymour School District  155  146  94.2  144  42  29.2  57  39.6  36  25.0  9  6.3  45  31.3  482 Shelton School District  329  320  97.3  319  71  22.3  121  37.9  105  32.9  22  6.9  127  39.8  497 Sherman School District * 0 * 0 N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A Simsbury School District  287  281  97.9  281  26  9.3  69  24.6  129  45.9  57  20.3  186  66.2  562 Somers School District  109  105  96.3  105  16  15.2  38  36.2  42  40.0  9  8.6  51  48.6  523 South Windsor School District  345  339  98.3  339  40  11.8  108  31.9  119  35.1  72  21.2  191  56.3  550 Southington School District  528  509  96.4  509  75  14.7  200  39.3  181  35.6  53  10.4  234  46.0  518 Sprague School District * 0 * 0 N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A N/A Stafford School District  87  84  96.6  84 * * 37  44.0  29  34.5 * * * * 502 Stamford School District  973  860  88.4  858  303  35.3  320  37.3  158  18.4  77  9.0  235  27.4  473 Stonington School District  143  139  97.2  138  28  20.3  45  32.6  47  34.1  18  13.0  65  47.1  517 Stratford School District  510  495  97.1  495  235  47.5  173  34.9  74  14.9  13  2.6  87  17.6  438 Suffield School District  166  164  98.8  164  35  21.3  54  32.9  59  36.0  16  9.8  75  45.7  507 The Bridge Academy District  42  41  97.6  41  25  61.0 * * * * 0  0.0 * * 408 The Gilbert School District  68  65  95.6  65  22  33.8  24  36.9 * * * * 19  29.2  458 The Woodstock Academy District  315  309  98.1  306  64  20.9  135  44.1  88  28.8  19  6.2  107  35.0  497 Thomaston School District  61  61  100.0  61 * * 26  42.6  20  32.8 * * * * 488 Thompson School District  48  37  77.1  37  7  18.9  20  54.1  10  27.0  0  0.0  10  27.0  482 Tolland School District  181  180  99.4  180  17  9.4  43  23.9  87  48.3  33  18.3  120  66.7  556 Torrington School District  207  179  86.5  174  63  36.2  66  37.9 * * * * 45  25.9  454 Trumbull School District  494  486  98.4  485  53  10.9  130  26.8  200  41.2  102  21.0  302  62.3  557 Unified School District #2  9  7 * * * * * * * * * * * * * Vernon School District  215  204  94.9  203  80  39.4  67  33.0  47  23.2  9  4.4  56  27.6  457 Wallingford School District  421  398  94.5  398  99  24.9  146  36.7  121  30.4  32  8.0  153  38.4  496 Waterbury School District  1,046  994  95.0  976  672  68.9  261  26.7 * * * * 43  4.4  397 Waterford School District  178  176  98.9  176  37  21.0  71  40.3  57  32.4  11  6.3  68  38.6  499 Watertown School District  193  183  94.8  182  61  33.5  70  38.5  43  23.6  8  4.4  51  28.0  466 West Hartford School District  717  700  97.6  698  104  14.9  195  27.9  263  37.7  136  19.5  399  57.2  545 West Haven School District  409  377  92.2  373  194  52.0  112  30.0 * * * * 67  18.0  429 Westbrook School District  64  63  98.4  63  14  22.2  20  31.7  23  36.5  6  9.5  29  46.0  507 Weston School District  184  181  98.4  180  9  5.0  34  18.9  91  50.6  46  25.6  137  76.1  587 Westport School District  437  435  99.5  430  21  4.9  71  16.5  151  35.1  187  43.5  338  78.6  618 Wethersfield School District  292  287  98.3  287  70  24.4  110  38.3  89  31.0  18  6.3  107  37.3  488 Wilton School District  337  323  95.8  323  25  7.7  91  28.2  123  38.1  84  26.0  207  64.1  576 Windham School District  150  138  92.0  137  91  66.4  36  26.3 * * * * 10  7.3  399 Windsor Locks School District  110  98  89.1  98  38  38.8  40  40.8 * * * * 20  20.4  451 Windsor School District  279  266  95.3  265  95  35.8  109  41.1  47  17.7  14  5.3  61  23.0  466 Wolcott School District  175  162  92.6  162  37  22.8  72  44.4  39  24.1  14  8.6  53  32.7  492 * The data are suppressed to ensure confidentiality. For more information, please view the Suppression Guidelines.",2022,Math,,,,,,
