District,fiscal_year,subject,total_students,total_tested,participation_rate,n_scored,pct_prof,avg_score
Achievement First Bridgeport Academy District,2022,Math,69.0,66.0,95.7,64.0,25.0,436.0
Achievement First Hartford Academy District,2022,Math,72.0,68.0,94.4,68.0,8.8,423.0
Amistad Academy District,2022,Math,69.0,65.0,94.2,64.0,21.9,434.0
Ansonia School District,2022,Math,118.0,112.0,94.9,111.0,14.4,416.0
Area Cooperative Educational Services,2022,Math,21.0,13.0,61.9,13.0,,
Avon School District,2022,Math,229.0,227.0,99.1,227.0,66.5,574.0
Berlin School District,2022,Math,236.0,234.0,99.2,234.0,47.4,516.0
Bethel School District,2022,Math,245.0,238.0,97.1,235.0,43.0,508.0
Bloomfield School District,2022,Math,145.0,137.0,94.5,137.0,17.5,438.0
Bolton School District,2022,Math,78.0,71.0,91.0,71.0,46.5,517.0
Branford School District,2022,Math,209.0,202.0,96.7,202.0,25.2,472.0
Bridgeport School District,2022,Math,1045.0,969.0,92.7,961.0,9.8,408.0
Bristol School District,2022,Math,603.0,582.0,96.5,580.0,25.0,462.0
Brookfield School District,2022,Math,218.0,210.0,96.3,210.0,50.0,530.0
Brooklyn School District,2022,Math,,,,,,
Canterbury School District,2022,Math,,,,,,
Canton School District,2022,Math,125.0,120.0,96.0,119.0,54.6,531.0
Capital Preparatory Harbor School District,2022,Math,53.0,52.0,98.1,52.0,,420.0
Capitol Region Education Council,2022,Math,483.0,425.0,88.0,420.0,11.7,419.0
Cheshire School District,2022,Math,324.0,319.0,98.5,319.0,53.0,541.0
Clinton School District,2022,Math,159.0,155.0,97.5,152.0,50.0,513.0
Colchester School District,2022,Math,172.0,168.0,97.7,168.0,47.0,516.0
Common Ground High School District,2022,Math,54.0,51.0,94.4,50.0,,400.0
Connecticut Technical Education and Career System,2022,Math,2663.0,2575.0,96.7,2559.0,9.7,420.0
Cooperative Educational Services,2022,Math,18.0,11.0,,10.0,,
Coventry School District,2022,Math,99.0,94.0,94.9,93.0,39.8,497.0
Cromwell School District,2022,Math,146.0,141.0,96.6,139.0,43.9,507.0
Danbury School District,2022,Math,775.0,735.0,94.8,733.0,15.3,434.0
Darien School District,2022,Math,338.0,327.0,96.7,327.0,81.3,617.0
Derby School District,2022,Math,66.0,62.0,93.9,62.0,16.1,432.0
East Granby School District,2022,Math,72.0,72.0,100.0,72.0,54.2,514.0
East Haddam School District,2022,Math,60.0,59.0,98.3,57.0,,516.0
East Hampton School District,2022,Math,129.0,123.0,95.3,122.0,,479.0
East Hartford School District,2022,Math,421.0,405.0,96.2,402.0,17.4,436.0
East Haven School District,2022,Math,200.0,182.0,91.0,181.0,13.8,434.0
East Lyme School District,2022,Math,250.0,239.0,95.6,238.0,57.1,554.0
East Windsor School District,2022,Math,62.0,61.0,98.4,59.0,15.3,437.0
Eastern Connecticut Regional Educational Service Center (EASTCONN),2022,Math,95.0,87.0,91.6,86.0,7.0,413.0
Eastford School District,2022,Math,,,,,,
EdAdvance,2022,Math,7.0,,,,,
Ellington School District,2022,Math,193.0,182.0,94.3,182.0,51.6,529.0
Elm City College Preparatory School District,2022,Math,45.0,42.0,93.3,42.0,14.3,424.0
Enfield School District,2022,Math,357.0,349.0,97.8,349.0,23.5,472.0
Explorations District,2022,Math,22.0,21.0,95.5,21.0,,416.0
Fairfield School District,2022,Math,735.0,702.0,95.5,702.0,59.4,553.0
Farmington School District,2022,Math,295.0,289.0,98.0,287.0,60.3,558.0
Glastonbury School District,2022,Math,473.0,457.0,96.6,455.0,65.1,563.0
Goodwin University Educational Services (GUES),2022,Math,122.0,113.0,92.6,112.0,10.7,434.0
Granby School District,2022,Math,124.0,123.0,99.2,123.0,45.5,530.0
Great Oaks Charter School District,2022,Math,73.0,67.0,91.8,67.0,,387.0
Greenwich School District,2022,Math,671.0,658.0,98.1,654.0,62.5,563.0
Griswold School District,2022,Math,116.0,111.0,95.7,111.0,27.9,464.0
Groton School District,2022,Math,221.0,197.0,89.1,196.0,30.1,476.0
Guilford School District,2022,Math,289.0,284.0,98.3,284.0,60.6,562.0
