District,fiscal_year,subject,total_students,total_tested,participation_rate,n_scored,pct_prof,avg_score
Achievement First Bridgeport Academy District,2017,ELA,36.0,34.0,94.4,34.0,,508.0
Achievement First Hartford Academy District,2017,ELA,39.0,39.0,100.0,39.0,,488.0
Amistad Academy District,2017,ELA,50.0,48.0,96.0,47.0,,511.0
Ansonia School District,2017,ELA,134.0,127.0,94.8,127.0,49.6,478.0
Area Cooperative Educational Services,2017,ELA,18.0,15.0,,15.0,,
Avon School District,2017,ELA,285.0,282.0,98.9,282.0,88.3,603.0
Berlin School District,2017,ELA,218.0,216.0,99.1,216.0,73.1,534.0
Bethel School District,2017,ELA,199.0,194.0,97.5,194.0,77.8,547.0
Bloomfield School District,2017,ELA,160.0,154.0,96.3,154.0,46.1,475.0
Bolton School District,2017,ELA,79.0,79.0,100.0,79.0,81.0,562.0
Branford School District,2017,ELA,219.0,215.0,98.2,215.0,70.2,524.0
Bridgeport School District,2017,ELA,1247.0,1144.0,91.7,1144.0,34.8,449.0
Bristol School District,2017,ELA,564.0,552.0,97.9,552.0,62.1,508.0
Brookfield School District,2017,ELA,214.0,207.0,96.7,207.0,87.0,570.0
Brooklyn School District,2017,ELA,,,,,,
Canton School District,2017,ELA,118.0,115.0,97.5,115.0,92.2,611.0
Capital Preparatory Harbor School District,2017,ELA,33.0,33.0,100.0,33.0,33.3,448.0
Capitol Region Education Council,2017,ELA,569.0,550.0,96.7,550.0,53.8,499.0
Cheshire School District,2017,ELA,338.0,326.0,96.4,326.0,85.9,573.0
Clinton School District,2017,ELA,127.0,124.0,97.6,124.0,74.2,544.0
Colchester School District,2017,ELA,221.0,218.0,98.6,218.0,76.6,540.0
Common Ground High School District,2017,ELA,43.0,43.0,100.0,43.0,53.5,513.0
Connecticut Technical Education and Career System,2017,ELA,2491.0,2481.0,99.6,2481.0,46.1,472.0
Cooperative Educational Services,2017,ELA,16.0,15.0,,15.0,,
Coventry School District,2017,ELA,120.0,115.0,95.8,115.0,75.7,553.0
Cromwell School District,2017,ELA,151.0,149.0,98.7,149.0,79.9,545.0
Danbury School District,2017,ELA,695.0,675.0,97.1,675.0,56.7,494.0
Darien School District,2017,ELA,339.0,325.0,95.9,325.0,94.8,627.0
Derby School District,2017,ELA,83.0,82.0,98.8,82.0,52.4,487.0
East Granby School District,2017,ELA,58.0,56.0,96.6,56.0,85.7,569.0
East Haddam School District,2017,ELA,83.0,80.0,96.4,80.0,70.0,525.0
East Hampton School District,2017,ELA,107.0,106.0,99.1,106.0,77.4,551.0
East Hartford School District,2017,ELA,470.0,442.0,94.0,442.0,41.6,468.0
East Haven School District,2017,ELA,228.0,217.0,95.2,217.0,53.5,487.0
East Lyme School District,2017,ELA,281.0,274.0,97.5,274.0,86.5,577.0
East Windsor School District,2017,ELA,89.0,87.0,97.8,87.0,71.3,511.0
Eastern Connecticut Regional Educational Service Center (EASTCONN),2017,ELA,82.0,75.0,91.5,75.0,,473.0
EdAdvance,2017,ELA,,0.0,,0.0,,
Ellington School District,2017,ELA,175.0,174.0,99.4,174.0,79.3,542.0
Elm City College Preparatory School District,2017,ELA,29.0,29.0,100.0,29.0,72.4,516.0
Enfield School District,2017,ELA,350.0,342.0,97.7,342.0,69.9,515.0
Explorations District,2017,ELA,22.0,21.0,95.5,21.0,,466.0
Fairfield School District,2017,ELA,778.0,759.0,97.6,759.0,85.5,579.0
Farmington School District,2017,ELA,290.0,287.0,99.0,287.0,87.5,586.0
Glastonbury School District,2017,ELA,490.0,480.0,98.0,480.0,84.4,584.0
