District,fiscal_year,subject,total_students,total_tested,participation_rate,n_scored,pct_prof,avg_score
Achievement First Bridgeport Academy District,2023,Math,49.0,46.0,93.9,46.0,21.7,418.0
Achievement First Hartford Academy District,2023,Math,66.0,61.0,92.4,61.0,,412.0
Amistad Academy District,2023,Math,69.0,63.0,91.3,63.0,15.9,430.0
Ansonia School District,2023,Math,139.0,137.0,98.6,137.0,13.9,425.0
Area Cooperative Educational Services,2023,Math,26.0,13.0,50.0,13.0,,
Avon School District,2023,Math,227.0,218.0,96.0,218.0,69.7,586.0
Berlin School District,2023,Math,192.0,189.0,98.4,189.0,44.4,511.0
Bethel School District,2023,Math,246.0,235.0,95.5,234.0,40.6,501.0
Bloomfield School District,2023,Math,128.0,121.0,94.5,120.0,7.5,417.0
Bolton School District,2023,Math,48.0,44.0,91.7,44.0,,503.0
Branford School District,2023,Math,217.0,206.0,94.9,206.0,36.4,502.0
Bridgeport School District,2023,Math,1194.0,1080.0,90.5,1070.0,8.3,397.0
Bristol School District,2023,Math,592.0,545.0,92.1,542.0,21.8,453.0
Brookfield School District,2023,Math,225.0,224.0,99.6,224.0,40.6,514.0
Brooklyn School District,2023,Math,,,,0.0,,
Canton School District,2023,Math,106.0,103.0,97.2,103.0,62.1,544.0
Capital Preparatory Harbor School District,2023,Math,54.0,54.0,100.0,54.0,14.8,440.0
Capitol Region Education Council,2023,Math,490.0,421.0,85.9,413.0,13.8,429.0
Cheshire School District,2023,Math,286.0,280.0,97.9,280.0,52.1,538.0
Clinton School District,2023,Math,121.0,119.0,98.3,119.0,,497.0
Colchester School District,2023,Math,161.0,152.0,94.4,151.0,51.0,524.0
Common Ground High School District,2023,Math,47.0,43.0,91.5,40.0,,404.0
Connecticut Technical Education and Career System,2023,Math,2668.0,2621.0,98.2,2610.0,11.4,425.0
Cooperative Educational Services,2023,Math,16.0,12.0,,12.0,,
Coventry School District,2023,Math,102.0,98.0,96.1,98.0,,516.0
Cromwell School District,2023,Math,141.0,138.0,97.9,137.0,46.0,505.0
Danbury School District,2023,Math,768.0,736.0,95.8,734.0,14.6,435.0
Darien School District,2023,Math,329.0,315.0,95.7,310.0,76.8,606.0
Derby School District,2023,Math,95.0,86.0,90.5,86.0,7.0,412.0
East Granby School District,2023,Math,47.0,47.0,100.0,47.0,42.6,505.0
East Haddam School District,2023,Math,64.0,62.0,96.9,62.0,33.9,471.0
East Hampton School District,2023,Math,147.0,144.0,98.0,143.0,41.3,504.0
East Hartford School District,2023,Math,471.0,441.0,93.6,438.0,19.4,437.0
East Haven School District,2023,Math,200.0,193.0,96.5,193.0,14.0,432.0
East Lyme School District,2023,Math,241.0,235.0,97.5,235.0,54.0,543.0
East Windsor School District,2023,Math,64.0,59.0,92.2,59.0,20.3,435.0
Eastern Connecticut Regional Educational Service Center (EASTCONN),2023,Math,66.0,55.0,83.3,53.0,20.8,444.0
EdAdvance,2023,Math,14.0,6.0,,6.0,,
Ellington School District,2023,Math,194.0,179.0,92.3,179.0,43.6,513.0
Elm City College Preparatory School District,2023,Math,50.0,47.0,94.0,47.0,17.0,441.0
Enfield School District,2023,Math,355.0,345.0,97.2,344.0,28.2,482.0
Explorations District,2023,Math,23.0,23.0,100.0,23.0,,416.0
Fairfield School District,2023,Math,811.0,779.0,96.1,776.0,60.6,549.0
Farmington School District,2023,Math,302.0,295.0,97.7,294.0,60.5,558.0
Glastonbury School District,2023,Math,446.0,434.0,97.3,433.0,60.5,554.0
Goodwin University Educational Services (GUES),2023,Math,105.0,99.0,94.3,98.0,12.2,419.0
Granby School District,2023,Math,140.0,138.0,98.6,138.0,55.8,534.0
Great Oaks Charter School District,2023,Math,66.0,55.0,83.3,54.0,,399.0
Greenwich School District,2023,Math,648.0,632.0,97.5,626.0,63.3,567.0
Griswold School District,2023,Math,113.0,104.0,92.0,104.0,24.0,459.0
Groton School District,2023,Math,238.0,222.0,93.3,221.0,39.4,493.0
Guilford School District,2023,Math,268.0,264.0,98.5,264.0,63.6,569.0
Hamden School District,2023,Math,430.0,398.0,92.6,396.0,20.2,448.0
Hartford School District,2023,Math,1043.0,878.0,84.2,867.0,12.3,412.0
Highville Charter School District,2023,Math,18.0,15.0,,15.0,,
Jumoke Academy District,2023,Math,6.0,,,,,
Killingly School District,2023,Math,157.0,147.0,93.6,147.0,,482.0
Learn,2023,Math,95.0,90.0,94.7,90.0,45.6,514.0
Lebanon School District,2023,Math,84.0,83.0,98.8,82.0,,467.0
Ledyard School District,2023,Math,189.0,182.0,96.3,181.0,34.3,492.0
Litchfield School District,2023,Math,60.0,60.0,100.0,60.0,48.3,527.0
Madison School District,2023,Math,212.0,211.0,99.5,211.0,69.7,574.0
Manchester School District,2023,Math,419.0,327.0,78.0,324.0,21.0,442.0
Meriden School District,2023,Math,586.0,530.0,90.4,528.0,10.8,417.0
Middletown School District,2023,Math,313.0,274.0,87.5,270.0,23.7,445.0
Milford School District,2023,Math,410.0,396.0,96.6,395.0,38.5,492.0
Monroe School District,2023,Math,259.0,240.0,92.7,239.0,57.7,543.0
Montville School District,2023,Math,114.0,112.0,98.2,112.0,36.6,481.0
Naugatuck School District,2023,Math,322.0,271.0,84.2,264.0,16.3,432.0
New Britain School District,2023,Math,572.0,513.0,89.7,512.0,8.4,407.0
New Canaan School District,2023,Math,309.0,301.0,97.4,300.0,81.3,611.0
New Fairfield School District,2023,Math,177.0,173.0,97.7,171.0,51.5,528.0
New Haven School District,2023,Math,1280.0,1070.0,83.6,1057.0,11.4,413.0
New London School District,2023,Math,200.0,188.0,94.0,185.0,8.6,406.0
New Milford School District,2023,Math,299.0,286.0,95.7,284.0,34.5,492.0
Newington School District,2023,Math,321.0,309.0,96.3,309.0,42.4,508.0
Newtown School District,2023,Math,338.0,326.0,96.4,326.0,58.6,551.0
North Branford School District,2023,Math,99.0,96.0,97.0,96.0,,490.0
North Haven School District,2023,Math,231.0,228.0,98.7,227.0,41.4,507.0
North Stonington School District,2023,Math,44.0,44.0,100.0,44.0,,508.0
Norwalk School District,2023,Math,976.0,926.0,94.9,926.0,22.4,447.0
Norwich Free Academy District,2023,Math,489.0,469.0,95.9,467.0,21.6,447.0
Norwich School District,2023,Math,11.0,7.0,,7.0,,
Old Saybrook School District,2023,Math,81.0,80.0,98.8,80.0,50.0,531.0
Oxford School District,2023,Math,130.0,126.0,96.9,125.0,52.8,517.0
Plainfield School District,2023,Math,124.0,112.0,90.3,109.0,11.9,427.0
Plainville School District,2023,Math,161.0,158.0,98.1,158.0,39.2,499.0
Plymouth School District,2023,Math,104.0,98.0,94.2,97.0,23.7,460.0
Portland School District,2023,Math,74.0,72.0,97.3,70.0,,511.0
Preston School District,2023,Math,,0.0,,0.0,,
Putnam School District,2023,Math,56.0,53.0,94.6,53.0,20.8,456.0
Regional School District 01,2023,Math,61.0,58.0,95.1,58.0,19.0,446.0
Regional School District 04,2023,Math,142.0,136.0,95.8,133.0,37.6,503.0
Regional School District 05,2023,Math,353.0,346.0,98.0,345.0,60.6,557.0
Regional School District 06,2023,Math,89.0,85.0,95.5,85.0,,487.0
Regional School District 07,2023,Math,141.0,132.0,93.6,132.0,50.0,520.0
Regional School District 08,2023,Math,209.0,197.0,94.3,197.0,51.8,532.0
Regional School District 09,2023,Math,192.0,186.0,96.9,186.0,70.4,576.0
Regional School District 10,2023,Math,150.0,146.0,97.3,146.0,54.1,518.0
Regional School District 11,2023,Math,36.0,36.0,100.0,36.0,36.1,499.0
Regional School District 12,2023,Math,80.0,80.0,100.0,80.0,45.0,511.0
Regional School District 13,2023,Math,91.0,86.0,94.5,86.0,48.8,520.0
Regional School District 14,2023,Math,160.0,159.0,99.4,158.0,44.9,501.0
Regional School District 15,2023,Math,270.0,262.0,97.0,260.0,54.2,535.0
